my	PP$	my
dialogue	NN	dialogue
and	CC	and
conceptual	JJ	conceptual
problems	NNS	problem
with	IN	with
the	DT	the
story	NN	story
.	SENT	.
plus	CC	plus
the	DT	the
movie	NN	movie
's	POS	's
ending	NN	ending
(	(	(
understandably	RB	understandably
the	DT	the
result	NN	result
of	IN	of
the	DT	the
studio	NN	studio
wanting	VBG	want
the	DT	the
end	NN	end
of	IN	of
the	DT	the
film	NN	film
to	TO	to
have	VB	have
a	DT	a
"	``	"
hook	NN	hook
"	''	"
for	IN	for
a	DT	a
sequel	NN	sequel
)	)	)
renders	VBZ	render
the	DT	the
rest	NN	rest
of	IN	of
the	DT	the
film	NN	film
pointless	JJ	pointless
.	SENT	.
and	CC	and
does	VBZ	do
anyone	NN	anyone
understand	VB	understand
what	WP	what
happens	VBZ	happen
to	TO	to
nancy	NN	nancy
's	POS	's
mother	NN	mother
at	IN	at
the	DT	the
end	NN	end
of	IN	of
this	DT	this
film	NN	film
?	SENT	?
do	VBP	do
n't	RB	n't
get	VB	get
me	PP	me
wrong	JJ	wrong
though	RB	though
.	SENT	.
.	SENT	.
.	SENT	.
it	PP	it
's	VBZ	be
not	RB	not
as	RB	as
if	IN	if
a	DT	a
new	JJ	new
generation	NN	generation
of	IN	of
horror	NN	horror
films	NNS	film
have	VBP	have
spurned	VBN	spurn
me	PP	me
away	RP	away
from	IN	from
the	DT	the
classics	NNS	classic
.	SENT	.
most	JJS	most
horror	NN	horror
movies	NNS	movie
released	VBD	release
today	NN	today
are	VBP	be
just	RB	just
as	RB	as
inane	JJ	inane
as	IN	as
this	DT	this
film	NN	film
is	VBZ	be
.	SENT	.
horror	NN	horror
is	VBZ	be
a	DT	a
difficult	JJ	difficult
genre	NN	genre
to	TO	to
pull	VB	pull
off	RP	off
credibly	RB	credibly
,	,	,
and	CC	and
a	DT	a
nightmare	NN	nightmare
on	IN	on
elm	NN	elm
street	NN	street
just	RB	just
does	VBZ	do
n't	RB	n't
cut	VB	cut
it	PP	it
.	SENT	.
a	DT	a
nightmare	NN	nightmare
on	IN	on
elm	NN	elm
street	NN	street
is	VBZ	be
available	JJ	available
on	IN	on
dvd	NNS	<unknown>
from	IN	from
new	JJ	new
line	NN	line
home	NN	home
video	NN	video
.	SENT	.
it	PP	it
is	VBZ	be
available	JJ	available
both	CC	both
as	IN	as
a	DT	a
single	JJ	single
disc	NN	disc
and	CC	and
as	IN	as
part	NN	part
of	IN	of
the	DT	the
nightmare	NN	nightmare
on	IN	on
elm	NN	elm
street	NN	street
collection	NN	collection
box	NN	box
set	VBD	set
.	SENT	.
the	DT	the
film	NN	film
is	VBZ	be
presented	VBN	present
in	IN	in
both	DT	both
pan	NN	pan
and	CC	and
scan	NN	scan
and	CC	and
it	PP	it
's	VBZ	be
original	JJ	original
theatrical	JJ	theatrical
aspect	NN	aspect
ratio	NN	ratio
of	IN	of
1	CD	1
.	SENT	.
78	CD	@card@
:	:	:
1	CD	1
(	(	(
although	IN	although
on	IN	on
the	DT	the
disc	NN	disc
that	WDT	that
comes	VBZ	come
in	IN	in
the	DT	the
box	NN	box
set	NN	set
,	,	,
only	RB	only
a	DT	a
widescreen	NN	<unknown>
transfer	NN	transfer
is	VBZ	be
provided	VBN	provide
)	)	)
.	SENT	.
the	DT	the
film	NN	film
has	VBZ	have
been	VBN	be
digitally	RB	digitally
remastered	VBN	remaster
and	CC	and
includes	VBZ	include
two	CD	two
options	NNS	option
for	IN	for
audio	NN	audio
:	:	:
a	DT	a
mono	JJ	mono
mix	NN	mix
and	CC	and
a	DT	a
new	JJ	new
dolby	NN	<unknown>
digital	JJ	digital
5	CD	5
.	SENT	.
1	CD	1
mix	NN	mix
.	SENT	.
also	RB	also
included	VBN	include
on	IN	on
the	DT	the
dvd	NN	<unknown>
is	VBZ	be
a	DT	a
full-length	JJ	full-length
audio	JJ	audio
commentary	NN	commentary
track	NN	track
with	IN	with
writer/	JJ	<unknown>
director	NN	director
wes	NNS	<unknown>
craven	JJ	craven
,	,	,
stars	VBZ	star
john	NN	john
saxon	NN	Saxon
and	CC	and
heather	JJ	heather
langenkamp	NNS	<unknown>
,	,	,
and	CC	and
the	DT	the
film	NN	film
's	POS	's
director	NN	director
of	IN	of
photography	NN	photography
.	SENT	.
other	JJ	other
extras	NNS	extra
include	VBP	include
the	DT	the
"	``	"
jump	NN	jump
to	TO	to
a	DT	a
nightmare	NN	nightmare
"	``	"
feature	NN	feature
(	(	(
i	NNS	i
'm	VBP	be
sure	JJ	sure
you	PP	you
can	MD	can
figure	VB	figure
that		IN	that
one	PP	one
out	RP	out
)	)	)
,	,	,
the	DT	the
usual	JJ	usual
cast	NN	cast
and	CC	and
crew	NN	crew
bios	NNS	bio
(	(	(
which	WDT	which
are	VBP	be
from	IN	from
the	DT	the
film	NN	film
's	POS	's
original	JJ	original
press	NN	press
release	NN	release
kit	NN	kit
,	,	,
and	CC	and
notably	RB	notably
leave	VB	leave
out	RP	out
robert	NP	Robert
englund	NP	Englund
and	CC	and
johnny	NN	johnny
depp	NNS	<unknown>
!	SENT	!
)	)	)
,	,	,
and	CC	and
the	DT	the
film	NN	film
's	POS	's
original	JJ	original
theatrical	JJ	theatrical
trailer	NN	trailer
.	SENT	.
some	DT	some
dvd-rom	NN	<unknown>
features	NNS	feature
are	VBP	be
also	RB	also
included	VBN	include
,	,	,
but	CC	but
since	IN	since
i	NP	i
do	VBP	do
n't	RB	n't
have	VB	have
dvd-rom	NN	<unknown>
capabilities	NNS	capability
i	NP	i
ca	MD	ca
n't	RB	n't
really	RB	really
get	VB	get
into	IN	into
that	DT	that
.	SENT	.
the	DT	the
commentary	NN	commentary
track	NN	track
is	VBZ	be
entertaining	JJ	entertaining
and	CC	and
informative	JJ	informative
,	,	,
but	CC	but
nothing	NN	nothing
spectacular	NN	spectacular
.	SENT	.
the	DT	the
first	JJ	first
thing	NN	thing
of	IN	of
note	NN	note
is	VBZ	be
that		IN	that
it	PP	it
's	VBZ	be
the	DT	the
same	JJ	same
commentary	NN	commentary
track	NN	track
that	WDT	that
was	VBD	be
on	IN	on
the	DT	the
special	JJ	special
edition	NN	edition
laserdisc	NN	<unknown>
from	IN	from
a	DT	a
few	JJ	few
years	NNS	year
ago	RB	ago
.	SENT	.
i	NNS	i
'm	VBP	be
not	RB	not
saying	VBG	say
that	DT	that
's	VBZ	be
a	DT	a
negative	JJ	negative
thing	NN	thing
,	,	,
just	RB	just
pointing	VBG	point
it	PP	it
out	RP	out
.	SENT	.
everyone	NN	everyone
seems	VBZ	seem
enthusiastic	JJ	enthusiastic
about	IN	about
being	VBG	be
there	RB	there
,	,	,
with	IN	with
the	DT	the
possible	JJ	possible
exception	NN	exception
of	IN	of
john	NN	john
saxon	NN	Saxon
,	,	,
who	WP	who
just	RB	just
does	VBZ	do
n't	RB	n't
say	VB	say
much	RB	much
at	IN	at
all	DT	all
.	SENT	.
most	JJS	most
of	IN	of
the	DT	the
time	NN	time
you	PP	you
'll	MD	will
forget	VB	forget
he	PP	he
's	VBZ	be
even	RB	even
there	RB	there
.	SENT	.
everyone	NN	everyone
else	RB	else
talks	VBZ	talk
really	RB	really
quietly	RB	quietly
though	RB	though
for	IN	for
some	DT	some
reason	NN	reason
,	,	,
as	RB	as
if	IN	if
because	IN	because
they	PP	they
're	VBP	be
commenting	VBG	comment
on	IN	on
a	DT	a
scary	JJ	scary
movie	NN	movie
that		IN	that
they	PP	they
need	VBP	need
to	TO	to
stay	VB	stay
as	RB	as
quiet	JJ	quiet
as	IN	as
possible	JJ	possible
.	SENT	.
the	DT	the
bonus	NN	bonus
disc	NN	disc
with	IN	with
the	DT	the
boxed	VBN	box
set	NN	set
called	VBD	call
the	DT	the
nightmare	NN	nightmare
series	NN	series
encyclopedia	NN	encyclopedia
features	VBZ	feature
about	RB	about
45	CD	@card@
minutes	NNS	minute
worth	JJ	worth
of	IN	of
interviews	NNS	interview
relating	VBG	relate
to	TO	to
the	DT	the
first	JJ	first
film	NN	film
of	IN	of
the	DT	the
series	NN	series
.	SENT	.
also	RB	also
included	VBN	include
is	VBZ	be
the	DT	the
original	JJ	original
theatrical	JJ	theatrical
trailer	NN	trailer
and	CC	and
two	CD	two
alternate	JJ	alternate
endings	NNS	ending
to	TO	to
the	DT	the
film	NN	film
.	SENT	.
.	SENT	.
.	SENT	.
however	RB	however
you	PP	you
can	MD	can
only	RB	only
access	VB	access
one	PP	one
easily	RB	easily
.	SENT	.
the	DT	the
other	JJ	other
is	VBZ	be
hidden	VBN	hide
in	IN	in
what	WP	what
's	VBZ	be
called	VBN	call
"	``	"
the	DT	the
labyrinth	NN	labyrinth
"	''	"
,	,	,
which	WDT	which
might	MD	might
possibly	RB	possibly
be	VB	be
the	DT	the
most	RBS	most
annoying	VBG	annoy
feature	NN	feature
of	IN	of
a	DT	a
dvd	NN	<unknown>
ever	RB	ever
created	VBN	create
.	SENT	.
basically	RB	basically
,	,	,
it	PP	it
's	VBZ	be
an	DT	an
interactive	JJ	interactive
game	NN	game
of	IN	of
sorts	NNS	sort
where	WRB	where
you	PP	you
wander	VBP	wander
through	IN	through
different	JJ	different
nightmare	NN	nightmare
locations	NNS	location
looking	VBG	look
at	IN	at
objects	NNS	object
which	WDT	which
give	VBP	give
you	PP	you
access	VB	access
to	TO	to
extra	JJ	extra
little	JJ	little
snippets	NNS	snippet
of	IN	of
footage	NN	footage
,	,	,
interviews	NNS	interview
,	,	,
etc	FW	etc
.	SENT	.
somewhere	RB	somewhere
in	IN	in
the	DT	the
labyrinth	NN	labyrinth
is	VBZ	be
the	DT	the
second	JJ	second
alternate	NN	alternate
ending	VBG	end
to	TO	to
the	DT	the
film	NN	film
.	SENT	.
finding	VBG	find
it	PP	it
though	RB	though
is	VBZ	be
both	CC	both
a	DT	a
chore	NN	chore
and	CC	and
a	DT	a
bore	NN	bore
.	SENT	.
[	SYM	[
r	SYM	r
]	SYM	]
