woody	JJ	woody
cuts	NNS	cut
between	IN	between
his	PP$	his
real	JJ	real
story	NN	story
line	NN	line
and	CC	and
fragments	NNS	fragment
from	IN	from
harry	VBP	harry
's	POS	's
books	NNS	book
with	IN	with
different	JJ	different
actors	NNS	actor
playing	VBG	play
the	DT	the
real	JJ	real
and	CC	and
fictional	JJ	fictional
people	NNS	people
in	IN	in
harry	VBP	harry
's	POS	's
life	NN	life
.	SENT	.
these	DT	these
fragments	NNS	fragment
are	VBP	be
frustrating	VBG	frustrate
in	IN	in
their	PP$	their
lack	NN	lack
of	IN	of
completion	NN	completion
,	,	,
but	CC	but
even	RB	even
more	RBR	more
frustrating	JJ	frustrating
is	VBZ	be
the	DT	the
bringing	VBG	bring
of	IN	of
the	DT	the
characters	NNS	character
out	RP	out
of	IN	of
the	DT	the
fragments	NNS	fragment
into	IN	into
scenes	NNS	scene
with	IN	with
the	DT	the
real	JJ	real
characters	NNS	character
.	SENT	.
it	PP	it
is	VBZ	be
up	RB	up
to	TO	to
the	DT	the
viewer	NN	viewer
to	TO	to
keep	VB	keep
track	NN	track
not	RB	not
just	RB	just
who	WP	who
is	VBZ	be
fictional	JJ	fictional
and	CC	and
who	WP	who
is	VBZ	be
real	JJ	real
but	CC	but
also	RB	also
to	TO	to
keep	VB	keep
straight	RB	straight
who	WP	who
is	VBZ	be
the	DT	the
fictional	JJ	fictional
doppelganger	NN	<unknown>
of	IN	of
which	WDT	which
real	JJ	real
person	NN	person
.	SENT	.
if	IN	if
that	DT	that
sounds	NNS	sound
complicated	VBN	complicate
,	,	,
it	PP	it
is	VBZ	be
.	SENT	.
then	RB	then
as	IN	as
another	DT	another
device	NN	device
in	IN	in
one	CD	one
of	IN	of
the	DT	the
stories	NNS	storey
,	,	,
an	DT	an
actor	NN	actor
seems	VBZ	seem
to	TO	to
have	VB	have
the	DT	the
peculiar	JJ	peculiar
property	NN	property
that		IN	that
he	PP	he
has	VBZ	have
gone	VBN	go
out	RP	out
of	IN	of
focus	NN	focus
and	CC	and
can	MD	can
only	RB	only
be	VB	be
seen	VBN	see
in	IN	in
blurry	JJ	blurry
image	NN	image
.	SENT	.
harry	VBP	harry
sees	VBZ	see
this	DT	this
as	IN	as
a	DT	a
metaphor	NN	metaphor
for	IN	for
his	PP$	his
own	JJ	own
condition	NN	condition
and	CC	and
himself	PP	himself
goes	VBZ	go
blurry	JJ	blurry
for	IN	for
a	DT	a
short	JJ	short
time	NN	time
.	SENT	.
as	RB	as
if	IN	if
these	DT	these
touches	NNS	touch
did	VBD	do
not	RB	not
create	VB	create
sufficient	JJ	sufficient
confusion	NN	confusion
,	,	,
the	DT	the
story	NN	story
is	VBZ	be
told	VBN	tell
out	RP	out
of	IN	of
chronological	JJ	chronological
order	NN	order
.	SENT	.
if	IN	if
allen	NP	Allen
were	VBD	be
giving	VBG	give
the	DT	the
audience	NN	audience
a	DT	a
story	NN	story
that	WDT	that
was	VBD	be
worth	JJ	worth
decoding	VBG	decode
,	,	,
any	RB	any
and	CC	and
all	RB	all
of	IN	of
these	DT	these
stylistic	JJ	stylistic
touches	NNS	touch
could	MD	could
be	VB	be
excusable	JJ	excusable
.	SENT	.
but	CC	but
allen	NP	Allen
puts	VBZ	put
the	DT	the
audience	NN	audience
through	IN	through
all	DT	all
of	IN	of
this	DT	this
to	TO	to
give	VB	give
us	PP	us
a	DT	a
portrait	NN	portrait
of	IN	of
harry	VB	harry
block	VB	block
who	WP	who
is	VBZ	be
a	DT	a
selfish	JJ	selfish
manipulator	NN	manipulator
who	WP	who
is	VBZ	be
not	RB	not
worth	JJ	worth
the	DT	the
effort	NN	effort
to	TO	to
understand	VB	understand
.	SENT	.
deconstructing	NNS	<unknown>
harry	VBP	harry
is	VBZ	be
set	VBN	set
at	IN	at
a	DT	a
time	NN	time
when	WRB	when
harry	VBP	harry
's	POS	's
old	JJ	old
college	NN	college
,	,	,
the	DT	the
one	CD	one
that	WDT	that
expelled	VBD	expel
him	PP	him
when	WRB	when
he	PP	he
attended	VBD	attend
it	PP	it
,	,	,
wants	VBZ	want
now	RB	now
to	TO	to
honor	VB	honor
him	PP	him
for	IN	for
a	DT	a
lifetime	NN	lifetime
of	IN	of
writing	VBG	write
achievement	NN	achievement
.	SENT	.
harry	VB	harry
is	VBZ	be
searching	VBG	search
among	IN	among
his	PP$	his
friends	NNS	friend
to	TO	to
find	VB	find
one	PP	one
who	WP	who
will	MD	will
go	VB	go
with	IN	with
him	PP	him
.	SENT	.
just	RB	just
why	WRB	why
someone	NN	someone
who	WP	who
is	VBZ	be
so	RB	so
unwilling	JJ	unwilling
to	TO	to
commit	VB	commit
to	TO	to
a	DT	a
relationship	NN	relationship
with	IN	with
anyone	NN	anyone
suddenly	RB	suddenly
needs	VBZ	need
the	DT	the
support	NN	support
of	IN	of
someone	NN	someone
else	RB	else
is	VBZ	be
unclear	JJ	unclear
.	SENT	.
harry	VBP	harry
tries	VBZ	try
his	PP$	his
current	JJ	current
girl	NN	girl
friend	NN	friend
fay	NN	fay
(	(	(
elizabeth	NP	Elizabeth
shue	NP	Shue
)	)	)
only	RB	only
to	TO	to
find	VB	find
that		IN	that
she	PP	she
is	VBZ	be
about	RB	about
to	TO	to
marry	VB	marry
harry	VB	harry
's	VBZ	be
old	JJ	old
friend	NN	friend
larry	NN	<unknown>
(	(	(
billy	NN	billy
crystal	NN	crystal
)	)	)
.	SENT	.
block	NN	block
would	MD	would
like	VB	like
his	PP$	his
son	NN	son
hilly	JJ	hilly
(	(	(
eric	NN	eric
lloyd	NN	Lloyd
)	)	)
to	TO	to
accompany	VB	accompany
him	PP	him
,	,	,
but	CC	but
hilly	JJ	hilly
's	VBZ	be
mother	NN	mother
,	,	,
previously	RB	previously
first	RB	first
harry	VBP	harry
's	POS	's
psychiatrist	NN	psychiatrist
and	CC	and
more	JJR	more
recently	RB	recently
his	PP$	his
wife	NN	wife
,	,	,
refuses	VBZ	refuse
to	TO	to
let	VB	let
her	PP$	her
son	NN	son
see	VB	see
his	PP$	his
father	NN	father
.	SENT	.
another	DT	another
friend	NN	friend
richard	NN	<unknown>
(	(	(
bob	NN	bob
balaban	NN	<unknown>
)	)	)
would	MD	would
go	VB	go
but	CC	but
has	VBZ	have
health	NN	health
problems	NNS	problem
.	SENT	.
harry	VB	harry
also	RB	also
considers	VBZ	consider
bringing	VBG	bring
a	DT	a
prostitute	NN	prostitute
cookie	NN	cookie
(	(	(
hazel	JJ	hazel
goodman	NN	goodman
)	)	)
.	SENT	.
it	PP	it
is	VBZ	be
interesting	JJ	interesting
that		IN	that
allen	NP	Allen
should	MD	should
introduce	VB	introduce
another	DT	another
likable	JJ	likable
prostitute	NN	prostitute
so	RB	so
soon	RB	soon
after	IN	after
mighty	JJ	mighty
aphrodite	NN	<unknown>
,	,	,
but	CC	but
cookie	NN	cookie
is	VBZ	be
considerably	RB	considerably
different--black	NN	<unknown>
and	CC	and
a	DT	a
lot	NN	lot
brighter	JJR	bright
than	IN	than
mira	NP	Mira
sorvino	NP	<unknown>
's	POS	's
character	NN	character
in	IN	in
the	DT	the
previous	JJ	previous
film	NN	film
.	SENT	.
while	IN	while
the	DT	the
comedy	NN	comedy
sequences	NNS	sequence
are	VBP	be
never	RB	never
complete	JJ	complete
,	,	,
a	DT	a
few	JJ	few
are	VBP	be
elaborate	JJ	elaborate
and	CC	and
some	DT	some
quite	RB	quite
funny	JJ	funny
.	SENT	.
the	DT	the
centerpiece	NN	centerpiece
of	IN	of
the	DT	the
film	NN	film
is	VBZ	be
a	DT	a
journey	NN	journey
into	IN	into
hell	NN	hell
with	IN	with
allen	NN	<unknown>
playing	VBG	play
a	DT	a
sort	NN	sort
of	IN	of
orpheus	NP	Orpheus
rescuing	VBG	rescue
fay	NN	fay
from	IN	from
the	DT	the
clutches	NNS	clutch
of	IN	of
the	DT	the
devil	NN	devil
,	,	,
who	WP	who
looks	VBZ	look
a	DT	a
lot	NN	lot
like	IN	like
larry	NN	<unknown>
.	SENT	.
that	DT	that
story	NN	story
also	RB	also
is	VBZ	be
left	RB	left
uncompleted	JJ	uncompleted
,	,	,
perhaps	RB	perhaps
to	TO	to
show	VB	show
harry	VB	harry
's	VBZ	be
unwillingness	NN	unwillingness
to	TO	to
commit	VB	commit
even	RB	even
to	TO	to
telling	VBG	tell
a	DT	a
story	NN	story
.	SENT	.
the	DT	the
linchpin	NN	linchpin
that	WDT	that
was	VBD	be
needed	VBN	need
to	TO	to
tie	VB	tie
together	RB	together
the	DT	the
stylistic	JJ	stylistic
quirks	NNS	quirk
of	IN	of
this	DT	this
film	NN	film
was	VBD	be
a	DT	a
central	JJ	central
character	NN	character
who	WP	who
changes	VBZ	change
and	CC	and
who	WP	who
gives	VBZ	give
us	PP	us
something	NN	something
about	IN	about
which	WDT	which
to	TO	to
care	VB	care
.	SENT	.
that	DT	that
character	NN	character
is	VBZ	be
patently	RB	patently
not	RB	not
the	DT	the
one	CD	one
allen	NN	<unknown>
creates	VBZ	create
in	RB	in
harry	VB	harry
block	NN	block
and	CC	and
not	RB	not
the	DT	the
characters	NNS	character
around	RB	around
harry	VBP	harry
as	RB	as
seen	VBN	see
through	IN	through
his	PP$	his
acerbic	JJ	acerbic
eyes	NNS	eye
.	SENT	.
allen	NP	Allen
can	MD	can
do	VB	do
much	RB	much
better	RBR	well
than	IN	than
deconstructing	VBG	<unknown>
harry	VB	harry
.	SENT	.
i	NP	i
rate	NN	rate
it	PP	it
a	DT	a
3	CD	3
on	IN	on
the	DT	the
0	CD	0
to	TO	to
10	CD	@card@
scale	NN	scale
and	CC	and
a	DT	a
-1	CD	@card@
on	IN	on
the	DT	the
-4	CD	@card@
to	TO	to
+4	JJ	<unknown>
scale	NN	scale
.	SENT	.
