there	EX	there
every	DT	every
scene	NN	scene
with	IN	with
her	PP	her
feels	VBZ	feel
contrived	JJ	contrived
,	,	,
pulling	VBG	pull
jakob	NN	<unknown>
the	DT	the
liar	NN	liar
away	RB	away
from	IN	from
its	PP$	its
central	JJ	central
story	NN	story
of	IN	of
hope	NN	hope
coming	VBG	come
to	TO	to
a	DT	a
previously	RB	previously
hopeless	JJ	hopeless
people	NNS	people
.	SENT	.
it	PP	it
is	VBZ	be
a	DT	a
pleasant	JJ	pleasant
surprise	NN	surprise
to	TO	to
find	VB	find
that	DT	that
jakob	NN	<unknown>
the	DT	the
liar	NN	liar
is	VBZ	be
a	DT	a
much	RB	much
grittier	JJR	gritty
production	NN	production
than	IN	than
you	PP	you
might	MD	might
expect	VB	expect
from	IN	from
a	DT	a
hollywood-ized	JJ	<unknown>
holocaust	NN	holocaust
,	,	,
combining	VBG	combine
the	DT	the
weighty	JJ	weighty
subject	JJ	subject
matter	NN	matter
with	IN	with
dark	JJ	dark
humor	NN	humor
in	IN	in
some	DT	some
effective	JJ	effective
ways	NNS	way
.	SENT	.
director	NN	director
peter	NN	peter
kassovitz	NN	<unknown>
,	,	,
working	VBG	work
from	IN	from
jurek	JJ	<unknown>
becker	NN	<unknown>
's	POS	's
novel	NN	novel
,	,	,
crafts	VBZ	craft
some	DT	some
nice	JJ	nice
scenes	NNS	scene
between	IN	between
jakob	NN	<unknown>
and	CC	and
the	DT	the
other	JJ	other
townspeople	NN	townspeople
,	,	,
and	CC	and
draws	VBZ	draw
solid	JJ	solid
performances	NNS	performance
from	IN	from
armin	NN	<unknown>
mueller-stahl	NNS	<unknown>
(	(	(
as	IN	as
a	DT	a
once-revered	JJ	<unknown>
doctor	NN	doctor
)	)	)
and	CC	and
bob	NN	bob
balaban	NN	<unknown>
(	(	(
as	IN	as
a	DT	a
barber	NN	barber
drifting	VBG	drift
into	IN	into
depression	NN	depression
)	)	)
.	SENT	.
there	EX	there
are	VBP	be
just	RB	just
too	RB	too
many	JJ	many
things	NNS	thing
going	VBG	go
on	IN	on
that	WDT	that
prove	VBP	prove
distracting	VBG	distract
,	,	,
whether	IN	whether
it	PP	it
's	VBZ	be
the	DT	the
sketchy	JJ	sketchy
romanctic	JJ	<unknown>
angle	NN	angle
involving	VBG	involve
liev	NP	<unknown>
schreiber	NP	Schreiber
as	IN	as
an	DT	an
earnest	JJ	earnest
former	JJ	former
prizefighter	NN	prizefighter
,	,	,
or	CC	or
williams	NP	Williams
'	POS	'
incongrous	JJ	<unknown>
presence	NN	presence
,	,	,
or	CC	or
a	DT	a
sweet	JJ	sweet
but	CC	but
utterly	RB	utterly
irrelevant	JJ	irrelevant
little	JJ	little
girl	NN	girl
.	SENT	.
jakob	NN	<unknown>
the	DT	the
liar	NN	liar
deals	NNS	deal
with	IN	with
too	RB	too
delicate	JJ	delicate
a	DT	a
subject	NN	subject
for	IN	for
such	JJ	such
fumbling	VBG	fumble
,	,	,
and	CC	and
has	VBZ	have
too	RB	too
compelling	JJ	compelling
a	DT	a
central	JJ	central
character	NN	character
to	TO	to
waste	VB	waste
.	SENT	.
and	CC	and
after	IN	after
one	CD	one
wonderful	JJ	wonderful
early	JJ	early
scene	NN	scene
,	,	,
you	PP	you
can	MD	can
see	VB	see
the	DT	the
film	NN	film
wasted	VBN	waste
and	CC	and
fumbled	VBN	fumble
away	RB	away
.	SENT	.
