when	WRB	when
emotionally	RB	emotionally
guarded	VBN	guard
5th	JJ	5th
grade	NN	grade
history	NN	history
teacher	NN	teacher
(	(	(
a	DT	a
somewhat	RB	somewhat
similarly	RB	similarly
guarded	VBN	guard
kevin	NP	Kevin
spacey	NP	spacey
)	)	)
,	,	,
with	IN	with
a	DT	a
burn	NN	burn
scared	JJ	scared
face	NN	face
and	CC	and
equally	RB	equally
singed	VBN	singe
attitude	NN	attitude
,	,	,
who	WP	who
gives	VBZ	give
his	PP$	his
class	NN	class
the	DT	the
seemingly	RB	seemingly
impossible	JJ	impossible
assignment	NN	assignment
of	IN	of
doing	VBG	do
one	CD	one
thing	NN	thing
over	IN	over
the	DT	the
course	NN	course
of	IN	of
the	DT	the
semester	NN	semester
that	WDT	that
will	MD	will
change	VB	change
the	DT	the
world	NN	world
.	SENT	.
12	CD	@card@
year	NN	year
old	JJ	old
trevor	NN	<unknown>
(	(	(
haley	JJ	<unknown>
joel	NN	<unknown>
osmet	NN	<unknown>
)	)	)
,	,	,
a	DT	a
disneyfied	NNS	<unknown>
do	VBP	do
gooder	NN	<unknown>
who	WP	who
takes	VBZ	take
care	NN	care
of	IN	of
his	PP$	his
alcoholic	JJ	alcoholic
mother	NN	mother
(	(	(
helen	JJ	<unknown>
hunt	NN	hunt
)	)	)
,	,	,
comes	VBZ	come
up	RP	up
with	IN	with
the	DT	the
notion	NN	notion
to	TO	to
pay	VB	pay
it	PP	it
forward	RB	forward
;	:	;
this	DT	this
entails	VBZ	entail
a	DT	a
person	NN	person
doing	VBG	do
one	CD	one
good	JJ	good
deed	NN	deed
(	(	(
call	VB	call
it	PP	it
an	DT	an
uber	NN	<unknown>
favor	NN	favor
)	)	)
for	IN	for
three	CD	three
others	NNS	other
,	,	,
then	RB	then
telling	VBG	tell
them	PP	them
to	TO	to
do	VB	do
the	DT	the
same	JJ	same
for	IN	for
three	CD	three
others	NNS	other
and	CC	and
before	RB	before
long	RB	long
we	PP	we
're	VBP	be
all	RB	all
living	VBG	live
in	IN	in
a	DT	a
frank	JJ	frank
capra	NN	<unknown>
movie	NN	movie
.	SENT	.
meanwhile	RB	meanwhile
in	IN	in
a	DT	a
parallel	JJ	parallel
story	NN	story
,	,	,
a	DT	a
weasely	JJ	<unknown>
reporter	NN	reporter
(	(	(
jay	NN	jay
mohr	NN	<unknown>
)	)	)
tracks	VBZ	track
the	DT	the
"	``	"
movement	NN	movement
"	''	"
which	WDT	which
has	VBZ	have
apparently	RB	apparently
begun	VBN	begin
to	TO	to
grow	VB	grow
.	SENT	.
pay	VB	pay
it	PP	it
forward	RB	forward
has	VBZ	have
odd	JJ	odd
ideas	NNS	idea
about	IN	about
tone	NN	tone
;	:	;
at	IN	at
certain	JJ	certain
points	NNS	point
it	PP	it
hurls	VBZ	hurl
a	DT	a
smattering	NN	smattering
of	IN	of
unnecessary	JJ	unnecessary
cynicism	NN	cynicism
at	IN	at
us	PP	us
as	IN	as
if	IN	if
that	DT	that
would	MD	would
be	VB	be
the	DT	the
appropriate	JJ	appropriate
antidote	NN	antidote
to	TO	to
the	DT	the
unrelenting	JJ	unrelenting
sappiness	NN	sappiness
at	IN	at
its	PP$	its
core	NN	core
.	SENT	.
it	PP	it
's	VBZ	be
as	RB	as
if	IN	if
director	NN	director
mimi	NP	mimi
leder	NN	<unknown>
did	VBD	do
n't	RB	n't
have	VB	have
the	DT	the
confidence	NN	confidence
to	TO	to
make	VB	make
pay	VB	pay
it	PP	it
forward	VB	forward
the	DT	the
way	NN	way
she	PP	she
intended	VBD	intend
,	,	,
and	CC	and
compromised	VBD	compromise
out	RP	out
of	IN	of
fear	NN	fear
that		IN	that
her	PP$	her
film	NN	film
was	VBD	be
n't	RB	n't
"	``	"
gutsy	JJ	gutsy
"	''	"
enough	JJ	enough
to	TO	to
earn	VB	earn
the	DT	the
acclaim	NN	acclaim
it	PP	it
has	VBZ	have
clearly	RB	clearly
been	VBN	be
made	VBN	make
for	IN	for
.	SENT	.
so	IN	so
the	DT	the
picture	NN	picture
adds	VBZ	add
grit	VB	grit
(	(	(
a	DT	a
child	NN	child
molester	NN	molester
propositions	NNS	proposition
trevor	NN	<unknown>
,	,	,
a	DT	a
homeless	JJ	homeless
man	NN	man
returns	NNS	return
to	TO	to
heroin	NN	heroin
after	IN	after
being	VBG	be
"	``	"
saved	VBN	save
"	''	"
,	,	,
a	DT	a
character	NN	character
is	VBZ	be
knifed	VBN	knife
while	IN	while
doing	VBG	do
a	DT	a
good	JJ	good
deed	NN	deed
,	,	,
etc	FW	etc
)	)	)
though	IN	though
it	PP	it
seems	VBZ	seem
shallow	NN	shallow
,	,	,
incorporated	VBN	incorporate
into	IN	into
the	DT	the
proceedings	NNS	proceeding
because	IN	because
the	DT	the
film	NN	film
itself	PP	itself
is	VBZ	be
n't	RB	n't
quite	RB	quite
sure	JJ	sure
if	IN	if
it	PP	it
's	VBZ	be
ready	JJ	ready
to	TO	to
buy	VB	buy
into	IN	into
its	PP$	its
own	JJ	own
utopian	JJ	utopian
blather	NN	blather
.	SENT	.
pay	VB	pay
it	PP	it
forward	RB	forward
offers	VBZ	offer
"	``	"
crowd	NN	crowd
pleasing	NN	pleasing
"	''	"
elements	NNS	element
for	IN	for
general	JJ	general
audiences	NNS	audience
;	:	;
jay	NN	jay
mohr	NN	<unknown>
's	POS	's
umpteenth	JJ	umpteenth
variation	NN	variation
on	IN	on
the	DT	the
waspy	JJ	waspy
sleazeball	NN	sleazeball
,	,	,
angie	NP	Angie
dickinson	NP	Dickinson
's	POS	's
earthy	JJ	earthy
alcoholic	JJ	alcoholic
bag	NN	bag
woman	NN	woman
,	,	,
and	CC	and
the	DT	the
jive-talking	NN	jive-talking
"	``	"
black	JJ	black
hoodlum	NN	hoodlum
with	IN	with
a	DT	a
heart	NN	heart
of	IN	of
gold	NN	gold
"	''	"
(	(	(
coming	VBG	come
on	IN	on
the	DT	the
heals	VBZ	heal
of	IN	of
the	DT	the
black	JJ	black
,	,	,
god-like	JJ	God-like
inmate	NN	inmate
embodied	VBN	embody
by	IN	by
gabriel	NN	<unknown>
casseus	NN	<unknown>
in	IN	in
bedazzled	VBN	bedazzle
,	,	,
this	DT	this
may	MD	may
just	RB	just
be	VB	be
the	DT	the
beginnings	NNS	beginning
of	IN	of
a	DT	a
brand	NN	brand
new	JJ	new
guilty	JJ	guilty
white	JJ	white
liberal	JJ	liberal
clich	NN	<unknown>
?	SENT	?
.	SENT	.
hurray	NN	<unknown>
for	IN	for
hollywood	NN	<unknown>
)	)	)
who	WP	who
actually	RB	actually
calls	VBZ	call
the	DT	the
mohr	NN	<unknown>
character	NN	character
a	DT	a
"	``	"
nigga	NN	<unknown>
"	''	"
and	CC	and
says	VBZ	say
things	NNS	thing
like	IN	like
"	``	"
can	MD	can
you	PP	you
feel	VB	feel
me	PP	me
?	SENT	?
"	``	"
leave	VB	leave
it	PP	it
to	TO	to
pay	VB	pay
it	PP	it
forward	RB	forward
to	TO	to
happily	RB	happily
include	VB	include
a	DT	a
little	JJ	little
minstrel	NN	minstrel
act	NN	act
for	IN	for
our	PP$	our
further	JJR	further
enjoyment	NN	enjoyment
.	SENT	.
(	(	(
maybe	RB	maybe
spike	NN	spike
's	POS	's
flick	NN	flick
was	VBD	be
n't	RB	n't
so	RB	so
misguided	VBN	misguide
after	IN	after
all	DT	all
)	)	)
.	SENT	.
these	DT	these
scenes	NNS	scene
feel	VBP	feel
as	RB	as
if	IN	if
they	PP	they
belong	VBP	belong
in	IN	in
a	DT	a
dopey	JJ	dopey
comedy	NN	comedy
with	IN	with
feel	VB	feel
good	JJ	good
aspirations	NNS	aspiration
rather	RB	rather
than	IN	than
the	DT	the
irritatingly	RB	<unknown>
saccharine	JJ	saccharine
drama	NN	drama
that		IN	that
you	PP	you
'll	MD	will
find	VB	find
yourself	PP	yourself
trapped	VBN	trap
in	RP	in
should	MD	should
you	PP	you
not	RB	not
heed	VB	heed
my	PP$	my
warnings	NNS	warning
.	SENT	.
while	IN	while
the	DT	the
filmmakers	NNS	filmmaker
have	VBP	have
stressed	VBN	stress
in	IN	in
interviews	NNS	interview
that		IN	that
they	PP	they
actually	RB	actually
hope	VBP	hope
this	DT	this
is	VBZ	be
a	DT	a
film	NN	film
that	WDT	that
could	MD	could
make	VB	make
the	DT	the
world	NN	world
a	DT	a
better	JJR	good
place	NN	place
,	,	,
to	TO	to
me	PP	me
the	DT	the
final	JJ	final
product	NN	product
has	VBZ	have
the	DT	the
oily	JJ	oily
feel	NN	feel
of	IN	of
a	DT	a
cynical	JJ	cynical
politician	NN	politician
contemptuously	RB	contemptuously
reciting	VBG	recite
cookie	NN	cookie
fortune	NN	fortune
slogans	NNS	slogan
to	TO	to
a	DT	a
hopeful	JJ	hopeful
audience	NN	audience
.	SENT	.
it	PP	it
's	VBZ	be
a	DT	a
picture	NN	picture
that	WDT	that
looks	VBZ	look
to	TO	to
be	VB	be
tailor	NN	tailor
made	VBN	make
for	IN	for
academy	NN	academy
consideration	NN	consideration
,	,	,
with	IN	with
the	DT	the
main	JJ	main
players	NNS	player
(	(	(
all	DT	all
previous	JJ	previous
oscar	NN	oscar
winners	NNS	winner
or	CC	or
nominees	NNS	nominee
)	)	)
given	VBN	give
big	JJ	big
emotional	JJ	emotional
scenes	NNS	scene
that	WDT	that
are	VBP	be
practically	RB	practically
variations	NNS	variation
on	IN	on
their	PP$	their
most	RBS	most
lauded	VBN	laud
turns	NNS	turn
.	SENT	.
one	CD	one
scene	NN	scene
in	IN	in
which	WDT	which
a	DT	a
slightly	RB	slightly
de-glamed	JJ	<unknown>
helen	JJ	<unknown>
hunt	NN	hunt
(	(	(
de-glamed	VBN	<unknown>
here	RB	here
means	VBZ	mean
that		IN	that
not	RB	not
only	RB	only
is	VBZ	be
she	PP	she
a	DT	a
fashion	NN	fashion
victim	NN	victim
[	SYM	[
her	PP$	her
look	NN	look
is	VBZ	be
somewhere	RB	somewhere
between	IN	between
goth	JJ	<unknown>
queen	NN	queen
and	CC	and
trailer	NN	trailer
park	NN	park
mama	NN	mama
]	SYM	]
,	,	,
hunt	NN	hunt
's	POS	's
hair	NN	hair
is	VBZ	be
also	RB	also
natty	JJ	natty
and	CC	and
badly	RB	badly
bleached	VBN	bleach
)	)	)
verbally	RB	verbally
castigates	VBZ	castigate
spacey	NN	spacey
,	,	,
feels	VBZ	feel
right	RB	right
out	RB	out
of	IN	of
her	PP$	her
as	RB	as
good	JJ	good
as	IN	as
it	PP	it
gets	VBZ	get
oscar	NN	oscar
clip	NN	clip
.	SENT	.
spacey	NP	spacey
,	,	,
of	IN	of
course	NN	course
,	,	,
responds	VBZ	respond
in	IN	in
his	PP$	his
cultured	JJ	cultured
monotone	NN	monotone
,	,	,
that	WDT	that
could	MD	could
be	VB	be
straight	JJ	straight
from	IN	from
his	PP$	his
low	JJ	low
key	JJ	key
american	NN	American
beauty	NN	beauty
performance	NN	performance
.	SENT	.
maybe	RB	maybe
the	DT	the
actor	NN	actor
should	MD	should
get	VB	get
an	DT	an
award	NN	award
for	IN	for
coming	VBG	come
off	RP	off
the	DT	the
least	JJS	least
self	NN	self
consciously	RB	consciously
irritating	VBG	irritate
;	:	;
though	RB	though
how	WRB	how
can	MD	can
he	PP	he
not	RB	not
,	,	,
even	RB	even
when	WRB	when
he	PP	he
's	VBZ	be
emoting	VBG	emote
spacey	NN	spacey
seems	VBZ	seem
somehow	RB	somehow
shielded	VBN	shield
by	IN	by
a	DT	a
wry	JJ	wry
indifference	NN	indifference
.	SENT	.
the	DT	the
usually	RB	usually
talented	JJ	talented
helen	JJ	<unknown>
hunt	NN	hunt
is	VBZ	be
the	DT	the
worst	JJS	bad
offender	NN	offender
.	SENT	.
in	IN	in
one	CD	one
atrocious	JJ	atrocious
touched	VBN	touch
by	IN	by
an	DT	an
angel	NN	angel
moment	NN	moment
hunt	NN	hunt
slaps	VBZ	slap
osmet	NN	<unknown>
,	,	,
immediately	RB	immediately
covering	VBG	cover
her	PP$	her
mouth	NN	mouth
with	IN	with
the	DT	the
guilty	JJ	guilty
hand	NN	hand
in	IN	in
that	DT	that
very	RB	very
same	JJ	same
stroke	NN	stroke
,	,	,
and	CC	and
with	IN	with
said	VBN	say
hand	NN	hand
still	RB	still
on	IN	on
said	VBN	say
mouth	NN	mouth
,	,	,
she	PP	she
actually	RB	actually
begins	VBZ	begin
convulsing	VBG	convulse
(	(	(
dry	VB	dry
heaving	VBG	heave
really	RB	really
)	)	)
,	,	,
then	RB	then
(	(	(
and	CC	and
i	NP	i
'm	VBP	be
not	RB	not
making	VBG	make
this	DT	this
up	RB	up
)	)	)
she	PP	she
scurries	VBZ	scurry
to	TO	to
the	DT	the
kitchen	NN	kitchen
tearing	VBG	tear
the	DT	the
place	NN	place
apart	RB	apart
in	IN	in
a	DT	a
frenzied	JJ	frenzied
search	NN	search
for	IN	for
alcohol	NN	alcohol
.	SENT	.
the	DT	the
scene	NN	scene
is	VBZ	be
so	RB	so
hokey	NN	hokey
it	PP	it
could	MD	could
very	RB	very
nearly	RB	nearly
be	VB	be
construed	VBN	construe
as	IN	as
a	DT	a
parody	NN	parody
of	IN	of
hackneyed	JJ	hackneyed
tv	NN	tv
movie	NN	movie
blow-ups	NNS	blow-up
;	:	;
it	PP	it
's	VBZ	be
all	DT	all
very	RB	very
theatrical	JJ	theatrical
,	,	,
especially	RB	especially
hunt	NN	hunt
's	POS	's
performance	NN	performance
,	,	,
which	WDT	which
feels	VBZ	feel
like	IN	like
a	DT	a
pathetic	JJ	pathetic
plea	NN	plea
to	TO	to
the	DT	the
academy	NN	academy
for	IN	for
another	DT	another
oscar	NN	oscar
.	SENT	.
pay	VB	pay
it	PP	it
forward	RB	forward
has	VBZ	have
the	DT	the
dubious	JJ	dubious
distinction	NN	distinction
of	IN	of
being	VBG	be
a	DT	a
film	NN	film
that	WDT	that
could	MD	could
be	VB	be
used	VBN	use
as	IN	as
an	DT	an
argument	NN	argument
for	IN	for
why	WRB	why
actors	NNS	actor
should	MD	should
n't	RB	n't
get	VB	get
academy	NN	academy
awards	NNS	award
.	SENT	.
the	DT	the
picture	NN	picture
unknowingly	RB	unknowingly
affirms	VBZ	affirm
that		IN	that
oscars	NNS	oscar
transform	VB	transform
nuanced	JJ	nuanced
talent	NN	talent
into	IN	into
overwrought	JJ	overwrought
expressionists	NNS	expressionist
.	SENT	.
even	RB	even
haley	JJ	<unknown>
joel	NN	<unknown>
osemt	NN	<unknown>
,	,	,
the	DT	the
wunderkind	NN	wunderkind
who	WP	who
was	VBD	be
nominated	VBN	nominate
for	IN	for
an	DT	an
academy	NN	academy
award	NN	award
for	IN	for
his	PP$	his
unforced	JJ	<unknown>
performance	NN	performance
in	IN	in
sixth	JJ	sixth
sense	NN	sense
,	,	,
seems	VBZ	seem
more	RBR	more
divisive	JJ	divisive
about	IN	about
his	PP$	his
expressions	NNS	expression
and	CC	and
inflections	NNS	inflection
.	SENT	.
his	PP$	his
acting	NN	acting
has	VBZ	have
become	VBN	become
broader	JJR	broad
,	,	,
less	RBR	less
intimate	JJ	intimate
;	:	;
it	PP	it
's	VBZ	be
as	RB	as
if	IN	if
we	PP	we
can	MD	can
make	VB	make
out	RP	out
the	DT	the
little	JJ	little
munchkin	NN	<unknown>
's	POS	's
thoughts	NNS	thought
:	:	:
"	``	"
boy	UH	boy
this	DT	this
outta	NN	<unknown>
floor	NN	floor
em	NN	em
"	''	"
.	SENT	.
naturally	RB	naturally
osmet	NN	<unknown>
is	VBZ	be
made	VBN	make
to	TO	to
play	VB	play
one	CD	one
of	IN	of
those	DT	those
only-in-the-movies	NNS	<unknown>
children	NNS	child
,	,	,
a	DT	a
martyr-figure	NN	<unknown>
who	WP	who
cleans	VBZ	clean
up	RP	up
after	IN	after
his	PP$	his
mother	NN	mother
,	,	,
lectures	VBZ	lecture
her	PP	her
on	IN	on
the	DT	the
ills	NNS	ill
of	IN	of
drinking	NN	drinking
,	,	,
and	CC	and
even	RB	even
fixes	VBZ	fix
her	PP	her
up	RP	up
on	IN	on
a	DT	a
date	NN	date
with	IN	with
his	PP$	his
intellectual	JJ	intellectual
teacher	NN	teacher
.	SENT	.
never	RB	never
mind	VB	mind
that		IN	that
the	DT	the
two	CD	two
could	MD	could
n't	RB	n't
be	VB	be
more	RBR	more
dissimilar	JJ	dissimilar
;	:	;
his	PP$	his
mother	NN	mother
is	VBZ	be
trailer	NN	trailer
trash	NN	trash
dopey	JJ	dopey
,	,	,
and	CC	and
the	DT	the
teacher	NN	teacher
is	VBZ	be
one	CD	one
of	IN	of
those	DT	those
dennis	NN	<unknown>
miller-ey	NN	<unknown>
intellectuals	NNS	intellectual
who	WP	who
hides	VBZ	hide
his	PP$	his
insecurities	NNS	insecurity
behind	IN	behind
a	DT	a
vast	JJ	vast
vocabulary	NN	vocabulary
.	SENT	.
nevertheless	RB	nevertheless
this	DT	this
little	JJ	little
nudnik	NN	<unknown>
goes	VBZ	go
out	RP	out
of	IN	of
his	PP$	his
way	NN	way
to	TO	to
bring	VB	bring
the	DT	the
pair	NN	pair
together	RB	together
in	IN	in
a	DT	a
scene	NN	scene
that	WDT	that
recalls	VBZ	recall
parent	JJ	parent
trap-ish	JJ	<unknown>
cornball	NN	cornball
antics	NNS	antic
.	SENT	.
but	CC	but
oh	UH	oh
how	WRB	how
we	PP	we
love	VBP	love
bright	JJ	bright
,	,	,
articulate	JJ	articulate
,	,	,
self-sacrificing	JJ	self-sacrificing
children	NNS	child
who	WP	who
pick	VBP	pick
adults	NNS	adult
up	RB	up
by	IN	by
their	PP$	their
bootstraps	NNS	bootstrap
and	CC	and
guide	VB	guide
them	PP	them
through	IN	through
life	NN	life
.	SENT	.
they	PP	they
're	VBP	be
so	RB	so
adorable	JJ	adorable
.	SENT	.
of	IN	of
course	NN	course
the	DT	the
blame	NN	blame
ca	MD	ca
n't	RB	n't
all	RB	all
be	VB	be
hoisted	VBN	hoist
onto	IN	onto
the	DT	the
actors	NNS	actor
(	(	(
though	IN	though
with	IN	with
the	DT	the
exception	NN	exception
of	IN	of
the	DT	the
little	JJ	little
kid	NN	kid
,	,	,
they	PP	they
probably	RB	probably
should	MD	should
have	VB	have
known	VBN	know
better	RBR	well
)	)	)
,	,	,
instead	RB	instead
the	DT	the
brunt	NN	brunt
of	IN	of
it	PP	it
should	MD	should
be	VB	be
passed	VBN	pass
on	IN	on
to	TO	to
mimi	NP	mimi
leder	NP	Leder
,	,	,
who	WP	who
directed	VBD	direct
one	CD	one
of	IN	of
the	DT	the
most	RBS	most
thrilling	JJ	thrilling
episodes	NNS	episode
of	IN	of
er	NNS	<unknown>
,	,	,
then	RB	then
went	VBD	go
on	RP	on
to	TO	to
make	VB	make
two	CD	two
awful	JJ	awful
genre	NN	genre
films	NNS	film
in	IN	in
a	DT	a
row	NN	row
.	SENT	.
the	DT	the
first	JJ	first
being	VBG	be
the	DT	the
peacemaker	NN	peacemaker
,	,	,
a	DT	a
witless	JJ	witless
post-cold	NN	<unknown>
war	NN	war
george	NN	<unknown>
clooney	NN	<unknown>
vehicle	NN	vehicle
,	,	,
and	CC	and
deep	JJ	deep
impact	NN	impact
,	,	,
one	CD	one
of	IN	of
the	DT	the
two	CD	two
films	NNS	film
of	IN	of
1998	CD	@card@
to	TO	to
squander	VB	squander
the	DT	the
premise	NN	premise
of	IN	of
earth	NN	earth
's	POS	's
possible	JJ	possible
demise	NN	demise
by	IN	by
a	DT	a
crazed	JJ	crazed
meteorite	NN	meteorite
.	SENT	.
the	DT	the
first	JJ	first
flick	NN	flick
was	VBD	be
sunk	VBN	sink
by	IN	by
an	DT	an
over	IN	over
reliance	NN	reliance
on	IN	on
clich	NN	<unknown>
?	SENT	?
s	NNS	<unknown>
,	,	,
and	CC	and
a	DT	a
complete	JJ	complete
absence	NN	absence
of	IN	of
any	DT	any
kind	NN	kind
of	IN	of
emotional	JJ	emotional
involvement	NN	involvement
,	,	,
not	RB	not
aided	VBN	aid
by	IN	by
an	DT	an
ending	NN	ending
which	WDT	which
actually	RB	actually
centered	VBD	center
around	RP	around
the	DT	the
diffusing	VBG	diffuse
of	IN	of
a	DT	a
ticking	VBG	tick
time	NN	time
bomb	NN	bomb
complete	JJ	complete
with	IN	with
digital	JJ	digital
read	NN	read
out	IN	out
(	(	(
apparently	RB	apparently
present	JJ	present
for	IN	for
an	DT	an
invisible	JJ	invisible
audience	NN	audience
)	)	)
.	SENT	.
deep	JJ	deep
impact	NN	impact
has	VBZ	have
more	JJR	more
in	IN	in
common	JJ	common
with	IN	with
pay	VB	pay
it	PP	it
forward	RB	forward
;	:	;
it	PP	it
's	VBZ	be
a	DT	a
movie	NN	movie
that	WDT	that
treats	VBZ	treat
earth	NN	earth
's	POS	's
impending	JJ	impending
destruction	NN	destruction
in	IN	in
awfully	RB	awfully
simplistic	JJ	simplistic
terms	NNS	term
,	,	,
completely	RB	completely
ignoring	VBG	ignore
the	DT	the
havoc	NN	havoc
that	WDT	that
would	MD	would
so	RB	so
obviously	RB	obviously
take	VB	take
place	NN	place
if	IN	if
the	DT	the
world	NN	world
believed	VBD	believe
its	PP$	its
planet	NN	planet
would	MD	would
be	VB	be
a	DT	a
goner	NN	goner
within	IN	within
days	NNS	day
.	SENT	.
the	DT	the
film	NN	film
was	VBD	be
full	JJ	full
of	IN	of
inspirational	JJ	inspirational
speeches	NNS	speech
where	WRB	where
people	NNS	people
really	RB	really
said	VBD	say
nothing	NN	nothing
,	,	,
though	IN	though
the	DT	the
sappy	JJ	sappy
score	NN	score
swelled	VBD	swell
up	RP	up
to	TO	to
make	VB	make
it	PP	it
appear	VB	appear
as	RB	as
if	IN	if
they	PP	they
were	VBD	be
being	VBG	be
profoundly	RB	profoundly
touching	JJ	touching
.	SENT	.
in	IN	in
pay	VB	pay
it	PP	it
forward	JJ	forward
leder	NN	<unknown>
continues	VBZ	continue
in	IN	in
this	DT	this
vein	NN	vein
with	IN	with
her	PP$	her
intermittent	JJ	intermittent
dollops	NNS	dollop
of	IN	of
cynicism	NN	cynicism
seeming	VBG	seem
almost	RB	almost
like	IN	like
a	DT	a
rebuttal	NN	rebuttal
:	:	:
"	``	"
see	VB	see
my	PP$	my
movie	NN	movie
is	VBZ	be
n't	RB	n't
as	RB	as
na	TO	na
?	SENT	?
ve	NNS	<unknown>
as	IN	as
you	PP	you
might	MD	might
think	VB	think
"	''	"
she	PP	she
seems	VBZ	seem
to	TO	to
be	VB	be
saying	VBG	say
.	SENT	.
no	UH	no
,	,	,
it	PP	it
's	VBZ	be
just	RB	just
horribly	RB	horribly
confused	VBN	confuse
.	SENT	.
