there	EX	there
for	IN	for
the	DT	the
rest	NN	rest
of	IN	of
the	DT	the
year	NN	year
are	VBP	be
safe	JJ	safe
;	:	;
i	NNS	i
've	VBP	have
already	RB	already
got	VBN	get
my	PP$	my
pick	NN	pick
for	IN	for
worst	JJS	bad
film	NN	film
of	IN	of
'99	NN	<unknown>
.	SENT	.
"	``	"
jawbreaker	NN	jawbreaker
"	''	"
runs	VBZ	run
approximately	RB	approximately
90	CD	@card@
minutes	NNS	minute
,	,	,
though	IN	though
it	PP	it
feels	VBZ	feel
longer	RBR	longer
than	IN	than
"	``	"
titanic	JJ	titanic
"	''	"
,	,	,
and	CC	and
is	VBZ	be
rated	VBN	rate
r	NN	r
for	IN	for
language	NN	language
,	,	,
sexual	JJ	sexual
situations	NNS	situation
and	CC	and
graphic	JJ	graphic
violence	NN	violence
.	SENT	.
not	RB	not
recommended	VBN	recommend
for	IN	for
kids	NNS	kid
,	,	,
teens	NNS	teen
,	,	,
or	CC	or
anyone	NN	anyone
else	RB	else
.	SENT	.
