when	WRB	when
a	DT	a
god	NN	god
and	CC	and
all	RB	all
,	,	,
but	CC	but
not	RB	not
in	IN	in
this	DT	this
one	CD	one
,	,	,
though	IN	though
he	PP	he
has	VBZ	have
a	DT	a
couple	JJ	couple
good	JJ	good
moments	NNS	moment
)	)	)
is	VBZ	be
working	VBG	work
on	IN	on
new	JJ	new
year	NN	year
's	POS	's
eve	NN	eve
for	IN	for
his	PP$	his
first	JJ	first
shift	NN	shift
(	(	(
!	SENT	!
!	SENT	!
!	SENT	!
)	)	)
in	IN	in
an	DT	an
old	JJ	old
fancy	JJ	fancy
hotel	NN	hotel
.	SENT	.
he	PP	he
's	VBZ	be
the	DT	the
only	JJ	only
one	CD	one
there	RB	there
(	(	(
again	RB	again
:	:	:
!	SENT	!
!	SENT	!
!	SENT	!
)	)	)
and	CC	and
he	PP	he
only	RB	only
has	VBZ	have
a	DT	a
couple	NN	couple
rooms	NNS	room
(	(	(
yet	RB	yet
again	RB	again
:	:	:
!	SENT	!
!	SENT	!
!	SENT	!
)	)	)
.	SENT	.
the	DT	the
old	JJ	old
bellhop	NN	bellhop
(	(	(
the	DT	the
seemingly	RB	seemingly
immortal	JJ	immortal
marc	NN	marc
lawrence	NN	<unknown>
-	:	-
who	WP	who
hated	VBD	hate
pulp	NN	pulp
fiction	NN	fiction
actually	RB	actually
)	)	)
hands	NNS	hand
over	IN	over
his	PP$	his
cap	NN	cap
to	TO	to
ted	VB	ted
and	CC	and
he	PP	he
goes	VBZ	go
to	TO	to
his	PP$	his
job	NN	job
happily	RB	happily
.	SENT	.
as	IN	as
the	DT	the
night	NN	night
goes	VBZ	go
on	IN	on
,	,	,
he	PP	he
becomes	VBZ	become
increasingly	RB	increasingly
annoyed	JJ	annoyed
and	CC	and
hostile	JJ	hostile
.	SENT	.
yea	NN	yea
.	SENT	.
(	(	(
the	DT	the
short	JJ	short
films	NNS	film
are	VBP	be
presented	VBN	present
in	IN	in
order	NN	order
,	,	,
btw	NN	<unknown>
)	)	)
:	:	:
the	DT	the
missing	JJ	missing
ingredient	NN	ingredient
writer/	NN	<unknown>
director	NN	director
:	:	:
allison	NN	<unknown>
anders	NNS	<unknown>
starring	VBG	star
:	:	:
sammi	NP	Sammi
davis	NP	Davis
,	,	,
amanda	NN	<unknown>
decadenet	NN	<unknown>
,	,	,
valeria	NN	<unknown>
golino	NN	<unknown>
,	,	,
madonna	NP	Madonna
,	,	,
ione	NN	<unknown>
skye	NN	<unknown>
,	,	,
lili	NP	Lili
taylor	NP	Taylor
,	,	,
alicia	NP	Alicia
witt	NP	Witt
this	DT	this
one	CD	one
starts	VBZ	start
it	PP	it
off	RP	off
horribly	RB	horribly
with	IN	with
no	DT	no
plot	NN	plot
,	,	,
no	DT	no
intrigue	NN	intrigue
,	,	,
and	CC	and
crap	NN	crap
dialogue	NN	dialogue
.	SENT	.
the	DT	the
situation	NN	situation
is	VBZ	be
so	RB	so
terrible	JJ	terrible
that		IN	that
it	PP	it
's	VBZ	be
physically	RB	physically
painful	JJ	painful
to	TO	to
watch	VB	watch
.	SENT	.
the	DT	the
plot	NN	plot
has	VBZ	have
something	NN	something
to	TO	to
do	VB	do
with	IN	with
a	DT	a
coven	NN	coven
of	IN	of
witches	NNS	witch
needing	VBG	need
sperm	NN	sperm
to	TO	to
bring	VB	bring
back	RB	back
a	DT	a
godess	NN	<unknown>
who	WP	who
is	VBZ	be
(	(	(
gasp	NN	gasp
!	SENT	!
)	)	)
stuck	VBD	stick
inside	IN	inside
some	DT	some
object	NN	object
in	IN	in
their	PP$	their
hotel	NN	hotel
room	NN	room
.	SENT	.
the	DT	the
witch	NN	witch
that	WDT	that
was	VBD	be
supposed	VBN	suppose
to	TO	to
bring	VB	bring
it	PP	it
(	(	(
ione	NN	<unknown>
skye	NN	<unknown>
)	)	)
calls	VBZ	call
up	RB	up
ted	VB	ted
and	CC	and
asks	VBZ	ask
him	PP	him
if	IN	if
she	PP	she
can	MD	can
perform	VB	perform
fellatio	NN	fellatio
on	IN	on
him	PP	him
to	TO	to
get	VB	get
it	PP	it
.	SENT	.
yeah	RB	yeah
,	,	,
that	WDT	that
's	VBZ	be
what	WP	what
i	NP	i
said	VBD	say
.	SENT	.
stupid	JJ	stupid
plot	NN	plot
,	,	,
inane	JJ	inane
characters	NNS	character
who	WP	who
are	VBP	be
n't	RB	n't
interesting	JJ	interesting
at	IN	at
all	DT	all
,	,	,
etc	FW	etc
,	,	,
etc	FW	etc
,	,	,
etc	FW	etc
.	SENT	.
the	DT	the
only	JJ	only
good	JJ	good
thing	NN	thing
about	IN	about
this	DT	this
is	VBZ	be
it	PP	it
has	VBZ	have
a	DT	a
good	JJ	good
cast	NN	cast
which	WDT	which
,	,	,
in	IN	in
turn	NN	turn
,	,	,
it	PP	it
wastes	VBZ	waste
pitifully	RB	pitifully
.	SENT	.
not	RB	not
even	RB	even
actually	RB	actually
funny	JJ	funny
for	IN	for
a	DT	a
second	NN	second
.	SENT	.
my	PP$	my
rating	NN	rating
(	(	(
out	RB	out
of	IN	of
5	CD	5
)	)	)
:	:	:
no	DT	no
stars	NNS	star
!	SENT	!
!	SENT	!
!	SENT	!
!	SENT	!
the	DT	the
wrong	JJ	wrong
man	NN	man
writer/	NN	<unknown>
director	NN	director
:	:	:
alexandre	NP	Alexandre
rockwell	NP	Rockwell
starring	VBG	star
:	:	:
david	JJ	<unknown>
proval	NN	<unknown>
,	,	,
jennifer	NN	<unknown>
beals	NNS	<unknown>
and	CC	and
laurence	NN	<unknown>
bender	NN	bender
another	DT	another
bad	JJ	bad
little	JJ	little
film	NN	film
with	IN	with
another	DT	another
stupid	JJ	stupid
sex	NN	sex
thing	NN	thing
going	VBG	go
on	IN	on
.	SENT	.
ted	VB	ted
stumbles	NNS	stumble
into	IN	into
the	DT	the
wrong	JJ	wrong
room	NN	room
or	CC	or
something	NN	something
and	CC	and
gets	VBZ	get
in	IN	in
the	DT	the
middle	NN	middle
of	IN	of
a	DT	a
couple	NN	couple
(	(	(
david	JJ	<unknown>
proval	NN	<unknown>
and	CC	and
jennifer	NN	<unknown>
beals	NNS	<unknown>
in	IN	in
her	PP$	her
attempt	NN	attempt
at	IN	at
"	``	"
coming	VBG	come
back	RB	back
"	''	"
)	)	)
who	WP	who
are	VBP	be
playing	VBG	play
sex	NN	sex
games	NNS	game
.	SENT	.
ted	VB	ted
tries	NNS	try
to	TO	to
escape	VB	escape
and	CC	and
we	PP	we
cheer	VBP	cheer
him	PP	him
on	IN	on
so	RB	so
it	PP	it
will	MD	will
end	VB	end
soon	RB	soon
.	SENT	.
but	CC	but
at	IN	at
least	JJS	least
this	DT	this
has	VBZ	have
a	DT	a
bit	NN	bit
of	IN	of
comedy	NN	comedy
in	IN	in
it	PP	it
,	,	,
just	RB	just
not	RB	not
that		IN	that
much	RB	much
.	SENT	.
and	CC	and
david	JJ	<unknown>
proval	NN	<unknown>
has	VBZ	have
never	RB	never
overacted	VBN	overact
as	RB	as
much	RB	much
.	SENT	.
and	CC	and
it	PP	it
's	VBZ	be
"	``	"
pulp	NN	pulp
fiction	NN	fiction
"	''	"
producer	NN	producer
laurence	NN	<unknown>
bender	NN	bender
who	WP	who
gets	VBZ	get
to	TO	to
puke	VB	puke
from	IN	from
a	DT	a
window	NN	window
.	SENT	.
a	DT	a
masterpiece	NN	masterpiece
compared	VBN	compare
to	TO	to
the	DT	the
first	JJ	first
one	CD	one
,	,	,
but	CC	but
still	RB	still
.	SENT	.
.	SENT	.
.	SENT	.
the	DT	the
misbehavers	NNS	misbehaver
writer/	NN	<unknown>
director	NN	director
:	:	:
robert	NP	Robert
rodriguez	NP	Rodriguez
starring	VBG	star
:	:	:
antonio	NN	<unknown>
banderes	NNS	<unknown>
,	,	,
tamlyn	NP	<unknown>
tomita	NP	Tomita
,	,	,
lana	NN	<unknown>
mckissack	NN	<unknown>
,	,	,
danny	NN	danny
verduzco	NN	<unknown>
,	,	,
salma	NP	Salma
hayek	NP	Hayek
would	MD	would
a	DT	a
robert	JJ	<unknown>
rodriguez	NN	<unknown>
film	NN	film
be	VB	be
the	DT	the
same	JJ	same
without	IN	without
salma	NP	Salma
hayek	NP	Hayek
's	POS	's
navel	NN	navel
?	SENT	?
nope	NN	<unknown>
.	SENT	.
luckily	RB	luckily
she	PP	she
's	VBZ	be
on	IN	on
the	DT	the
tv	NN	tv
dancing	VBG	dance
so	IN	so
we	PP	we
get	VBP	get
to	TO	to
see	VB	see
her	PP	her
.	SENT	.
surprisingly	RB	surprisingly
enough	RB	enough
,	,	,
when	WRB	when
i	NP	i
read	VBD	read
the	DT	the
screenplay	NN	screenplay
(	(	(
about	IN	about
a	DT	a
year	NN	year
before	IN	before
actually	RB	actually
seeing	VBG	see
it	PP	it
)	)	)
,	,	,
this	DT	this
one	CD	one
seemed	VBD	seem
to	TO	to
have	VB	have
the	DT	the
most	RBS	most
potential	JJ	potential
.	SENT	.
it	PP	it
was	VBD	be
fast-paced	JJ	fast-paced
,	,	,
funny	JJ	funny
,	,	,
and	CC	and
well	RB	well
,	,	,
funny	JJ	funny
.	SENT	.
but	CC	but
when	WRB	when
i	NP	i
watched	VBD	watch
it	PP	it
,	,	,
it	PP	it
seemed	VBD	seem
anti-climactic	JJ	anti-climactic
and	CC	and
only	RB	only
seemed	VBD	seem
to	TO	to
gain	VB	gain
any	DT	any
momentum	NN	momentum
towards	IN	towards
the	DT	the
end	NN	end
when	WRB	when
everything	NN	everything
happened	VBD	happen
at	IN	at
once	RB	once
.	SENT	.
antonio	NP	Antonio
overacts	VBZ	overact
nicely	RB	nicely
and	CC	and
the	DT	the
two	CD	two
kids	NNS	kid
(	(	(
lana	NN	<unknown>
and	CC	and
danny	NN	danny
)	)	)
are	VBP	be
funny	JJ	funny
.	SENT	.
but	CC	but
,	,	,
as	IN	as
i	NP	i
said	VBD	say
,	,	,
it	PP	it
moves	VBZ	move
slowly	RB	slowly
and	CC	and
in	IN	in
that	DT	that
way	NN	way
,	,	,
it	PP	it
's	VBZ	be
more	RBR	more
painful	JJ	painful
than	IN	than
funny	JJ	funny
.	SENT	.
but	CC	but
the	DT	the
ending	VBG	end
was	VBD	be
stupid	JJ	stupid
and	CC	and
funny	JJ	funny
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
.	SENT	.
oh	UH	oh
!	SENT	!
the	DT	the
plot	NN	plot
:	:	:
antonio	NP	Antonio
is	VBZ	be
a	DT	a
supposed	JJ	supposed
gangster	NN	gangster
(	(	(
assumed	VBN	assume
,	,	,
really	RB	really
)	)	)
who	WP	who
leaves	VBZ	leave
his	PP$	his
two	CD	two
troubling	JJ	troubling
kids	NNS	kid
home	NN	home
while	IN	while
he	PP	he
and	CC	and
his	PP$	his
wife	NN	wife
(	(	(
tomita	NN	<unknown>
)	)	)
go	VBP	go
out	RP	out
to	TO	to
get	VB	get
drunk	JJ	drunk
at	IN	at
a	DT	a
new	JJ	new
year	NN	year
's	POS	's
party	NN	party
.	SENT	.
antonio	NN	<unknown>
hires	NNS	hire
ted	VBP	ted
for	IN	for
a	DT	a
couple	NN	couple
bucks	VBZ	buck
to	TO	to
watch	VB	watch
his	PP$	his
kids	NNS	kid
all	DT	all
night	NN	night
long	RB	long
,	,	,
but	CC	but
things	NNS	thing
go	VBP	go
wrong	JJ	wrong
.	SENT	.
.	SENT	.
.	SENT	.
it	PP	it
was	VBD	be
okay	JJ	okay
.	SENT	.
the	DT	the
man	NN	man
from	IN	from
hollywood	NN	<unknown>
writer/	NN	<unknown>
director	NN	director
:	:	:
quentin	NN	<unknown>
tarantino	NN	<unknown>
starring	VBG	star
:	:	:
quentin	NN	<unknown>
tarantino	NN	<unknown>
,	,	,
bruce	NN	<unknown>
willis	NNS	<unknown>
,	,	,
paul	NN	<unknown>
calderon	NN	<unknown>
and	CC	and
jennifer	NN	<unknown>
beals	NNS	<unknown>
(	(	(
again	RB	again
)	)	)
ironically	RB	ironically
,	,	,
this	DT	this
one	CD	one
could	MD	could
be	VB	be
considered	VBN	consider
the	DT	the
best	JJS	good
for	IN	for
a	DT	a
bad	JJ	bad
reason	NN	reason
:	:	:
it	PP	it
best	VBP	best
represents	VBZ	represent
what	WP	what
quentin	NN	<unknown>
has	VBZ	have
done	VBN	do
with	IN	with
this	DT	this
film	NN	film
.	SENT	.
he	PP	he
plays	VBZ	play
chester	NN	<unknown>
,	,	,
a	DT	a
spoiled	JJ	spoiled
brat	NN	brat
actor	NN	actor
or	CC	or
something	NN	something
who	WP	who
has	VBZ	have
just	RB	just
had	VBN	have
a	DT	a
huge	JJ	huge
box-office	NN	box-office
hit	VBN	hit
on	IN	on
his	PP$	his
hands	NNS	hand
and	CC	and
is	VBZ	be
living	VBG	live
it	PP	it
up	RP	up
by	IN	by
playing	VBG	play
an	DT	an
anti-climactic	JJ	anti-climactic
game	NN	game
from	IN	from
a	DT	a
hitchcock	NN	<unknown>
tv	NN	tv
episode	NN	episode
starring	VBG	star
steve	NN	<unknown>
mcqueen	NNS	<unknown>
and	CC	and
peter	NN	peter
lorre	NNS	<unknown>
where	WRB	where
they	PP	they
gamble	VBP	gamble
to	TO	to
see	VB	see
if	IN	if
one	CD	one
of	IN	of
them	PP	them
can	MD	can
get	VB	get
light	NN	light
from	IN	from
his	PP$	his
lighter	JJR	light
ten	NN	ten
times	NNS	time
in	IN	in
a	DT	a
row	NN	row
.	SENT	.
they	PP	they
're	VBP	be
drunk	JJ	drunk
and	CC	and
need	VBP	need
sober	JJ	sober
but	CC	but
nervous	JJ	nervous
ted	VBP	ted
to	TO	to
hold	VB	hold
the	DT	the
cleaver	NN	cleaver
and	CC	and
bring	VB	bring
it	PP	it
down	RP	down
if	IN	if
the	DT	the
lighter	NN	lighter
does	VBZ	do
n't	RB	n't
light	JJ	light
.	SENT	.
they	PP	they
also	RB	also
pay	VBP	pay
him	PP	him
a	DT	a
lot	NN	lot
of	IN	of
cash	NN	cash
.	SENT	.
this	DT	this
is	VBZ	be
so	RB	so
much	RB	much
exactly	RB	exactly
what	WP	what
this	DT	this
little	JJ	little
film	NN	film
is	VBZ	be
about	RB	about
that		IN	that
it	PP	it
's	VBZ	be
campy	NN	campy
.	SENT	.
tim	NN	<unknown>
roth	NNS	<unknown>
was	VBD	be
probably	RB	probably
payed	VBN	pay
a	DT	a
lot	NN	lot
of	IN	of
money	NN	money
to	TO	to
do	VB	do
this	DT	this
stupid	JJ	stupid
part	NN	part
in	IN	in
this	DT	this
stupid	JJ	stupid
film	NN	film
made	VBN	make
by	IN	by
a	DT	a
bunch	NN	bunch
of	IN	of
people	NNS	people
who	WP	who
are	VBP	be
high	JJ	high
on	IN	on
themselves	PP	themselves
'cause	IN	because
they	PP	they
've	VBP	have
had	VBD	have
hits	NNS	hit
,	,	,
major	JJ	major
or	CC	or
minor	JJ	minor
.	SENT	.
it	PP	it
took	VBD	take
quentin	NN	<unknown>
to	TO	to
realize	VB	realize
that	DT	that
.	SENT	.
but	CC	but
the	DT	the
thing	NN	thing
is	VBZ	be
,	,	,
it	PP	it
does	VBZ	do
n't	RB	n't
seem	VB	seem
like	IN	like
he	PP	he
realizes	VBZ	realize
that	DT	that
.	SENT	.
if	IN	if
he	PP	he
did	VBD	do
,	,	,
i	NP	i
'd	MD	will
give	VB	give
this	DT	this
a	DT	a
good	JJ	good
3	CD	3
stars	NNS	star
.	SENT	.
but	CC	but
this	DT	this
sucked	VBD	suck
.	SENT	.
it	PP	it
was	VBD	be
anti-climactic	JJ	anti-climactic
and	CC	and
the	DT	the
dialogue	NN	dialogue
was	VBD	be
n't	RB	n't
very	RB	very
good	JJ	good
.	SENT	.
he	PP	he
starts	VBZ	start
off	RP	off
with	IN	with
a	DT	a
very	RB	very
long	JJ	long
steadicam	NN	<unknown>
shot	NN	shot
then	RB	then
goes	VBZ	go
to	TO	to
flashes	NNS	flash
.	SENT	.
that		IN	that
makes	VBZ	make
no	DT	no
sense	NN	sense
.	SENT	.
it	PP	it
's	VBZ	be
cool	JJ	cool
for	IN	for
a	DT	a
while	NN	while
,	,	,
then	RB	then
he	PP	he
makes	VBZ	make
it	PP	it
uneven	JJ	uneven
.	SENT	.
it	PP	it
's	VBZ	be
long	JJ	long
and	CC	and
it	PP	it
's	VBZ	be
just	RB	just
not	RB	not
very	RB	very
good	JJ	good
.	SENT	.
hopefully	RB	hopefully
quentin	NN	<unknown>
never	RB	never
repeats	VBZ	repeat
what	WP	what
he	PP	he
did	VBD	do
with	IN	with
this	DT	this
one	CD	one
.	SENT	.
conclusion	NN	conclusion
:	:	:
what	WP	what
's	VBZ	be
the	DT	the
moral	JJ	moral
here	RB	here
?	SENT	?
if	IN	if
you	PP	you
've	VBP	have
made	VBN	make
celebrated	JJ	celebrated
films	NNS	film
,	,	,
do	VBP	do
n't	RB	n't
do	VB	do
an	DT	an
ensemble	NN	ensemble
piece	NN	piece
.	SENT	.
they	PP	they
should	MD	should
have	VB	have
re-watched	VBN	<unknown>
"	''	"
new	JJ	new
york	VBP	york
stories	NNS	storey
"	``	"
and	CC	and
then	RB	then
stopped	VBN	stop
in	IN	in
their	PP$	their
tracks	NNS	track
.	SENT	.
none	NN	none
of	IN	of
these	DT	these
have	VBP	have
any	DT	any
point	NN	point
to	TO	to
them	PP	them
and	CC	and
they	PP	they
're	VBP	be
embarrassing	VBG	embarrass
to	TO	to
not	RB	not
only	RB	only
the	DT	the
writer/	JJ	<unknown>
directors	NNS	director
,	,	,
but	CC	but
to	TO	to
the	DT	the
actors	NNS	actor
'cause	IN	because
they	PP	they
're	VBP	be
working	VBG	work
with	IN	with
crap	NN	crap
.	SENT	.
but	CC	but
i	NP	i
will	MD	will
forgive	VB	forgive
everyone	NN	everyone
involved	VBN	involve
and	CC	and
i	NP	i
especially	RB	especially
look	VBP	look
forward	RB	forward
to	TO	to
quentin	NN	<unknown>
's	POS	's
next	JJ	next
directing	NN	directing
job	NN	job
(	(	(
even	RB	even
though	IN	though
he	PP	he
and	CC	and
rodriguez	NP	Rodriguez
jumped	VBD	jump
back	RB	back
to	TO	to
the	DT	the
top	JJ	top
immeadiately	NN	<unknown>
with	IN	with
the	DT	the
cool	NN	cool
"	''	"
from	IN	from
dusk	NN	dusk
till	IN	till
dawn	NN	dawn
,	,	,
"	''	"
which	WDT	which
i	NP	i
found	VBD	find
exhilerating	VBG	<unknown>
)	)	)
.	SENT	.
i	NP	i
love	NN	love
quentin	NN	<unknown>
and	CC	and
i	NP	i
suppose	VBP	suppose
it	PP	it
's	VBZ	be
good	JJ	good
he	PP	he
made	VBD	make
"	``	"
the	DT	the
man	NN	man
from	IN	from
hollywood	NN	<unknown>
"	''	"
because	IN	because
it	PP	it
makes	VBZ	make
him	PP	him
seem	VBP	seem
more	RBR	more
realistic	JJ	realistic
and	CC	and
not	RB	not
some	DT	some
"	``	"
god	NN	god
of	IN	of
cinema	NN	cinema
.	SENT	.
"	''	"
i	NNS	i
seem	VBP	seem
to	TO	to
respect	VB	respect
directors	NNS	director
if	IN	if
they	PP	they
are	VBP	be
n't	RB	n't
"	``	"
gods	NNS	god
"	''	"
and	CC	and
are	VBP	be
actually	RB	actually
human	JJ	human
beings	NNS	being
who	WP	who
make	VBP	make
mistakes	NNS	mistake
.	SENT	.
"	''	"
the	DT	the
man	NN	man
from	IN	from
hollywood	NN	<unknown>
"	``	"
is	VBZ	be
his	PP$	his
big	JJ	big
mistake	NN	mistake
and	CC	and
let	NN	let
's	POS	's
hope	NN	hope
he	PP	he
does	VBZ	do
n't	RB	n't
return	VB	return
her	PP	her
continuously	RB	continuously
.	SENT	.
