one	CD	one
dalle	NN	<unknown>
,	,	,
arrested	VBN	arrest
twice	RB	twice
for	IN	for
cocaine	NN	cocaine
possession	NN	possession
during	IN	during
filming	VBG	film
of	IN	of
the	DT	the
blackout	NN	blackout
--	:	--
not	RB	not
that		IN	that
you	PP	you
needed	VBD	need
to	TO	to
know	VB	know
that		IN	that
,	,	,
but	CC	but
it	PP	it
lends	VBZ	lend
credence	NN	credence
to	TO	to
the	DT	the
idea	NN	idea
that		IN	that
ferrara	NP	Ferrara
's	POS	's
entire	JJ	entire
oeuvre	NN	oeuvre
has	VBZ	have
been	VBN	be
filmed	VBN	film
in	IN	in
a	DT	a
fucking	VBG	fuck
blackout	NN	blackout
.	SENT	.
no	RB	no
kidding	VBG	kid
.	SENT	.
requiem	NN	requiem
for	IN	for
a	DT	a
dream	NN	dream
has	VBZ	have
nothing	NN	nothing
on	IN	on
the	DT	the
junkie	NN	junkie
presentations	NNS	presentation
seen	VBN	see
in	IN	in
ferrara	NP	Ferrara
's	POS	's
movies	NNS	movie
and	CC	and
his	PP$	his
controversial	JJ	controversial
urban	JJ	urban
lifestyle	NN	lifestyle
.	SENT	.
matty	NN	<unknown>
and	CC	and
annie	NN	<unknown>
struggle	NN	struggle
over	IN	over
her	PP$	her
decision	NN	decision
to	TO	to
have	VB	have
an	DT	an
abortion	NN	abortion
without	IN	without
consulting	VBG	consult
him	PP	him
.	SENT	.
no	DT	no
doubt	NN	doubt
,	,	,
he	PP	he
was	VBD	be
off	RB	off
chasing	VBG	chase
the	DT	the
dragon	NN	dragon
.	SENT	.
in	IN	in
his	PP$	his
despair	NN	despair
,	,	,
matty	NN	<unknown>
indulges	VBZ	indulge
in	IN	in
a	DT	a
chemical	NN	chemical
induced	VBD	induce
weekend	NN	weekend
of	IN	of
debauchery	NN	debauchery
,	,	,
tooling	NN	tooling
around	IN	around
the	DT	the
streets	NNS	street
of	IN	of
miami	NNS	<unknown>
with	IN	with
video	JJ	video
filmmaker	NP	filmmaker
mickey	NN	mickey
wayne	NN	<unknown>
(	(	(
dennis	NN	<unknown>
hopper	NN	hopper
,	,	,
in	IN	in
full	JJ	full
"	``	"
dirty	JJ	dirty
ol	NN	<unknown>
'	POS	'
man	NN	man
"	''	"
mold	NN	mold
smacking	VBG	smack
models	NNS	model
on	IN	on
the	DT	the
ass	NN	ass
and	CC	and
telling	VBG	tell
them	PP	them
to	TO	to
spread	VB	spread
their	PP$	their
legs	NNS	leg
.	SENT	.
wider	JJR	wide
!	SENT	!
)	)	)
toward	IN	toward
the	DT	the
end	NN	end
of	IN	of
the	DT	the
night	NN	night
,	,	,
they	PP	they
pick	VBP	pick
up	RP	up
a	DT	a
teenage	JJ	teenage
waitress	NN	waitress
also	RB	also
named	VBN	name
annie	NN	<unknown>
(	(	(
sarah	NN	<unknown>
lassez	NN	<unknown>
)	)	)
,	,	,
start	NN	start
shooting	VBG	shoot
a	DT	a
hastily	RB	hastily
improvised	VBN	improvise
sexual	JJ	sexual
scene	NN	scene
,	,	,
then	RB	then
matty	NN	<unknown>
thankfully	RB	thankfully
blacks	VBZ	black
out	RP	out
.	SENT	.
something	NN	something
happened	VBD	happen
that	DT	that
night	NN	night
which	WDT	which
haunts	VBZ	haunt
him	PP	him
throughout	IN	throughout
the	DT	the
rest	NN	rest
of	IN	of
the	DT	the
movie	NN	movie
,	,	,
and	CC	and
it	PP	it
's	VBZ	be
exactly	RB	exactly
what	WP	what
you	PP	you
think	VBP	think
it	PP	it
was	VBD	be
.	SENT	.
suffice	VB	suffice
to	TO	to
say	VB	say
,	,	,
there	EX	there
's	VBZ	be
some	DT	some
confusion	NN	confusion
over	IN	over
whether	IN	whether
he	PP	he
killed	VBD	kill
annie	NP	Annie
one	CD	one
or	CC	or
annie	NP	Annie
two	CD	two
,	,	,
or	CC	or
anyone	NN	anyone
at	IN	at
all	DT	all
.	SENT	.
the	DT	the
blackout	NN	blackout
is	VBZ	be
typical	JJ	typical
ferrara	NN	<unknown>
:	:	:
no	DT	no
plot	NN	plot
to	TO	to
speak	VB	speak
of	IN	of
,	,	,
plenty	NN	plenty
of	IN	of
raunch	NN	raunch
,	,	,
and	CC	and
horribly	RB	horribly
vogue	JJ	vogue
images	NNS	image
of	IN	of
matthew	JJ	<unknown>
modine	NN	<unknown>
downing	VBG	down
a	DT	a
bottle	NN	bottle
of	IN	of
jack	NN	jack
daniels	NNS	Daniel
and	CC	and
a	DT	a
beer	NN	beer
while	IN	while
wrapping	VBG	wrap
himself	PP	himself
in	IN	in
a	DT	a
see-through	JJ	see-through
curtain	NN	curtain
in	IN	in
his	PP$	his
hotel	NN	hotel
room	NN	room
by	IN	by
the	DT	the
sea	NN	sea
,	,	,
by	IN	by
the	DT	the
sea	NN	sea
,	,	,
by	IN	by
the	DT	the
beautiful	JJ	beautiful
sea	NN	sea
.	SENT	.
cinematographer	NN	cinematographer
ken	NN	ken
kelsch	NN	<unknown>
finds	VBZ	find
inconsistent	JJ	inconsistent
glory	NN	glory
in	IN	in
alternating	VBG	alternate
gorgeous	JJ	gorgeous
painterly	JJ	painterly
sunsets	NNS	sunset
with	IN	with
docu-style	JJ	<unknown>
sleaze	NN	sleaze
(	(	(
and	CC	and
we	PP	we
're	VBP	be
back	RB	back
to	TO	to
dennis	NN	<unknown>
hopper	NN	hopper
leering	VBG	leer
at	IN	at
girls	NNS	girl
in	IN	in
bathing	VBG	bath
suits	NNS	suit
.	SENT	.
"	''	"
yeah	RB	yeah
!	SENT	!
!	SENT	!
!	SENT	!
yeah	RB	yeah
!	SENT	!
!	SENT	!
!	SENT	!
arrrghhh	NN	<unknown>
!	SENT	!
"	''	"
says	VBZ	say
mr	NN	Mr
.	SENT	.
hopper	NN	hopper
.	SENT	.
dirty	JJ	dirty
old	JJ	old
sod	NN	sod
.	SENT	.
)	)	)
it	PP	it
's	VBZ	be
compulsive	JJ	compulsive
viewing	NN	viewing
in	IN	in
a	DT	a
tacky	JJ	tacky
sort	NN	sort
of	IN	of
way	NN	way
,	,	,
leading	VBG	lead
to	TO	to
a	DT	a
ridiculous	JJ	ridiculous
climax	NN	climax
where	WRB	where
modine	NN	<unknown>
seizes	VBZ	seize
control	NN	control
of	IN	of
his	PP$	his
destiny	NN	destiny
.	SENT	.
how	WRB	how
's	VBZ	be
that		IN	that
for	IN	for
cryptic	JJ	cryptic
?	SENT	?
never	RB	never
fear	NN	fear
--	:	--
ferrara	NN	<unknown>
finds	VBZ	find
time	NN	time
for	IN	for
some	DT	some
female	JJ	female
full	JJ	full
frontal	JJ	frontal
nudity	NN	nudity
to	TO	to
remind	VB	remind
us	PP	us
what	WP	what
he	PP	he
's	VBZ	be
all	RB	all
about	RB	about
.	SENT	.
i	NP	i
can	MD	can
picture	VB	picture
it	PP	it
now	RB	now
.	SENT	.
"	''	"
take	VB	take
off	RP	off
yer	JJ	<unknown>
clothes	NNS	clothes
,	,	,
kid	NN	kid
--	:	--
it	PP	it
's	VBZ	be
essential	JJ	essential
to	TO	to
depict	VB	depict
the	DT	the
inner	JJ	inner
maelstrom	NN	maelstrom
of	IN	of
my	PP$	my
central	JJ	central
protagonist	NN	protagonist
,	,	,
and	CC	and
you	PP	you
're	VBP	be
his	PP$	his
visual	JJ	visual
id	NN	id
.	SENT	.
you	PP	you
're	VBP	be
the	DT	the
soul	NN	soul
,	,	,
the	DT	the
heart	NN	heart
,	,	,
the	DT	the
bloodstream	NN	bloodstream
of	IN	of
the	DT	the
picture	NN	picture
.	SENT	.
take	VB	take
it	PP	it
off	RP	off
!	SENT	!
take	VB	take
it	PP	it
all	DT	all
off	RP	off
!	SENT	!
!	SENT	!
!	SENT	!
ha	NP	ha
ha	NP	ha
ha	NP	ha
!	SENT	!
"	''	"
friggin	NP	<unknown>
'	POS	'
vampire	NN	vampire
.	SENT	.
yeah	RB	yeah
,	,	,
you	PP	you
,	,	,
ferrara	NP	Ferrara
.	SENT	.
a	DT	a
final	JJ	final
word	NN	word
about	IN	about
matthew	JJ	<unknown>
modine	NN	<unknown>
:	:	:
he	PP	he
's	VBZ	be
actually	RB	actually
a	DT	a
fine	JJ	fine
actor	NN	actor
when	WRB	when
properly	RB	properly
cast	VBN	cast
,	,	,
but	CC	but
there	EX	there
's	VBZ	be
something	NN	something
too	RB	too
squeaky-clean	JJ	squeaky-clean
in	IN	in
his	PP$	his
demeanor	NN	demeanor
.	SENT	.
he	PP	he
's	VBZ	be
ideally	RB	ideally
suited	VBN	suit
for	IN	for
sarcastic	JJ	sarcastic
men	NNS	man
in	IN	in
tightly	RB	tightly
controlled	VBN	control
situations	NNS	situation
,	,	,
such	JJ	such
as	IN	as
his	PP$	his
private	JJ	private
joker	NN	joker
in	IN	in
full	JJ	full
metal	NN	metal
jacket	NN	jacket
or	CC	or
the	DT	the
time-bomb	NN	time-bomb
nebbish	NN	<unknown>
in	IN	in
short	JJ	short
cuts	NNS	cut
(	(	(
who	WP	who
is	VBZ	be
every	DT	every
bit	NN	bit
as	IN	as
superb	JJ	superb
as	IN	as
julianne	NP	Julianne
moore	NP	Moore
in	IN	in
that	DT	that
famous	JJ	famous
scene	NN	scene
,	,	,
though	IN	though
no	DT	no
one	CD	one
seems	VBZ	seem
to	TO	to
notice	VB	notice
him	PP	him
)	)	)
.	SENT	.
[	SYM	[
he	PP	he
was	VBD	be
in	IN	in
that	DT	that
scene	NN	scene
?	SENT	?
-ed	JJ	<unknown>
.	SENT	.
]	SYM	]
here	RB	here
,	,	,
he	PP	he
's	VBZ	be
asked	VBN	ask
to	TO	to
let	VB	let
it	PP	it
all	DT	all
hang	VBP	hang
out	RP	out
,	,	,
sporting	VBG	sport
a	DT	a
three-day	JJ	three-day
stubble	NN	stubble
and	CC	and
oily	JJ	oily
bangs	NNS	bang
.	SENT	.
he	PP	he
throws	VBZ	throw
around	IN	around
furniture	NN	furniture
like	IN	like
stanley	NP	Stanley
kowalski	NP	Kowalski
,	,	,
but	CC	but
it	PP	it
's	VBZ	be
somehow	RB	somehow
lacking	VBG	lack
.	SENT	.
modine	NN	<unknown>
lacks	VBZ	lack
the	DT	the
feral	JJ	feral
intensity	NN	intensity
of	IN	of
brando	NN	<unknown>
,	,	,
entirely	RB	entirely
miscast	VBN	miscast
in	IN	in
ferrara	NP	Ferrara
's	POS	's
flesh	NN	flesh
fair	NN	fair
.	SENT	.
better	JJR	good
luck	NN	luck
next	JJ	next
time	NN	time
,	,	,
matt	NN	matt
.	SENT	.
someday	RB	someday
,	,	,
you	PP	you
'll	MD	will
be	VB	be
forgiven	VBN	forgive
for	IN	for
cutthroat	JJ	cutthroat
island	NN	island
,	,	,
which	WDT	which
was	VBD	be
n't	RB	n't
really	RB	really
your	PP$	your
fault	NN	fault
in	IN	in
the	DT	the
first	JJ	first
place	NN	place
.	SENT	.
maybe	RB	maybe
atom	NN	atom
egoyan	NN	<unknown>
will	MD	will
find	VB	find
a	DT	a
place	NN	place
for	IN	for
you	PP	you
somewhere	RB	somewhere
,	,	,
and	CC	and
all	DT	all
will	MD	will
once	RB	once
again	RB	again
be	VB	be
well	RB	well
in	IN	in
your	PP$	your
world	NN	world
.	SENT	.
