capsule	NN	capsule
been	VBN	be
reversed	VBN	reverse
,	,	,
not	RB	not
unlike	IN	unlike
the	DT	the
roles	NNS	role
of	IN	of
horses	NNS	horse
and	CC	and
humans	NNS	human
on	IN	on
jonathan	NN	<unknown>
swift	NN	swift
's	POS	's
island	NN	island
of	IN	of
the	DT	the
houyhnhnms	NNS	<unknown>
.	SENT	.
the	DT	the
novel	NN	novel
moves	VBZ	move
somewhat	RB	somewhat
slowly	RB	slowly
to	TO	to
create	VB	create
some	DT	some
suspense	NN	suspense
in	IN	in
revealing	VBG	reveal
all	PDT	all
the	DT	the
things	NNS	thing
most	RBS	most
film	NN	film
fans	NNS	fan
know	VBP	know
to	TO	to
be	VB	be
true	JJ	true
about	IN	about
the	DT	the
nature	NN	nature
of	IN	of
the	DT	the
planet	NN	planet
.	SENT	.
it	PP	it
seems	VBZ	seem
to	TO	to
me	PP	me
there	EX	there
is	VBZ	be
also	RB	also
a	DT	a
statement	NN	statement
about	IN	about
human	JJ	human
cruelty	NN	cruelty
to	TO	to
animals	NNS	animal
,	,	,
but	CC	but
perhaps	RB	perhaps
i	NP	i
was	VBD	be
just	RB	just
looking	VBG	look
for	IN	for
that	DT	that
.	SENT	.
when	WRB	when
rod	NN	rod
serling	NN	<unknown>
adapted	VBD	adapt
the	DT	the
novel	NN	novel
into	IN	into
a	DT	a
film	NN	film
released	VBN	release
in	IN	in
1968	CD	@card@
,	,	,
he	PP	he
added	VBD	add
a	DT	a
number	NN	number
of	IN	of
serling	VBG	<unknown>
touches	NNS	touch
,	,	,
familiar	JJ	familiar
from	IN	from
episodes	NNS	episode
of	IN	of
the	DT	the
twilight	NN	twilight
zone	NN	zone
and	CC	and
changed	VBD	change
the	DT	the
ending	NN	ending
to	TO	to
make	VB	make
it	PP	it
more	RBR	more
serling-ish	JJ	<unknown>
.	SENT	.
the	DT	the
final	JJ	final
irony	NN	irony
of	IN	of
the	DT	the
original	JJ	original
version	NN	version
has	VBZ	have
become	VBN	become
film	NN	film
history	NN	history
.	SENT	.
without	IN	without
it	PP	it
there	EX	there
could	MD	could
never	RB	never
have	VB	have
been	VBN	be
a	DT	a
"	``	"
planet	NN	planet
of	IN	of
the	DT	the
apes	NNS	ape
"	''	"
film	NN	film
series	NN	series
.	SENT	.
i	NP	i
can	MD	can
surmise	VB	surmise
only	RB	only
that	DT	that
serling	NN	<unknown>
ran	VBD	run
into	IN	into
serious	JJ	serious
script	NN	script
problems	NNS	problem
in	IN	in
how	WRB	how
to	TO	to
handle	VB	handle
the	DT	the
tricky	JJ	tricky
question	NN	question
of	IN	of
language	NN	language
.	SENT	.
in	IN	in
the	DT	the
book	NN	book
the	DT	the
apes	NNS	ape
had	VBD	have
their	PP$	their
own	JJ	own
language	NN	language
and	CC	and
the	DT	the
human	NN	human
eventually	RB	eventually
learned	VBD	learn
that	DT	that
language	NN	language
.	SENT	.
that	DT	that
could	MD	could
have	VB	have
been	VBN	be
done	VBN	do
in	IN	in
the	DT	the
film	NN	film
,	,	,
but	CC	but
that	WDT	that
would	MD	would
have	VB	have
required	VBN	require
the	DT	the
entire	JJ	entire
film	NN	film
to	TO	to
be	VB	be
subtitled	VBN	subtitle
for	IN	for
the	DT	the
non-ape-speaking	NN	<unknown>
.	SENT	.
serling	NN	<unknown>
avoided	VBD	avoid
this	DT	this
by	IN	by
having	VBG	have
the	DT	the
apes	NNS	ape
speak	VBP	speak
english	JJ	English
and	CC	and
,	,	,
of	IN	of
course	NN	course
,	,	,
there	EX	there
is	VBZ	be
some	DT	some
justification	NN	justification
for	IN	for
that	DT	that
by	IN	by
the	DT	the
end	NN	end
of	IN	of
the	DT	the
film	NN	film
.	SENT	.
justifying	VBG	justify
why	WRB	why
the	DT	the
apes	NNS	ape
spoke	VBD	speak
english	NN	English
may	MD	may
have	VB	have
even	RB	even
been	VBN	be
the	DT	the
inspiration	NN	inspiration
for	IN	for
his	PP$	his
surprise	NN	surprise
ending	NN	ending
.	SENT	.
but	CC	but
serling	NN	<unknown>
never	RB	never
tackles	VBZ	tackle
the	DT	the
all-important	JJ	all-important
question	NN	question
of	IN	of
why	WRB	why
a	DT	a
supposedly	RB	supposedly
intelligent	JJ	intelligent
human	NN	human
never	RB	never
shows	VBZ	show
any	DT	any
curiosity	NN	curiosity
or	CC	or
even	RB	even
surprise	VB	surprise
that		IN	that
the	DT	the
apes	NNS	ape
speak	VBP	speak
his	PP$	his
own	JJ	own
language	NN	language
,	,	,
a	DT	a
language	NN	language
they	PP	they
had	VBD	have
no	DT	no
opportunity	NN	opportunity
to	TO	to
ever	RB	ever
hear	VB	hear
.	SENT	.
few	JJ	few
viewers	NNS	viewer
questioned	VBD	question
this	DT	this
serious	JJ	serious
plot	NN	plot
hole	NN	hole
,	,	,
however	RB	however
,	,	,
and	CC	and
the	DT	the
film	NN	film
has	VBZ	have
become	VBN	become
well	RB	well
respected	JJ	respected
in	IN	in
cinema	NN	cinema
history	NN	history
.	SENT	.
partial	JJ	partial
credit	NN	credit
at	IN	at
least	JJS	least
should	MD	should
go	VB	go
to	TO	to
jerry	NN	jerry
goldsmith	NN	goldsmith
whose	WP$	whose
extremely	RB	extremely
inventive	JJ	inventive
score	NN	score
is	VBZ	be
one	CD	one
of	IN	of
goldsmith	NN	goldsmith
's	POS	's
best	JJS	good
if	IN	if
not	RB	not
his	PP$	his
best	JJS	good
.	SENT	.
when	WRB	when
the	DT	the
film	NN	film
's	POS	's
success	NN	success
called	VBD	call
for	IN	for
sequels	NNS	sequel
,	,	,
the	DT	the
filmmakers	NNS	filmmaker
turned	VBD	turn
up	RP	up
the	DT	the
violence	NN	violence
and	CC	and
they	PP	they
added	VBD	add
well-intentioned	JJ	well-intentioned
,	,	,
though	RB	though
not	RB	not
very	RB	very
subtle	JJ	subtle
,	,	,
political	JJ	political
messages	NNS	message
about	IN	about
what	WP	what
was	VBD	be
happening	VBG	happen
in	IN	in
the	DT	the
united	VBN	unite
states	NNS	state
of	IN	of
the	DT	the
1960s	NNS	1960s
and	CC	and
1970s	NNS	1970s
.	SENT	.
while	IN	while
the	DT	the
first	JJ	first
film	NN	film
had	VBD	have
a	DT	a
little	JJ	little
shooting	NN	shooting
of	IN	of
guns	NNS	gun
and	CC	and
what	WP	what
was	VBD	be
there	RB	there
seemed	VBN	seem
a	DT	a
little	JJ	little
half-	NN	<unknown>
hearted	VBD	heart
,	,	,
by	IN	by
the	DT	the
second	JJ	second
film	NN	film
,	,	,
beneath	IN	beneath
the	DT	the
planet	NN	planet
of	IN	of
the	DT	the
apes	NNS	ape
,	,	,
there	EX	there
was	VBD	be
a	DT	a
good	JJ	good
deal	NN	deal
more	JJR	more
violence	NN	violence
and	CC	and
from	IN	from
that	DT	that
point	NN	point
on	IN	on
the	DT	the
series	NN	series
had	VBD	have
a	DT	a
lot	NN	lot
of	IN	of
violence	NN	violence
and	CC	and
chases	NNS	chase
.	SENT	.
the	DT	the
series	NN	series
concluded	VBD	conclude
with	IN	with
battle	NN	battle
for	IN	for
the	DT	the
planet	NN	planet
of	IN	of
the	DT	the
apes	NNS	ape
in	IN	in
1973	CD	@card@
.	SENT	.
now	RB	now
director	NN	director
tim	NN	<unknown>
burton	NN	burton
tries	VBZ	try
his	PP$	his
hand	NN	hand
at	IN	at
adapting	VBG	adapt
the	DT	the
original	JJ	original
book	NN	book
again	RB	again
.	SENT	.
for	IN	for
those	DT	those
who	WP	who
thought	VBD	think
that		IN	that
the	DT	the
1968	CD	@card@
version	NN	version
was	VBD	be
not	RB	not
very	RB	very
faithful	JJ	faithful
to	TO	to
the	DT	the
book	NN	book
,	,	,
burton	NN	burton
's	POS	's
new	JJ	new
version	NN	version
is	VBZ	be
even	RB	even
less	RBR	less
faithful	JJ	faithful
.	SENT	.
first	RB	first
,	,	,
he	PP	he
does	VBZ	do
not	RB	not
really	RB	really
reverse	VB	reverse
the	DT	the
roles	NNS	role
of	IN	of
the	DT	the
humans	NNS	human
and	CC	and
the	DT	the
apes	NNS	ape
.	SENT	.
he	PP	he
has	VBZ	have
them	PP	them
both	CC	both
be	VB	be
intelligent	JJ	intelligent
,	,	,
articulate	JJ	articulate
races	NNS	race
battling	VBG	battle
for	IN	for
a	DT	a
dominance	NN	dominance
of	IN	of
the	DT	the
planet	NN	planet
currently	RB	currently
in	IN	in
the	DT	the
hands	NNS	hand
,	,	,
uh	UH	uh
,	,	,
make	VB	make
that	DT	that
paws	NNS	paw
,	,	,
of	IN	of
the	DT	the
apes	NNS	ape
.	SENT	.
that	DT	that
could	MD	could
be	VB	be
a	DT	a
good	JJ	good
story	NN	story
too	RB	too
,	,	,
but	CC	but
it	PP	it
is	VBZ	be
not	RB	not
planet	NN	planet
of	IN	of
the	DT	the
apes	NNS	ape
.	SENT	.
as	RB	as
with	IN	with
the	DT	the
mission	NN	mission
impossible	JJ	impossible
films	NNS	film
and	CC	and
so	RB	so
many	JJ	many
other	JJ	other
cinematic	JJ	cinematic
homages	NNS	homage
to	TO	to
the	DT	the
third	JJ	third
quarter	NN	quarter
of	IN	of
the	DT	the
last	JJ	last
century	NN	century
,	,	,
the	DT	the
title	NN	title
makes	VBZ	make
promises	NNS	promise
that		IN	that
the	DT	the
filmmakers	NNS	filmmaker
have	VBP	have
no	DT	no
intention	NN	intention
of	IN	of
honoring	VBG	honor
.	SENT	.
in	IN	in
2029	CD	@card@
leo	NN	<unknown>
davidson	NN	<unknown>
(	(	(
mark	NN	mark
wahlberg	NN	<unknown>
,	,	,
not	RB	not
this	DT	this
world	NN	world
's	POS	's
most	RBS	most
expressive	JJ	expressive
actor	NN	actor
)	)	)
works	VBZ	work
on	IN	on
a	DT	a
space	NN	space
station	NN	station
increasing	VBG	increase
the	DT	the
intelligence	NN	intelligence
and	CC	and
usefulness	NN	usefulness
of	IN	of
apes	NNS	ape
.	SENT	.
then	RB	then
a	DT	a
convenient	JJ	convenient
time	NN	time
storm	NN	storm
sweeps	VBZ	sweep
him	PP	him
up	RP	up
wizard-of-oz-fashion	NN	<unknown>
and	CC	and
drops	VBZ	drop
him	PP	him
on	IN	on
an	DT	an
alien	JJ	alien
planet	NN	planet
.	SENT	.
(	(	(
yes	UH	yes
,	,	,
he	PP	he
survives	VBZ	survive
this	DT	this
storm	NN	storm
,	,	,
but	CC	but
then	RB	then
no	DT	no
storm	NN	storm
is	VBZ	be
perfect	JJ	perfect
.	SENT	.
)	)	)
he	PP	he
quickly	RB	quickly
finds	VBZ	find
,	,	,
not	RB	not
greatly	RB	greatly
to	TO	to
any	DT	any
surprise	NN	surprise
he	PP	he
shows	VBZ	show
,	,	,
that		IN	that
on	IN	on
this	DT	this
planet	NN	planet
apes	VBZ	ape
rule	NN	rule
and	CC	and
humans	NNS	human
drool	VBP	drool
,	,	,
but	CC	but
everybody	NN	everybody
talks	NNS	talk
.	SENT	.
and	CC	and
the	DT	the
language	NN	language
they	PP	they
talk	VBP	talk
is	VBZ	be
earth-	NN	<unknown>
english	JJ	English
.	SENT	.
apparently	RB	apparently
it	PP	it
does	VBZ	do
not	RB	not
even	RB	even
occur	VB	occur
to	TO	to
leo	NN	<unknown>
that		IN	that
there	EX	there
is	VBZ	be
a	DT	a
mystery	NN	mystery
that	WDT	that
needs	VBZ	need
to	TO	to
be	VB	be
explained	VBN	explain
about	IN	about
that	DT	that
.	SENT	.
the	DT	the
fact	NN	fact
it	PP	it
does	VBZ	do
not	RB	not
occur	VB	occur
to	TO	to
leo	NN	<unknown>
and	CC	and
apparently	RB	apparently
did	VBD	do
n't	RB	n't
occur	VB	occur
to	TO	to
tim	NN	<unknown>
burton	NN	burton
either	CC	either
is	VBZ	be
the	DT	the
heart	NN	heart
of	IN	of
the	DT	the
real	JJ	real
horror	NN	horror
of	IN	of
this	DT	this
film	NN	film
.	SENT	.
both	CC	both
just	RB	just
assumed	VBD	assume
that		IN	that
if	IN	if
apes	NNS	ape
were	VBD	be
going	VBG	go
to	TO	to
talk	VB	talk
the	DT	the
language	NN	language
they	PP	they
would	MD	would
speak	VB	speak
would	MD	would
be	VB	be
english	JJ	English
.	SENT	.
in	IN	in
any	DT	any
case	NN	case
having	VBG	have
one	CD	one
talking	VBG	talk
race	NN	race
dominating	VBG	dominate
another	DT	another
makes	VBZ	make
this	DT	this
not	RB	not
a	DT	a
look	NN	look
at	IN	at
human-animal	JJ	<unknown>
relationships	NNS	relationship
and	CC	and
more	JJR	more
one	CD	one
of	IN	of
the	DT	the
master-slave	NN	<unknown>
relationships	NNS	relationship
.	SENT	.
outside	IN	outside
of	IN	of
sudan	NN	<unknown>
and	CC	and
a	DT	a
few	JJ	few
other	JJ	other
countries	NNS	country
this	DT	this
is	VBZ	be
a	DT	a
less	RBR	less
relevant	JJ	relevant
topic	NN	topic
.	SENT	.
leo	NN	<unknown>
is	VBZ	be
captured	VBN	capture
to	TO	to
be	VB	be
used	VBN	use
as	IN	as
a	DT	a
slave	NN	slave
but	CC	but
also	RB	also
is	VBZ	be
discovered	VBN	discover
by	IN	by
ari	NNS	<unknown>
,	,	,
played	VBN	play
by	IN	by
helena	NN	<unknown>
bonham	NN	<unknown>
carter	NN	carter
.	SENT	.
ari	NP	Ari
is	VBZ	be
an	DT	an
attractive	JJ	attractive
ape	NN	ape
with	IN	with
close	JJ	close
ties	NNS	ty
to	TO	to
high	JJ	high
political	JJ	political
power	NN	power
.	SENT	.
she	PP	she
is	VBZ	be
bent	JJ	bent
on	IN	on
making	VBG	make
the	DT	the
world	NN	world
a	DT	a
better	JJR	good
place	NN	place
.	SENT	.
perhaps	RB	perhaps
in	IN	in
a	DT	a
previous	JJ	previous
draft	NN	draft
of	IN	of
the	DT	the
script	NN	script
she	PP	she
was	VBD	be
called	VBN	call
hil-ari	NN	<unknown>
.	SENT	.
in	IN	in
any	DT	any
case	NN	case
with	IN	with
makeup	NN	makeup
that	WDT	that
stifles	VBZ	stifle
her	PP$	her
usual	JJ	usual
pout	NN	pout
,	,	,
carter	NN	carter
is	VBZ	be
just	RB	just
about	RB	about
as	RB	as
attractive	JJ	attractive
as	IN	as
she	PP	she
has	VBZ	have
ever	RB	ever
been	VBN	be
in	IN	in
a	DT	a
film	NN	film
.	SENT	.
she	PP	she
may	MD	may
want	VB	want
to	TO	to
consider	VB	consider
this	DT	this
to	TO	to
become	VB	become
her	PP$	her
standard	JJ	standard
look	NN	look
from	IN	from
this	DT	this
point	NN	point
forward	RB	forward
.	SENT	.
it	PP	it
is	VBZ	be
not	RB	not
long	JJ	long
before	IN	before
leo	NN	<unknown>
escapes	NNS	escape
with	IN	with
some	DT	some
human	JJ	human
and	CC	and
only	RB	only
a	DT	a
couple	NN	couple
of	IN	of
sympathetic	JJ	sympathetic
apes	NNS	ape
.	SENT	.
this	DT	this
is	VBZ	be
a	DT	a
further	JJR	further
abandonment	NN	abandonment
of	IN	of
the	DT	the
source	NN	source
material	NN	material
.	SENT	.
the	DT	the
chase	NN	chase
severely	RB	severely
limits	VBZ	limit
the	DT	the
interplay	NN	interplay
of	IN	of
ape	NN	ape
and	CC	and
human	JJ	human
and	CC	and
the	DT	the
examination	NN	examination
of	IN	of
each	DT	each
's	VBZ	be
place	NN	place
in	IN	in
this	DT	this
reversed	JJ	reversed
society	NN	society
,	,	,
each	DT	each
important	JJ	important
in	IN	in
the	DT	the
book	NN	book
.	SENT	.
we	PP	we
cannot	MD	can
see	VB	see
how	WRB	how
the	DT	the
society	NN	society
works	VBZ	work
because	IN	because
most	JJS	most
of	IN	of
the	DT	the
screentime	NN	<unknown>
society	NN	society
has	VBZ	have
broken	VBN	break
down	RP	down
.	SENT	.
we	PP	we
see	VBP	see
the	DT	the
humans	NNS	human
either	CC	either
separated	VBN	separate
from	IN	from
the	DT	the
apes	NNS	ape
or	CC	or
fighting	VBG	fight
them	PP	them
.	SENT	.
burton	NN	burton
chooses	VBZ	choose
visceral	JJ	visceral
thrills	NNS	thrill
over	IN	over
cerebral	JJ	cerebral
ones	NNS	one
at	IN	at
almost	RB	almost
every	DT	every
turn	NN	turn
.	SENT	.
this	DT	this
is	VBZ	be
a	DT	a
miscalculation	NN	miscalculation
,	,	,
as	IN	as
characters	NNS	character
so	RB	so
lacking	VBG	lack
in	IN	in
empathy	NN	empathy
value	NN	value
are	VBP	be
difficult	JJ	difficult
ones	NNS	one
to	TO	to
place	VB	place
much	JJ	much
emotional	JJ	emotional
investment	NN	investment
in	IN	in
.	SENT	.
they	PP	they
are	VBP	be
basically	RB	basically
chess	NN	chess
pieces	NNS	piece
and	CC	and
the	DT	the
viewer	NN	viewer
has	VBZ	have
little	JJ	little
reason	NN	reason
to	TO	to
root	VB	root
for	IN	for
them	PP	them
to	TO	to
win	VB	win
.	SENT	.
the	DT	the
1968	CD	@card@
script	NN	script
had	VBD	have
little	JJ	little
subtlety	NN	subtlety
,	,	,
with	IN	with
lines	NNS	line
like	IN	like
"	``	"
i	NP	i
never	RB	never
met	VBD	meet
an	DT	an
ape	NN	ape
i	NP	i
did	VBD	do
n't	RB	n't
like	VB	like
,	,	,
"	''	"
but	CC	but
at	IN	at
least	JJS	least
we	PP	we
cared	VBD	care
for	IN	for
what	WP	what
happened	VBD	happen
to	TO	to
taylor	NP	Taylor
,	,	,
the	DT	the
main	JJ	main
character	NN	character
.	SENT	.
most	JJS	most
of	IN	of
what	WP	what
this	DT	this
film	NN	film
has	VBZ	have
to	TO	to
offer	VB	offer
is	VBZ	be
in	IN	in
the	DT	the
visuals	NNS	visual
.	SENT	.
the	DT	the
visual	JJ	visual
work	NN	work
is	VBZ	be
spotty	JJ	spotty
but	CC	but
generally	RB	generally
nicely	RB	nicely
done	VBN	do
except	IN	except
that	DT	that
so	RB	so
much	JJ	much
of	IN	of
the	DT	the
film	NN	film
takes	VBZ	take
place	NN	place
in	IN	in
the	DT	the
night	NN	night
or	CC	or
in	IN	in
fog	NN	fog
.	SENT	.
this	DT	this
tends	VBZ	tend
to	TO	to
limit	VB	limit
close	JJ	close
looks	NNS	look
at	IN	at
the	DT	the
makeup	NN	makeup
.	SENT	.
in	IN	in
general	NN	general
it	PP	it
seems	VBZ	seem
much	RB	much
improved	VBN	improve
from	IN	from
1968	CD	@card@
.	SENT	.
the	DT	the
makeup	NN	makeup
team	NN	team
is	VBZ	be
led	VBN	lead
by	IN	by
rick	NN	rick
baker	NN	baker
instead	RB	instead
of	IN	of
john	NN	john
chambers	NNS	chamber
,	,	,
who	WP	who
did	VBD	do
it	PP	it
for	IN	for
the	DT	the
1968	CD	@card@
version	NN	version
.	SENT	.
in	IN	in
1968	CD	@card@
chambers	NNS	chamber
makeup	NN	makeup
was	VBD	be
a	DT	a
jaw-dropper	NN	<unknown>
.	SENT	.
it	PP	it
was	VBD	be
realistic	JJ	realistic
enough	RB	enough
to	TO	to
almost	RB	almost
be	VB	be
believable	JJ	believable
but	CC	but
flexible	JJ	flexible
enough	RB	enough
to	TO	to
show	VB	show
emotion	NN	emotion
.	SENT	.
chambers	NN	chambers
is	VBZ	be
good	JJ	good
,	,	,
but	CC	but
if	IN	if
anyone	NN	anyone
had	VBD	have
a	DT	a
chance	NN	chance
to	TO	to
best	VB	best
him	PP	him
it	PP	it
would	MD	would
have	VB	have
to	TO	to
be	VB	be
baker	NN	baker
.	SENT	.
today	NN	today
audiences	NNS	audience
have	VBP	have
higher	JJR	high
expectations	NNS	expectation
;	:	;
baker	NN	baker
's	POS	's
visualization	NN	visualization
is	VBZ	be
really	RB	really
an	DT	an
improvement	NN	improvement
.	SENT	.
these	DT	these
visuals	NNS	visual
work	VBP	work
nicely	RB	nicely
.	SENT	.
what	WP	what
does	VBZ	do
not	RB	not
work	VB	work
is	VBZ	be
the	DT	the
wire-	NN	<unknown>
assisted	VBN	assist
leaps	NNS	leap
some	RB	some
of	IN	of
the	DT	the
apes	NNS	ape
make	VBP	make
.	SENT	.
they	PP	they
look	VBP	look
like	IN	like
they	PP	they
were	VBD	be
inspired	VBN	inspire
by	IN	by
the	DT	the
physics-	NN	<unknown>
defying	VBG	defy
leaps	NNS	leap
of	IN	of
crouching	VBG	crouch
tiger	NN	tiger
,	,	,
hidden	JJ	hidden
dragon	NN	dragon
.	SENT	.
apes	NNS	ape
spring	VBP	spring
incredible	JJ	incredible
distances	NNS	distance
.	SENT	.
some	DT	some
of	IN	of
the	DT	the
best	JJS	good
scenes	NNS	scene
are	VBP	be
apes	NNS	ape
running	VBG	run
into	IN	into
battle	NN	battle
looking	VBG	look
like	IN	like
they	PP	they
have	VBP	have
ape	NN	ape
posture	NN	posture
,	,	,
but	CC	but
when	WRB	when
they	PP	they
start	VBP	start
flying	VBG	fly
through	IN	through
the	DT	the
air	NN	air
the	DT	the
effect	NN	effect
is	VBZ	be
lost	VBN	lose
.	SENT	.
one	CD	one
final	JJ	final
visual	JJ	visual
problem	NN	problem
is	VBZ	be
that		IN	that
the	DT	the
film	NN	film
frequently	RB	frequently
shows	VBZ	show
its	PP$	its
budget	NN	budget
in	IN	in
what	WP	what
should	MD	should
be	VB	be
spectacular	JJ	spectacular
battle	NN	battle
scenes	NNS	scene
the	DT	the
camera	NN	camera
shows	VBZ	show
us	PP	us
only	RB	only
a	DT	a
small	JJ	small
group	NN	group
of	IN	of
people	NNS	people
close-up	NN	close-up
.	SENT	.
since	IN	since
the	DT	the
days	NNS	day
of	IN	of
lon	NN	<unknown>
chaney	NN	<unknown>
and	CC	and
boris	NN	<unknown>
karloff	NN	<unknown>
few	JJ	few
actors	NNS	actor
have	VBP	have
crossed	VBN	cross
over	RP	over
to	TO	to
stardom	NN	stardom
in	IN	in
a	DT	a
role	NN	role
that	WDT	that
required	VBD	require
heavy	JJ	heavy
make-up	NN	make-up
.	SENT	.
the	DT	the
one	CD	one
actor	NN	actor
who	WP	who
has	VBZ	have
a	DT	a
shot	NN	shot
is	VBZ	be
paul	NP	Paul
giamatti	NP	Giamatti
.	SENT	.
it	PP	it
is	VBZ	be
not	RB	not
that		IN	that
his	PP$	his
lines	NNS	line
are	VBP	be
so	RB	so
good	RB	good
,	,	,
most	JJS	most
are	VBP	be
silly	JJ	silly
jokes	NNS	joke
.	SENT	.
but	CC	but
he	PP	he
delivers	VBZ	deliver
them	PP	them
very	RB	very
well	RB	well
.	SENT	.
he	PP	he
was	VBD	be
always	RB	always
a	DT	a
watchable	JJ	watchable
actor	NN	actor
,	,	,
but	CC	but
has	VBZ	have
not	RB	not
yet	RB	yet
made	VBN	make
stardom	NN	stardom
.	SENT	.
as	IN	as
the	DT	the
ape-trader	NN	<unknown>
limbo	NN	limbo
he	PP	he
over-emotes	VBZ	<unknown>
to	TO	to
overcome	VB	overcome
his	PP$	his
ape	NN	ape
make-up	NN	make-up
,	,	,
but	CC	but
does	VBZ	do
it	PP	it
very	RB	very
well	RB	well
.	SENT	.
in	IN	in
doing	VBG	do
so	IN	so
he	PP	he
makes	VBZ	make
himself	PP	himself
the	DT	the
most	RBS	most
interesting	JJ	interesting
thing	NN	thing
on	IN	on
the	DT	the
screen	NN	screen
.	SENT	.
he	PP	he
is	VBZ	be
probably	RB	probably
the	DT	the
best	JJS	good
thing	NN	thing
in	IN	in
the	DT	the
film	NN	film
and	CC	and
conjures	VBZ	conjure
up	RP	up
memories	NNS	memory
of	IN	of
peter	NN	peter
ustinov	NN	<unknown>
's	POS	's
performance	NN	performance
in	IN	in
spartacus	NN	<unknown>
.	SENT	.
as	IN	as
an	DT	an
in-joke	NN	<unknown>
there	EX	there
are	VBP	be
several	JJ	several
lines	NNS	line
in	IN	in
the	DT	the
script	NN	script
borrowed	VBN	borrow
from	IN	from
the	DT	the
1968	CD	@card@
film	NN	film
and	CC	and
an	DT	an
old	JJ	old
ape	NN	ape
played	VBN	play
by	IN	by
charleton	NN	<unknown>
heston	NN	<unknown>
becomes	VBZ	become
an	DT	an
allusion	NN	allusion
to	TO	to
the	DT	the
first	JJ	first
film	NN	film
by	IN	by
itself	PP	itself
.	SENT	.
danny	NN	danny
elfman	NN	<unknown>
's	POS	's
score	NN	score
has	VBZ	have
a	DT	a
nice	JJ	nice
primitive	JJ	primitive
feel	NN	feel
,	,	,
but	CC	but
jerry	NN	jerry
goldsmith	NN	goldsmith
's	POS	's
1968	CD	@card@
tour	NN	tour
de	NP	de
force	NN	force
score	NN	score
is	VBZ	be
a	DT	a
real	JJ	real
classic	NN	classic
.	SENT	.
that	DT	that
score	NN	score
and	CC	and
the	DT	the
whole	JJ	whole
film	NN	film
will	MD	will
be	VB	be
remembered	VBN	remember
when	WRB	when
the	DT	the
2001	CD	@card@
film	NN	film
is	VBZ	be
forgotten	VBN	forget
.	SENT	.
i	NP	i
rate	NN	rate
the	DT	the
remake	NN	remake
4	CD	4
on	IN	on
the	DT	the
0	CD	0
to	TO	to
10	CD	@card@
scale	NN	scale
and	CC	and
a	DT	a
0	CD	0
on	IN	on
the	DT	the
-4	CD	@card@
to	TO	to
+4	JJ	<unknown>
scale	NN	scale
.	SENT	.
