hello	NN	hello
texas	NNS	<unknown>
head	VBP	head
straight	RB	straight
for	IN	for
earth	NN	earth
!	SENT	!
!	SENT	!
and	CC	and
,	,	,
and	CC	and
,	,	,
we	PP	we
must	MD	must
have	VB	have
beautiful	JJ	beautiful
scenic	JJ	scenic
worldwide	JJ	worldwide
shots	NNS	shot
,	,	,
like	IN	like
paris	NNS	<unknown>
,	,	,
blown	VBN	blow
up	RP	up
.	SENT	.
and	CC	and
,	,	,
and	CC	and
,	,	,
we	PP	we
must	MD	must
have	VB	have
peoples	NNS	people
of	IN	of
all	DT	all
colors	NNS	color
,	,	,
nations	NNS	nation
,	,	,
and	CC	and
religions	NNS	religion
,	,	,
join	VB	join
hand	NN	hand
in	IN	in
hand	NN	hand
for	IN	for
one	CD	one
final	JJ	final
,	,	,
hopeful	JJ	hopeful
,	,	,
hug	NN	hug
.	SENT	.
the	DT	the
final	JJ	final
sequence	NN	sequence
,	,	,
where	WRB	where
muslims	NNS	Muslim
in	IN	in
prostrate	JJ	prostrate
worship	NN	worship
stand	NN	stand
up--in	NN	<unknown>
domino	NN	domino
fashion--to	NN	<unknown>
cheer	VB	cheer
the	DT	the
victory	NN	victory
,	,	,
filled	VBD	fill
me	PP	me
with	IN	with
such	JJ	such
emotional	JJ	emotional
goo	NN	goo
that		IN	that
i	NP	i
wanted	VBD	want
to	TO	to
,	,	,
to	TO	to
,	,	,
to	TO	to
rip	VB	rip
the	DT	the
screen	NN	screen
into	IN	into
shreds	NNS	shred
!	SENT	!
!	SENT	!
i	NP	i
mean	NN	mean
,	,	,
i	NP	i
mean	NN	mean
,	,	,
cheer	NN	cheer
for	IN	for
ecstatic	JJ	ecstatic
joy	NN	joy
!	SENT	!
(	(	(
it	PP	it
was	VBD	be
over	IN	over
)	)	)
.	SENT	.
comedy	NN	comedy
.	SENT	.
"	''	"
c	SYM	c
"	''	"
.	SENT	.
romance	NN	romance
.	SENT	.
"	``	"
r	NN	r
"	''	"
.	SENT	.
action	NN	action
.	SENT	.
"	''	"
a	DT	a
"	''	"
.	SENT	.
planet	NN	planet
.	SENT	.
"	``	"
p	NN	p
"	''	"
.	SENT	.
okay	RB	okay
,	,	,
kids	NNS	kid
,	,	,
what	WP	what
does	VBZ	do
that	DT	that
spell	NN	spell
?	SENT	?
seriously	RB	seriously
,	,	,
folks	NNS	folk
.	SENT	.
any	DT	any
film	NN	film
that	WDT	that
could	MD	could
take	VB	take
the	DT	the
indie-films	NNS	<unknown>
'	POS	'
most	RBS	most
valuable	JJ	valuable
talents	NNS	talent
,	,	,
and	CC	and
throw	VB	throw
it	PP	it
all	DT	all
away	RP	away
with	IN	with
a	DT	a
bruce	NN	<unknown>
willis	NN	<unknown>
vehicle	NN	vehicle
,	,	,
a	DT	a
hundred-million	NN	<unknown>
dollar	NN	dollar
budget	NN	budget
,	,	,
but	CC	but
have	VB	have
cheap-o	NN	<unknown>
sets	NNS	set
and	CC	and
lousy	JJ	lousy
special	JJ	special
effects	NNS	effect
,	,	,
is	VBZ	be
,	,	,
bottom	JJ	bottom
line	NN	line
,	,	,
living	VBG	live
proof	NN	proof
that		IN	that
hell	NN	hell
exists	VBZ	exist
,	,	,
and	CC	and
has	VBZ	have
made	VBN	make
a	DT	a
multi-picture	NN	<unknown>
deal	NN	deal
with	IN	with
universal	JJ	universal
.	SENT	.
in	IN	in
the	DT	the
midst	NN	midst
of	IN	of
all	PDT	all
the	DT	the
action	NN	action
,	,	,
the	DT	the
terseness	NN	terseness
,	,	,
the	DT	the
one-liners	NNS	one-liner
,	,	,
the	DT	the
fake	JJ	fake
sets	NNS	set
,	,	,
the	DT	the
overall	JJ	overall
waste	NN	waste
of	IN	of
time	NN	time
,	,	,
i	NP	i
recognized	VBD	recognize
matt	JJ	matt
malloy	NN	<unknown>
playing	VBG	play
an	DT	an
underwritten	JJ	underwritten
nasa	NN	<unknown>
technician	NN	technician
(	(	(
"	``	"
malloy	NN	<unknown>
,	,	,
give	VB	give
me	PP	me
a	DT	a
reading	NN	reading
"	''	"
)	)	)
.	SENT	.
remember	VB	remember
him	PP	him
?	SENT	?
he	PP	he
was	VBD	be
a	DT	a
principal	JJ	principal
player	NN	player
in	IN	in
last	JJ	last
year	NN	year
's	POS	's
_in	NN	<unknown>
the	DT	the
company	NN	company
of	IN	of
men_	NN	<unknown>
,	,	,
a	DT	a
film	NN	film
that	WDT	that
was	VBD	be
more	RBR	more
powerful	JJ	powerful
,	,	,
shocking	JJ	shocking
,	,	,
terrifying	JJ	terrifying
,	,	,
funny	JJ	funny
,	,	,
and	CC	and
shocking	JJ	shocking
than	IN	than
_armageddon_	NN	<unknown>
could	MD	could
ever	RB	ever
aspire	VB	aspire
to	TO	to
be	VB	be
.	SENT	.
_armageddon_	JJ	<unknown>
cost	NN	cost
over	IN	over
$100	NN	<unknown>
million	CD	million
to	TO	to
make	VB	make
.	SENT	.
_itcom_	NN	<unknown>
cost	VBD	cost
a	DT	a
paltry	JJ	paltry
$30	NN	<unknown>
,	,	,
000	CD	@card@
.	SENT	.
need	NN	need
i	NNS	i
say	VBP	say
more	RBR	more
?	SENT	?
