there	EX	there
and	CC	and
gritty	JJ	gritty
.	SENT	.
he	PP	he
turns	VBZ	turn
to	TO	to
burglary	NN	burglary
to	TO	to
survive	VB	survive
,	,	,
robs	VBZ	rob
a	DT	a
loan	NN	loan
back	RB	back
,	,	,
kills	VBZ	kill
the	DT	the
loan	NN	loan
officer	NN	officer
and	CC	and
runs	VBZ	run
with	IN	with
thousands	NNS	thousand
.	SENT	.
a	DT	a
country-wide	JJ	<unknown>
man	NN	man
hunt	NN	hunt
is	VBZ	be
on	IN	on
for	IN	for
him	PP	him
to	TO	to
catch	VB	catch
him	PP	him
and	CC	and
bring	VB	bring
him	PP	him
down	RP	down
.	SENT	.
he	PP	he
ends	VBZ	end
up	RP	up
in	IN	in
a	DT	a
cemetery	NN	cemetery
where	WRB	where
he	PP	he
puts	VBZ	put
his	PP$	his
money	NN	money
in	IN	in
a	DT	a
coffin	NN	coffin
to	TO	to
keep	VB	keep
it	PP	it
for	IN	for
later	RBR	later
,	,	,
comes	VBZ	come
back	RB	back
and	CC	and
realizes	VBZ	realize
that		IN	that
someone	NN	someone
took	VBD	take
it	PP	it
and	CC	and
put	VB	put
it	PP	it
somewhere	RB	somewhere
.	SENT	.
now	RB	now
he	PP	he
is	VBZ	be
determined	VBN	determine
to	TO	to
kill	VB	kill
all	PDT	all
the	DT	the
visitors	NNS	visitor
at	IN	at
the	DT	the
funeral	NN	funeral
earlier	RBR	earlier
that	DT	that
day	NN	day
until	IN	until
he	PP	he
gets	VBZ	get
his	PP$	his
money	NN	money
back	RB	back
,	,	,
ultimately	RB	ultimately
leading	VBG	lead
to	TO	to
a	DT	a
finale	NN	finale
that	WDT	that
is	VBZ	be
less	RBR	less
that		IN	that
satisfying	VBG	satisfy
.	SENT	.
a	DT	a
film	NN	film
which	WDT	which
was	VBD	be
based	VBN	base
on	IN	on
a	DT	a
'long-lost	NN	<unknown>
'	POS	'
script	NN	script
by	IN	by
ed	NN	editor
wood	NN	wood
,	,	,
i	NNS	i
have	VBP	have
only	RB	only
one	CD	one
question	NN	question
:	:	:
no	DT	no
dialogue	NN	dialogue
,	,	,
only	JJ	only
music	NN	music
and	CC	and
movement	NN	movement
where	WRB	where
exactly	RB	exactly
is	VBZ	be
the	DT	the
point	NN	point
?	SENT	?
the	DT	the
film	NN	film
moves	VBZ	move
along	RP	along
at	IN	at
a	DT	a
rather	RB	rather
slow	JJ	slow
pace	NN	pace
,	,	,
but	CC	but
does	VBZ	do
have	VB	have
one	CD	one
advantage	NN	advantage
:	:	:
the	DT	the
soundtrack	NN	soundtrack
which	WDT	which
is	VBZ	be
catchy	JJ	catchy
and	CC	and
vibrant	JJ	vibrant
except	IN	except
the	DT	the
first	JJ	first
song	NN	song
which	WDT	which
can	MD	can
be	VB	be
offensive	JJ	offensive
to	TO	to
some	DT	some
.	SENT	.
it	PP	it
opens	VBZ	open
with	IN	with
a	DT	a
fun	NN	fun
,	,	,
innovative	JJ	innovative
opening	NN	opening
credits	NNS	credit
sequence	NN	sequence
and	CC	and
quickly	RB	quickly
goes	VBZ	go
downhill	RB	downhill
after	IN	after
that	DT	that
.	SENT	.
some	DT	some
of	IN	of
the	DT	the
low	JJ	low
points	NNS	point
are	VBP	be
when	WRB	when
'the	JJ	<unknown>
thief	NN	thief
'	''	'
steals	VBZ	steal
a	DT	a
woman	NN	woman
's	POS	's
purse	NN	purse
,	,	,
and	CC	and
then	RB	then
she	PP	she
faints	VBZ	faint
,	,	,
sandra	NN	<unknown>
bernhard	NN	<unknown>
as	IN	as
a	DT	a
dancer	NN	dancer
and	CC	and
tippi	NN	<unknown>
hendren	NNS	<unknown>
as	IN	as
a	DT	a
deaf	JJ	deaf
woman	NN	woman
whom	WP	whom
'the	VBZ	<unknown>
thief	NN	thief
'	POS	'
kills	NNS	kill
to	TO	to
the	DT	the
music	NN	music
of	IN	of
'psycho	NP	<unknown>
'	POS	'
.	SENT	.
come	VBN	come
on	IN	on
people	NNS	people
get	VBP	get
some	DT	some
new	JJ	new
ideas	NNS	idea
already	RB	already
!	SENT	!
what	WP	what
's	VBZ	be
even	RB	even
worse	JJR	bad
is	VBZ	be
that		IN	that
the	DT	the
film	NN	film
has	VBZ	have
no	DT	no
plot	NN	plot
at	IN	at
all	DT	all
.	SENT	.
well	RB	well
to	TO	to
a	DT	a
certain	JJ	certain
extent	NN	extent
it	PP	it
does	VBZ	do
,	,	,
but	CC	but
who	WP	who
cares	VBZ	care
by	IN	by
the	DT	the
time	NN	time
the	DT	the
middle	NN	middle
of	IN	of
the	DT	the
film	NN	film
arrives	VBZ	arrive
we	PP	we
're	VBP	be
bored	VBN	bore
out	RP	out
of	IN	of
our	PP$	our
mind	NN	mind
and	CC	and
ready	JJ	ready
for	IN	for
something	NN	something
fun	NN	fun
and	CC	and
exciting	JJ	exciting
to	TO	to
happen	VB	happen
.	SENT	.
'i	NNS	<unknown>
woke	VBD	wake
up	RB	up
early	RB	early
the	DT	the
day	NN	day
i	NP	i
died	VBN	die
'	''	'
is	VBZ	be
a	DT	a
perfectly	RB	perfectly
bad	JJ	bad
film	NN	film
.	SENT	.
it	PP	it
shows	VBZ	show
us	PP	us
how	WRB	how
low	JJ	low
filmmakers	NNS	filmmaker
get	VBP	get
sometimes	RB	sometimes
just	RB	just
when	WRB	when
desperate	JJ	desperate
to	TO	to
make	VB	make
a	DT	a
movie	NN	movie
.	SENT	.
even	RB	even
with	IN	with
the	DT	the
huge	JJ	huge
cast	NN	cast
talent	NN	talent
,	,	,
the	DT	the
film	NN	film
is	VBZ	be
a	DT	a
waste	NN	waste
of	IN	of
my	PP$	my
time	NN	time
and	CC	and
certainly	RB	certainly
a	DT	a
waste	NN	waste
of	IN	of
yours	PP$	yours
.	SENT	.
