1	LS	1
day	NN	day
,	,	,
our	PP$	our
big	JJ	big
burly	JJ	burly
hero	NN	hero
's	VBZ	be
first	JJ	first
in	IN	in
charge	NN	charge
,	,	,
is	VBZ	be
n't	RB	n't
going	VBG	go
to	TO	to
be	VB	be
business-as-usual	JJ	business-as-usual
.	SENT	.
a	DT	a
group	NN	group
of	IN	of
nasty	JJ	nasty
escaped	VBN	escape
criminals	NNS	criminal
have	VBP	have
set	VBN	set
a	DT	a
wyoming	NN	<unknown>
forest	NN	forest
alight	JJ	alight
to	TO	to
aid	VB	aid
their	PP$	their
flight	NN	flight
to	TO	to
freedom	NN	freedom
.	SENT	.
led	VBN	lead
by	IN	by
randy	JJ	randy
earl	NN	earl
shaye	NN	<unknown>
(	(	(
william	NP	William
forsythe	NP	Forsythe
)	)	)
,	,	,
the	DT	the
sadistic	JJ	sadistic
creep	VB	creep
who	WP	who
must	MD	must
be	VB	be
killed	VBN	kill
twice	RB	twice
to	TO	to
really	RB	really
die	VB	die
,	,	,
they	PP	they
pose	VBP	pose
as	IN	as
canadian	JJ	Canadian
firefighters	NNS	firefighter
who	WP	who
somehow	RB	somehow
got	VBD	get
lost	VBN	lose
across	IN	across
the	DT	the
border	NN	border
.	SENT	.
along	IN	along
the	DT	the
way	NN	way
,	,	,
they	PP	they
meet	VBP	meet
and	CC	and
take	VBP	take
hostage	NN	hostage
the	DT	the
damsel	NN	damsel
in	IN	in
distress	NN	distress
(	(	(
suzy	NN	Suzy
amis	NNS	ami
)	)	)
.	SENT	.
eventually	RB	eventually
,	,	,
our	PP$	our
big	JJ	big
burly	JJ	burly
hero	NN	hero
is	VBZ	be
placed	VBN	place
in	IN	in
a	DT	a
position	NN	position
where	WRB	where
he	PP	he
has	VBZ	have
to	TO	to
fight	VB	fight
the	DT	the
fire	NN	fire
,	,	,
rescue	VB	rescue
the	DT	the
damsel	NN	damsel
in	IN	in
distress	NN	distress
,	,	,
defeat	VB	defeat
the	DT	the
sadistic	JJ	sadistic
creep	VB	creep
who	WP	who
must	MD	must
be	VB	be
killed	VBN	kill
twice	RB	twice
to	TO	to
really	RB	really
die	VB	die
,	,	,
and	CC	and
restore	VB	restore
order	NN	order
to	TO	to
the	DT	the
galaxy	NN	galaxy
.	SENT	.
firestorm	NN	firestorm
's	POS	's
director	NN	director
,	,	,
dean	NN	dean
semler	NNS	<unknown>
,	,	,
is	VBZ	be
a	DT	a
former	JJ	former
cinematographer	NN	cinematographer
(	(	(
he	PP	he
won	VBD	win
an	DT	an
academy	NN	academy
award	NN	award
for	IN	for
his	PP$	his
work	NN	work
on	IN	on
dances	NNS	dance
with	IN	with
wolves	NNS	wolf
)	)	)
,	,	,
so	RB	so
it	PP	it
's	VBZ	be
no	DT	no
surprise	NN	surprise
that		IN	that
the	DT	the
film	NN	film
looks	VBZ	look
good	JJ	good
.	SENT	.
unfortunately	RB	unfortunately
,	,	,
that	WDT	that
's	VBZ	be
firestorm	NN	firestorm
's	POS	's
lone	JJ	lone
asset	NN	asset
,	,	,
and	CC	and
it	PP	it
falters	VBZ	falter
near	IN	near
the	DT	the
end	NN	end
,	,	,
when	WRB	when
computer-generated	JJ	computer-generated
special	JJ	special
effects	NNS	effect
fill	VBP	fill
up	RP	up
the	DT	the
screen	NN	screen
.	SENT	.
these	DT	these
are	VBP	be
of	IN	of
about	RB	about
equal	JJ	equal
quality	NN	quality
to	TO	to
what	WP	what
you	PP	you
might	MD	might
observe	VB	observe
on	IN	on
a	DT	a
nintendo	JJ	<unknown>
64	CD	@card@
video	NN	video
game	NN	game
.	SENT	.
the	DT	the
action	NN	action
sequences	NNS	sequence
,	,	,
which	WDT	which
include	VBP	include
a	DT	a
variety	NN	variety
of	IN	of
chases	NNS	chase
,	,	,
are	VBP	be
occasionally	RB	occasionally
interesting	JJ	interesting
,	,	,
but	CC	but
never	RB	never
invigorating	VBG	invigorate
.	SENT	.
everyone	NN	everyone
,	,	,
including	VBG	include
long	RB	long
,	,	,
appears	VBZ	appear
to	TO	to
be	VB	be
going	VBG	go
through	IN	through
the	DT	the
motions	NNS	motion
.	SENT	.
there	EX	there
is	VBZ	be
n't	RB	n't
a	DT	a
memorable	JJ	memorable
performance	NN	performance
to	TO	to
be	VB	be
found	VBN	find
from	IN	from
beginning	VBG	begin
to	TO	to
end	VB	end
,	,	,
unless	IN	unless
you	PP	you
count	VBP	count
the	DT	the
forest	NN	forest
fire	NN	fire
,	,	,
which	WDT	which
generates	VBZ	generate
some	DT	some
heat	NN	heat
.	SENT	.
as	IN	as
the	DT	the
sadistic	JJ	sadistic
creep	VB	creep
who	WP	who
must	MD	must
be	VB	be
killed	VBN	kill
twice	RB	twice
to	TO	to
really	RB	really
die	VB	die
,	,	,
william	NP	William
forsythe	NP	Forsythe
lacks	VBZ	lack
panache	NN	panache
.	SENT	.
he	PP	he
's	VBZ	be
worse	JJR	bad
than	IN	than
a	DT	a
generic	JJ	generic
bad	JJ	bad
guy	NN	guy
;	:	;
he	PP	he
's	VBZ	be
a	DT	a
boring	JJ	boring
generic	JJ	generic
bad	JJ	bad
guy	NN	guy
who	WP	who
does	VBZ	do
n't	RB	n't
have	VB	have
any	DT	any
snappy	JJ	snappy
one-liners	NNS	one-liner
to	TO	to
hurl	VB	hurl
at	IN	at
our	PP$	our
big	JJ	big
burly	JJ	burly
hero	NN	hero
.	SENT	.
my	PP$	my
advice	NN	advice
to	TO	to
scott	NP	Scott
glenn	NP	Glenn
(	(	(
absolute	JJ	absolute
power	NN	power
)	)	)
and	CC	and
suzy	NN	Suzy
amis	NNS	ami
(	(	(
titanic	JJ	titanic
)	)	)
is	VBZ	be
to	TO	to
accidentally	RB	accidentally
forget	VB	forget
this	DT	this
film	NN	film
the	DT	the
next	JJ	next
time	NN	time
they	PP	they
're	VBP	be
making	VBG	make
out	RP	out
a	DT	a
resume	NN	resume
.	SENT	.
there	EX	there
's	VBZ	be
some	DT	some
small	JJ	small
comfort	NN	comfort
in	IN	in
knowing	VBG	know
this	DT	this
early	JJ	early
in	IN	in
the	DT	the
year	NN	year
that		IN	that
i	NP	i
already	RB	already
have	VBP	have
one	CD	one
entry	NN	entry
for	IN	for
my	PP$	my
bottom	JJ	bottom
10	CD	@card@
list	NN	list
.	SENT	.
(	(	(
at	IN	at
least	JJS	least
i	NNS	i
hope	VBP	hope
there	EX	there
are	VBP	be
n't	RB	n't
10	CD	@card@
worse	JJR	bad
films	NNS	film
than	IN	than
this	DT	this
.	SENT	.
)	)	)
and	CC	and
i	NP	i
know	VBP	know
i	NP	i
was	VBD	be
n't	RB	n't
the	DT	the
only	JJ	only
one	CD	one
who	WP	who
really	RB	really
disliked	VBD	dislike
this	DT	this
movie	NN	movie
.	SENT	.
as	IN	as
the	DT	the
audience	NN	audience
was	VBD	be
filing	VBG	file
out	RP	out
of	IN	of
the	DT	the
screening	NN	screening
,	,	,
i	NP	i
loitered	VBD	loiter
in	IN	in
the	DT	the
theater	NN	theater
lobby	NN	lobby
to	TO	to
catch	VB	catch
a	DT	a
few	JJ	few
comments	NNS	comment
.	SENT	.
the	DT	the
general	JJ	general
consensus	NN	consensus
seemed	VBD	seem
to	TO	to
be	VB	be
that		IN	that
,	,	,
although	IN	although
the	DT	the
movie	NN	movie
sucked	VBD	suck
,	,	,
the	DT	the
promotional	JJ	promotional
key	JJ	key
ring	NN	ring
was	VBD	be
cool	JJ	cool
.	SENT	.
the	DT	the
problem	NN	problem
is	VBZ	be
that		IN	that
fox	NN	fox
wo	MD	wo
n't	RB	n't
be	VB	be
giving	VBG	give
out	RP	out
key	JJ	key
rings	NNS	ring
to	TO	to
regular	JJ	regular
movie-goers	NNS	<unknown>
,	,	,
so	IN	so
that	WDT	that
nixes	VBZ	nix
any	DT	any
reason	NN	reason
to	TO	to
see	VB	see
firestorm	NN	firestorm
.	SENT	.
