although	IN	although
the	DT	the
story	NN	story
.	SENT	.
so	RB	so
what	WP	what
did	VBD	do
the	DT	the
writers	NNS	writer
choose	VBP	choose
to	TO	to
do	VB	do
?	SENT	?
why	WRB	why
,	,	,
they	PP	they
set	VBD	set
up	RP	up
a	DT	a
protracted	JJ	protracted
,	,	,
cliched	JJ	cliched
scene	NN	scene
where	WRB	where
the	DT	the
children	NNS	child
almost	RB	almost
go	VBP	go
over	IN	over
a	DT	a
waterfall	NN	waterfall
,	,	,
of	IN	of
course	NN	course
!	SENT	!
for	IN	for
the	DT	the
youngest	JJS	young
of	IN	of
children	NNS	child
(	(	(
ages	NNS	age
3-7	CD	@card@
)	)	)
,	,	,
"	''	"
the	DT	the
rugrats	NNS	<unknown>
movie	NN	movie
,	,	,
"	``	"
may	MD	may
very	RB	very
well	RB	well
entertain	VB	entertain
them	PP	them
,	,	,
judging	VBG	judge
from	IN	from
the	DT	the
audience	NN	audience
i	NP	i
saw	VBD	see
this	DT	this
with	IN	with
.	SENT	.
of	IN	of
course	NN	course
,	,	,
if	IN	if
you	PP	you
looked	VBD	look
around	RP	around
at	IN	at
all	DT	all
of	IN	of
the	DT	the
older	JJR	old
kids	NNS	kid
and	CC	and
their	PP$	their
parents	NNS	parent
,	,	,
they	PP	they
were	VBD	be
all	RB	all
desperately	RB	desperately
struggling	VBG	struggle
to	TO	to
stay	VB	stay
awake	JJ	awake
,	,	,
and	CC	and
that		IN	that
included	VBN	include
me	PP	me
.	SENT	.
for	IN	for
an	DT	an
adult	NN	adult
,	,	,
"	''	"
the	DT	the
rugrats	NNS	<unknown>
movie	NN	movie
,	,	,
"	''	"
is	VBZ	be
a	DT	a
piece	NN	piece
of	IN	of
garbage	NN	garbage
.	SENT	.
the	DT	the
plotline	NN	<unknown>
is	VBZ	be
unoriginal	JJ	unoriginal
and	CC	and
the	DT	the
writing	NN	writing
has	VBZ	have
absolutely	RB	absolutely
no	DT	no
wit	NN	wit
or	CC	or
charm	NN	charm
.	SENT	.
there	EX	there
is	VBZ	be
n't	RB	n't
one	CD	one
laugh	NN	laugh
to	TO	to
be	VB	be
had	VBN	have
in	IN	in
the	DT	the
film	NN	film
,	,	,
nor	CC	nor
is	VBZ	be
there	RB	there
any	DT	any
excitement	NN	excitement
.	SENT	.
if	IN	if
anything	NN	anything
is	VBZ	be
even	RB	even
marginally	RB	marginally
good	JJ	good
in	IN	in
the	DT	the
picture	NN	picture
,	,	,
it	PP	it
is	VBZ	be
the	DT	the
bright	JJ	bright
animation	NN	animation
style	NN	style
,	,	,
so	RB	so
it	PP	it
is	VBZ	be
especially	RB	especially
unfortunate	JJ	unfortunate
that		IN	that
it	PP	it
was	VBD	be
n't	RB	n't
to	TO	to
service	VB	service
a	DT	a
more	JJR	more
quality	NN	quality
film	NN	film
.	SENT	.
"	``	"
the	DT	the
rugrats	NNS	<unknown>
movie	NN	movie
"	``	"
is	VBZ	be
doa	NN	<unknown>
from	IN	from
the	DT	the
start	NN	start
.	SENT	.
i	NNS	i
am	VBP	be
all	RB	all
for	IN	for
a	DT	a
worthwhile	JJ	worthwhile
family	NN	family
movie	NN	movie
,	,	,
but	CC	but
sometimes	RB	sometimes
an	DT	an
animated	JJ	animated
film	NN	film
comes	VBZ	come
along	IN	along
that	WDT	that
is	VBZ	be
simply	RB	simply
awful	JJ	awful
.	SENT	.
as	RB	as
said	VBD	say
before	RB	before
,	,	,
young	JJ	young
children	NNS	child
may	MD	may
like	VB	like
it	PP	it
,	,	,
but	CC	but
even	RB	even
they	PP	they
deserve	VBP	deserve
better	JJR	good
than	IN	than
this	DT	this
.	SENT	.
for	IN	for
adults	NNS	adult
,	,	,
it	PP	it
is	VBZ	be
a	DT	a
nearly	RB	nearly
unbearable	JJ	unbearable
,	,	,
excruciating	JJ	excruciating
chore	NN	chore
to	TO	to
sit	VB	sit
through	RP	through
.	SENT	.
as	RB	as
for	IN	for
me	PP	me
,	,	,
"	''	"
the	DT	the
rugrats	NNS	<unknown>
movie	NN	movie
,	,	,
"	''	"
is	VBZ	be
not	RB	not
the	DT	the
worst	JJS	bad
of	IN	of
the	DT	the
year	NN	year
,	,	,
nor	CC	nor
is	VBZ	be
it	PP	it
the	DT	the
most	RBS	most
deeply	RB	deeply
hated	VBN	hate
,	,	,
but	CC	but
it	PP	it
is	VBZ	be
the	DT	the
most	RBS	most
boring	JJ	boring
.	SENT	.
parents	NNS	parent
:	:	:
do	VBP	do
yourselves	NNS	<unknown>
a	DT	a
favor	NN	favor
and	CC	and
take	VB	take
your	PP$	your
kids	NNS	kid
to	TO	to
see	VB	see
the	DT	the
rerelease	NN	<unknown>
of	IN	of
,	,	,
"	''	"
the	DT	the
wizard	NN	wizard
of	IN	of
oz	NP	Oz
.	SENT	.
"	``	"
that	DT	that
is	VBZ	be
a	DT	a
picture	NN	picture
that	WDT	that
contains	VBZ	contain
a	DT	a
great	JJ	great
deal	NN	deal
of	IN	of
magic	NN	magic
and	CC	and
wonder	NN	wonder
,	,	,
two	CD	two
things	NNS	thing
of	IN	of
which	WDT	which
,	,	,
"	''	"
the	DT	the
rugrats	NNS	<unknown>
movie	NN	movie
,	,	,
"	''	"
is	VBZ	be
completely	RB	completely
missing	VBG	miss
.	SENT	.
