when	WRB	when
;	:	;
there	EX	there
is	VBZ	be
no	DT	no
woman	NN	woman
he	PP	he
ca	MD	ca
n't	RB	n't
have	VB	have
,	,	,
no	DT	no
material	NN	material
object	VBP	object
out	RP	out
of	IN	of
his	PP$	his
reach	NN	reach
.	SENT	.
he	PP	he
has	VBZ	have
all	PDT	all
the	DT	the
money	NN	money
,	,	,
all	PDT	all
the	DT	the
sex	NN	sex
--	:	--
all	DT	all
at	IN	at
his	PP$	his
fingertips	NNS	fingertip
.	SENT	.
and	CC	and
,	,	,
luckily	RB	luckily
,	,	,
his	PP$	his
parents	NNS	parent
never	RB	never
enter	VBP	enter
into	IN	into
his	PP$	his
life	NN	life
--	:	--
no	UH	no
,	,	,
in	IN	in
the	DT	the
world	NN	world
of	IN	of
cruel	JJ	cruel
intentions	NNS	intention
,	,	,
adults	NNS	adult
do	VBP	do
n't	RB	n't
really	RB	really
exist	VB	exist
.	SENT	.
the	DT	the
ones	NNS	one
who	WP	who
do	VBP	do
are	VBP	be
irritating	VBG	irritate
.	SENT	.
sebastian	JJ	<unknown>
valmont	JJ	<unknown>
lives	NNS	life
with	IN	with
his	PP$	his
stepsister	NN	stepsister
,	,	,
kathryn	NP	Kathryn
merteuil	NP	Merteuil
(	(	(
sarah	NN	<unknown>
michelle	NN	Michelle
gellar	NN	<unknown>
)	)	)
,	,	,
the	DT	the
bitch-queen	NP	<unknown>
of	IN	of
the	DT	the
universe	NN	universe
,	,	,
and	CC	and
also	RB	also
the	DT	the
woman	NN	woman
every	DT	every
man	NN	man
wants	VBZ	want
.	SENT	.
since	IN	since
these	DT	these
two	CD	two
rich	JJ	rich
kids	NNS	kid
are	VBP	be
so	RB	so
bored	VBN	bore
,	,	,
they	PP	they
only	RB	only
thing	NN	thing
they	PP	they
can	MD	can
do	VB	do
is	VBZ	be
challenge	VB	challenge
each	DT	each
other	JJ	other
with	IN	with
meaningless	JJ	meaningless
sexual	JJ	sexual
liaisons	NNS	liaison
.	SENT	.
kathryn	NP	Kathryn
wants	VBZ	want
sebastian	JJ	<unknown>
valmont	NNS	<unknown>
to	TO	to
de-virginize	VB	<unknown>
cecile	JJ	<unknown>
caldwell	NN	<unknown>
(	(	(
selma	NP	Selma
blair	NP	Blair
)	)	)
,	,	,
a	DT	a
naive	JJ	naive
dork-chick	NN	<unknown>
who	WP	who
has	VBZ	have
somehow	RB	somehow
wronged	VBN	wrong
kathryn	NN	<unknown>
.	SENT	.
but	CC	but
it	PP	it
's	VBZ	be
too	RB	too
easy	JJ	easy
for	IN	for
sebastian	JJ	<unknown>
valmont	NNS	<unknown>
--	:	--
he	PP	he
wants	VBZ	want
to	TO	to
nail	VB	nail
annette	NP	Annette
hargrove	NP	Hargrove
(	(	(
reese	NP	Reese
witherspoon	NP	Witherspoon
)	)	)
,	,	,
the	DT	the
"	``	"
paradigm	NN	paradigm
of	IN	of
chastity	NN	chastity
and	CC	and
beauty	NN	beauty
.	SENT	.
"	''	"
so	RB	so
,	,	,
sebastian	JJ	<unknown>
valmont	NP	Valmont
and	CC	and
kathryn	NP	Kathryn
make	VBP	make
a	DT	a
deal	NN	deal
(	(	(
which	WDT	which
is	VBZ	be
too	RB	too
explicit	JJ	explicit
to	TO	to
state	VB	state
here	RB	here
)	)	)
.	SENT	.
but	RB	but
--	:	--
dear	JJ	dear
god	NN	god
!	SENT	!
--	:	--
sebastian	NP	Sebastian
valmont	NP	Valmont
actually	RB	actually
begins	VBZ	begin
to	TO	to
fall	VB	fall
for	IN	for
poor	JJ	poor
annette	NN	<unknown>
hargrove	NN	<unknown>
.	SENT	.
dangerous	JJ	dangerous
liaisons	NNS	liaison
is	VBZ	be
a	DT	a
great	JJ	great
movie	NN	movie
because	IN	because
the	DT	the
characters	NNS	character
are	VBP	be
all	RB	all
believable	JJ	believable
,	,	,
and	CC	and
because	IN	because
of	IN	of
its	PP$	its
masterful	JJ	masterful
acting	NN	acting
.	SENT	.
cruel	JJ	cruel
intentions	NNS	intention
is	VBZ	be
bad	JJ	bad
for	IN	for
many	JJ	many
reasons	NNS	reason
,	,	,
but	CC	but
it	PP	it
lacks	VBZ	lack
both	DT	both
believable	JJ	believable
characters	NNS	character
and	CC	and
masterful	JJ	masterful
acting	VBG	act
.	SENT	.
kathryn	NP	Kathryn
merteuil	NP	Merteuil
is	VBZ	be
simply	RB	simply
a	DT	a
hateful	JJ	hateful
witch	NN	witch
,	,	,
a	DT	a
girl	NN	girl
so	RB	so
loathsome	JJ	loathsome
that		IN	that
i	NP	i
would	MD	would
probably	RB	probably
enjoy	VB	enjoy
pouring	VBG	pour
hot	JJ	hot
lead	NN	lead
on	IN	on
her	PP	her
.	SENT	.
she	PP	she
is	VBZ	be
supposed	VBN	suppose
to	TO	to
be	VB	be
mean	JJ	mean
,	,	,
but	CC	but
glenn	NP	Glenn
close	RB	close
gave	VBD	give
the	DT	the
character	NN	character
some	DT	some
depth	NN	depth
in	IN	in
dangerous	JJ	dangerous
liaisons	NNS	liaison
.	SENT	.
gellar	NN	<unknown>
,	,	,
while	IN	while
aesthetically	RB	aesthetically
pleasing	JJ	pleasing
,	,	,
is	VBZ	be
one-dimensional	JJ	one-dimensional
and	CC	and
utterly	RB	utterly
repulsive	JJ	repulsive
.	SENT	.
witherspoon	NN	<unknown>
has	VBZ	have
a	DT	a
truly	RB	truly
beautiful	JJ	beautiful
face	NN	face
,	,	,
but	CC	but
her	PP$	her
character	NN	character
is	VBZ	be
n't	RB	n't
the	DT	the
moral	JJ	moral
staple	NN	staple
she	PP	she
's	VBZ	be
supposed	VBN	suppose
to	TO	to
be	VB	be
:	:	:
sure	RB	sure
,	,	,
she	PP	she
wo	MD	wo
n't	RB	n't
have	VB	have
sex	NN	sex
until	IN	until
she	PP	she
's	VBZ	be
in	IN	in
love	NN	love
(	(	(
is	VBZ	be
this	DT	this
really	RB	really
a	DT	a
*	SYM	*
moral	NN	moral
*	SYM	*
issue	NN	issue
?	SENT	?
)	)	)
,	,	,
but	CC	but
she	PP	she
does	VBZ	do
some	DT	some
things	NNS	thing
in	IN	in
the	DT	the
last	JJ	last
few	JJ	few
scenes	NNS	scene
that	WDT	that
are	VBP	be
more	JJR	more
than	IN	than
a	DT	a
little	RB	little
reprehensible	JJ	reprehensible
.	SENT	.
but	CC	but
i	NP	i
ca	MD	ca
n't	RB	n't
forget	VB	forget
mr	NN	Mr
.	SENT	.
phillippe	NN	<unknown>
,	,	,
who	WP	who
continues	VBZ	continue
to	TO	to
exceed	VB	exceed
my	PP$	my
expectations	NNS	expectation
with	IN	with
his	PP$	his
impenetrable	JJ	impenetrable
,	,	,
invulnerable	JJ	invulnerable
blandness	NN	blandness
.	SENT	.
i	NNS	i
have	VBP	have
to	TO	to
give	VB	give
him	PP	him
credit	NN	credit
and	CC	and
say	VBP	say
that		IN	that
he	PP	he
did	VBD	do
,	,	,
in	IN	in
fact	NN	fact
,	,	,
manage	VBP	manage
to	TO	to
change	VB	change
his	PP$	his
facial	JJ	facial
expression	NN	expression
about	IN	about
three	CD	three
times	NNS	time
during	IN	during
the	DT	the
course	NN	course
of	IN	of
cruel	JJ	cruel
intentions	NNS	intention
.	SENT	.
and	CC	and
there	EX	there
's	VBZ	be
one	CD	one
point	NN	point
in	IN	in
the	DT	the
film	NN	film
in	IN	in
which	WDT	which
he	PP	he
shouts	VBZ	shout
,	,	,
thereby	RB	thereby
defeating	VBG	defeat
my	PP$	my
hypothesis	NN	hypothesis
that		IN	that
he	PP	he
is	VBZ	be
vocally	RB	vocally
monotone	NN	monotone
.	SENT	.
true	JJ	true
,	,	,
he	PP	he
is	VBZ	be
bad	JJ	bad
,	,	,
but	CC	but
it	PP	it
does	VBZ	do
n't	RB	n't
help	VB	help
that		IN	that
he	PP	he
has	VBZ	have
no	DT	no
character	NN	character
to	TO	to
work	VB	work
with	IN	with
.	SENT	.
kumble	NN	<unknown>
has	VBZ	have
drained	VBN	drain
all	PDT	all
the	DT	the
interesting	JJ	interesting
aspects	NNS	aspect
from	IN	from
this	DT	this
character	NN	character
,	,	,
leaving	VBG	leave
us	PP	us
with	IN	with
a	DT	a
sex-crazed	JJ	<unknown>
lunatic	NN	lunatic
who	WP	who
is	VBZ	be
supposed	VBN	suppose
to	TO	to
be	VB	be
sympathetic	JJ	sympathetic
because	IN	because
he	PP	he
falls	VBZ	fall
in	IN	in
love	NN	love
with	IN	with
a	DT	a
moral	JJ	moral
flower	NN	flower
and	CC	and
shuns	VBZ	shun
the	DT	the
wicked	JJ	wicked
bitch	NN	bitch
.	SENT	.
the	DT	the
film	NN	film
fails	VBZ	fail
in	IN	in
every	DT	every
other	JJ	other
way	NN	way
,	,	,
too	RB	too
.	SENT	.
first	JJ	first
of	IN	of
all	DT	all
,	,	,
nobody	NN	nobody
talks	NNS	talk
like	IN	like
this	DT	this
.	SENT	.
even	RB	even
the	DT	the
"	``	"
intellectuals	NNS	intellectual
"	''	"
i	NNS	i
know	VBP	know
do	VBP	do
n't	RB	n't
bother	VB	bother
with	IN	with
this	DT	this
kind	NN	kind
of	IN	of
pointless	JJ	pointless
and	CC	and
pretentious	JJ	pretentious
yammering	VBG	yammer
.	SENT	.
for	IN	for
a	DT	a
while	NN	while
,	,	,
the	DT	the
movie	NN	movie
looks	VBZ	look
like	IN	like
it	PP	it
might	MD	might
play	VB	play
itself	PP	itself
for	IN	for
laughs	NNS	laugh
,	,	,
but	CC	but
it	PP	it
ends	VBZ	end
up	RP	up
taking	VBG	take
itself	PP	itself
so	RB	so
seriously	RB	seriously
that		IN	that
there	EX	there
's	VBZ	be
no	DT	no
way	NN	way
we	PP	we
can	MD	can
join	VB	join
it	PP	it
.	SENT	.
cruel	JJ	cruel
intentions	NNS	intention
also	RB	also
manages	VBZ	manage
to	TO	to
come	VB	come
off	RP	off
as	RB	as
soft-porn	JJ	soft-porn
in	IN	in
more	JJR	more
than	IN	than
one	CD	one
scene	NN	scene
.	SENT	.
earlier	JJR	early
i	NNS	i
mentioned	VBD	mention
a	DT	a
fully-clothed	JJ	<unknown>
hand-job	NN	<unknown>
;	:	;
this	DT	this
occurs	VBZ	occur
between	IN	between
kathryn	NP	Kathryn
and	CC	and
sebastian	NP	Sebastian
valmont	NP	Valmont
,	,	,
both	DT	both
of	IN	of
whom	WP	whom
are	VBP	be
intended	VBN	intend
to	TO	to
be	VB	be
hateful	JJ	hateful
at	IN	at
this	DT	this
point	NN	point
in	IN	in
the	DT	the
movie	NN	movie
.	SENT	.
so	RB	so
,	,	,
if	IN	if
we	PP	we
hate	VBP	hate
them	PP	them
,	,	,
then	RB	then
what	WP	what
's	VBZ	be
the	DT	the
point	NN	point
of	IN	of
an	DT	an
extended	JJ	extended
sex	NN	sex
scene	NN	scene
?	SENT	?
titillation	NN	titillation
,	,	,
of	IN	of
course	NN	course
.	SENT	.
it	PP	it
ca	MD	ca
n't	RB	n't
even	RB	even
work	VB	work
under	IN	under
the	DT	the
pretense	NN	pretense
of	IN	of
"	``	"
meaningful	JJ	meaningful
love	NN	love
scene	NN	scene
,	,	,
"	``	"
because	IN	because
we	PP	we
hate	VBP	hate
the	DT	the
characters	NNS	character
.	SENT	.
it	PP	it
's	VBZ	be
interesting	JJ	interesting
to	TO	to
note	VB	note
some	DT	some
of	IN	of
the	DT	the
parallels	NNS	parallel
between	IN	between
cruel	JJ	cruel
intentions	NNS	intention
and	CC	and
dangerous	JJ	dangerous
liaisons	NNS	liaison
.	SENT	.
kumble	NN	<unknown>
is	VBZ	be
clearly	RB	clearly
familiar	JJ	familiar
with	IN	with
the	DT	the
earlier	JJR	early
film	NN	film
;	:	;
many	JJ	many
of	IN	of
the	DT	the
scenes	NNS	scene
have	VBP	have
a	DT	a
similar	JJ	similar
tone	NN	tone
,	,	,
and	CC	and
there	EX	there
are	VBP	be
moments	NNS	moment
in	IN	in
frears	NNS	<unknown>
'	POS	'
film	NN	film
that		IN	that
kumble	NN	<unknown>
imitates	VBZ	imitate
almost	RB	almost
completely	RB	completely
(	(	(
such	JJ	such
as	IN	as
the	DT	the
last	JJ	last
scene	NN	scene
,	,	,
in	IN	in
which	WDT	which
[	SYM	[
spoiler	NN	spoiler
warning	NN	warning
!	SENT	!
]	SYM	]
the	DT	the
antagonist	NN	antagonist
is	VBZ	be
humiliated	VBN	humiliate
in	IN	in
front	NN	front
of	IN	of
her	PP$	her
peers	NNS	peer
)	)	)
.	SENT	.
but	CC	but
kids	NNS	kid
do	VBP	do
n't	RB	n't
act	VB	act
like	IN	like
this	DT	this
.	SENT	.
nobody	NN	nobody
acts	NNS	act
like	IN	like
this	DT	this
.	SENT	.
in	IN	in
his	PP$	his
translation	NN	translation
,	,	,
roger	NN	<unknown>
kumble	NN	<unknown>
forgot	VBD	forget
character	NN	character
development	NN	development
and	CC	and
sympathy	NN	sympathy
--	:	--
some	DT	some
pretty	JJ	pretty
crucial	JJ	crucial
elements	NNS	element
.	SENT	.
the	DT	the
result	NN	result
is	VBZ	be
a	DT	a
picture	NN	picture
of	IN	of
confounding	VBG	confound
badness	NN	badness
,	,	,
a	DT	a
kiddie-porn	NN	<unknown>
mess	NN	mess
that	WDT	that
thinks	VBZ	think
it	PP	it
's	VBZ	be
really	RB	really
deep	JJ	deep
and	CC	and
profound	JJ	profound
.	SENT	.
i	NP	i
'll	MD	will
give	VB	give
cruel	JJ	cruel
intentions	NNS	intention
credit	NN	credit
for	IN	for
realizing	VBG	realize
its	PP$	its
influences	NNS	influence
,	,	,
but	CC	but
that	WDT	that
does	VBZ	do
n't	RB	n't
change	VB	change
the	DT	the
fact	NN	fact
that		IN	that
it	PP	it
's	VBZ	be
awful	JJ	awful
.	SENT	.
