1989	CD	@card@
is	VBZ	be
retiring	VBG	retire
pitcher	NN	pitcher
gus	NN	<unknown>
cantrell	NP	Cantrell
(	(	(
scott	NP	Scott
bakula	NP	Bakula
)	)	)
,	,	,
who	WP	who
is	VBZ	be
hired	VBN	hire
by	IN	by
minnesota	NN	<unknown>
twins	NNS	twin
owner	NN	owner
roger	NN	<unknown>
dorn	NP	Dorn
(	(	(
bernsen	NP	Bernsen
)	)	)
to	TO	to
manage	VB	manage
the	DT	the
twins	NNS	twin
'	POS	'
aaa	NN	<unknown>
team	NN	team
,	,	,
the	DT	the
buzz	NN	buzz
.	SENT	.
you	PP	you
can	MD	can
write	VB	write
the	DT	the
movie	NN	movie
from	IN	from
here	RB	here
:	:	:
he	PP	he
finds	VBZ	find
a	DT	a
group	NN	group
of	IN	of
misfits	NNS	misfit
who	WP	who
need	VBP	need
to	TO	to
learn	VB	learn
how	WRB	how
to	TO	to
play	VB	play
together	RB	together
as	IN	as
a	DT	a
team	NN	team
in	IN	in
order	NN	order
to	TO	to
win	VB	win
.	SENT	.
there	EX	there
's	VBZ	be
a	DT	a
future	JJ	future
superstar	NN	superstar
whose	WP$	whose
ego	NN	ego
keeps	VBZ	keep
him	PP	him
from	IN	from
growing	VBG	grow
(	(	(
walton	NN	<unknown>
goggins	NNS	<unknown>
)	)	)
,	,	,
an	DT	an
ex-ballet	NN	<unknown>
dancer	NN	dancer
(	(	(
kenneth	NP	Kenneth
johnson	NP	Johnson
)	)	)
,	,	,
a	DT	a
broken-down	JJ	broken-down
old	JJ	old
timer	NN	timer
(	(	(
thom	NN	<unknown>
barry	NN	<unknown>
)	)	)
,	,	,
twin	JJ	twin
outfielders	NNS	outfielder
both	CC	both
named	VBN	name
juan	NN	<unknown>
(	(	(
the	DT	the
difilippo	NN	<unknown>
triplets	NNS	triplet
)	)	)
,	,	,
and	CC	and
a	DT	a
couple	NN	couple
pitchers	NNS	pitcher
with	IN	with
throwing	VBG	throw
problems	NNS	problem
(	(	(
judson	NN	<unknown>
mills	NNS	mill
and	CC	and
peter	NN	peter
mackenzie	NN	<unknown>
)	)	)
.	SENT	.
along	IN	along
the	DT	the
way	NN	way
,	,	,
gus	NN	<unknown>
picks	NNS	pick
up	IN	up
cerrano	NP	Cerrano
and	CC	and
tanaka	NP	Tanaka
(	(	(
gus	NN	<unknown>
is	VBZ	be
supposedly	RB	supposedly
an	DT	an
old	JJ	old
teammate	NN	teammate
of	IN	of
theirs	PP	theirs
,	,	,
even	RB	even
though	IN	though
he	PP	he
was	VBD	be
n't	RB	n't
in	IN	in
either	DT	either
of	IN	of
the	DT	the
preceding	JJ	preceding
films	NNS	film
)	)	)
.	SENT	.
sum	NN	sum
total	NN	total
:	:	:
none	NN	none
.	SENT	.
the	DT	the
entire	JJ	entire
enterprise	NN	enterprise
is	VBZ	be
artificial	JJ	artificial
,	,	,
and	CC	and
the	DT	the
cast	NN	cast
is	VBZ	be
not	RB	not
ready	JJ	ready
for	IN	for
the	DT	the
hollywood	NN	<unknown>
majors	NNS	major
.	SENT	.
gus	NN	<unknown>
'	POS	'
antagonist	NN	antagonist
is	VBZ	be
twins	NNS	twin
manager	NN	manager
leonard	NN	Leonard
huff	NN	huff
(	(	(
ted	VB	ted
mcginley	VBG	<unknown>
)	)	)
.	SENT	.
leonard	NN	Leonard
is	VBZ	be
a	DT	a
slimy	JJ	slimy
,	,	,
sniveling	VBG	snivel
little	JJ	little
egotist	NN	egotist
,	,	,
and	CC	and
the	DT	the
twins	NNS	twin
are	VBP	be
lazy	JJ	lazy
,	,	,
spoiled	JJ	spoiled
,	,	,
and	CC	and
full	JJ	full
of	IN	of
themselves	PP	themselves
.	SENT	.
(	(	(
even	RB	even
watching	VBG	watch
the	DT	the
first	JJ	first
movie	NN	movie
i	NNS	i
wondered	VBD	wonder
why	WRB	why
any	DT	any
real-life	JJ	real-life
team	NN	team
would	MD	would
lend	VB	lend
itself	PP	itself
to	TO	to
being	VBG	be
caricatured	VBN	caricature
in	IN	in
this	DT	this
manner	NN	manner
)	)	)
.	SENT	.
gus	NN	<unknown>
challenges	NNS	challenge
leonard	NN	Leonard
to	TO	to
a	DT	a
match	NN	match
,	,	,
the	DT	the
buzz	JJ	buzz
vs	NP	vs
.	SENT	.
the	DT	the
twins	NNS	twin
.	SENT	.
(	(	(
wanna	VB	wanna
guess	VB	guess
who	WP	who
wins	VBZ	win
?	SENT	?
)	)	)
"	``	"
back	RB	back
to	TO	to
the	DT	the
minors	NNS	minor
"	``	"
is	VBZ	be
a	DT	a
movie	NN	movie
that	WDT	that
has	VBZ	have
no	DT	no
reason	NN	reason
to	TO	to
exist	VB	exist
.	SENT	.
there	EX	there
's	VBZ	be
hardly	RB	hardly
a	DT	a
laugh	NN	laugh
in	IN	in
it	PP	it
,	,	,
the	DT	the
cast	NN	cast
is	VBZ	be
weak	JJ	weak
,	,	,
and	CC	and
the	DT	the
first	JJ	first
movie	NN	movie
left	VBD	leave
no	DT	no
room	NN	room
for	IN	for
even	RB	even
one	CD	one
sequel	NN	sequel
.	SENT	.
