there	EX	there
bravado	NN	bravado
basically	RB	basically
turns	VBZ	turn
into	IN	into
bullyness	NN	<unknown>
.	SENT	.
townsfolk	NN	townsfolk
who	WP	who
are	VBP	be
foolish	JJ	foolish
enough	RB	enough
to	TO	to
challenge	VB	challenge
seagal	JJ	<unknown>
are	VBP	be
quickly	RB	quickly
subdued	VBN	subdue
.	SENT	.
fight	NN	fight
scenes	NNS	scene
are	VBP	be
quick	JJ	quick
and	CC	and
senseless	JJ	senseless
and	CC	and
offers	VBZ	offer
no	DT	no
enjoyment	NN	enjoyment
value	NN	value
whatsoever	RB	whatsoever
.	SENT	.
and	CC	and
his	PP$	his
soap	NN	soap
box	NN	box
message	NN	message
wears	VBZ	wear
thin	JJ	thin
within	IN	within
the	DT	the
first	JJ	first
15	CD	@card@
minutes	NNS	minute
.	SENT	.
the	DT	the
most	RBS	most
annoying	VBG	annoy
moment	NN	moment
comes	VBZ	come
when	WRB	when
he	PP	he
barges	VBZ	barge
into	IN	into
the	DT	the
middle	NN	middle
of	IN	of
a	DT	a
sunday	NN	Sunday
church	NN	church
ceremony	NN	ceremony
,	,	,
gets	VBZ	get
behind	IN	behind
the	DT	the
pulpit	NN	pulpit
,	,	,
and	CC	and
beseeches	VBZ	beseech
the	DT	the
townsfolk	NN	townsfolk
to	TO	to
take	VB	take
control	NN	control
of	IN	of
their	PP$	their
lives	NNS	life
and	CC	and
to	TO	to
help	VB	help
clean	VB	clean
up	RP	up
the	DT	the
environment	NN	environment
.	SENT	.
but	CC	but
the	DT	the
epitome	NN	epitome
of	IN	of
how	WRB	how
moralistically	RB	moralistically
mushy	JJ	mushy
this	DT	this
film	NN	film
gets	VBZ	get
happens	VBZ	happen
when	WRB	when
the	DT	the
person	NN	person
responsible	JJ	responsible
for	IN	for
the	DT	the
toxic	JJ	toxic
dumping	VBG	dump
,	,	,
kristopherson	NP	<unknown>
,	,	,
meets	VBZ	meet
up	RP	up
with	IN	with
seagal	NN	<unknown>
.	SENT	.
kristopherson	NP	<unknown>
asks	VBZ	ask
seagal	JJ	<unknown>
how	WRB	how
much	JJ	much
it	PP	it
will	MD	will
take	VB	take
for	IN	for
him	PP	him
to	TO	to
go	VB	go
away	RB	away
.	SENT	.
seagal	NN	<unknown>
gallantly	RB	gallantly
replies	VBZ	reply
:	:	:
"	``	"
i	NP	i
'll	MD	will
leave	VB	leave
when	WRB	when
you	PP	you
take	VBP	take
the	DT	the
poison	NN	poison
from	IN	from
the	DT	the
streams	NNS	stream
and	CC	and
the	DT	the
earth	NN	earth
.	SENT	.
"	''	"
i	NP	i
was	VBD	be
expecting	VBG	expect
patriotic	JJ	patriotic
music	NN	music
to	TO	to
start	VB	start
blasting	NN	blasting
and	CC	and
a	DT	a
show	NN	show
of	IN	of
fireworks	NNS	firework
in	IN	in
the	DT	the
background	NN	background
.	SENT	.
this	DT	this
is	VBZ	be
truly	RB	truly
nothing	NN	nothing
more	JJR	more
than	IN	than
a	DT	a
pompous	JJ	pompous
showcase	NN	showcase
for	IN	for
seagal	NN	<unknown>
's	POS	's
righteousness	NN	righteousness
and	CC	and
narcissistic	JJ	narcissistic
arrogance	NN	arrogance
.	SENT	.
seagal	NN	<unknown>
has	VBZ	have
been	VBN	be
vanguard	NN	vanguard
in	IN	in
trying	VBG	try
to	TO	to
bring	VB	bring
a	DT	a
new	JJ	new
genre	NN	genre
into	IN	into
the	DT	the
filmplace	NN	<unknown>
,	,	,
that	WDT	that
of	IN	of
the	DT	the
enviro-thriller	NN	<unknown>
(	(	(
on	IN	on
deadly	JJ	deadly
ground	NN	ground
)	)	)
.	SENT	.
however	RB	however
,	,	,
the	DT	the
message	NN	message
will	MD	will
never	RB	never
come	VB	come
across	RP	across
through	IN	through
poorly	RB	poorly
developed	VBN	develop
vehicles	NNS	vehicle
like	IN	like
this	DT	this
.	SENT	.
still	RB	still
,	,	,
i	NNS	i
believe	VBP	believe
in	IN	in
preserving	VBG	preserve
mother	NN	mother
earth	NN	earth
,	,	,
so	RB	so
save	VB	save
your	PP$	your
$5	NN	<unknown>
and	CC	and
please	VB	please
donate	VB	donate
it	PP	it
instead	RB	instead
to	TO	to
some	DT	some
worthy	JJ	worthy
environmentally	RB	environmentally
conscious	JJ	conscious
charity	NN	charity
.	SENT	.
