there	EX	there
working	VBG	work
together	RB	together
and	CC	and
then	RB	then
contradicting	VBG	contradict
this	DT	this
definition	NN	definition
by	IN	by
keeping	VBG	keep
its	PP$	its
titular	JJ	titular
trio	NN	trio
apart	RB	apart
for	IN	for
a	DT	a
sizeable	JJ	sizeable
chunk	NN	chunk
of	IN	of
the	DT	the
running	VBG	run
time	NN	time
.	SENT	.
they	PP	they
are	VBP	be
julie	JJ	<unknown>
,	,	,
pete	NN	<unknown>
and	CC	and
linc	NN	<unknown>
,	,	,
reformed	VBN	reform
delinquents	NNS	delinquent
working	VBG	work
undercover	JJ	undercover
for	IN	for
the	DT	the
lapd	NN	<unknown>
(	(	(
exposition	NN	exposition
put	VBN	put
out	RP	out
of	IN	of
the	DT	the
way	NN	way
so	RB	so
fast	RB	fast
that		IN	that
you	PP	you
're	VBP	be
likely	JJ	likely
to	TO	to
be	VB	be
lost	VBN	lose
from	IN	from
the	DT	the
opening	NN	opening
moments	NNS	moment
on	RB	on
)	)	)
,	,	,
and	CC	and
they	PP	they
are	VBP	be
respectively	RB	respectively
played	VBN	play
by	IN	by
claire	NN	<unknown>
danes	NNS	Dane
,	,	,
giovanni	NN	<unknown>
ribisi	NNS	<unknown>
and	CC	and
omar	NN	<unknown>
epps	NNS	<unknown>
,	,	,
talented	JJ	talented
actors	NNS	actor
each	DT	each
deserving	NN	deserving
of	IN	of
better	JJR	good
than	IN	than
this	DT	this
.	SENT	.
their	PP$	their
plight	NN	plight
involves	VBZ	involve
standard	JJ	standard
cop-corruption	NN	<unknown>
stuff	NN	stuff
,	,	,
as	IN	as
our	PP$	our
would-be	JJ	would-be
protagonists	NNS	protagonist
catch	VBP	catch
wind	NN	wind
of	IN	of
an	DT	an
internal	JJ	internal
cover-up	NN	cover-up
after	IN	after
their	PP$	their
superior	NN	superior
(	(	(
reliable	JJ	reliable
dennis	NN	<unknown>
farina	NN	farina
,	,	,
one	CD	one
of	IN	of
the	DT	the
best	JJS	good
things	NNS	thing
here	RB	here
and	CC	and
gone	VBN	go
so	RB	so
quickly	RB	quickly
)	)	)
gets	VBZ	get
killed	VBN	kill
and	CC	and
framed	VBN	frame
for	IN	for
drug	NN	drug
trafficking	NN	trafficking
.	SENT	.
they	PP	they
pout	VBP	pout
a	DT	a
lot	NN	lot
and	CC	and
eventually	RB	eventually
get	VB	get
cracking	VBG	crack
to	TO	to
expose	VB	expose
this	DT	this
convoluted	JJ	convoluted
conspiracy	NN	conspiracy
using	VBG	use
surveillance	NN	surveillance
tactics	NNS	tactic
that	WDT	that
would	MD	would
impress	VB	impress
the	DT	the
hardy	JJ	hardy
boys	NNS	boy
and	CC	and
linda	NN	<unknown>
tripp	NNS	<unknown>
but	CC	but
few	JJ	few
others	NNS	other
.	SENT	.
when	WRB	when
you	PP	you
're	VBP	be
supposed	VBN	suppose
to	TO	to
be	VB	be
asking	VBG	ask
,	,	,
"	``	"
what	WP	what
's	VBZ	be
going	VBG	go
to	TO	to
happen	VB	happen
next	JJ	next
?	SENT	?
"	''	"
,	,	,
you	PP	you
'll	MD	will
instead	RB	instead
entertain	VB	entertain
thoughts	NNS	thought
like	IN	like
"	``	"
who	WP	who
are	VBP	be
these	DT	these
people	NNS	people
and	CC	and
why	WRB	why
should	MD	should
i	NP	i
care	NN	care
?	SENT	?
"	''	"
or	CC	or
"	``	"
are	VBP	be
n't	RB	n't
thrillers	NNS	thriller
supposed	VBN	suppose
to	TO	to
contain	VB	contain
thrills	NNS	thrill
?	SENT	?
"	''	"
not	RB	not
that	DT	that
danes	NNS	Dane
,	,	,
epps	NNS	<unknown>
and	CC	and
ribisi	NNS	<unknown>
do	VBP	do
n't	RB	n't
give	VB	give
it	PP	it
a	DT	a
shot	NN	shot
.	SENT	.
danes	NNS	Dane
can	MD	can
do	VB	do
the	DT	the
troubled	JJ	troubled
teen	JJ	teen
thing	NN	thing
in	IN	in
her	PP$	her
sleep	NN	sleep
,	,	,
as	RB	as
evidenced	VBN	evidence
by	IN	by
"	``	"
my	PP$	my
so-called	JJ	so-called
life	NN	life
,	,	,
"	``	"
but	CC	but
she	PP	she
's	VBZ	be
saddled	VBN	saddle
with	IN	with
a	DT	a
mysterious-boyfriend	NN	<unknown>
(	(	(
josh	NN	josh
brolin	NN	<unknown>
)	)	)
subplot	NN	subplot
so	RB	so
see-through	JJ	see-through
you	PP	you
begin	VBP	begin
to	TO	to
seriously	RB	seriously
question	VB	question
her	PP$	her
so-called	JJ	so-called
intelligence	NN	intelligence
.	SENT	.
ditto	NN	ditto
for	IN	for
ribisi	NP	<unknown>
's	POS	's
(	(	(
"	``	"
saving	VBG	save
private	JJ	private
ryan	NN	<unknown>
"	''	"
)	)	)
looney	JJ	<unknown>
loose	JJ	loose
cannon	NN	cannon
,	,	,
though	IN	though
at	IN	at
least	JJS	least
he	PP	he
performs	VBZ	perform
with	IN	with
a	DT	a
wild-and-crazy	JJ	<unknown>
vigor	NN	vigor
that	WDT	that
occasionally	RB	occasionally
demands	VBZ	demand
attention	NN	attention
.	SENT	.
but	CC	but
epps	NNS	<unknown>
-	:	-
poor	JJ	poor
epps	NNS	<unknown>
.	SENT	.
epps	NNS	<unknown>
(	(	(
"	``	"
higher	JJR	high
learning	VBG	learn
"	''	"
)	)	)
is	VBZ	be
so	RB	so
short-changed	VBN	short-change
he	PP	he
's	VBZ	be
reduced	VBN	reduce
to	TO	to
literally	RB	literally
waiting	VBG	wait
around	RP	around
for	IN	for
a	DT	a
bad	JJ	bad
guy	NN	guy
to	TO	to
chase	VB	chase
him	PP	him
.	SENT	.
all	PDT	all
this	DT	this
sloppiness	NN	sloppiness
can	MD	can
be	VB	be
attributed	VBN	attribute
to	TO	to
the	DT	the
screenwriters	NNS	screenwriter
,	,	,
one	CD	one
of	IN	of
whom	WP	whom
,	,	,
scott	NP	Scott
silver	NN	silver
,	,	,
is	VBZ	be
also	RB	also
the	DT	the
director	NN	director
.	SENT	.
they	PP	they
must	MD	must
think	VB	think
that		IN	that
if	IN	if
they	PP	they
dress	VBP	dress
up	RP	up
their	PP$	their
stupid	JJ	stupid
story	NN	story
in	IN	in
such	JJ	such
spiffy	JJ	spiffy
trappings	NNS	trapping
(	(	(
the	DT	the
look	NN	look
of	IN	of
the	DT	the
film	NN	film
is	VBZ	be
really	RB	really
quite	RB	quite
impressive	JJ	impressive
)	)	)
,	,	,
it	PP	it
'll	MD	will
somehow	RB	somehow
pay	VB	pay
off	RP	off
,	,	,
but	CC	but
this	DT	this
"	``	"
mod	JJ	mod
squad	NN	squad
"	``	"
plods	VBZ	plod
anyway	RB	anyway
.	SENT	.
characters	NNS	character
are	VBP	be
non-existent	JJ	non-existent
;	:	;
present	JJ	present
are	VBP	be
just	RB	just
some	DT	some
good-looking	JJ	good-looking
young	JJ	young
things	NNS	thing
modeling	VBG	model
cool	JJ	cool
levis	NNS	levis
and	CC	and
cooler	JJR	cool
attitudes	NNS	attitude
.	SENT	.
plot	NN	plot
hardly	RB	hardly
escapes	VBZ	escape
confusing	JJ	confusing
convention	NN	convention
.	SENT	.
and	CC	and
the	DT	the
one	CD	one
genre	NN	genre
element	NN	element
you	PP	you
'd	MD	will
think	VB	think
would	MD	would
be	VB	be
show	VB	show
up	RP	up
in	IN	in
generous	JJ	generous
portions	NNS	portion
-	:	-
a	DT	a
few	JJ	few
nifty	JJ	nifty
explosions	NNS	explosion
,	,	,
some	DT	some
fights	NNS	fight
,	,	,
any	DT	any
kind	NN	kind
of	IN	of
action	NN	action
whatsoever	RB	whatsoever
-	:	-
only	RB	only
rarely	RB	rarely
makes	VBZ	make
it	PP	it
to	TO	to
this	DT	this
dull	JJ	dull
gabfest	NN	gabfest
.	SENT	.
all	PDT	all
those	DT	those
quick	JJ	quick
to	TO	to
put	VB	put
down	RP	down
last	JJ	last
month	NN	month
's	POS	's
inept	JJ	inept
but	CC	but
serviceable	JJ	serviceable
"	``	"
my	PP$	my
favorite	JJ	favorite
martian	NN	Martian
"	''	"
update	NN	update
need	VBP	need
to	TO	to
take	VB	take
a	DT	a
step	NN	step
back	RB	back
.	SENT	.
here	RB	here
's	VBZ	be
a	DT	a
small-to-big-screen	NN	<unknown>
translation	NN	translation
that	WDT	that
really	RB	really
should	MD	should
've	VBP	have
stayed	VBN	stay
in	IN	in
its	PP$	its
former	JJ	former
incarnation	NN	incarnation
,	,	,
"	``	"
mod	JJ	mod
"	''	"
or	CC	or
not	RB	not
.	SENT	.
