well	RB	well
a	DT	a
movie	NN	movie
can	MD	can
still	RB	still
be	VB	be
enjoyable	JJ	enjoyable
when	WRB	when
the	DT	the
supporting	VBG	support
cast	NN	cast
is	VBZ	be
more	RBR	more
effective	JJ	effective
than	IN	than
the	DT	the
main	JJ	main
actor	NN	actor
.	SENT	.
"	''	"
end	NN	end
of	IN	of
days	NNS	day
"	``	"
fails	VBZ	fail
to	TO	to
contain	VB	contain
any	DT	any
memorable	JJ	memorable
performances	NNS	performance
with	IN	with
the	DT	the
exception	NN	exception
of	IN	of
gabriel	NN	<unknown>
byrne	NN	<unknown>
.	SENT	.
byrne	NN	<unknown>
,	,	,
playing	VBG	play
a	DT	a
man	NN	man
who	WP	who
has	VBZ	have
been	VBN	be
made	VBN	make
the	DT	the
manifestation	NN	manifestation
of	IN	of
the	DT	the
devil	NN	devil
,	,	,
seems	VBZ	seem
to	TO	to
be	VB	be
the	DT	the
only	JJ	only
one	CD	one
who	WP	who
is	VBZ	be
having	VBG	have
fun	NN	fun
in	IN	in
this	DT	this
whole	JJ	whole
movie	NN	movie
.	SENT	.
he	PP	he
wonderfully	RB	wonderfully
plays	VBZ	play
a	DT	a
manipulative	JJ	manipulative
villain	NN	villain
with	IN	with
the	DT	the
power	NN	power
to	TO	to
control	VB	control
everyone	NN	everyone
at	IN	at
any	DT	any
time	NN	time
.	SENT	.
the	DT	the
annoying	VBG	annoy
thing	NN	thing
about	IN	about
his	PP$	his
character	NN	character
,	,	,
however	RB	however
,	,	,
is	VBZ	be
that		IN	that
he	PP	he
has	VBZ	have
the	DT	the
power	NN	power
to	TO	to
kill	VB	kill
any	DT	any
human	NN	human
with	IN	with
a	DT	a
simple	JJ	simple
punch	NN	punch
in	IN	in
the	DT	the
face	NN	face
,	,	,
yet	CC	yet
he	PP	he
finds	VBZ	find
it	PP	it
impossible	JJ	impossible
to	TO	to
seriously	RB	seriously
hurt	VB	hurt
jericho	NN	<unknown>
.	SENT	.
i	NP	i
can	MD	can
not	RB	not
count	VB	count
the	DT	the
number	NN	number
of	IN	of
times	NNS	time
he	PP	he
could	MD	could
have	VB	have
killed	VBN	kill
jericho	NN	<unknown>
and	CC	and
taken	VBN	take
the	DT	the
girl	NN	girl
from	IN	from
his	PP$	his
custody	NN	custody
.	SENT	.
the	DT	the
other	JJ	other
actors	NNS	actor
in	IN	in
the	DT	the
film	NN	film
give	VB	give
very	RB	very
weak	JJ	weak
and	CC	and
unconvincing	JJ	unconvincing
performances	NNS	performance
.	SENT	.
kevin	NP	Kevin
pollak	NP	Pollak
,	,	,
who	WP	who
plays	VBZ	play
the	DT	the
partner	NN	partner
and	CC	and
close	JJ	close
friend	NN	friend
of	IN	of
jericho	NN	<unknown>
,	,	,
is	VBZ	be
the	DT	the
supposedly	RB	supposedly
funny	JJ	funny
character	NN	character
in	IN	in
the	DT	the
film	NN	film
(	(	(
every	DT	every
action	NN	action
movie	NN	movie
has	VBZ	have
one	CD	one
)	)	)
.	SENT	.
the	DT	the
one	CD	one
problem	NN	problem
is	VBZ	be
that		IN	that
pollak	NP	Pollak
does	VBZ	do
not	RB	not
deliver	VB	deliver
one	CD	one
funny	JJ	funny
line	NN	line
.	SENT	.
robin	NN	robin
tunney	NN	<unknown>
plays	VBZ	play
the	DT	the
chosen	VBN	choose
mother	NN	mother
of	IN	of
satan	NP	<unknown>
's	POS	's
baby	NN	baby
with	IN	with
extreme	JJ	extreme
annoyance	NN	annoyance
.	SENT	.
she	PP	she
gets	VBZ	get
no	DT	no
sympathy	NN	sympathy
from	IN	from
any	DT	any
of	IN	of
the	DT	the
characters	NNS	character
in	IN	in
the	DT	the
film	NN	film
,	,	,
except	IN	except
arnold	NP	Arnold
who	WP	who
pretends	VBZ	pretend
she	PP	she
is	VBZ	be
his	PP$	his
wife	NN	wife
and	CC	and
daughter	NN	daughter
,	,	,
or	CC	or
any	DT	any
of	IN	of
the	DT	the
viewers	NNS	viewer
in	IN	in
the	DT	the
audience	NN	audience
.	SENT	.
in	IN	in
one	CD	one
unnecessary	JJ	unnecessary
scene	NN	scene
,	,	,
tunney	NN	<unknown>
walks	VBZ	walk
out	RP	out
of	IN	of
her	PP$	her
room	NN	room
and	CC	and
takes	VBZ	take
her	PP$	her
top	NN	top
off	RP	off
.	SENT	.
is	VBZ	be
this	DT	this
her	PP$	her
job	NN	job
in	IN	in
the	DT	the
film	NN	film
?	SENT	?
the	DT	the
actors	NNS	actor
are	VBP	be
not	RB	not
to	TO	to
blame	VB	blame
entirely	RB	entirely
because	IN	because
the	DT	the
script	NN	script
is	VBZ	be
terrible	JJ	terrible
.	SENT	.
you	PP	you
can	MD	can
tell	VB	tell
a	DT	a
script	NN	script
is	VBZ	be
terrible	JJ	terrible
when	WRB	when
you	PP	you
are	VBP	be
able	JJ	able
to	TO	to
predict	VB	predict
what	WP	what
will	MD	will
happen	VB	happen
minutes	NNS	minute
before	IN	before
it	PP	it
does	VBZ	do
.	SENT	.
this	DT	this
little	JJ	little
prediction	NN	prediction
game	NN	game
is	VBZ	be
a	DT	a
very	JJ	very
fun	NN	fun
exception	NN	exception
to	TO	to
trying	VBG	try
to	TO	to
sit	VB	sit
through	IN	through
this	DT	this
nonsense	NN	nonsense
of	IN	of
a	DT	a
movie	NN	movie
.	SENT	.
in	IN	in
a	DT	a
last	JJ	last
attempt	NN	attempt
to	TO	to
make	VB	make
this	DT	this
movie	NN	movie
good	JJ	good
,	,	,
special	JJ	special
effects	NNS	effect
are	VBP	be
used	VBN	use
to	TO	to
try	VB	try
to	TO	to
entertain	VB	entertain
the	DT	the
audience	NN	audience
.	SENT	.
but	CC	but
without	IN	without
a	DT	a
memorable	JJ	memorable
action	NN	action
scene	NN	scene
in	IN	in
the	DT	the
whole	JJ	whole
film	NN	film
,	,	,
the	DT	the
director	NN	director
has	VBZ	have
not	RB	not
done	VBN	do
his	PP$	his
job	NN	job
successfully	RB	successfully
.	SENT	.
this	DT	this
film	NN	film
would	MD	would
have	VB	have
gotten	VBN	get
a	DT	a
c+	NN	<unknown>
if	IN	if
arnold	NP	Arnold
stood	VBD	stand
in	IN	in
front	NN	front
of	IN	of
a	DT	a
camera	NN	camera
and	CC	and
shouted	VBD	shout
"	``	"
you	PP	you
are	VBP	be
a	DT	a
!	SENT	!
$@^@	NN	<unknown>
*	SYM	*
^	SYM	^
choir	NN	choir
boy	NN	boy
!	SENT	!
!	SENT	!
"	''	"
for	IN	for
two	CD	two
hours	NNS	hour
.	SENT	.
