according	VBG	accord
hirsch	NN	<unknown>
;	:	;
the	DT	the
next	JJ	next
you	PP	you
'll	MD	will
see	VB	see
a	DT	a
bunch	NN	bunch
of	IN	of
military	JJ	military
uptight	JJ	uptight
guys	NNS	guy
walking	VBG	walk
around	RP	around
,	,	,
saying	VBG	say
corny	JJ	corny
lines	NNS	line
.	SENT	.
the	DT	the
worst	JJS	bad
is	VBZ	be
a	DT	a
scene	NN	scene
between	IN	between
brent	JJ	<unknown>
spiner	NN	<unknown>
and	CC	and
bill	NN	bill
pullman	NN	Pullman
where	WRB	where
spiner	NN	<unknown>
is	VBZ	be
sayinig	NN	<unknown>
something	NN	something
innocently	RB	innocently
funny	JJ	funny
but	CC	but
is	VBZ	be
barked	VBN	bark
like	IN	like
a	DT	a
junkyard	NN	junkyard
dog	NN	dog
by	IN	by
bill	NN	bill
pullman	NN	Pullman
who	WP	who
gives	VBZ	give
him	PP	him
the	DT	the
most	RBS	most
unitentionally	RB	<unknown>
funniest	JJS	funny
speech	NN	speech
since	IN	since
the	DT	the
end	NN	end
of	IN	of
"	``	"
glen	NN	glen
or	CC	or
glenda	NN	<unknown>
?	SENT	?
"	''	"
now	RB	now
this	DT	this
annoying	VBG	annoy
kid	NN	kid
's	POS	's
problem	NN	problem
is	VBZ	be
that		IN	that
in	IN	in
the	DT	the
process	NN	process
of	IN	of
trying	VBG	try
to	TO	to
make	VB	make
everyone	NN	everyone
like	IN	like
him	PP	him
all	RB	all
at	IN	at
once	RB	once
,	,	,
he	PP	he
shows	VBZ	show
he	PP	he
has	VBZ	have
no	DT	no
balls	NNS	ball
.	SENT	.
and	CC	and
"	``	"
independence	NN	independence
day	NN	day
"	``	"
has	VBZ	have
no	DT	no
balls	NNS	ball
.	SENT	.
it	PP	it
plays	VBZ	play
it	PP	it
safe	JJ	safe
everywhere	RB	everywhere
.	SENT	.
it	PP	it
throws	VBZ	throw
in	IN	in
a	DT	a
ton	NN	ton
of	IN	of
action	NN	action
that	WDT	that
is	VBZ	be
borrowed	VBN	borrow
from	IN	from
other	JJ	other
superior	JJ	superior
films	NNS	film
.	SENT	.
the	DT	the
chase	JJ	chase
scene	NN	scene
between	IN	between
the	DT	the
alien	JJ	alien
ship	NN	ship
and	CC	and
will	NN	will
smith	NN	smith
is	VBZ	be
straight	RB	straight
out	RB	out
of	IN	of
"	``	"
star	NN	star
wars	NNS	war
.	SENT	.
"	''	"
i	NNS	i
mean	VBP	mean
,	,	,
is	VBZ	be
n't	RB	n't
that	DT	that
devil	NN	devil
's	POS	's
den	NN	den
?	SENT	?
and	CC	and
the	DT	the
aliens	NNS	alien
are	VBP	be
about	RB	about
as	RB	as
anticlimactic	JJ	anticlimactic
as	IN	as
demi	NP	Demi
moore	NP	Moore
's	POS	's
breasts	NNS	breast
in	IN	in
"	``	"
striptease	NN	striptease
.	SENT	.
"	``	"
they	PP	they
're	VBP	be
these	DT	these
octopus	NN	octopus
men	NNS	man
,	,	,
boring	VBG	bore
freaking	VBG	freak
octopus	NN	octopus
men	NNS	man
.	SENT	.
i	NP	i
mean	NN	mean
,	,	,
come	VBN	come
on	IN	on
.	SENT	.
the	DT	the
aliens	NNS	alien
in	IN	in
"	``	"
2001	CD	@card@
"	''	"
were	VBD	be
more	RBR	more
interesting	JJ	interesting
and	CC	and
you	PP	you
did	VBD	do
n't	RB	n't
even	RB	even
see	VB	see
them	PP	them
!	SENT	!
basically	RB	basically
the	DT	the
plot	NN	plot
is	VBZ	be
straight	JJ	straight
from	IN	from
a	DT	a
b-movie	NN	B-movie
from	IN	from
the	DT	the
50s	JJ	<unknown>
:	:	:
aliens	NNS	alien
come	VBP	come
to	TO	to
earth	VB	earth
and	CC	and
we	PP	we
wonder	VBP	wonder
if	IN	if
they	PP	they
're	VBP	be
hostile	JJ	hostile
or	CC	or
peaceful	JJ	peaceful
.	SENT	.
okay	RB	okay
,	,	,
it	PP	it
's	VBZ	be
an	DT	an
interesting	JJ	interesting
topic	NN	topic
,	,	,
but	CC	but
it	PP	it
's	VBZ	be
not	RB	not
handled	VBN	handle
greatly	RB	greatly
.	SENT	.
now	RB	now
they	PP	they
are	VBP	be
n't	RB	n't
and	CC	and
somehow	RB	somehow
a	DT	a
computer	NN	computer
geek	NN	geek
,	,	,
jeff	NP	Jeff
goldblum	NP	Goldblum
,	,	,
figure	NN	figure
out	IN	out
they	PP	they
're	VBP	be
using	VBG	use
our	PP$	our
satellites	NNS	satellite
as	IN	as
a	DT	a
countdown	NN	countdown
to	TO	to
destruction	NN	destruction
.	SENT	.
yep	NNS	<unknown>
.	SENT	.
these	DT	these
aliens	NNS	alien
are	VBP	be
not	RB	not
only	RB	only
heavily	RB	heavily
armed	VBN	arm
,	,	,
they	PP	they
're	VBP	be
stupid	JJ	stupid
too	RB	too
.	SENT	.
they	PP	they
also	RB	also
use	VBP	use
the	DT	the
same	JJ	same
kind	NN	kind
of	IN	of
computer	NN	computer
as	IN	as
we	PP	we
do	VBP	do
,	,	,
but	CC	but
that	WDT	that
comes	VBZ	come
about	RB	about
later	RBR	later
.	SENT	.
the	DT	the
president	NN	president
(	(	(
bill	NN	bill
pullman	NN	Pullman
)	)	)
,	,	,
who	WP	who
's	VBZ	be
under	IN	under
attack	NN	attack
for	IN	for
being	VBG	be
a	DT	a
wimp	NN	wimp
,	,	,
decides	VBZ	decide
this	DT	this
would	MD	would
be	VB	be
a	DT	a
nice	JJ	nice
time	NN	time
to	TO	to
be	VB	be
belligerent	JJ	belligerent
,	,	,
and	CC	and
he	PP	he
decides	VBZ	decide
he	PP	he
'll	MD	will
stay	VB	stay
in	IN	in
the	DT	the
white	JJ	white
house	NN	house
which	WDT	which
the	DT	the
aliens	NNS	alien
have	VBP	have
covered	VBN	cover
.	SENT	.
i	NNS	i
do	VBP	do
n't	RB	n't
care	VB	care
if	IN	if
it	PP	it
's	VBZ	be
bob	NN	bob
freaking	VBG	freak
dole	NN	dole
in	IN	in
the	DT	the
white	JJ	white
house	NN	house
,	,	,
get	VB	get
him	PP	him
out	RP	out
of	IN	of
there	RB	there
.	SENT	.
i	NNS	i
do	VBP	do
n't	RB	n't
care	VB	care
if	IN	if
you	PP	you
have	VBP	have
to	TO	to
inject	VB	inject
him	PP	him
with	IN	with
sodium	NN	sodium
pentathol	NN	<unknown>
,	,	,
just	RB	just
get	VB	get
him	PP	him
out	RP	out
of	IN	of
there	RB	there
.	SENT	.
later	RBR	later
on	RB	on
,	,	,
he	PP	he
's	VBZ	be
stupid	JJ	stupid
and	CC	and
wants	VBZ	want
to	TO	to
fly	VB	fly
in	IN	in
the	DT	the
attack	NN	attack
on	IN	on
a	DT	a
big	JJ	big
alien	JJ	alien
ship	NN	ship
.	SENT	.
i	NNS	i
think	VBP	think
it	PP	it
's	VBZ	be
time	NN	time
for	IN	for
impeachment	NN	impeachment
for	IN	for
this	DT	this
guy	NN	guy
.	SENT	.
he	PP	he
's	VBZ	be
more	RBR	more
senile	JJ	senile
than	IN	than
reagan	NN	<unknown>
on	IN	on
pot	NN	pot
.	SENT	.
then	RB	then
there	EX	there
's	VBZ	be
a	DT	a
cocky	JJ	cocky
pilot	NN	pilot
(	(	(
will	NN	will
smith	NN	smith
)	)	)
who	WP	who
is	VBZ	be
the	DT	the
only	JJ	only
person	NN	person
to	TO	to
survive	VB	survive
the	DT	the
counter-attack	NN	counter-attack
on	IN	on
the	DT	the
second	JJ	second
day	NN	day
and	CC	and
becomes	VBZ	become
moses	NNS	<unknown>
in	IN	in
leading	VBG	lead
his	PP$	his
children	NNS	child
to	TO	to
the	DT	the
elusive	JJ	elusive
area	NN	area
51	CD	@card@
(	(	(
the	DT	the
film	NN	film
's	POS	's
only	JJ	only
sign	NN	sign
of	IN	of
being	VBG	be
brave	JJ	brave
)	)	)
.	SENT	.
his	PP$	his
girlfriend	NN	girlfriend
's	VBZ	be
a	DT	a
stripper	NN	stripper
sharing	VBG	share
a	DT	a
subplot	NN	subplot
with	IN	with
"	``	"
striptease	NN	striptease
"	''	"
in	IN	in
that	WDT	that
she	PP	she
has	VBZ	have
to	TO	to
do	VB	do
it	PP	it
for	IN	for
her	PP$	her
son	NN	son
.	SENT	.
come	VBN	come
on	IN	on
,	,	,
she	PP	she
has	VBZ	have
a	DT	a
fighter	NN	fighter
pilot	NN	pilot
boyfriend/	NN	<unknown>
soon-to-be	NN	<unknown>
fiance	NN	fiance
.	SENT	.
i	NNS	i
think	VBP	think
she	PP	she
can	MD	can
quit	VB	quit
that	DT	that
job	NN	job
and	CC	and
get	VB	get
a	DT	a
more	RBR	more
respectable	JJ	respectable
job	NN	job
at	IN	at
long	JJ	long
john	NN	john
silvers	VBZ	silver
.	SENT	.
she	PP	she
's	VBZ	be
also	RB	also
the	DT	the
few	JJ	few
,	,	,
the	DT	the
proud	JJ	proud
,	,	,
the	DT	the
lucky	JJ	lucky
to	TO	to
survive	VB	survive
the	DT	the
igniting	VBG	ignite
of	IN	of
l	NN	l
.	SENT	.
a	DT	a
.	SENT	.
(	(	(
as	RB	as
well	RB	well
as	IN	as
her	PP$	her
dog	NN	dog
,	,	,
who	WP	who
narrowly	RB	narrowly
survives	VBZ	survive
)	)	)
.	SENT	.
there	EX	there
are	VBP	be
some	DT	some
bright	JJ	bright
spots	NNS	spot
.	SENT	.
they	PP	they
tossed	VBD	toss
in	IN	in
enough	JJ	enough
old	JJ	old
film	NN	film
homages	NNS	homage
to	TO	to
keep	VB	keep
me	PP	me
laughing	JJ	laughing
.	SENT	.
the	DT	the
best	JJS	good
one	PP	one
is	VBZ	be
when	WRB	when
jeff	NP	Jeff
goldblum	NN	<unknown>
(	(	(
nicely	RB	nicely
named	VBN	name
david	NN	<unknown>
)	)	)
turns	VBZ	turn
on	IN	on
his	PP$	his
computer	NN	computer
and	CC	and
a	DT	a
picture	NN	picture
of	IN	of
hal	NN	<unknown>
comes	VBZ	come
up	RB	up
and	CC	and
says	VBZ	say
,	,	,
"	``	"
good	JJ	good
morning	NN	morning
,	,	,
dave	NN	<unknown>
.	SENT	.
"	``	"
and	CC	and
they	PP	they
even	RB	even
played	VBD	play
r	NN	r
.	SENT	.
e	LS	e
.	SENT	.
m	NN	m
.	SENT	.
's	VBZ	be
"	``	"
it	PP	it
's	VBZ	be
the	DT	the
end	NN	end
of	IN	of
the	DT	the
world	NN	world
as	IN	as
we	PP	we
know	VBP	know
it	PP	it
(	(	(
and	CC	and
i	NP	i
feel	VBP	feel
fine	NN	fine
)	)	)
at	IN	at
the	DT	the
beginning	NN	beginning
.	SENT	.
and	CC	and
judd	NN	<unknown>
hirsch	NN	<unknown>
steals	VBZ	steal
the	DT	the
film	NN	film
by	IN	by
actually	RB	actually
acting	VBG	act
great	JJ	great
(	(	(
he	PP	he
's	VBZ	be
a	DT	a
stereotype	NN	stereotype
,	,	,
but	CC	but
i	NP	i
just	RB	just
loved	VBD	love
the	DT	the
man	NN	man
anyway	RB	anyway
)	)	)
.	SENT	.
but	CC	but
there	EX	there
are	VBP	be
no	DT	no
real	JJ	real
subtle	JJ	subtle
comic	JJ	comic
moments	NNS	moment
.	SENT	.
will	NN	will
gets	VBZ	get
way	RB	way
too	RB	too
many	JJ	many
one-liners	NNS	one-liner
and	CC	and
he	PP	he
has	VBZ	have
no	RB	no
one	CD	one
to	TO	to
play	VB	play
off	RP	off
of	IN	of
(	(	(
execept	JJ	<unknown>
jeff	NN	<unknown>
towards	IN	towards
the	DT	the
end	NN	end
,	,	,
and	CC	and
the	DT	the
two	CD	two
do	VBP	do
great	JJ	great
)	)	)
.	SENT	.
as	IN	as
i	NP	i
said	VBD	say
,	,	,
this	DT	this
film	NN	film
has	VBZ	have
no	DT	no
balls	NNS	ball
.	SENT	.
it	PP	it
is	VBZ	be
just	RB	just
aiming	VBG	aim
for	IN	for
a	DT	a
crowd	NN	crowd
pleaser	NN	pleaser
and	CC	and
that	DT	that
's	VBZ	be
what	WP	what
it	PP	it
is	VBZ	be
.	SENT	.
but	CC	but
after	IN	after
a	DT	a
couple	NN	couple
months	NNS	month
,	,	,
we	PP	we
all	RB	all
move	VBP	move
on	IN	on
to	TO	to
the	DT	the
next	JJ	next
"	``	"
event	NN	event
"	''	"
film	NN	film
while	IN	while
intaking	JJ	<unknown>
little	JJ	little
films	NNS	film
and	CC	and
a	DT	a
couple	NN	couple
indy	NN	<unknown>
ones	NNS	one
for	IN	for
good	JJ	good
measure	NN	measure
.	SENT	.
but	CC	but
at	IN	at
least	JJS	least
the	DT	the
indy	NN	<unknown>
ones	NNS	one
last	JJ	last
for	IN	for
a	DT	a
lifetime	NN	lifetime
.	SENT	.
this	DT	this
one	CD	one
's	VBZ	be
short	JJ	short
on	IN	on
batteries	NNS	battery
.	SENT	.
