you	PP	you
.	SENT	.
)	)	)
,	,	,
an	DT	an
ambitious	JJ	ambitious
,	,	,
young	JJ	young
psychiatrist	NN	psychiatrist
under	IN	under
the	DT	the
supervision	NN	supervision
of	IN	of
an	DT	an
experienced	JJ	experienced
,	,	,
old	JJ	old
psychiatrist	NN	psychiatrist
(	(	(
donald	NP	Donald
sutherland	NP	Sutherland
)	)	)
.	SENT	.
caulder	NN	<unknown>
soon	RB	soon
finds	VBZ	find
himself	PP	himself
involved	VBD	involve
in	IN	in
the	DT	the
case	NN	case
of	IN	of
his	PP$	his
life	NN	life
,	,	,
the	DT	the
one	CD	one
he	PP	he
thinks	VBZ	think
will	MD	will
make	VB	make
him	PP	him
famous	JJ	famous
.	SENT	.
the	DT	the
subject	NN	subject
is	VBZ	be
ethan	NN	<unknown>
powell	NN	<unknown>
(	(	(
hopkins	NNS	<unknown>
)	)	)
,	,	,
an	DT	an
anthropologist	NN	anthropologist
who	WP	who
has	VBZ	have
been	VBN	be
living	VBG	live
among	IN	among
gorillas	NNS	gorilla
in	IN	in
africa	NN	<unknown>
for	IN	for
the	DT	the
past	JJ	past
two	CD	two
years	NNS	year
.	SENT	.
powell	NP	Powell
has	VBZ	have
been	VBN	be
charged	VBN	charge
with	IN	with
the	DT	the
brutal	JJ	brutal
murders	NNS	murder
of	IN	of
several	JJ	several
men	NNS	man
in	IN	in
africa	NN	<unknown>
,	,	,
and	CC	and
it	PP	it
's	VBZ	be
now	RB	now
caulder	NN	<unknown>
's	POS	's
job	NN	job
to	TO	to
find	VB	find
out	RP	out
of	IN	of
he	PP	he
's	VBZ	be
mentally	RB	mentally
competent	JJ	competent
enough	RB	enough
to	TO	to
stand	VB	stand
trial	NN	trial
.	SENT	.
through	IN	through
a	DT	a
series	NN	series
of	IN	of
short	JJ	short
sessions	NNS	session
,	,	,
caulder	NN	<unknown>
tries	VBZ	try
to	TO	to
put	VB	put
together	RB	together
the	DT	the
complex	JJ	complex
psyche	NN	psyche
of	IN	of
powell	NN	<unknown>
.	SENT	.
even	RB	even
though	IN	though
it	PP	it
really	RB	really
is	VBZ	be
an	DT	an
old	JJ	old
man	NN	man
version	NN	version
of	IN	of
tarzan	NN	<unknown>
,	,	,
much	RB	much
of	IN	of
this	DT	this
central	JJ	central
idea	NN	idea
is	VBZ	be
rather	RB	rather
interesting	JJ	interesting
.	SENT	.
as	IN	as
i	NP	i
said	VBD	say
,	,	,
hopkins	NNS	<unknown>
is	VBZ	be
captivating	VBG	captivate
for	IN	for
every	DT	every
second	JJ	second
he	PP	he
's	VBZ	be
on	IN	on
screen	NN	screen
;	:	;
he	PP	he
has	VBZ	have
a	DT	a
way	NN	way
of	IN	of
convincing	VBG	convince
us	PP	us
that		IN	that
he	PP	he
's	VBZ	be
not	RB	not
acting	VBG	act
,	,	,
that		IN	that
he	PP	he
's	VBZ	be
actually	RB	actually
a	DT	a
man	NN	man
who	WP	who
has	VBZ	have
just	RB	just
spent	VBN	spend
two	CD	two
years	NNS	year
of	IN	of
his	PP$	his
life	NN	life
living	NN	living
with	IN	with
a	DT	a
family	NN	family
of	IN	of
wild	JJ	wild
gorillas	NNS	gorilla
.	SENT	.
the	DT	the
character	NN	character
himself	PP	himself
is	VBZ	be
n't	RB	n't
very	RB	very
interesting	JJ	interesting
--	:	--
he	PP	he
's	VBZ	be
just	RB	just
an	DT	an
anthropologist	NN	anthropologist
who	WP	who
really	RB	really
likes	VBZ	like
gorillas	NNS	gorilla
--	:	--
but	CC	but
hopkins	NNS	<unknown>
makes	VBZ	make
him	PP	him
interesting	JJ	interesting
with	IN	with
subtleties	NNS	subtlety
both	CC	both
in	IN	in
speech	NN	speech
and	CC	and
action	NN	action
.	SENT	.
gooding	JJ	<unknown>
jr	NN	<unknown>
.	SENT	.
does	VBZ	do
strong	JJ	strong
work	NN	work
opposite	NN	opposite
hopkins	NNS	<unknown>
,	,	,
playing	VBG	play
caulder	NN	<unknown>
as	IN	as
an	DT	an
intelligent	JJ	intelligent
and	CC	and
flawed	JJ	flawed
individual	NN	individual
.	SENT	.
the	DT	the
screenplay	NN	screenplay
,	,	,
written	VBN	write
by	IN	by
gerald	NP	Gerald
di	NP	di
pego	NN	<unknown>
and	CC	and
"	``	"
suggested	VBN	suggest
by	IN	by
"	``	"
a	DT	a
novel	NN	novel
by	IN	by
daniel	NP	Daniel
quinn	NP	Quinn
,	,	,
gives	VBZ	give
us	PP	us
no	DT	no
background	NN	background
information	NN	information
on	IN	on
caulder	NN	<unknown>
,	,	,
but	CC	but
that	WDT	that
seems	VBZ	seem
to	TO	to
be	VB	be
the	DT	the
point	NN	point
(	(	(
he	PP	he
has	VBZ	have
no	DT	no
time	NN	time
for	IN	for
friends	NNS	friend
because	IN	because
he	PP	he
's	VBZ	be
obsessed	VBN	obsess
with	IN	with
his	PP$	his
work	NN	work
)	)	)
.	SENT	.
nonetheless	RB	nonetheless
,	,	,
these	DT	these
two	CD	two
actors	NNS	actor
are	VBP	be
essentially	RB	essentially
the	DT	the
entire	JJ	entire
list	NN	list
of	IN	of
things	NNS	thing
that	WDT	that
are	VBP	be
good	JJ	good
about	IN	about
instinct	NN	instinct
.	SENT	.
unfortunately	RB	unfortunately
,	,	,
filmmaking	VBG	filmmak
this	DT	this
inept	JJ	inept
can	MD	can
mangle	VB	mangle
the	DT	the
effect	NN	effect
of	IN	of
even	RB	even
the	DT	the
best	RBS	well
acting	JJ	acting
.	SENT	.
turtletaub	NP	<unknown>
and	CC	and
di	NP	di
pego	NP	<unknown>
are	VBP	be
both	CC	both
guilty	JJ	guilty
of	IN	of
instinct	NN	instinct
's	POS	's
artistic	JJ	artistic
failure	NN	failure
,	,	,
for	IN	for
they	PP	they
work	VBP	work
together	RB	together
to	TO	to
make	VB	make
the	DT	the
dumbest	JJS	dumb
,	,	,
most	RBS	most
cliche-ridden	JJ	cliche-ridden
environment	NN	environment
in	IN	in
which	WDT	which
their	PP$	their
characters	NNS	character
are	VBP	be
to	TO	to
live	VB	live
,	,	,
and	CC	and
they	PP	they
do	VBP	do
so	RB	so
by	IN	by
means	NNS	mean
of	IN	of
brainless	JJ	brainless
subplots	NNS	subplot
.	SENT	.
first	RB	first
,	,	,
we	PP	we
have	VBP	have
the	DT	the
prison	NN	prison
warden	NN	warden
subplot	NN	subplot
.	SENT	.
the	DT	the
prison	NN	prison
warden	NN	warden
is	VBZ	be
evil	JJ	evil
and	CC	and
wants	VBZ	want
to	TO	to
stop	VB	stop
caulder	NN	<unknown>
's	POS	's
progress	NN	progress
at	IN	at
any	DT	any
cost	NN	cost
;	:	;
if	IN	if
this	DT	this
means	NN	means
taking	VBG	take
caulder	NN	<unknown>
off	IN	off
the	DT	the
powell	NN	<unknown>
case	NN	case
,	,	,
then	RB	then
that	DT	that
's	VBZ	be
fine	JJ	fine
.	SENT	.
there	EX	there
's	VBZ	be
also	RB	also
the	DT	the
prison	NN	prison
guard	NN	guard
subplot	NN	subplot
.	SENT	.
the	DT	the
prison	NN	prison
guard	NN	guard
is	VBZ	be
played	VBN	play
by	IN	by
john	NN	john
ashton	NN	<unknown>
;	:	;
the	DT	the
prison	NN	prison
guard	NN	guard
seems	VBZ	seem
to	TO	to
enjoy	VB	enjoy
mercilessly	RB	mercilessly
beating	VBG	beat
upon	IN	upon
the	DT	the
psychotics	NNS	psychotic
under	IN	under
his	PP$	his
supervision	NN	supervision
,	,	,
and	CC	and
he	PP	he
's	VBZ	be
instrumental	JJ	instrumental
in	IN	in
helping	VBG	help
the	DT	the
story	NN	story
along	RB	along
to	TO	to
its	PP$	its
obvious	JJ	obvious
conclusion	NN	conclusion
.	SENT	.
then	RB	then
there	EX	there
's	VBZ	be
the	DT	the
daughter	NN	daughter
subplot	NN	subplot
,	,	,
in	IN	in
which	WDT	which
maura	NN	<unknown>
tierney	NN	<unknown>
(	(	(
playing	VBG	play
the	DT	the
daughter	NN	daughter
)	)	)
must	MD	must
look	VB	look
very	RB	very
upset	VBN	upset
a	DT	a
lot	NN	lot
of	IN	of
the	DT	the
time	NN	time
;	:	;
after	IN	after
all	DT	all
,	,	,
she	PP	she
is	VBZ	be
the	DT	the
daughter	NN	daughter
of	IN	of
a	DT	a
deranged	VBN	derange
man	NN	man
.	SENT	.
if	IN	if
some	DT	some
of	IN	of
this	DT	this
stuff	NN	stuff
sounds	VBZ	sound
familiar	JJ	familiar
,	,	,
that	WDT	that
's	VBZ	be
because	IN	because
they	PP	they
're	VBP	be
all	DT	all
devices	NNS	device
that	WDT	that
have	VBP	have
been	VBN	be
used	VBN	use
and	CC	and
reused	VBN	reuse
in	IN	in
countless	JJ	countless
other	JJ	other
films	NNS	film
.	SENT	.
the	DT	the
evil	JJ	evil
doctor	NN	doctor
in	IN	in
patch	NN	patch
adams	NNS	<unknown>
is	VBZ	be
not	RB	not
unlike	IN	unlike
the	DT	the
evil	JJ	evil
warden	NN	warden
here	RB	here
.	SENT	.
the	DT	the
offensive	JJ	offensive
caricatures	NNS	caricature
of	IN	of
mental	JJ	mental
patients	NNS	patient
lack	VBP	lack
the	DT	the
depth	NN	depth
that		IN	that
the	DT	the
similar	JJ	similar
portrayals	NNS	portrayal
in	IN	in
one	CD	one
flew	VBD	fly
over	IN	over
the	DT	the
cuckoo	NN	cuckoo
's	POS	's
nest	NN	nest
had	VBD	have
.	SENT	.
ashton	NN	<unknown>
's	POS	's
evil	JJ	evil
prison	NN	prison
guard	NN	guard
pales	VBZ	pale
in	IN	in
comparison	NN	comparison
to	TO	to
clancy	NN	<unknown>
brown	NN	brown
's	VBZ	be
in	IN	in
the	DT	the
shawshank	NN	<unknown>
redemption	NN	redemption
.	SENT	.
hopkins	NNS	<unknown>
'	POS	'
performance	NN	performance
will	MD	will
undoubtedly	RB	undoubtedly
remind	VB	remind
audiences	NNS	audience
of	IN	of
his	PP$	his
turn	NN	turn
in	IN	in
the	DT	the
silence	NN	silence
of	IN	of
the	DT	the
lambs	NNS	lamb
.	SENT	.
and	CC	and
then	RB	then
there	EX	there
's	VBZ	be
the	DT	the
whole	JJ	whole
tarzan	NN	<unknown>
thing	NN	thing
,	,	,
which	WDT	which
is	VBZ	be
more	JJR	more
than	IN	than
a	DT	a
little	JJ	little
bit	NN	bit
obvious	JJ	obvious
through	IN	through
the	DT	the
entire	JJ	entire
film	NN	film
.	SENT	.
perhaps	RB	perhaps
what	WP	what
irritates	VBZ	irritate
me	PP	me
most	RBS	most
about	RB	about
instinct	JJ	instinct
is	VBZ	be
the	DT	the
half-hearted	JJ	half-hearted
attempt	NN	attempt
at	IN	at
philosophical	JJ	philosophical
depth	NN	depth
.	SENT	.
the	DT	the
message	NN	message
powell	NN	<unknown>
brings	VBZ	bring
back	RB	back
from	IN	from
the	DT	the
wild	JJ	wild
is	VBZ	be
not	RB	not
a	DT	a
subtle	JJ	subtle
one	CD	one
:	:	:
he	PP	he
thinks	VBZ	think
that		IN	that
humans	NNS	human
are	VBP	be
"	``	"
takers	NNS	taker
,	,	,
"	''	"
that	WDT	that
they	PP	they
expand	VBP	expand
and	CC	and
kill	VBP	kill
and	CC	and
that		IN	that
we	PP	we
should	MD	should
all	RB	all
just	RB	just
live	VB	live
like	IN	like
gorillas	NNS	gorilla
.	SENT	.
i	NP	i
can	MD	can
sympathize	VB	sympathize
with	IN	with
that	DT	that
,	,	,
but	CC	but
only	RB	only
when	WRB	when
it	PP	it
's	VBZ	be
in	IN	in
a	DT	a
compelling	JJ	compelling
film	NN	film
.	SENT	.
this	DT	this
is	VBZ	be
the	DT	the
kind	NN	kind
of	IN	of
stupid	JJ	stupid
movie	NN	movie
--	:	--
just	RB	just
like	IN	like
patch	NN	patch
adams	NNS	<unknown>
--	:	--
in	IN	in
which	WDT	which
a	DT	a
big	JJ	big
group	NN	group
of	IN	of
characters	NNS	character
(	(	(
psychotic	JJ	psychotic
inmates	NNS	inmate
,	,	,
in	IN	in
this	DT	this
case	NN	case
)	)	)
rise	NN	rise
against	IN	against
the	DT	the
evil	JJ	evil
forces	NNS	force
oppressing	VBG	oppress
them	PP	them
by	IN	by
tearing	VBG	tear
up	RP	up
playing	VBG	play
cards	NNS	card
.	SENT	.
what	WP	what
does	VBZ	do
any	DT	any
of	IN	of
this	DT	this
have	VBP	have
to	TO	to
do	VB	do
with	IN	with
a	DT	a
man	NN	man
who	WP	who
has	VBZ	have
just	RB	just
spent	VBN	spend
two	CD	two
years	NNS	year
of	IN	of
his	PP$	his
life	NN	life
with	IN	with
gorillas	NNS	gorilla
?	SENT	?
if	IN	if
all	PDT	all
the	DT	the
subplots	NNS	subplot
of	IN	of
instinct	NN	instinct
had	VBD	have
been	VBN	be
left	VBN	leave
on	IN	on
the	DT	the
cutting	VBG	cut
room	NN	room
floor	NN	floor
,	,	,
we	PP	we
would	MD	would
have	VB	have
had	VBN	have
a	DT	a
thirty-minute	JJ	<unknown>
movie	NN	movie
far	RB	far
superior	JJ	superior
to	TO	to
the	DT	the
two-hour	JJ	two-hour
one	CD	one
that		IN	that
i	NP	i
watched	VBD	watch
today	NN	today
.	SENT	.
if	IN	if
the	DT	the
central	JJ	central
idea	NN	idea
had	VBD	have
been	VBN	be
developed	VBN	develop
beyond	IN	beyond
the	DT	the
old	JJ	old
man	NN	man
tarzan	NN	<unknown>
premise	NN	premise
,	,	,
then	RB	then
we	PP	we
would	MD	would
really	RB	really
have	VB	have
had	VBN	have
something	NN	something
interesting	JJ	interesting
--	:	--
a	DT	a
movie	NN	movie
that	WDT	that
does	VBZ	do
n't	RB	n't
rely	VB	rely
on	IN	on
the	DT	the
strength	NN	strength
of	IN	of
its	PP$	its
actors	NNS	actor
.	SENT	.
