around	IN	around
is	VBZ	be
n't	RB	n't
much	JJ	much
of	IN	of
,	,	,
in	IN	in
fact	NN	fact
the	DT	the
plot	NN	plot
what	WP	what
there	RB	there
is	VBZ	be
:	:	:
a	DT	a
bad	JJ	bad
guy	NN	guy
trying	VBG	try
to	TO	to
destroy	VB	destroy
the	DT	the
ancient	JJ	ancient
never	RB	never
before	IN	before
seen	VBN	see
pokemon	NN	<unknown>
,	,	,
lugia	NN	<unknown>
,	,	,
is	VBZ	be
about	IN	about
it	PP	it
,	,	,
except	IN	except
the	DT	the
fact	NN	fact
that		IN	that
ash	NN	ash
kethcum	NN	<unknown>
the	DT	the
worlds	NNS	world
best	RBS	well
pokemon	JJ	<unknown>
trainer	NN	trainer
must	MD	must
try	VB	try
and	CC	and
stop	VB	stop
him	PP	him
before	IN	before
he	PP	he
destroys	VBZ	destroy
this	DT	this
one	CD	one
pokemon	NN	<unknown>
forever	RB	forever
.	SENT	.
well	RB	well
there	EX	there
you	PP	you
go	VBP	go
,	,	,
of	IN	of
course	NN	course
ash	NN	ash
is	VBZ	be
followed	VBN	follow
by	IN	by
his	PP$	his
friends	NNS	friend
misty	JJ	misty
,	,	,
brock	NN	brock
,	,	,
gary	NN	<unknown>
and	CC	and
his	PP$	his
pokemon	NN	<unknown>
friends	NNS	friend
,	,	,
pikachu	NN	<unknown>
,	,	,
squirtle	NP	<unknown>
,	,	,
charizard	NP	<unknown>
,	,	,
the	DT	the
usual	JJ	usual
.	SENT	.
even	RB	even
though	IN	though
the	DT	the
first	JJ	first
movie	NN	movie
was	VBD	be
n't	RB	n't
a	DT	a
great	JJ	great
film	NN	film
,	,	,
it	PP	it
was	VBD	be
definately	RB	<unknown>
an	DT	an
enjoyable	JJ	enjoyable
well-made	JJ	well-made
movie	NN	movie
with	IN	with
an	DT	an
actual	JJ	actual
thin	JJ	thin
storyline	NN	storyline
.	SENT	.
this	DT	this
new	JJ	new
movie	NN	movie
however	RB	however
is	VBZ	be
nothing	NN	nothing
but	CC	but
garbage	NN	garbage
,	,	,
there	EX	there
is	VBZ	be
nothing	NN	nothing
good	JJ	good
to	TO	to
it	PP	it
storywise	JJ	<unknown>
,	,	,
and	CC	and
its	PP$	its
only	JJ	only
good	JJ	good
thing	NN	thing
comes	VBZ	come
from	IN	from
some	DT	some
plush	JJ	plush
animation	NN	animation
and	CC	and
colors	NNS	color
.	SENT	.
compared	VBN	compare
to	TO	to
the	DT	the
first	JJ	first
film	NN	film
,	,	,
this	DT	this
movie	NN	movie
is	VBZ	be
awfully	RB	awfully
bland	JJ	bland
,	,	,
from	IN	from
its	PP$	its
opening	NN	opening
titles	NNS	title
,	,	,
to	TO	to
the	DT	the
end	NN	end
titles	VBZ	title
it	PP	it
tries	VBZ	try
its	PP$	its
best	JJS	good
to	TO	to
work	VB	work
,	,	,
but	CC	but
fails	VBZ	fail
miserably	RB	miserably
at	IN	at
every	DT	every
corner	NN	corner
.	SENT	.
the	DT	the
characters	NNS	character
are	VBP	be
1-dimensional	JJ	<unknown>
,	,	,
the	DT	the
story	NN	story
thin	JJ	thin
as	IN	as
chicken	NN	chicken
broth	NN	broth
,	,	,
and	CC	and
the	DT	the
writing	NN	writing
very	RB	very
lame	JJ	lame
.	SENT	.
even	RB	even
the	DT	the
so	RB	so
called	VBN	call
action	NN	action
scenes	NNS	scene
are	VBP	be
extremely	RB	extremely
lame	JJ	lame
,	,	,
and	CC	and
falls	VBZ	fall
before	IN	before
it	PP	it
even	RB	even
gets	VBZ	get
a	DT	a
chance	NN	chance
to	TO	to
go	VB	go
.	SENT	.
the	DT	the
voices	NNS	voice
even	RB	even
are	VBP	be
n't	RB	n't
that	DT	that
good	JJ	good
and	CC	and
almost	RB	almost
feels	VBZ	feel
like	IN	like
the	DT	the
stars	NNS	star
do	VBP	do
n't	RB	n't
want	VB	want
to	TO	to
be	VB	be
there	RB	there
,	,	,
like	IN	like
they	PP	they
can	MD	can
tell	VB	tell
that		IN	that
this	DT	this
is	VBZ	be
an	DT	an
extremel	NN	<unknown>
bad	JJ	bad
movie	NN	movie
.	SENT	.
which	WDT	which
it	PP	it
certainly	RB	certainly
is	VBZ	be
.	SENT	.
the	DT	the
film	NN	film
has	VBZ	have
one	CD	one
thing	NN	thing
going	VBG	go
for	IN	for
it	PP	it
and	CC	and
that	DT	that
is	VBZ	be
the	DT	the
animation	NN	animation
,	,	,
although	IN	although
not	RB	not
up	RB	up
to	TO	to
disney	NN	<unknown>
standards	NNS	standard
,	,	,
it	PP	it
is	VBZ	be
still	RB	still
very	RB	very
good	JJ	good
with	IN	with
some	DT	some
interesting	JJ	interesting
cgi	NNS	<unknown>
's	POS	's
and	CC	and
very	RB	very
colorful	JJ	colorful
animation	NN	animation
,	,	,
the	DT	the
colors	NNS	color
jump	VBP	jump
out	RP	out
at	IN	at
you	PP	you
very	RB	very
fast	RB	fast
,	,	,
and	CC	and
seem	VBP	seem
very	RB	very
nicely	RB	nicely
put	VBN	put
on	IN	on
film	NN	film
.	SENT	.
why	WRB	why
a	DT	a
film	NN	film
this	DT	this
bad	JJ	bad
got	VBD	get
such	PDT	such
a	DT	a
good	JJ	good
treatment	NN	treatment
with	IN	with
its	PP$	its
animation	NN	animation
is	VBZ	be
still	RB	still
a	DT	a
question	NN	question
to	TO	to
be	VB	be
answered	VBN	answer
,	,	,
hopefully	RB	hopefully
pokemon	JJ	<unknown>
3	CD	3
next	JJ	next
year	NN	year
will	MD	will
be	VB	be
much	RB	much
better	JJR	good
than	IN	than
this	DT	this
trash	NN	trash
.	SENT	.
for	IN	for
now	RB	now
watch	VB	watch
the	DT	the
first	JJ	first
one	CD	one
.	SENT	.
its	PP$	its
much	JJ	much
much	JJ	much
better	RBR	well
.	SENT	.
