there	EX	there
.	SENT	.
the	DT	the
biggest	JJS	big
problem	NN	problem
with	IN	with
donnie	NN	<unknown>
brasco	NN	<unknown>
,	,	,
however	RB	however
,	,	,
is	VBZ	be
that		IN	that
its	PP$	its
wiseguy	NN	wiseguy
attitude	NN	attitude
and	CC	and
style	NN	style
lacks	VBZ	lack
the	DT	the
flair	NN	flair
of	IN	of
its	PP$	its
many	JJ	many
predecessors	NNS	predecessor
.	SENT	.
the	DT	the
awkward	JJ	awkward
use	NN	use
of	IN	of
an	DT	an
occasional	JJ	occasional
disco	NN	disco
tune	NN	tune
momentarily	RB	momentarily
reminds	VBZ	remind
us	PP	us
its	PP$	its
the	DT	the
70	CD	@card@
's	VBZ	be
,	,	,
but	CC	but
not	RB	not
with	IN	with
the	DT	the
consistent	JJ	consistent
and	CC	and
blindingly	JJ	<unknown>
tacky	JJ	tacky
style	NN	style
?	SENT	?
i	NP	i
loved	VBD	love
those	DT	those
fluoro	NN	<unknown>
coloured	JJ	coloured
suits	NNS	suit
?	SENT	?
of	IN	of
scorces	NNS	<unknown>
'	POS	'
costume	JJ	costume
drama	NN	drama
casino	NN	casino
.	SENT	.
more	RBR	more
importantly	RB	importantly
,	,	,
pacino	NP	Pacino
's	POS	's
presence	NN	presence
triggers	VBZ	trigger
memories	NNS	memory
of	IN	of
his	PP$	his
earlier	JJR	early
movie	NN	movie
triumphs	NNS	triumph
in	IN	in
which	WDT	which
similar	JJ	similar
territory	NN	territory
was	VBD	be
covered	VBN	cover
far	RB	far
more	RBR	more
effectively	RB	effectively
.	SENT	.
donnie	NN	<unknown>
brasco	NN	<unknown>
's	POS	's
take	NN	take
on	IN	on
american	JJ	American
values	NNS	value
,	,	,
for	IN	for
instance	NN	instance
,	,	,
is	VBZ	be
feeble	JJ	feeble
and	CC	and
obvious	JJ	obvious
.	SENT	.
lefty	NN	lefty
rambles	NNS	ramble
out	IN	out
dreams	NNS	dream
of	IN	of
material	NN	material
betterment	NN	betterment
to	TO	to
the	DT	the
accompaniment	NN	accompaniment
of	IN	of
grating	VBG	grate
inspirational	JJ	inspirational
music	NN	music
.	SENT	.
inexplicably	RB	inexplicably
,	,	,
lefty	NN	lefty
's	POS	's
horatio	NN	Horatio
alger	NN	<unknown>
inspired	VBD	inspire
gush	VB	gush
is	VBZ	be
supposed	VBN	suppose
to	TO	to
move	VB	move
us	PP	us
.	SENT	.
it	PP	it
does	VBZ	do
n't	RB	n't
any	DT	any
more	JJR	more
than	IN	than
his	PP$	his
family	NN	family
troubles	NNS	trouble
do	VBP	do
,	,	,
which	WDT	which
are	VBP	be
dealt	VBN	deal
in	IN	in
the	DT	the
same	JJ	same
saccharine	JJ	saccharine
and	CC	and
obvious	JJ	obvious
manner	NN	manner
as	IN	as
pistone	NN	<unknown>
's	POS	's
.	SENT	.
just	RB	just
think	VB	think
a	DT	a
minute	NN	minute
on	IN	on
how	WRB	how
these	DT	these
themes	NNS	theme
were	VBD	be
explored	VBN	explore
in	IN	in
the	DT	the
godfather	NN	godfather
movies	NNS	movie
and	CC	and
scarface	NNS	<unknown>
.	SENT	.
in	IN	in
these	DT	these
pictures	NNS	picture
pacino	NN	<unknown>
's	POS	's
dedication	NN	dedication
to	TO	to
a	DT	a
peculiar	JJ	peculiar
and	CC	and
bloody	JJ	bloody
hyper-capitalism	NN	<unknown>
was	VBD	be
twisted	VBN	twist
and	CC	and
confronting	VBG	confront
,	,	,
while	IN	while
his	PP$	his
dogged	JJ	dogged
application	NN	application
of	IN	of
macho	JJ	macho
wiseguy	NN	wiseguy
procedure	NN	procedure
meant	VBD	mean
that		IN	that
his	PP$	his
relations	NNS	relation
to	TO	to
friends	NNS	friend
and	CC	and
family	NN	family
was	VBD	be
intriguingly	RB	intriguingly
dark	JJ	dark
?	SENT	?
neither	CC	neither
were	VBD	be
spared	VBN	spare
bloody	JJ	bloody
retribution	NN	retribution
for	IN	for
breaching	VBG	breach
wiseguy	NN	wiseguy
regulations	NNS	regulation
.	SENT	.
donnie	NN	<unknown>
brasco	NN	<unknown>
's	POS	's
tawdry	JJ	tawdry
little	JJ	little
crime	NN	crime
,	,	,
therefore	RB	therefore
is	VBZ	be
n't	RB	n't
so	RB	so
much	RB	much
its	PP$	its
repetition	NN	repetition
of	IN	of
familiar	JJ	familiar
gangster	NN	gangster
themes	NNS	theme
,	,	,
but	CC	but
the	DT	the
shameless	JJ	shameless
way	NN	way
in	IN	in
which	WDT	which
it	PP	it
sanitises	VBZ	sanitise
them	PP	them
.	SENT	.
(	(	(
oh	UH	oh
and	CC	and
by	IN	by
the	DT	the
way	NN	way
,	,	,
i	NP	i
forgot	VBD	forget
to	TO	to
mention	VB	mention
that		IN	that
the	DT	the
script	NN	script
also	RB	also
sports	VBZ	sport
a	DT	a
startling	JJ	startling
subplot	NN	subplot
:	:	:
pipstone	NN	<unknown>
's	POS	's
superiors	NNS	superior
are	VBP	be
obstructive	JJ	obstructive
incompetents	NNS	incompetent
who	WP	who
are	VBP	be
infuriated	VBN	infuriate
by	IN	by
his	PP$	his
constant	JJ	constant
insubordination	NN	insubordination
?	SENT	?
is	VBZ	be
that		IN	that
a	DT	a
"	``	"
damn	RB	damn
you	PP	you
mcbain	VBP	<unknown>
!	SENT	!
"	''	"
i	NNS	i
hear	VBP	hear
from	IN	from
springfield	NN	<unknown>
way	NN	way
?	SENT	?
)	)	)
so	IN	so
the	DT	the
movie	NN	movie
is	VBZ	be
cliched	JJ	cliched
.	SENT	.
big	JJ	big
deal	NN	deal
,	,	,
what	WP	what
do	VBP	do
you	PP	you
expect	VBP	expect
from	IN	from
a	DT	a
gangster-flick	NN	<unknown>
?	SENT	?
well	RB	well
you	PP	you
expect	VBP	expect
quality	NN	quality
action	NN	action
sequences	NNS	sequence
and	CC	and
bravado	NN	bravado
performances	NNS	performance
in	IN	in
abundance	NN	abundance
if	IN	if
its	PP$	its
going	VBG	go
to	TO	to
be	VB	be
a	DT	a
decent	JJ	decent
example	NN	example
of	IN	of
the	DT	the
genre	NN	genre
.	SENT	.
donnie	NN	<unknown>
brasco	NN	<unknown>
fails	VBZ	fail
on	IN	on
both	DT	both
counts	NNS	count
.	SENT	.
the	DT	the
action	NN	action
scenes	NNS	scene
never	RB	never
rise	VBP	rise
above	IN	above
the	DT	the
ordinary	JJ	ordinary
and	CC	and
depp	NP	Depp
's	POS	's
woeful	JJ	woeful
performance	NN	performance
tends	VBZ	tend
to	TO	to
smother	VB	smother
the	DT	the
good-work	NN	<unknown>
of	IN	of
his	PP$	his
comrades	NNS	comrade
.	SENT	.
admittedly	RB	admittedly
,	,	,
pacino	NP	Pacino
does	VBZ	do
nothing	NN	nothing
new	JJ	new
and	CC	and
michael	NP	Michael
madsen	NP	Madsen
(	(	(
sonny	NN	sonny
)	)	)
simply	RB	simply
smirks	VBZ	smirk
his	PP$	his
way	NN	way
through	IN	through
the	DT	the
picture	NN	picture
like	IN	like
a	DT	a
slightly	RB	slightly
subdued	VBN	subdue
mr	NN	Mr
.	SENT	.
white	JJ	white
,	,	,
but	CC	but
both	DT	both
possess	VBP	possess
an	DT	an
unmistakable	JJ	unmistakable
sly	JJ	sly
charm	NN	charm
.	SENT	.
depp	NP	Depp
usually	RB	usually
exhibits	VBZ	exhibit
a	DT	a
bit	NN	bit
of	IN	of
class	NN	class
himself	PP	himself
,	,	,
but	CC	but
regrettably	RB	regrettably
,	,	,
being	JJ	being
in	IN	in
the	DT	the
presence	NN	presence
of	IN	of
one	CD	one
of	IN	of
his	PP$	his
betters	NNS	better
must	MD	must
have	VB	have
left	VBN	leave
him	PP	him
star-struck	NN	<unknown>
,	,	,
for	IN	for
he	PP	he
is	VBZ	be
completely	RB	completely
hell-bent	NN	hell-bent
on	IN	on
mimicking	VBG	mimick
pacino	NP	Pacino
's	POS	's
well-earned	JJ	well-earned
high	JJ	high
style	NN	style
.	SENT	.
the	DT	the
consequences	NNS	consequence
are	VBP	be
painful	JJ	painful
to	TO	to
watch	VB	watch
.	SENT	.
its	PP$	its
no	DT	no
exaggeration	NN	exaggeration
to	TO	to
say	VB	say
that		IN	that
the	DT	the
film	NN	film
's	POS	's
credibility	NN	credibility
is	VBZ	be
seriously	RB	seriously
strained	VBN	strain
by	IN	by
the	DT	the
sight	NN	sight
of	IN	of
the	DT	the
pistone	NN	<unknown>
family	NN	family
's	POS	's
uncanny	JJ	uncanny
ability	NN	ability
to	TO	to
keep	VB	keep
a	DT	a
straight	JJ	straight
face	NN	face
in	IN	in
front	NN	front
of	IN	of
their	PP$	their
breadwinner	NN	breadwinner
's	POS	's
phony	JJ	phony
brooklyn	NN	<unknown>
accent	NN	accent
.	SENT	.
perhaps	RB	perhaps
we	PP	we
should	MD	should
take	VB	take
pity	NN	pity
on	IN	on
the	DT	the
makers	NNS	maker
of	IN	of
donnie	NN	<unknown>
brasco	NN	<unknown>
.	SENT	.
maybe	RB	maybe
a	DT	a
scrupulous	JJ	scrupulous
adherence	NN	adherence
to	TO	to
pinpoint	VB	pinpoint
accuracy	NN	accuracy
demanded	VBD	demand
tiered	VBN	tier
dialogue	NN	dialogue
and	CC	and
scenarios	NNS	scenario
weakly	RB	weakly
reminiscent	JJ	reminiscent
of	IN	of
classic	JJ	classic
gangster	NN	gangster
flicks	NNS	flick
.	SENT	.
if	IN	if
this	DT	this
is	VBZ	be
indeed	RB	indeed
the	DT	the
case	NN	case
,	,	,
surely	RB	surely
the	DT	the
makers	NNS	maker
of	IN	of
donnie	NN	<unknown>
brasco	NN	<unknown>
could	MD	could
have	VB	have
explored	VBN	explore
the	DT	the
fascinating	JJ	fascinating
possibility	NN	possibility
that		IN	that
america	NP	America
's	POS	's
underworld	NN	underworld
is	VBZ	be
committed	VBN	commit
to	TO	to
emulating	VBG	emulate
,	,	,
albeit	IN	albeit
in	IN	in
heavily	RB	heavily
attenuated	JJ	attenuated
form	NN	form
,	,	,
their	PP$	their
movie	NN	movie
namesakes	NNS	namesake
.	SENT	.
depp	NP	Depp
could	MD	could
have	VB	have
poignantly	RB	poignantly
played	VBN	play
a	DT	a
simple	JJ	simple
cop	NN	cop
who	WP	who
becomes	VBZ	become
a	DT	a
hideous	JJ	hideous
parody	NN	parody
once	IN	once
he	PP	he
is	VBZ	be
forced	VBN	force
to	TO	to
mimic	VB	mimic
big-screen	NN	big-screen
gangster	NN	gangster
greats	NNS	great
.	SENT	.
who	WP	who
knows	VBZ	know
what	WP	what
insights	NNS	insight
into	IN	into
the	DT	the
criminal	JJ	criminal
psyche	NN	psyche
could	MD	could
have	VB	have
arisen	VBN	arise
?	SENT	?
but	CC	but
then	RB	then
again	RB	again
,	,	,
perhaps	RB	perhaps
donnie	NN	<unknown>
brasco	NN	<unknown>
is	VBZ	be
n't	RB	n't
so	RB	so
true	JJ	true
after	IN	after
all	DT	all
.	SENT	.
