when	WRB	when
junkies	NNS	junkie
,	,	,
like	IN	like
me	PP	me
,	,	,
the	DT	the
movie	NN	movie
is	VBZ	be
only	RB	only
marginally	RB	marginally
improved	VBN	improve
.	SENT	.
the	DT	the
plot	NN	plot
is	VBZ	be
jumbled	VBN	jumble
and	CC	and
illogical	JJ	illogical
,	,	,
not	RB	not
to	TO	to
mention	VB	mention
excruciatingly	RB	excruciatingly
sluggish	JJ	sluggish
.	SENT	.
the	DT	the
first	JJ	first
30	CD	@card@
minutes	NNS	minute
,	,	,
which	WDT	which
have	VBP	have
almost	RB	almost
nothing	RB	nothing
to	TO	to
do	VB	do
with	IN	with
the	DT	the
main	JJ	main
story	NN	story
line	NN	line
,	,	,
feature	NN	feature
chris	NN	<unknown>
isaak	NN	<unknown>
and	CC	and
kiefer	NN	<unknown>
sutherland	NN	<unknown>
as	IN	as
fbi	NP	<unknown>
agents	NNS	agent
investigating	VBG	investigate
a	DT	a
murder	NN	murder
in	IN	in
portland	NN	<unknown>
,	,	,
oregon	NN	Oregon
.	SENT	.
the	DT	the
movie	NN	movie
then	RB	then
stops	VBZ	stop
in	IN	in
philadelphia	NN	<unknown>
for	IN	for
a	DT	a
nonsensical	JJ	nonsensical
cameo	NN	cameo
by	IN	by
david	JJ	<unknown>
bowie	NN	Bowie
and	CC	and
a	DT	a
brief	JJ	brief
appearance	NN	appearance
by	IN	by
kyle	NN	kyle
maclachlan	NN	<unknown>
as	IN	as
dale	NN	dale
cooper	NN	cooper
.	SENT	.
lynch	VB	lynch
then	RB	then
drops	VBZ	drop
this	DT	this
plot	NN	plot
strand	NN	strand
altogether	RB	altogether
and	CC	and
abruptly	RB	abruptly
shifts	VBZ	shift
the	DT	the
setting	NN	setting
to	TO	to
twin	JJ	twin
peaks	NNS	peak
,	,	,
washington--one	NN	<unknown>
year	NN	year
later	RBR	later
.	SENT	.
ah	NN	<unknown>
,	,	,
twin	JJ	twin
peaks	NNS	peak
:	:	:
"	``	"
familiar	JJ	familiar
territory	NN	territory
,	,	,
"	``	"
you	PP	you
think	VBP	think
to	TO	to
yourself	PP	yourself
as	IN	as
angelo	NP	Angelo
badalamenti	NP	Badalamenti
's	POS	's
distinctive	JJ	distinctive
musical	JJ	musical
score	NN	score
chimes	VBZ	chime
in	IN	in
.	SENT	.
wrong	JJ	wrong
!	SENT	!
the	DT	the
movie	NN	movie
proves	VBZ	prove
that		IN	that
you	PP	you
really	RB	really
ca	MD	ca
n't	RB	n't
go	VB	go
home	RB	home
again	RB	again
,	,	,
or	CC	or
at	IN	at
least	JJS	least
lynch	VB	lynch
ca	MD	ca
n't	RB	n't
.	SENT	.
only	RB	only
about	IN	about
a	DT	a
quarter	NN	quarter
of	IN	of
the	DT	the
characters	NNS	character
from	IN	from
the	DT	the
tv	NN	tv
series	NN	series
appear	VBP	appear
in	IN	in
the	DT	the
movie	NN	movie
:	:	:
leland	NN	<unknown>
palmer	NN	palmer
,	,	,
bobby	NN	bobby
briggs	NNS	<unknown>
,	,	,
james	NNS	<unknown>
,	,	,
shelly	JJ	shelly
,	,	,
leo	NN	<unknown>
,	,	,
the	DT	the
log	NN	log
lady	NN	lady
and	CC	and
a	DT	a
few	JJ	few
others--mostly	NN	<unknown>
in	IN	in
meaningless	JJ	meaningless
cameos	NNS	cameo
.	SENT	.
the	DT	the
rest	NN	rest
of	IN	of
the	DT	the
"	``	"
twin	JJ	twin
peaks	NNS	peak
"	''	"
cast	NN	cast
is	VBZ	be
nowhere	RB	nowhere
to	TO	to
be	VB	be
seen	VBN	see
,	,	,
and	CC	and
consequently	RB	consequently
,	,	,
lynch	VBP	lynch
fails	VBZ	fail
to	TO	to
recreate	VB	recreate
the	DT	the
spirit	NN	spirit
and	CC	and
flavor	NN	flavor
of	IN	of
tv	NN	tv
's	POS	's
most	RBS	most
enigmatic	JJ	enigmatic
town	NN	town
.	SENT	.
cast	NN	cast
members	NNS	member
michael	NP	Michael
ontkean	NP	<unknown>
,	,	,
sherilyn	NP	Sherilyn
fenn	NP	Fenn
,	,	,
piper	NN	piper
laurie	NN	<unknown>
,	,	,
and	CC	and
richard	NN	<unknown>
beymer	NN	<unknown>
are	VBP	be
sorely	RB	sorely
missed	VBN	miss
,	,	,
not	RB	not
to	TO	to
mention	VB	mention
lara	NP	Lara
flynn	NP	Flynn
boyle	NP	Boyle
,	,	,
who	WP	who
has	VBZ	have
been	VBN	be
replaced	VBN	replace
by	IN	by
lackluster	JJ	lackluster
moira	NN	<unknown>
kelly	NN	<unknown>
in	IN	in
the	DT	the
crucial	JJ	crucial
role	NN	role
of	IN	of
donna	NN	<unknown>
.	SENT	.
the	DT	the
movie	NN	movie
concentrates	VBZ	concentrate
solely	RB	solely
on	IN	on
laura	NN	<unknown>
palmer	NN	palmer
(	(	(
sheryl	NN	<unknown>
lee	NN	lee
)	)	)
as	IN	as
she	PP	she
suffers	VBZ	suffer
through	IN	through
drug	NN	drug
abuse	NN	abuse
,	,	,
prostitution	NN	prostitution
,	,	,
and	CC	and
incest	NN	incest
,	,	,
during	IN	during
her	PP$	her
miserable	JJ	miserable
last	JJ	last
seven	CD	seven
days	NNS	day
on	IN	on
earth	NN	earth
.	SENT	.
the	DT	the
night	NN	night
of	IN	of
laura	NP	Laura
's	POS	's
death	NN	death
,	,	,
which	WDT	which
is	VBZ	be
truly	RB	truly
terrifying	JJ	terrifying
,	,	,
is	VBZ	be
the	DT	the
film	NN	film
's	VBZ	be
only	RB	only
remotely	RB	remotely
effective	JJ	effective
sequence	NN	sequence
.	SENT	.
we	PP	we
finally	RB	finally
get	VBP	get
to	TO	to
see	VB	see
exactly	RB	exactly
what	WP	what
happened	VBD	happen
to	TO	to
laura	NN	<unknown>
after	IN	after
she	PP	she
jumped	VBD	jump
off	RP	off
james	NNS	<unknown>
'	POS	'
motorcycle	NN	motorcycle
and	CC	and
ran	VBD	run
into	IN	into
the	DT	the
woods	NNS	wood
at	IN	at
that	DT	that
lonely	JJ	lonely
traffic	NN	traffic
light	NN	light
in	IN	in
the	DT	the
middle	NN	middle
of	IN	of
nowhere	RB	nowhere
.	SENT	.
her	PP$	her
murder	NN	murder
unfolds	VBZ	unfold
just	RB	just
as	IN	as
agent	NN	agent
cooper	NN	cooper
reconstructed	VBD	reconstruct
it	PP	it
in	IN	in
the	DT	the
tv	NN	tv
series	NN	series
,	,	,
which	WDT	which
is	VBZ	be
gratifying	VBG	gratify
for	IN	for
faithful	JJ	faithful
"	``	"
twin	JJ	twin
peaks	NNS	peak
"	''	"
viewers	NNS	viewer
.	SENT	.
but	CC	but
it	PP	it
's	VBZ	be
an	DT	an
awfully	RB	awfully
small	JJ	small
reward	NN	reward
for	IN	for
sitting	VBG	sit
through	IN	through
a	DT	a
painfully	RB	painfully
awful	JJ	awful
movie	NN	movie
.	SENT	.
