like	IN	like
which	WDT	which
he	PP	he
used	VBD	use
to	TO	to
be	VB	be
.	SENT	.
"	''	"
metro	NN	metro
"	``	"
happens	VBZ	happen
to	TO	to
be	VB	be
a	DT	a
lot	NN	lot
better	RBR	well
than	IN	than
any	DT	any
film	NN	film
in	IN	in
the	DT	the
"	``	"
beverly	JJ	<unknown>
hills	NNS	hill
cop	NN	cop
"	''	"
series	NN	series
.	SENT	.
that	DT	that
is	VBZ	be
because	IN	because
"	``	"
metro	NN	metro
"	''	"
takes	VBZ	take
itself	PP	itself
seriously	RB	seriously
,	,	,
but	CC	but
doesn	NN	<unknown>
t	NN	t
prevent	VB	prevent
itself	PP	itself
from	IN	from
having	VBG	have
a	DT	a
little	JJ	little
fun	NN	fun
.	SENT	.
eddie	NN	<unknown>
murphy	NN	murphy
is	VBZ	be
at	IN	at
his	PP$	his
best	JJS	good
in	IN	in
the	DT	the
roles	NNS	role
of	IN	of
responsible	JJ	responsible
,	,	,
and	CC	and
controlled	JJ	controlled
people	NNS	people
.	SENT	.
the	DT	the
"	``	"
beverly	JJ	<unknown>
hills	NNS	hill
cop	NN	cop
"	''	"
movies	NNS	movie
all	DT	all
featured	JJ	featured
eddie	NN	<unknown>
as	IN	as
a	DT	a
reckless	JJ	reckless
,	,	,
wild	JJ	wild
cop	NN	cop
,	,	,
always	RB	always
crossing	VBG	cross
the	DT	the
line	NN	line
by	IN	by
just	RB	just
an	DT	an
inch	NN	inch
.	SENT	.
in	IN	in
"	``	"
metro	NN	metro
"	''	"
he	PP	he
plays	VBZ	play
a	DT	a
hostage	NN	hostage
negotiator	NN	negotiator
,	,	,
so	RB	so
negotiation	NN	negotiation
is	VBZ	be
his	PP$	his
job	NN	job
,	,	,
not	RB	not
his	PP$	his
hobby	NN	hobby
or	CC	or
his	PP$	his
preferred	JJ	preferred
way	NN	way
out	IN	out
of	IN	of
trouble	NN	trouble
.	SENT	.
his	PP$	his
character	NN	character
in	IN	in
"	``	"
metro	NN	metro
"	''	"
takes	VBZ	take
himself	PP	himself
seriously	RB	seriously
.	SENT	.
eddie	NN	<unknown>
murphy	NN	murphy
s	NN	S
mischievous	JJ	mischievous
trademark	NN	trademark
grin	NN	grin
is	VBZ	be
hardly	RB	hardly
anywhere	RB	anywhere
to	TO	to
be	VB	be
found	VBN	find
in	IN	in
"	``	"
metro	NN	metro
,	,	,
"	''	"
and	CC	and
perhaps	RB	perhaps
it	PP	it
is	VBZ	be
quite	RB	quite
better	JJR	good
off	IN	off
that	DT	that
way	NN	way
.	SENT	.
murphy	NN	murphy
plays	VBZ	play
scott	NN	<unknown>
roper	NN	<unknown>
,	,	,
and	CC	and
as	IN	as
i	NP	i
previously	RB	previously
mentioned	VBD	mention
,	,	,
he	PP	he
is	VBZ	be
a	DT	a
san	JJ	<unknown>
francisco	NN	<unknown>
hostage	NN	hostage
negotiator	NN	negotiator
.	SENT	.
in	IN	in
the	DT	the
first	JJ	first
tense	JJ	tense
situation	NN	situation
in	IN	in
the	DT	the
film	NN	film
,	,	,
we	PP	we
are	VBP	be
introduced	VBN	introduce
to	TO	to
roper	NN	<unknown>
s	NN	S
kind	NN	kind
of	IN	of
work	NN	work
,	,	,
as	IN	as
he	PP	he
tries	VBZ	try
to	TO	to
calm	VB	calm
down	RP	down
a	DT	a
confused	JJ	confused
,	,	,
unkempt	JJ	unkempt
young	JJ	young
criminal	NN	criminal
who	WP	who
has	VBZ	have
taken	VBN	take
captive	JJ	captive
the	DT	the
entire	JJ	entire
capacity	NN	capacity
of	IN	of
the	DT	the
san	JJ	<unknown>
francisco	NN	<unknown>
bank	NN	bank
he	PP	he
is	VBZ	be
holding	VBG	hold
up	RP	up
.	SENT	.
murphy	NN	murphy
handles	VBZ	handle
the	DT	the
scene	NN	scene
seriously	RB	seriously
,	,	,
without	IN	without
his	PP$	his
usual	JJ	usual
happy-go-lucky	JJ	happy-go-lucky
,	,	,
misfit	NN	misfit
humor	NN	humor
.	SENT	.
the	DT	the
film	NN	film
develops	VBZ	develop
when	WRB	when
its	PP$	its
villain	NN	villain
is	VBZ	be
established	VBN	establish
,	,	,
and	CC	and
the	DT	the
villain	NN	villain
here	RB	here
is	VBZ	be
the	DT	the
beguiling	VBG	beguil
michael	NP	Michael
korda	NP	Korda
,	,	,
a	DT	a
jewel	NN	jewel
thief	NN	thief
,	,	,
and	CC	and
murderer	NN	murderer
who	WP	who
likes	VBZ	like
to	TO	to
let	VB	let
cops	VBZ	cop
know	VB	know
of	IN	of
his	PP$	his
hostage	NN	hostage
fatalities	NNS	fatality
by	IN	by
giving	VBG	give
them	PP	them
the	DT	the
ear	NN	ear
of	IN	of
the	DT	the
victim	NN	victim
.	SENT	.
"	``	"
metro	NN	metro
"	''	"
takes	VBZ	take
different	JJ	different
twists	NNS	twist
and	CC	and
slight	JJ	slight
turns	NNS	turn
,	,	,
and	CC	and
there	EX	there
is	VBZ	be
one	CD	one
great	JJ	great
,	,	,
virtuoso	JJ	virtuoso
chase	JJ	chase
scene	NN	scene
,	,	,
involving	VBG	involve
the	DT	the
a	DT	a
cable	NN	cable
car	NN	car
.	SENT	.
cars	NNS	car
flip	JJ	flip
.	SENT	.
cars	NNS	car
crash	NN	crash
.	SENT	.
cars	NNS	car
turn	VBP	turn
over	RP	over
.	SENT	.
and	CC	and
it	PP	it
is	VBZ	be
done	VBN	do
so	RB	so
good	JJ	good
in	IN	in
this	DT	this
film	NN	film
,	,	,
i	NP	i
was	VBD	be
reminded	VBN	remind
of	IN	of
"	``	"
speed	NN	speed
,	,	,
"	''	"
and	CC	and
the	DT	the
speeding	JJ	speeding
bus	NN	bus
that		IN	that
couldn	NN	<unknown>
t	NN	t
go	VBP	go
under	IN	under
fifty	CD	fifty
mile	NN	mile
per	IN	per
hour	NN	hour
for	IN	for
very	RB	very
significant	JJ	significant
reasons	NNS	reason
.	SENT	.
there	EX	there
are	VBP	be
also	RB	also
some	DT	some
other	JJ	other
good	JJ	good
scenes	NNS	scene
in	IN	in
"	``	"
metro	NN	metro
"	''	"
that		IN	that
a	DT	a
lot	NN	lot
of	IN	of
films	NNS	film
would	MD	would
rather	RB	rather
choose	VB	choose
not	RB	not
to	TO	to
have	VB	have
.	SENT	.
scenes	NNS	scene
like	IN	like
the	DT	the
one	CD	one
with	IN	with
roper	NN	<unknown>
and	CC	and
his	PP$	his
new	JJ	new
partner	NN	partner
are	VBP	be
at	IN	at
the	DT	the
horse	NN	horse
track	NN	track
roper	NN	<unknown>
is	VBZ	be
a	DT	a
gambler	NN	gambler
who	WP	who
knows	VBZ	know
all	PDT	all
the	DT	the
tricks	NNS	trick
and	CC	and
roper	NN	<unknown>
teaches	VBZ	teach
his	PP$	his
partner	NN	partner
a	DT	a
few	JJ	few
little	JJ	little
methods	NNS	method
of	IN	of
betting	VBG	bet
and	CC	and
winning	VBG	win
.	SENT	.
of	IN	of
course	NN	course
,	,	,
the	DT	the
writers	NNS	writer
tried	VBD	try
to	TO	to
disguise	VB	disguise
the	DT	the
scene	NN	scene
as	IN	as
being	VBG	be
insignificant	JJ	insignificant
by	IN	by
having	VBG	have
roper	NN	<unknown>
draw	VB	draw
parallels	NNS	parallel
between	IN	between
hostage	NN	hostage
negotiation	NN	negotiation
and	CC	and
gambling	NN	gambling
.	SENT	.
the	DT	the
scenes	NNS	scene
between	IN	between
roper	NN	<unknown>
and	CC	and
his	PP$	his
girlfriend	NN	girlfriend
are	VBP	be
nice	JJ	nice
,	,	,
too	RB	too
.	SENT	.
those	DT	those
are	VBP	be
the	DT	the
scenes	NNS	scene
that	WDT	that
make	VBP	make
up	RP	up
"	''	"
metro	NN	metro
,	,	,
"	''	"
which	WDT	which
is	VBZ	be
mainly	RB	mainly
about	IN	about
eddie	NN	<unknown>
murphy	NN	murphy
s	NNS	<unknown>
maturing	VBG	mature
as	IN	as
a	DT	a
personality	NN	personality
.	SENT	.
the	DT	the
actor	NN	actor
that		IN	that
i	NNS	i
most	RBS	most
enjoyed	VBN	enjoy
seeing	VBG	see
in	IN	in
"	``	"
metro	NN	metro
"	''	"
was	VBD	be
michael	NP	Michael
rapaport	NP	Rapaport
,	,	,
who	WP	who
plays	VBZ	play
roper	NN	<unknown>
s	NNS	<unknown>
new	JJ	new
partner	NN	partner
,	,	,
a	DT	a
lip-reading	NN	lip-reading
,	,	,
book-skimming	NN	<unknown>
genius	NN	genius
,	,	,
and	CC	and
a	DT	a
master	NN	master
of	IN	of
observation	NN	observation
.	SENT	.
it	PP	it
was	VBD	be
not	RB	not
the	DT	the
actor	NN	actor
s	NN	S
presence	NN	presence
that	WDT	that
pleased	VBD	please
me	PP	me
as	RB	as
much	RB	much
as	IN	as
the	DT	the
role	NN	role
he	PP	he
was	VBD	be
cast	VBN	cast
in	IN	in
the	DT	the
role	NN	role
of	IN	of
a	DT	a
proclaimed	JJ	proclaimed
genius	NN	genius
.	SENT	.
rapaport	NN	<unknown>
is	VBZ	be
an	DT	an
actor	NN	actor
who	WP	who
i	NP	i
usually	RB	usually
see	VBP	see
in	IN	in
the	DT	the
role	NN	role
of	IN	of
the	DT	the
dimwit	NN	dimwit
the	DT	the
really	RB	really
,	,	,
really	RB	really
dopey	JJ	dopey
dimwit	NN	dimwit
.	SENT	.
i	NP	i
hardly	RB	hardly
recognized	VBD	recognize
him	PP	him
in	IN	in
"	``	"
metro	NN	metro
,	,	,
"	``	"
and	CC	and
it	PP	it
was	VBD	be
quite	RB	quite
a	DT	a
joy	NN	joy
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
see	VB	see
him	PP	him
in	IN	in
a	DT	a
role	NN	role
like	IN	like
this	DT	this
i	NP	i
feel	VBP	feel
that		IN	that
i	NP	i
respect	VB	respect
him	PP	him
more	JJR	more
.	SENT	.
there	EX	there
are	VBP	be
two	CD	two
main	JJ	main
types	NNS	type
of	IN	of
villains	NNS	villain
in	IN	in
movies	NNS	movie
like	IN	like
this	DT	this
:	:	:
the	DT	the
ones	NNS	one
that	WDT	that
are	VBP	be
part	NN	part
of	IN	of
the	DT	the
story	NN	story
,	,	,
and	CC	and
the	DT	the
ones	NNS	one
that	WDT	that
are	VBP	be
devices	NNS	device
.	SENT	.
the	DT	the
villain	NN	villain
in	IN	in
"	``	"
metro	NN	metro
"	''	"
is	VBZ	be
no	RB	no
more	JJR	more
than	IN	than
a	DT	a
device	NN	device
,	,	,
but	CC	but
he	PP	he
is	VBZ	be
a	DT	a
darn	JJ	darn
good	JJ	good
villain	NN	villain
nonetheless	RB	nonetheless
.	SENT	.
he	PP	he
is	VBZ	be
played	VBN	play
by	IN	by
michael	NP	Michael
wincott	NP	<unknown>
,	,	,
whose	WP$	whose
voice	NN	voice
is	VBZ	be
pushed	VBN	push
out	RP	out
in	IN	in
a	DT	a
abraded	VBN	abrade
rasp	NN	rasp
,	,	,
as	RB	as
if	IN	if
he	PP	he
smokes	VBZ	smoke
a	DT	a
cigarette	NN	cigarette
between	IN	between
every	DT	every
take	NN	take
.	SENT	.
wincott	NP	<unknown>
makes	VBZ	make
his	PP$	his
villain	NN	villain
,	,	,
korda	NP	Korda
,	,	,
as	IN	as
mean	NN	mean
as	RB	as
could	MD	could
be	VB	be
,	,	,
the	DT	the
classic	JJ	classic
type	NN	type
of	IN	of
villain	NN	villain
who	WP	who
would	MD	would
push	VB	push
an	DT	an
old	JJ	old
lady	NN	lady
down	IN	down
a	DT	a
flight	NN	flight
of	IN	of
stairs	NNS	stair
just	RB	just
for	IN	for
kicks	NNS	kick
,	,	,
like	IN	like
richard	NN	<unknown>
widmark	NN	<unknown>
in	IN	in
"	``	"
kiss	NN	kiss
of	IN	of
death	NN	death
.	SENT	.
"	''	"
and	CC	and
,	,	,
in	IN	in
addition	NN	addition
,	,	,
wincott	NN	<unknown>
s	NNS	<unknown>
physical	JJ	physical
appearance	NN	appearance
and	CC	and
mannerisms	NNS	mannerism
,	,	,
in	IN	in
the	DT	the
film	NN	film
,	,	,
actually	RB	actually
reminded	VBD	remind
my	PP$	my
of	IN	of
an	DT	an
arrogant	JJ	arrogant
friend	NN	friend
i	NNS	i
use	VBP	use
to	TO	to
have	VB	have
,	,	,
who	WP	who
is	VBZ	be
no	RB	no
longer	RBR	longer
on	IN	on
my	PP$	my
good	JJ	good
list	NN	list
.	SENT	.
i	NP	i
liked	VBD	like
"	``	"
metro	NN	metro
,	,	,
"	''	"
and	CC	and
i	NP	i
do	VBP	do
not	RB	not
think	VB	think
would	MD	would
have	VB	have
worked	VBN	work
with	IN	with
any	DT	any
other	JJ	other
actor	NN	actor
but	CC	but
eddie	NN	<unknown>
murphy	NN	murphy
.	SENT	.
his	PP$	his
past	JJ	past
roles	NNS	role
were	VBD	be
the	DT	the
great	JJ	great
ones	NNS	one
but	CC	but
they	PP	they
were	VBD	be
also	RB	also
a	DT	a
precursor	NN	precursor
to	TO	to
the	DT	the
maturing	VBG	mature
that		IN	that
would	MD	would
later	RBR	later
take	VB	take
place	NN	place
,	,	,
possibly	RB	possibly
from	IN	from
murphy	NN	murphy
s	NNS	<unknown>
growing	VBG	grow
as	IN	as
a	DT	a
person	NN	person
,	,	,
now	RB	now
having	VBG	have
a	DT	a
family	NN	family
.	SENT	.
"	``	"
metro	NN	metro
"	''	"
is	VBZ	be
a	DT	a
no-nonsense	JJ	no-nonsense
movie	NN	movie
.	SENT	.
it	PP	it
works	VBZ	work
as	IN	as
a	DT	a
buddy	NN	buddy
movie	NN	movie
,	,	,
which	WDT	which
it	PP	it
does	VBZ	do
not	RB	not
overplay	VB	overplay
.	SENT	.
it	PP	it
works	VBZ	work
as	IN	as
a	DT	a
dry	JJ	dry
comedy	NN	comedy
,	,	,
which	WDT	which
it	PP	it
does	VBZ	do
not	RB	not
overplay	VB	overplay
.	SENT	.
it	PP	it
works	VBZ	work
as	IN	as
a	DT	a
suspense	NN	suspense
film	NN	film
,	,	,
which	WDT	which
it	PP	it
does	VBZ	do
not	RB	not
overplay	VB	overplay
.	SENT	.
and	CC	and
it	PP	it
works	VBZ	work
as	IN	as
an	DT	an
action	NN	action
film	NN	film
,	,	,
where	WRB	where
it	PP	it
does	VBZ	do
have	VBP	have
a	DT	a
tendency	NN	tendency
to	TO	to
occasionally	RB	occasionally
go	VB	go
all-out	JJ	all-out
.	SENT	.
but	CC	but
who	WP	who
cares	VBZ	care
?	SENT	?
it	PP	it
still	RB	still
remains	VBZ	remain
serious	JJ	serious
,	,	,
and	CC	and
it	PP	it
does	VBZ	do
not	RB	not
overdo	VB	overdo
itself	PP	itself
.	SENT	.
oh	UH	oh
,	,	,
and	CC	and
there	EX	there
were	VBD	be
plenty	NN	plenty
of	IN	of
explosions	NNS	explosion
in	IN	in
"	``	"
metro	NN	metro
,	,	,
"	''	"
as	RB	as
well	RB	well
.	SENT	.
how	WRB	how
nice	JJ	nice
it	PP	it
was	VBD	be
of	IN	of
the	DT	the
filmmakers	NNS	filmmaker
to	TO	to
give	VB	give
us	PP	us
those	DT	those
.	SENT	.
if	IN	if
there	EX	there
is	VBZ	be
one	CD	one
major	JJ	major
objection	NN	objection
i	NP	i
had	VBD	have
to	TO	to
"	``	"
metro	NN	metro
"	''	"
,	,	,
it	PP	it
was	VBD	be
the	DT	the
length	NN	length
,	,	,
an	DT	an
area	NN	area
where	WRB	where
a	DT	a
lot	NN	lot
of	IN	of
action	NN	action
films	NNS	film
seem	VBP	seem
to	TO	to
wear	VB	wear
out	RP	out
their	PP$	their
welcomes	NNS	welcome
.	SENT	.
"	``	"
metro	NN	metro
"	''	"
is	VBZ	be
a	DT	a
film	NN	film
that	WDT	that
lasted	VBD	last
a	DT	a
little	JJ	little
too	RB	too
long	RB	long
,	,	,
but	CC	but
it	PP	it
was	VBD	be
still	RB	still
entertaining	JJ	entertaining
,	,	,
and	CC	and
it	PP	it
gave	VBD	give
me	PP	me
something	NN	something
to	TO	to
do	VB	do
while	IN	while
i	NP	i
waited	VBD	wait
for	IN	for
it	PP	it
to	TO	to
end	VB	end
.	SENT	.
paul	NN	<unknown>
haynes	NNS	<unknown>
"	''	"
>	SYM	>
