what	WP	what
joking	VBG	joke
when	WRB	when
he	PP	he
boasts	VBZ	boast
,	,	,
"	``	"
wait	VB	wait
'till	NN	<unknown>
they	PP	they
get	VBP	get
a	DT	a
load	NN	load
of	IN	of
me	PP	me
!	SENT	!
"	``	"
his	PP$	his
grimacing	VBG	grimace
smile	NN	smile
,	,	,
green	JJ	green
hair	NN	hair
,	,	,
and	CC	and
purple	JJ	purple
suits	NNS	suit
over	IN	over
orange	JJ	orange
shirts	NNS	shirt
are	VBP	be
colorful	JJ	colorful
and	CC	and
outrageous	JJ	outrageous
.	SENT	.
keaton	NP	Keaton
's	POS	's
wardrobe	NN	wardrobe
is	VBZ	be
equally	RB	equally
appropriate	JJ	appropriate
.	SENT	.
batman	NN	batman
's	POS	's
cape	NN	cape
,	,	,
mask	NN	mask
,	,	,
and	CC	and
body	NN	body
armor	NN	armor
make	VBP	make
him	PP	him
look	VBP	look
threatening	JJ	threatening
,	,	,
frightening	JJ	frightening
,	,	,
and	CC	and
invincible	JJ	invincible
bringing	VBG	bring
to	TO	to
mind	VB	mind
not	RB	not
adam	JJ	<unknown>
west	NN	west
's	POS	's
campy	NN	campy
costume	NN	costume
in	IN	in
the	DT	the
tv	NN	tv
series	NN	series
but	CC	but
peter	NN	peter
weir	NN	weir
's	POS	's
outfit	NN	outfit
in	IN	in
robocop	NN	Robocop
.	SENT	.
production	NN	production
designer	NN	designer
anton	NN	<unknown>
furst	NN	<unknown>
's	POS	's
sets	NNS	set
are	VBP	be
a	DT	a
wonder	NN	wonder
.	SENT	.
gotham	NN	<unknown>
city	NN	city
is	VBZ	be
dark	JJ	dark
and	CC	and
foreboding	JJ	foreboding
,	,	,
almost	RB	almost
as	RB	as
if	IN	if
it	PP	it
were	VBD	be
an	DT	an
expressionist	JJ	expressionist
vision	NN	vision
of	IN	of
new	JJ	new
york	VBP	york
.	SENT	.
the	DT	the
batcave	JJ	<unknown>
is	VBZ	be
cold	JJ	cold
,	,	,
bare	JJ	bare
,	,	,
and	CC	and
desolate	JJ	desolate
.	SENT	.
the	DT	the
world	NN	world
that		IN	that
burton	NN	burton
and	CC	and
furst	NN	<unknown>
have	VBP	have
created	VBN	create
in	IN	in
batman	NN	batman
is	VBZ	be
a	DT	a
melancholy	JJ	melancholy
nightmare	NN	nightmare
of	IN	of
violence	NN	violence
and	CC	and
corruption	NN	corruption
.	SENT	.
the	DT	the
movie	NN	movie
's	POS	's
gritty	JJ	gritty
bladerunner/	NN	<unknown>
robocop	NN	Robocop
look	NN	look
is	VBZ	be
a	DT	a
joy	NN	joy
to	TO	to
behold	VB	behold
.	SENT	.
the	DT	the
plot	NN	plot
,	,	,
on	IN	on
the	DT	the
other	JJ	other
hand	NN	hand
,	,	,
is	VBZ	be
not	RB	not
as	RB	as
rousing	JJ	rousing
.	SENT	.
the	DT	the
screenplay	NN	screenplay
is	VBZ	be
not	RB	not
up	RB	up
to	TO	to
snuff	VB	snuff
in	IN	in
comparison	NN	comparison
to	TO	to
the	DT	the
stylized	VBN	stylize
sets	NNS	set
and	CC	and
superb	JJ	superb
acting	VBG	act
.	SENT	.
it	PP	it
takes	VBZ	take
forever	RB	forever
for	IN	for
what	WP	what
little	JJ	little
story	NN	story
there	EX	there
is	VBZ	be
to	TO	to
finally	RB	finally
kick	VB	kick
into	IN	into
gear	NN	gear
.	SENT	.
batman	NN	batman
tries	VBZ	try
to	TO	to
walk	VB	walk
a	DT	a
thin	JJ	thin
line	NN	line
between	IN	between
action	NN	action
and	CC	and
character	NN	character
psychology	NN	psychology
,	,	,
but	CC	but
it	PP	it
fails	VBZ	fail
to	TO	to
give	VB	give
us	PP	us
enough	RB	enough
of	IN	of
either	RB	either
one	CD	one
.	SENT	.
as	IN	as
i	NP	i
mentioned	VBD	mention
earlier	RBR	earlier
,	,	,
the	DT	the
screenplay	NN	screenplay
gives	VBZ	give
us	PP	us
plenty	NN	plenty
of	IN	of
the	DT	the
joker	NN	joker
,	,	,
but	CC	but
it	PP	it
never	RB	never
fully	RB	fully
establishes	VBZ	establish
batman	NN	batman
's	POS	's
psychological	JJ	psychological
motives	NNS	motive
and	CC	and
underpinnings	NNS	underpinning
.	SENT	.
in	IN	in
terms	NNS	term
of	IN	of
action	NN	action
,	,	,
batman	NN	batman
is	VBZ	be
not	RB	not
as	RB	as
thrilling	JJ	thrilling
as	IN	as
you	PP	you
might	MD	might
expect	VB	expect
.	SENT	.
burton	NN	burton
seems	VBZ	seem
more	RBR	more
concerned	VBN	concern
with	IN	with
the	DT	the
visual	JJ	visual
and	CC	and
dramatic	JJ	dramatic
elements	NNS	element
of	IN	of
the	DT	the
story	NN	story
.	SENT	.
more	JJR	more
than	IN	than
anything	NN	anything
,	,	,
batman	NN	batman
is	VBZ	be
a	DT	a
mood	NN	mood
film	NN	film
.	SENT	.
while	IN	while
batman	NN	batman
may	MD	may
not	RB	not
completely	RB	completely
absorb	VB	absorb
and	CC	and
excite	VB	excite
you	PP	you
,	,	,
it	PP	it
will	MD	will
likely	RB	likely
impress	VB	impress
you	PP	you
with	IN	with
its	PP$	its
success	NN	success
at	IN	at
bringing	VBG	bring
to	TO	to
life	NN	life
the	DT	the
style	NN	style
and	CC	and
spirit	NN	spirit
of	IN	of
the	DT	the
batman	NN	batman
comic	JJ	comic
books	NNS	book
.	SENT	.
thanks	NNS	thank
to	TO	to
its	PP$	its
distinctive	JJ	distinctive
look	NN	look
,	,	,
the	DT	the
movie	NN	movie
like	IN	like
a	DT	a
good	JJ	good
comic	JJ	comic
book	NN	book
transports	VBZ	transport
us	PP	us
to	TO	to
another	DT	another
world	NN	world
.	SENT	.
