plot	NN	plot
,	,	,
baby	NN	baby
boy	NN	boy
is	VBZ	be
a	DT	a
film	NN	film
to	TO	to
be	VB	be
seen	VBN	see
by	IN	by
anyone	NN	anyone
who	WP	who
feels	VBZ	feel
like	IN	like
they	PP	they
never	RB	never
wanna	VBP	wanna
grow	VB	grow
up	RP	up
.	SENT	.
note	NN	note
:	:	:
the	DT	the
guy	NN	guy
who	WP	who
plays	VBZ	play
jody	NN	<unknown>
's	POS	's
best	JJS	good
friend	NN	friend
in	IN	in
this	DT	this
movie	NN	movie
is	VBZ	be
omar	NN	<unknown>
gooding	NN	<unknown>
,	,	,
cuba	NN	<unknown>
gooding	NN	<unknown>
jr	NN	<unknown>
.	SENT	.
's	VBZ	be
younger	JJR	young
brother	NN	brother
(	(	(
cuba	NN	<unknown>
starred	VBN	star
in	IN	in
1991	CD	@card@
's	POS	's
boyz	NN	<unknown>
'n	NN	<unknown>
the	DT	the
hood	NN	hood
)	)	)
.	SENT	.
where	WRB	where
's	VBZ	be
joblo	NN	<unknown>
coming	VBG	come
from	IN	from
?	SENT	?
the	DT	the
best	JJS	good
man	NN	man
(	(	(
8/	CD	@card@
10	CD	@card@
)	)	)
-	:	-
brothers	NNS	brother
(	(	(
5/	CD	@card@
10	CD	@card@
)	)	)
-	:	-
shaft	VB	shaft
(	(	(
7/	CD	@card@
10	CD	@card@
)	)	)
-	:	-
summer	NN	summer
of	IN	of
sam	NN	<unknown>
(	(	(
7/	CD	@card@
10	CD	@card@
)	)	)
-	:	-
what	WP	what
's	VBZ	be
cooking	NN	cooking
(	(	(
7/	CD	@card@
10	CD	@card@
)	)	)
