one	CD	one
hattie	NN	<unknown>
jacques	NNS	<unknown>
as	IN	as
the	DT	the
matron	NN	matron
yet	RB	yet
again	RB	again
(	(	(
but	CC	but
this	DT	this
part	NN	part
is	VBZ	be
probably	RB	probably
her	PP$	her
most	RBS	most
boring	JJ	boring
'matron	NN	<unknown>
'	''	'
)	)	)
and	CC	and
barbara	NN	<unknown>
windsor	NN	<unknown>
as	IN	as
nookey	NN	<unknown>
's	POS	's
love	NN	love
interest	NN	interest
and	CC	and
unofficial	JJ	unofficial
'women	NNS	<unknown>
's	POS	's
lib	NN	lib
'	POS	'
campaigner	NN	campaigner
,	,	,
goldie	NN	<unknown>
locks	NNS	lock
.	SENT	.
both	DT	both
jacques	NNS	<unknown>
and	CC	and
windsor	NN	<unknown>
play	VBP	play
their	PP$	their
parts	NNS	part
well	RB	well
.	SENT	.
patsy	NN	patsy
rowlands	NNS	<unknown>
appears	VBZ	appear
briefly	RB	briefly
as	RB	as
miss	VB	miss
fosdick	NN	<unknown>
,	,	,
and	CC	and
there	EX	there
are	VBP	be
very	RB	very
small	JJ	small
cameos	NNS	cameo
from	IN	from
wilfrid	JJ	<unknown>
brambell	NN	<unknown>
(	(	(
from	IN	from
'steptoe	NN	<unknown>
and	CC	and
son	NN	son
'	POS	'
fame	NN	fame
)	)	)
and	CC	and
peter	NN	peter
butterworth	NN	<unknown>
.	SENT	.
the	DT	the
jokes	NNS	joke
are	VBP	be
mostly	RB	mostly
very	RB	very
funny	JJ	funny
,	,	,
the	DT	the
story	NN	story
is	VBZ	be
quite	RB	quite
appealing	JJ	appealing
,	,	,
and	CC	and
the	DT	the
regulars	NNS	regular
seem	VBP	seem
interested	JJ	interested
in	IN	in
what	WP	what
they	PP	they
're	VBP	be
doing	VBG	do
.	SENT	.
although	IN	although
it	PP	it
is	VBZ	be
another	DT	another
medical	JJ	medical
carry	NN	carry
on	IN	on
movie	NN	movie
and	CC	and
some	DT	some
of	IN	of
the	DT	the
jokes	NNS	joke
are	VBP	be
borrowed	VBN	borrow
from	IN	from
previous	JJ	previous
movies	NNS	movie
,	,	,
it	PP	it
still	RB	still
comes	VBZ	come
out	RP	out
on	IN	on
top	JJ	top
(	(	(
it	PP	it
is	VBZ	be
the	DT	the
best	RBS	well
medical	JJ	medical
carry	VBP	carry
on	IN	on
)	)	)
because	IN	because
of	IN	of
the	DT	the
above	JJ	above
factors	NNS	factor
.	SENT	.
a	DT	a
must-see	NN	must-see
carry	NN	carry
on	IN	on
movie	NN	movie
.	SENT	.
