bill	NN	bill
for	IN	for
every	DT	every
question	NN	question
he	PP	he
answers	VBZ	answer
,	,	,
the	DT	the
young	JJ	young
man	NN	man
must	MD	must
take	VB	take
off	RP	off
an	DT	an
article	NN	article
of	IN	of
clothing	NN	clothing
.	SENT	.
because	IN	because
of	IN	of
this	DT	this
episode	NN	episode
,	,	,
we	PP	we
know	VBP	know
exactly	RB	exactly
what	WP	what
it	PP	it
is	VBZ	be
whale	NN	whale
wants	VBZ	want
when	WRB	when
he	PP	he
asks	VBZ	ask
clayton	NN	<unknown>
to	TO	to
pose	VB	pose
for	IN	for
him	PP	him
for	IN	for
a	DT	a
painting	NN	painting
,	,	,
later	RBR	later
making	VBG	make
the	DT	the
excuse	NN	excuse
that		IN	that
his	PP$	his
bright	JJ	bright
,	,	,
white	JJ	white
shirt	NN	shirt
is	VBZ	be
disracting	VBG	<unknown>
only	RB	only
so	RB	so
he	PP	he
will	MD	will
take	VB	take
it	PP	it
off	RP	off
.	SENT	.
clayon	NN	<unknown>
agrees	VBZ	agree
,	,	,
and	CC	and
does	VBZ	do
n't	RB	n't
really	RB	really
think	VB	think
much	RB	much
of	IN	of
this	DT	this
,	,	,
much	RB	much
to	TO	to
the	DT	the
warnings	NNS	warning
of	IN	of
his	PP$	his
friends	NNS	friend
,	,	,
becoming	VBG	become
more	RBR	more
and	CC	and
more	RBR	more
intrigued	VBN	intrigue
in	IN	in
the	DT	the
stories	NNS	storey
whale	NN	whale
tells	VBZ	tell
him	PP	him
about	IN	about
his	PP$	his
past	NN	past
.	SENT	.
certainly	RB	certainly
,	,	,
the	DT	the
relationship	NN	relationship
between	IN	between
whale	NN	whale
and	CC	and
boone	NN	<unknown>
is	VBZ	be
headed	VBN	head
for	IN	for
a	DT	a
downfall	NN	downfall
,	,	,
since	IN	since
whale	NN	whale
starts	VBZ	start
to	TO	to
grow	VB	grow
a	DT	a
deep	JJ	deep
love	NN	love
for	IN	for
this	DT	this
young	JJ	young
man	NN	man
,	,	,
even	RB	even
though	IN	though
boone	NN	<unknown>
is	VBZ	be
not	RB	not
gay	JJ	gay
,	,	,
and	CC	and
whale	NN	whale
himself	PP	himself
realizes	VBZ	realize
he	PP	he
is	VBZ	be
nearing	VBG	near
the	DT	the
conclusion	NN	conclusion
to	TO	to
his	PP$	his
life	NN	life
,	,	,
as	IN	as
he	PP	he
begins	VBZ	begin
to	TO	to
seldom	RB	seldom
suffer	VB	suffer
mild	JJ	mild
strokes	NNS	stroke
and	CC	and
moments	NNS	moment
of	IN	of
true	JJ	true
catharsis	NN	catharsis
.	SENT	.
"	''	"
gods	NNS	god
and	CC	and
monsters	NNS	monster
"	''	"
is	VBZ	be
an	DT	an
intimate	JJ	intimate
and	CC	and
seemingly	RB	seemingly
respectful	JJ	respectful
portrait	NN	portrait
of	IN	of
a	DT	a
director	NN	director
who	WP	who
was	VBD	be
forced	VBN	force
to	TO	to
become	VB	become
somewhat	RB	somewhat
of	IN	of
an	DT	an
outcast	JJ	outcast
,	,	,
due	JJ	due
to	TO	to
his	PP$	his
sexual	JJ	sexual
preference	NN	preference
,	,	,
and	CC	and
never	RB	never
got	VBD	get
the	DT	the
recognition	NN	recognition
he	PP	he
would	MD	would
have	VB	have
liked	VBN	like
,	,	,
since	IN	since
he	PP	he
longed	VBD	long
to	TO	to
be	VB	be
referred	VBN	refer
to	TO	to
as	IN	as
a	DT	a
"	``	"
motion	NN	motion
picture	NN	picture
director	NN	director
,	,	,
"	''	"
rather	RB	rather
than	IN	than
a	DT	a
"	``	"
horror	NN	horror
director	NN	director
.	SENT	.
"	''	"
and	CC	and
in	IN	in
one	CD	one
heartbreaking	JJ	heartbreaking
scene	NN	scene
,	,	,
he	PP	he
attends	VBZ	attend
a	DT	a
party	NN	party
with	IN	with
boone	NN	<unknown>
being	VBG	be
his	PP$	his
guest	NN	guest
,	,	,
held	VBN	hold
by	IN	by
director	NN	director
george	NN	<unknown>
cuckor	NN	<unknown>
,	,	,
and	CC	and
finds	VBZ	find
that		IN	that
many	JJ	many
of	IN	of
the	DT	the
other	JJ	other
attendees	NNS	attendee
do	VBP	do
not	RB	not
recognize	VB	recognize
him	PP	him
anymore	RB	anymore
.	SENT	.
it	PP	it
is	VBZ	be
evident	JJ	evident
that		IN	that
whale	NN	whale
's	POS	's
first	JJ	first
love	NN	love
in	IN	in
his	PP$	his
life	NN	life
was	VBD	be
making	VBG	make
movies	NNS	movie
,	,	,
and	CC	and
when	WRB	when
his	PP$	his
career	NN	career
ultimately	RB	ultimately
fell	VBD	fall
apart	RB	apart
,	,	,
so	RB	so
did	VBD	do
his	PP$	his
passion	NN	passion
in	IN	in
life	NN	life
.	SENT	.
as	RB	as
played	VBN	play
brilliantly	RB	brilliantly
by	IN	by
ian	NN	<unknown>
mckellen	NN	<unknown>
,	,	,
james	NNS	<unknown>
whale	NN	whale
comes	VBZ	come
off	RP	off
as	IN	as
a	DT	a
sad	JJ	sad
,	,	,
but	CC	but
dignified	JJ	dignified
man	NN	man
,	,	,
and	CC	and
a	DT	a
person	NN	person
who	WP	who
was	VBD	be
not	RB	not
afraid	JJ	afraid
to	TO	to
stand	VB	stand
out	RP	out
from	IN	from
others	NNS	other
,	,	,
just	RB	just
as	RB	as
long	JJ	long
as	IN	as
he	PP	he
knew	VBD	know
he	PP	he
was	VBD	be
being	VBG	be
true	JJ	true
to	TO	to
himself	PP	himself
.	SENT	.
he	PP	he
never	RB	never
hid	VBD	hide
the	DT	the
fact	NN	fact
that		IN	that
he	PP	he
was	VBD	be
gay	JJ	gay
,	,	,
however	RB	however
,	,	,
even	RB	even
if	IN	if
it	PP	it
meant	VBD	mean
threatening	VBG	threaten
his	PP$	his
filmmaking	VBG	filmmak
profession	NN	profession
,	,	,
and	CC	and
it	PP	it
was	VBD	be
this	DT	this
unblinking	JJ	unblinking
honesty	NN	honesty
that	WDT	that
made	VBD	make
him	PP	him
a	DT	a
great	JJ	great
person	NN	person
.	SENT	.
through	IN	through
the	DT	the
complicated	JJ	complicated
relationship	NN	relationship
that	WDT	that
develops	VBZ	develop
between	IN	between
whale	NN	whale
and	CC	and
boone	NN	<unknown>
,	,	,
boone	NN	<unknown>
,	,	,
of	IN	of
course	NN	course
,	,	,
only	RB	only
things	NNS	thing
of	IN	of
whale	NN	whale
as	IN	as
a	DT	a
possible	JJ	possible
friend	NN	friend
or	CC	or
someone	NN	someone
he	PP	he
can	MD	can
talk	VB	talk
to	TO	to
,	,	,
while	IN	while
it	PP	it
means	VBZ	mean
so	RB	so
much	RB	much
more	JJR	more
to	TO	to
whale	NN	whale
,	,	,
who	WP	who
sees	VBZ	see
boone	NN	<unknown>
as	IN	as
sort	NN	sort
of	IN	of
his	PP$	his
salvation	NN	salvation
in	IN	in
life	NN	life
.	SENT	.
although	IN	although
boone	NN	<unknown>
is	VBZ	be
only	RB	only
in	IN	in
a	DT	a
dead-end	NN	dead-end
job	NN	job
as	IN	as
a	DT	a
gardener	NN	gardener
of	IN	of
people	NNS	people
's	POS	's
homes	NNS	home
,	,	,
whale	NN	whale
views	VBZ	view
him	PP	him
as	IN	as
the	DT	the
ideal	JJ	ideal
man	NN	man
,	,	,
not	RB	not
only	RB	only
one	CD	one
that	WDT	that
is	VBZ	be
good-looking	JJ	good-looking
,	,	,
even	RB	even
though	IN	though
it	PP	it
is	VBZ	be
this	DT	this
attraction	NN	attraction
that	WDT	that
first	RB	first
begins	VBZ	begin
his	PP$	his
feelings	NNS	feeling
,	,	,
but	CC	but
one	CD	one
that	WDT	that
will	MD	will
actually	RB	actually
listen	VB	listen
to	TO	to
him	PP	him
.	SENT	.
since	IN	since
whale	NN	whale
lives	NNS	life
with	IN	with
only	RB	only
his	PP$	his
loyal	JJ	loyal
,	,	,
but	CC	but
disapproving	VBG	disapprove
maid	NN	maid
(	(	(
touchingly	RB	touchingly
portrayed	VBN	portray
by	IN	by
lynn	NP	Lynn
redgrave	NP	Redgrave
)	)	)
,	,	,
it	PP	it
is	VBZ	be
boone	JJ	<unknown>
that		IN	that
whale	NN	whale
can	MD	can
talk	VB	talk
to	TO	to
in	IN	in
his	PP$	his
ultimate	JJ	ultimate
reclusion	NN	reclusion
from	IN	from
the	DT	the
world	NN	world
,	,	,
and	CC	and
the	DT	the
only	JJ	only
reason	NN	reason
whale	NN	whale
finally	RB	finally
decides	VBZ	decide
to	TO	to
attend	VB	attend
the	DT	the
gathering	NN	gathering
of	IN	of
george	NN	<unknown>
cuckor	NN	<unknown>
.	SENT	.
although	IN	although
an	DT	an
extremely	RB	extremely
fine	JJ	fine
and	CC	and
mature	JJ	mature
picture	NN	picture
,	,	,
a	DT	a
few	JJ	few
small	JJ	small
elements	NNS	element
hold	VBP	hold
the	DT	the
film	NN	film
back	RB	back
from	IN	from
ultimate	JJ	ultimate
greatness	NN	greatness
.	SENT	.
it	PP	it
is	VBZ	be
appreciated	VBN	appreciate
that		IN	that
the	DT	the
film	NN	film
does	VBZ	do
not	RB	not
pull	VB	pull
for	IN	for
any	DT	any
obvious	JJ	obvious
or	CC	or
overly	RB	overly
dramatic	JJ	dramatic
story	NN	story
developments	NNS	development
,	,	,
but	CC	but
it	PP	it
is	VBZ	be
a	DT	a
little	RB	little
thin	JJ	thin
,	,	,
and	CC	and
the	DT	the
structuring	NN	structuring
of	IN	of
the	DT	the
"	``	"
on-again-off-again	NP	on-again-off-again
"	''	"
friendship	NN	friendship
at	IN	at
the	DT	the
film	NN	film
's	POS	's
center	NN	center
is	VBZ	be
fairly	RB	fairly
predictable	JJ	predictable
.	SENT	.
we	PP	we
know	VBP	know
early	RB	early
on	IN	on
where	WRB	where
these	DT	these
two	CD	two
characters	NNS	character
are	VBP	be
headed	VBN	head
,	,	,
and	CC	and
we	PP	we
can	MD	can
guess	VB	guess
that		IN	that
there	EX	there
will	MD	will
be	VB	be
a	DT	a
final	JJ	final
confrontation	NN	confrontation
between	IN	between
the	DT	the
two	CD	two
as	IN	as
the	DT	the
tension	NN	tension
slowly	RB	slowly
builds	VBZ	build
.	SENT	.
in	IN	in
lesser	JJR	lesser
hands	NNS	hand
,	,	,
this	DT	this
set-up	NN	set-up
might	MD	might
have	VB	have
felt	VBN	feel
too	RB	too
calculated	VBN	calculate
,	,	,
but	CC	but
it	PP	it
is	VBZ	be
not	RB	not
in	IN	in
the	DT	the
surprisingly	RB	surprisingly
deft	JJ	deft
treatment	NN	treatment
and	CC	and
writing	NN	writing
that	WDT	that
helps	VBZ	help
the	DT	the
film	NN	film
to	TO	to
be	VB	be
much	RB	much
more	JJR	more
than	IN	than
this	DT	this
.	SENT	.
also	RB	also
,	,	,
a	DT	a
subplot	NN	subplot
is	VBZ	be
briefly	RB	briefly
brought	VBN	bring
up	RP	up
between	IN	between
clayton	NN	<unknown>
and	CC	and
a	DT	a
waitress	NN	waitress
working	VBG	work
at	IN	at
a	DT	a
bar	NN	bar
(	(	(
effectively	RB	effectively
played	VBN	play
by	IN	by
lolita	NP	Lolita
davidovich	NP	Davidovich
)	)	)
,	,	,
but	CC	but
abruptly	RB	abruptly
dropped	VBD	drop
and	CC	and
never	RB	never
brought	VBD	bring
up	RP	up
again	RB	again
.	SENT	.
if	IN	if
the	DT	the
film	NN	film
was	VBD	be
not	RB	not
going	VBG	go
to	TO	to
follow	VB	follow
up	RP	up
on	IN	on
this	DT	this
side	NN	side
story	NN	story
,	,	,
then	RB	then
it	PP	it
,	,	,
perhaps	RB	perhaps
,	,	,
should	MD	should
have	VB	have
been	VBN	be
taken	VBN	take
out	RP	out
altogether	RB	altogether
.	SENT	.
"	''	"
gods	NNS	god
and	CC	and
monsters	NNS	monster
"	''	"
is	VBZ	be
a	DT	a
heartfelt	JJ	heartfelt
and	CC	and
intelligent	JJ	intelligent
motion	NN	motion
picture	NN	picture
,	,	,
impressively	RB	impressively
directed	VBN	direct
by	IN	by
bill	NN	bill
condon	NN	<unknown>
,	,	,
who	WP	who
,	,	,
i	NP	i
sense	NN	sense
,	,	,
relates	VBZ	relate
to	TO	to
or	CC	or
fully	RB	fully
understands	VBZ	understand
the	DT	the
meaning	NN	meaning
behind	IN	behind
the	DT	the
curious	JJ	curious
relationship	NN	relationship
between	IN	between
whale	NN	whale
and	CC	and
boone	NN	<unknown>
.	SENT	.
the	DT	the
film	NN	film
also	RB	also
plays	VBZ	play
as	IN	as
a	DT	a
tribute	NN	tribute
to	TO	to
a	DT	a
fine	JJ	fine
man	NN	man
who	WP	who
met	VBD	meet
an	DT	an
untimely	JJ	untimely
end	NN	end
.	SENT	.
walking	VBG	walk
away	RP	away
from	IN	from
"	``	"
gods	NNS	god
and	CC	and
monsters	NNS	monster
,	,	,
"	``	"
it	PP	it
was	VBD	be
ian	VBG	<unknown>
mckellen	NP	<unknown>
's	POS	's
marvelous	JJ	marvelous
and	CC	and
astounding	VBG	astound
performance	NN	performance
that	WDT	that
left	VBD	leave
the	DT	the
most	JJS	most
impression	NN	impression
on	IN	on
me	PP	me
,	,	,
and	CC	and
i	NP	i
doubt	VBP	doubt
there	EX	there
could	MD	could
have	VB	have
been	VBN	be
anyone	NN	anyone
who	WP	who
could	MD	could
have	VB	have
stepped	VBN	step
into	IN	into
the	DT	the
role	NN	role
more	RBR	more
fully	RB	fully
and	CC	and
believably	RB	believably
.	SENT	.
it	PP	it
is	VBZ	be
a	DT	a
sad	JJ	sad
testament	NN	testament
when	WRB	when
a	DT	a
person	NN	person
's	POS	's
true	JJ	true
talent	NN	talent
and	CC	and
love	NN	love
is	VBZ	be
unfairly	RB	unfairly
taken	VBN	take
away	RB	away
from	IN	from
them	PP	them
,	,	,
based	VBN	base
on	IN	on
the	DT	the
scrutinization	NN	<unknown>
and	CC	and
judgement	NN	judgement
of	IN	of
their	PP$	their
personal	JJ	personal
life	NN	life
,	,	,
which	WDT	which
,	,	,
ironically	RB	ironically
enough	RB	enough
,	,	,
is	VBZ	be
no	RB	no
one	CD	one
else	NN	else
's	POS	's
business	NN	business
in	IN	in
the	DT	the
first	JJ	first
place	NN	place
.	SENT	.
