there	EX	there
yes	UH	yes
.	SENT	.
but	CC	but
anyone	NN	anyone
who	WP	who
allows	VBZ	allow
themselves	PP	themselves
to	TO	to
get	VB	get
involved	JJ	involved
will	MD	will
experience	VB	experience
a	DT	a
miracle	NN	miracle
,	,	,
and	CC	and
a	DT	a
genuine	JJ	genuine
masterpiece	NN	masterpiece
of	IN	of
a	DT	a
movie	NN	movie
.	SENT	.
