all	PDT	all
jim	NN	<unknown>
and	CC	and
a	DT	a
freshly	RB	freshly
baked	VBN	bake
pie	NN	pie
have	VBP	have
a	DT	a
very	RB	very
intimate	JJ	intimate
moment	NN	moment
in	IN	in
the	DT	the
kitchen	NN	kitchen
corner	NN	corner
.	SENT	.
there	EX	there
are	VBP	be
many	JJ	many
moments	NNS	moment
,	,	,
such	JJ	such
as	IN	as
this	DT	this
,	,	,
in	IN	in
which	WDT	which
director	NN	director
paul	NP	Paul
weitz	NP	Weitz
uses	VBZ	use
a	DT	a
game-plan	NN	<unknown>
similar	JJ	similar
to	TO	to
the	DT	the
one	CD	one
frequently	RB	frequently
displayed	VBN	display
in	IN	in
mary	NN	<unknown>
:	:	:
to	TO	to
cause	VB	cause
the	DT	the
audience	NN	audience
to	TO	to
break	VB	break
down	RP	down
laughing	VBG	laugh
in	IN	in
disgusting	JJ	disgusting
disbelief	NN	disbelief
.	SENT	.
american	JJ	American
pie	NN	pie
is	VBZ	be
a	DT	a
hard-fought	JJ	hard-fought
effort	NN	effort
that	WDT	that
has	VBZ	have
replenishing	VBG	replenish
rewards	NNS	reward
if	IN	if
you	PP	you
manage	VBP	manage
to	TO	to
stick	VB	stick
with	IN	with
it	PP	it
.	SENT	.
i	NP	i
loved	VBD	love
the	DT	the
young	JJ	young
cast	NN	cast
in	IN	in
this	DT	this
movie	NN	movie
.	SENT	.
consider	VB	consider
the	DT	the
subject	JJ	subject
matter	NN	matter
that		IN	that
these	DT	these
actors	NNS	actor
have	VBP	have
dealt	VBN	deal
with	IN	with
,	,	,
obviously	RB	obviously
suggestiveness	NN	suggestiveness
never	RB	never
rivaled	VBN	rival
in	IN	in
any	DT	any
of	IN	of
their	PP$	their
previous	JJ	previous
projects	NNS	project
,	,	,
and	CC	and
you	PP	you
should	MD	should
appreciate	VB	appreciate
their	PP$	their
performances	NNS	performance
.	SENT	.
biggs	NN	<unknown>
is	VBZ	be
more	JJR	more
than	IN	than
enjoyable	JJ	enjoyable
,	,	,
and	CC	and
chris	NN	<unknown>
klein	NN	<unknown>
(	(	(
who	WP	who
recently	RB	recently
played	VBD	play
a	DT	a
similar	JJ	similar
jock	NN	jock
in	IN	in
election	NN	election
)	)	)
is	VBZ	be
obviously	RB	obviously
a	DT	a
young	JJ	young
talent	NN	talent
on	IN	on
the	DT	the
rise	NN	rise
.	SENT	.
but	CC	but
in	IN	in
a	DT	a
teen-dominated	JJ	<unknown>
movie	NN	movie
,	,	,
the	DT	the
best	JJS	good
performance	NN	performance
comes	VBZ	come
from	IN	from
comedian	NN	comedian
eugene	NN	<unknown>
levy	NN	levy
(	(	(
of	IN	of
television	NN	television
's	POS	's
sctv	NN	<unknown>
)	)	)
,	,	,
who	WP	who
is	VBZ	be
unexpectedly	RB	unexpectedly
brilliant	JJ	brilliant
as	IN	as
jim	NP	Jim
's	POS	's
uneasy	JJ	uneasy
father	NN	father
.	SENT	.
scenes	NNS	scene
in	IN	in
which	WDT	which
the	DT	the
familiar	JJ	familiar
father-son	NN	father-son
conversations	NNS	conversation
are	VBP	be
brought	VBN	bring
to	TO	to
interesting	JJ	interesting
new	JJ	new
levels	NNS	level
are	VBP	be
the	DT	the
funniest	JJS	funny
moments	NNS	moment
to	TO	to
be	VB	be
found	VBN	find
in	IN	in
american	JJ	American
pie	NN	pie
.	SENT	.
after	IN	after
levy	NN	levy
discovers	VBZ	discover
jim	NN	<unknown>
's	POS	's
new	JJ	new
use	NN	use
for	IN	for
apple	NN	apple
pie	NN	pie
,	,	,
he	PP	he
tells	VBZ	tell
him	PP	him
,	,	,
`	``	`
i	NP	i
did	VBD	do
a	DT	a
fare	NN	fare
share	NN	share
of	IN	of
that	DT	that
sort	NN	sort
of	IN	of
thing	NN	thing
when	WRB	when
i	NP	i
was	VBD	be
your	PP$	your
age	NN	age
.	SENT	.
but	CC	but
i	NP	i
never	RB	never
used	VBD	use
baked	VBN	bake
goods	NNS	good
.	SENT	.
'	''	'
it	PP	it
is	VBZ	be
performances	NNS	performance
such	JJ	such
as	IN	as
his	PP$	his
,	,	,
and	CC	and
bill	NN	bill
murray	NN	<unknown>
's	VBZ	be
in	IN	in
rushmore	NN	<unknown>
,	,	,
that	WDT	that
are	VBP	be
often	RB	often
unfairly	RB	unfairly
dismissed	VBN	dismiss
when	WRB	when
awards	NNS	award
are	VBP	be
handed	VBN	hand
out	RP	out
.	SENT	.
there	EX	there
are	VBP	be
some	DT	some
less-than-original	JJ	<unknown>
aspects	NNS	aspect
of	IN	of
the	DT	the
film	NN	film
.	SENT	.
a	DT	a
bathroom	NN	bathroom
incident	NN	incident
involving	VBG	involve
finch	NN	finch
and	CC	and
a	DT	a
bottle	NN	bottle
of	IN	of
ex-lax	NN	<unknown>
is	VBZ	be
something	NN	something
we	PP	we
've	VBP	have
seen	VBN	see
before	RB	before
.	SENT	.
if	IN	if
weitz	NP	Weitz
is	VBZ	be
planning	VBG	plan
to	TO	to
take	VB	take
after	IN	after
the	DT	the
farrelly	JJ	<unknown>
brothers	NNS	brother
,	,	,
then	RB	then
this	DT	this
is	VBZ	be
a	DT	a
decidedly	RB	decidedly
unwise	JJ	unwise
move	NN	move
:	:	:
the	DT	the
same	JJ	same
prank	NN	prank
was	VBD	be
pulled	VBN	pull
in	IN	in
the	DT	the
brother	NN	brother
's	POS	's
dumb	JJ	dumb
and	CC	and
dumber	JJR	dumb
,	,	,
and	CC	and
used	VBD	use
to	TO	to
greater	JJR	great
effect	NN	effect
.	SENT	.
secondly	RB	secondly
,	,	,
the	DT	the
characters	NNS	character
are	VBP	be
forced	VBN	force
into	IN	into
a	DT	a
half-hearted	JJ	half-hearted
climax	NN	climax
that	WDT	that
seems	VBZ	seem
more	RBR	more
artificial	JJ	artificial
than	IN	than
amusing	JJ	amusing
.	SENT	.
but	CC	but
at	IN	at
one	CD	one
point	NN	point
,	,	,
in	IN	in
which	WDT	which
we	PP	we
discover	VBP	discover
that		IN	that
american	NN	American
pie	NN	pie
does	VBZ	do
have	VB	have
a	DT	a
heart	NN	heart
of	IN	of
it	PP	it
's	VBZ	be
own	JJ	own
,	,	,
biggs	NN	<unknown>
asks	VBZ	ask
his	PP$	his
buddies	NNS	buddy
why	WRB	why
he	PP	he
's	VBZ	be
going	VBG	go
through	IN	through
so	RB	so
much	JJ	much
pressure	NN	pressure
for	IN	for
something	NN	something
that	WDT	that
's	VBZ	be
`	``	`
not	RB	not
very	RB	very
important	JJ	important
anyway	RB	anyway
.	SENT	.
'	''	'
and	CC	and
so	RB	so
we	PP	we
realize	VBP	realize
that		IN	that
while	IN	while
the	DT	the
film	NN	film
is	VBZ	be
expressive	JJ	expressive
about	IN	about
a	DT	a
subject	NN	subject
that	WDT	that
is	VBZ	be
hardly	RB	hardly
appropriate	JJ	appropriate
,	,	,
it	PP	it
still	RB	still
manages	VBZ	manage
to	TO	to
be	VB	be
mature	JJ	mature
.	SENT	.
in	IN	in
it	PP	it
's	POS	's
own	JJ	own
way	NN	way
.	SENT	.
