there	EX	there
r	NN	r
.	SENT	.
what	WP	what
sort	NN	sort
of	IN	of
country	NN	country
is	VBZ	be
this	NN	this
that	WDT	that
says	VBZ	say
sex	NN	sex
comedies	NNS	comedy
are	VBP	be
a	DT	a
bigger	JJR	big
threat	NN	threat
to	TO	to
our	PP$	our
youth	NN	youth
than	IN	than
brutal	JJ	brutal
,	,	,
ecstatic	JJ	ecstatic
violence	NN	violence
?	SENT	?
)	)	)
the	DT	the
police	NNS	police
arrive	VBP	arrive
just	RB	just
as	IN	as
derek	NP	Derek
kills	VBZ	kill
the	DT	the
last	JJ	last
thief	NN	thief
.	SENT	.
derek	NP	Derek
does	VBZ	do
not	RB	not
resist	VB	resist
the	DT	the
cops	VBZ	cop
,	,	,
and	CC	and
as	RB	as
they	PP	they
spin	VB	spin
him	PP	him
around	RP	around
to	TO	to
cuff	VB	cuff
him	PP	him
,	,	,
the	DT	the
film	NN	film
slows	VBZ	slow
down	RP	down
.	SENT	.
derek	NP	Derek
raises	VBZ	raise
his	PP$	his
eyebrows	NNS	eyebrow
and	CC	and
smiles	NNS	smile
at	IN	at
his	PP$	his
little	JJ	little
brother	NN	brother
in	IN	in
a	DT	a
chilling	JJ	chilling
,	,	,
sadistic	JJ	sadistic
,	,	,
satisfied	JJ	satisfied
grin	NN	grin
.	SENT	.
now	RB	now
in	IN	in
prison	NN	prison
,	,	,
derek	NP	Derek
faces	VBZ	face
new	JJ	new
challenges	NNS	challenge
.	SENT	.
as	IN	as
the	DT	the
black	JJ	black
man	NN	man
in	IN	in
the	DT	the
laundry	NN	laundry
tells	VBZ	tell
him	PP	him
,	,	,
"	''	"
in	IN	in
the	DT	the
joint	JJ	joint
,	,	,
you	PP	you
the	DT	the
nigra	NN	<unknown>
,	,	,
not	RB	not
me	PP	me
.	SENT	.
"	``	"
there	EX	there
is	VBZ	be
a	DT	a
clique	NN	clique
of	IN	of
swastika-wearing	VBG	<unknown>
skinheads	NNS	skinhead
,	,	,
but	CC	but
they	PP	they
are	VBP	be
not	RB	not
interested	JJ	interested
in	IN	in
the	DT	the
ideology	NN	ideology
of	IN	of
white	JJ	white
supremacy	NN	supremacy
.	SENT	.
they	PP	they
only	RB	only
use	VBP	use
the	DT	the
symbols	NNS	symbol
as	IN	as
a	DT	a
means	NN	means
of	IN	of
intimidation	NN	intimidation
.	SENT	.
derek	NP	Derek
finds	VBZ	find
himself	PP	himself
truly	RB	truly
alone	RB	alone
,	,	,
truly	RB	truly
in	IN	in
danger	NN	danger
,	,	,
and	CC	and
truly	RB	truly
afraid	JJ	afraid
.	SENT	.
when	WRB	when
derek	NP	Derek
finally	RB	finally
gets	VBZ	get
out	RP	out
of	IN	of
prison	NN	prison
,	,	,
he	PP	he
finds	VBZ	find
that		IN	that
his	PP$	his
friends	NNS	friend
from	IN	from
the	DT	the
gang	NN	gang
have	VBP	have
also	RB	also
changed	VBN	change
.	SENT	.
without	IN	without
derek	NP	Derek
's	POS	's
leadership	NN	leadership
,	,	,
they	PP	they
have	VBP	have
shunned	VBN	shun
the	DT	the
white	JJ	white
supremacist	NN	supremacist
ideology	NN	ideology
for	IN	for
the	DT	the
white	JJ	white
supremacist	NN	supremacist
culture	NN	culture
.	SENT	.
it	PP	it
is	VBZ	be
the	DT	the
final	JJ	final
factor	NN	factor
that	WDT	that
makes	VBZ	make
him	PP	him
realize	VB	realize
how	WRB	how
badly	RB	badly
he	PP	he
's	VBZ	be
screwed	VBN	screw
up	RP	up
.	SENT	.
in	IN	in
the	DT	the
end	NN	end
,	,	,
he	PP	he
spends	VBZ	spend
quality	NN	quality
time	NN	time
with	IN	with
is	VBZ	be
brother	NN	brother
trying	VBG	try
to	TO	to
undo	VB	undo
the	DT	the
respect	NN	respect
and	CC	and
admiration	NN	admiration
he	PP	he
had	VBD	have
earlier	RBR	earlier
inspired	VBN	inspire
in	IN	in
danny	NN	danny
.	SENT	.
the	DT	the
film	NN	film
ends	VBZ	end
a	DT	a
little	JJ	little
too	RB	too
deliberately	RB	deliberately
,	,	,
too	RB	too
neatly	RB	neatly
after	IN	after
the	DT	the
unchained	VBN	unchain
emotion	NN	emotion
and	CC	and
violent	JJ	violent
glee	NN	glee
of	IN	of
the	DT	the
rest	NN	rest
of	IN	of
the	DT	the
film	NN	film
,	,	,
but	CC	but
it	PP	it
barely	RB	barely
detracts	VBZ	detract
from	IN	from
the	DT	the
overall	JJ	overall
experience	NN	experience
.	SENT	.
edward	JJ	<unknown>
norton	NN	Norton
gives	VBZ	give
an	DT	an
oscar-worthy	JJ	<unknown>
performance	NN	performance
.	SENT	.
although	IN	although
some	DT	some
of	IN	of
his	PP$	his
dialogue	NN	dialogue
seemed	VBD	seem
to	TO	to
be	VB	be
written	VBN	write
without	IN	without
enough	JJ	enough
conviction	NN	conviction
,	,	,
norton	NP	Norton
's	POS	's
performance	NN	performance
compensated	VBD	compensate
.	SENT	.
(	(	(
an	DT	an
example	NN	example
that	WDT	that
comes	VBZ	come
to	TO	to
mind	VB	mind
is	VBZ	be
his	PP$	his
pep	NN	pep
talk	NN	talk
before	IN	before
looting	VBG	loot
the	DT	the
store	NN	store
.	SENT	.
)	)	)
he	PP	he
also	RB	also
captured	VBD	capture
the	DT	the
essence	NN	essence
of	IN	of
an	DT	an
older	JJR	old
brother	NN	brother
.	SENT	.
he	PP	he
took	VBD	take
his	PP$	his
responsibility	NN	responsibility
as	IN	as
a	DT	a
role	NN	role
model	NN	model
to	TO	to
his	PP$	his
younger	JJR	young
brother	NN	brother
very	RB	very
seriously	RB	seriously
,	,	,
very	RB	very
lovingly	RB	lovingly
,	,	,
both	CC	both
before	IN	before
and	CC	and
after	IN	after
his	PP$	his
change	NN	change
of	IN	of
heart	NN	heart
.	SENT	.
though	RB	though
clearly	RB	clearly
not	RB	not
for	IN	for
all	DT	all
tastes	NNS	taste
,	,	,
this	DT	this
film	NN	film
is	VBZ	be
bold	JJ	bold
and	CC	and
daring	JJ	daring
.	SENT	.
the	DT	the
subject	JJ	subject
matter	NN	matter
is	VBZ	be
ugly	JJ	ugly
,	,	,
cruel	JJ	cruel
,	,	,
and	CC	and
at	IN	at
times	NNS	time
hard	JJ	hard
to	TO	to
look	VB	look
at	IN	at
.	SENT	.
nevertheless	RB	nevertheless
its	PP$	its
subjects	NNS	subject
are	VBP	be
part	NN	part
of	IN	of
humanity	NN	humanity
's	POS	's
great	JJ	great
face	NN	face
.	SENT	.
kaye	NN	<unknown>
gives	VBZ	give
us	PP	us
a	DT	a
good	JJ	good
look	NN	look
at	IN	at
this	DT	this
fascinating	JJ	fascinating
,	,	,
if	IN	if
distasteful	JJ	distasteful
,	,	,
american	JJ	American
subculture	NN	subculture
.	SENT	.
