there	EX	there
emma	NN	<unknown>
(	(	(
jean	NN	jean
simmons	NNS	<unknown>
)	)	)
,	,	,
the	DT	the
timid	JJ	timid
wife	NN	wife
of	IN	of
a	DT	a
perpetually	RB	perpetually
unfaithful	JJ	unfaithful
man	NN	man
;	:	;
constance	NP	Constance
(	(	(
kate	NN	<unknown>
nelligan	NN	<unknown>
)	)	)
,	,	,
who	WP	who
has	VBZ	have
been	VBN	be
having	VBG	have
an	DT	an
affair	NN	affair
with	IN	with
emma	NN	<unknown>
's	POS	's
husband	NN	husband
;	:	;
anna	NN	anna
(	(	(
maya	NN	<unknown>
angelou	NN	<unknown>
)	)	)
,	,	,
the	DT	the
leader	NN	leader
of	IN	of
the	DT	the
group	NN	group
;	:	;
and	CC	and
marianna	NP	Marianna
(	(	(
alfre	NN	<unknown>
woodard	NN	<unknown>
)	)	)
,	,	,
anna	NN	anna
's	POS	's
daughter	NN	daughter
.	SENT	.
the	DT	the
project	NN	project
they	PP	they
're	VBP	be
busy	JJ	busy
with	IN	with
is	VBZ	be
the	DT	the
wedding	NN	wedding
quilt	NN	quilt
for	IN	for
hy	NNS	<unknown>
's	POS	's
granddaughter	NN	granddaughter
,	,	,
finn	NP	Finn
(	(	(
winona	NP	Winona
ryder	NP	Ryder
)	)	)
,	,	,
who	WP	who
has	VBZ	have
just	RB	just
become	VBN	become
engaged	VBN	engage
.	SENT	.
she	PP	she
's	VBZ	be
spending	VBG	spend
the	DT	the
summer	NN	summer
with	IN	with
hy	NNS	<unknown>
and	CC	and
gladys	NNS	<unknown>
,	,	,
and	CC	and
away	RB	away
from	IN	from
her	PP$	her
fiance	NN	fiance
,	,	,
to	TO	to
decide	VB	decide
whether	IN	whether
a	DT	a
lifelong	JJ	lifelong
commitment	NN	commitment
is	VBZ	be
really	RB	really
what	WP	what
she	PP	she
wants	VBZ	want
,	,	,
and	CC	and
whether	IN	whether
it	PP	it
's	VBZ	be
better	JJR	good
to	TO	to
marry	VB	marry
a	DT	a
friend	NN	friend
or	CC	or
a	DT	a
lover	NN	lover
.	SENT	.
one	CD	one
of	IN	of
the	DT	the
greatest	JJS	great
pleasures	NNS	pleasure
of	IN	of
how	WRB	how
to	TO	to
make	VB	make
an	DT	an
american	JJ	American
quilt	NN	quilt
comes	VBZ	come
from	IN	from
watching	VBG	watch
an	DT	an
array	NN	array
of	IN	of
fine	JJ	fine
performances	NNS	performance
by	IN	by
an	DT	an
impressive	JJ	impressive
ensemble	NN	ensemble
cast	NN	cast
.	SENT	.
from	IN	from
winona	NP	Winona
ryder	NP	Ryder
,	,	,
ann	NP	Ann
bancroft	NP	Bancroft
,	,	,
ellen	NP	Ellen
burstyn	NP	Burstyn
,	,	,
and	CC	and
maya	NN	<unknown>
angelou	NN	<unknown>
to	TO	to
minor	JJ	minor
players	NNS	player
like	IN	like
rip	NN	rip
torn	VBN	tear
,	,	,
claire	NN	<unknown>
danes	NNS	Dane
,	,	,
and	CC	and
kate	NN	<unknown>
capshaw	NN	<unknown>
,	,	,
this	DT	this
film	NN	film
is	VBZ	be
overflowing	VBG	overflow
with	IN	with
realized	VBN	realize
talent	NN	talent
.	SENT	.
the	DT	the
performances	NNS	performance
are	VBP	be
good	JJ	good
enough	RB	enough
,	,	,
in	IN	in
fact	NN	fact
,	,	,
to	TO	to
cover	VB	cover
up	RP	up
many	JJ	many
of	IN	of
the	DT	the
script	NN	script
's	POS	's
weaknesses	NNS	weakness
.	SENT	.
how	WRB	how
to	TO	to
make	VB	make
an	DT	an
american	JJ	American
quilt	NN	quilt
is	VBZ	be
basically	RB	basically
an	DT	an
unremarkable	JJ	unremarkable
,	,	,
if	IN	if
affecting	VBG	affect
,	,	,
tale	NN	tale
of	IN	of
love	NN	love
across	IN	across
the	DT	the
generations--a	NN	<unknown>
sort	NN	sort
of	IN	of
truncated	JJ	truncated
american	JJ	American
version	NN	version
of	IN	of
the	DT	the
joy	NN	joy
luck	NN	luck
club	NN	club
,	,	,
with	IN	with
a	DT	a
dash	NN	dash
of	IN	of
fried	JJ	fried
green	JJ	green
tomatoes	NNS	tomato
added	VBD	add
.	SENT	.
there	EX	there
are	VBP	be
probably	RB	probably
too	RB	too
many	JJ	many
characters	NNS	character
.	SENT	.
so	RB	so
,	,	,
instead	RB	instead
of	IN	of
really	RB	really
getting	VBG	get
to	TO	to
know	VB	know
a	DT	a
few	JJ	few
of	IN	of
them	PP	them
,	,	,
we	PP	we
are	VBP	be
presented	VBN	present
with	IN	with
quick	JJ	quick
glimpses	NNS	glimpse
into	IN	into
a	DT	a
single	JJ	single
defining	VBG	define
event	NN	event
in	IN	in
each	DT	each
of	IN	of
their	PP$	their
lives	NNS	life
.	SENT	.
we	PP	we
learn	VBP	learn
about	IN	about
the	DT	the
root	NN	root
of	IN	of
the	DT	the
smoldering	VBG	smolder
resentment	NN	resentment
between	IN	between
gladys	NNS	<unknown>
and	CC	and
hy	NNS	<unknown>
,	,	,
and	CC	and
are	VBP	be
told	VBN	tell
the	DT	the
reasons	NNS	reason
why	WRB	why
emma	NN	<unknown>
stays	VBZ	stay
with	IN	with
her	PP$	her
husband	NN	husband
and	CC	and
sophia	NN	<unknown>
is	VBZ	be
so	RB	so
irascible	JJ	irascible
.	SENT	.
there	EX	there
are	VBP	be
other	JJ	other
episodes	NNS	episode
as	IN	as
well	RB	well
:	:	:
the	DT	the
love	NN	love
of	IN	of
anna	NN	anna
's	POS	's
life	NN	life
,	,	,
marianna	NP	Marianna
's	POS	's
soul	NN	soul
mate	NN	mate
,	,	,
and	CC	and
a	DT	a
look	NN	look
at	IN	at
the	DT	the
reasons	NNS	reason
why	WRB	why
constance	NN	<unknown>
entered	VBD	enter
into	IN	into
an	DT	an
affair	NN	affair
with	IN	with
her	PP$	her
friend	NN	friend
's	POS	's
husband	NN	husband
.	SENT	.
the	DT	the
sum	NN	sum
total	NN	total
of	IN	of
these	DT	these
tales	NN	tales
is	VBZ	be
meant	VBN	mean
to	TO	to
provide	VB	provide
the	DT	the
framework	NN	framework
for	IN	for
finn	NP	Finn
's	POS	's
story	NN	story
:	:	:
whether	IN	whether
to	TO	to
go	VB	go
forward	RB	forward
with	IN	with
her	PP$	her
marriage	NN	marriage
or	CC	or
dally	VB	dally
with	IN	with
a	DT	a
hunky	JJ	<unknown>
stranger	NN	stranger
.	SENT	.
there	EX	there
is	VBZ	be
no	DT	no
emotional	JJ	emotional
epiphany	NN	epiphany
in	IN	in
how	WRB	how
to	TO	to
make	VB	make
an	DT	an
american	JJ	American
quilt	NN	quilt
.	SENT	.
the	DT	the
stories	NNS	storey
are	VBP	be
all	RB	all
well-told	JJ	<unknown>
,	,	,
but	CC	but
it	PP	it
's	VBZ	be
difficult	JJ	difficult
to	TO	to
really	RB	really
connect	VB	connect
with	IN	with
the	DT	the
characters--their	NN	<unknown>
moments	NNS	moment
pass	VBP	pass
so	RB	so
quickly	RB	quickly
.	SENT	.
while	IN	while
we	PP	we
certainly	RB	certainly
feel	VBP	feel
something	NN	something
for	IN	for
each	DT	each
of	IN	of
the	DT	the
eight	CD	eight
principals	NNS	principal
,	,	,
our	PP$	our
emotional	JJ	emotional
investment	NN	investment
is	VBZ	be
tenuous	JJ	tenuous
.	SENT	.
there	EX	there
is	VBZ	be
n't	RB	n't
enough	JJ	enough
depth	NN	depth
to	TO	to
pull	VB	pull
the	DT	the
viewer	NN	viewer
in	IN	in
all	PDT	all
the	DT	the
way	NN	way
,	,	,
and	CC	and
many	JJ	many
of	IN	of
the	DT	the
personalities	NNS	personality
and	CC	and
relationships	NNS	relationship
feel	VBP	feel
half-	NN	<unknown>
formed	VBD	form
,	,	,
like	IN	like
a	DT	a
quilt	NN	quilt
with	IN	with
patches	NNS	patch
missing	VBG	miss
.	SENT	.
to	TO	to
put	VB	put
it	PP	it
bluntly	RB	bluntly
,	,	,
while	IN	while
i	NP	i
enjoyed	VBD	enjoy
watching	VBG	watch
this	DT	this
film	NN	film
,	,	,
it	PP	it
did	VBD	do
n't	RB	n't
"	``	"
do	VB	do
much	RB	much
"	''	"
for	IN	for
me	PP	me
.	SENT	.
on	IN	on
the	DT	the
whole	NN	whole
,	,	,
how	WRB	how
to	TO	to
make	VB	make
an	DT	an
american	JJ	American
quilt	NN	quilt
is	VBZ	be
a	DT	a
nicely-understated	JJ	<unknown>
drama	NN	drama
that	WDT	that
has	VBZ	have
a	DT	a
lot	NN	lot
to	TO	to
say	VB	say
about	IN	about
love	NN	love
,	,	,
passion	NN	passion
,	,	,
and	CC	and
monogamy	NN	monogamy
in	IN	in
relationships	NNS	relationship
.	SENT	.
finn	NP	Finn
's	POS	's
segment	NN	segment
is	VBZ	be
by	IN	by
far	RB	far
the	DT	the
most	RBS	most
compelling	JJ	compelling
,	,	,
because	IN	because
she	PP	she
's	VBZ	be
the	DT	the
focal	JJ	focal
point	NN	point
:	:	:
her	PP$	her
actions	NNS	action
are	VBP	be
shaped	VBN	shape
by	IN	by
everyone	NN	everyone
else	RB	else
's	POS	's
experiences	NNS	experience
.	SENT	.
the	DT	the
other	JJ	other
patches	NNS	patch
of	IN	of
this	DT	this
american	JJ	American
quilt	NN	quilt
are	VBP	be
successful	JJ	successful
only	RB	only
to	TO	to
varying	VBG	vary
degrees	NNS	degree
.	SENT	.
if	IN	if
there	EX	there
's	VBZ	be
a	DT	a
disappointment	NN	disappointment
here	RB	here
,	,	,
it	PP	it
's	VBZ	be
that		IN	that
the	DT	the
script	NN	script
does	VBZ	do
n't	RB	n't
have	VB	have
more	JJR	more
resonance	NN	resonance
,	,	,
but	CC	but
the	DT	the
privilege	NN	privilege
of	IN	of
seeing	VBG	see
such	PDT	such
a	DT	a
fine	JJ	fine
cast	NN	cast
in	IN	in
top	JJ	top
form	NN	form
allows	VBZ	allow
a	DT	a
viewer	NN	viewer
to	TO	to
enjoy	VB	enjoy
this	DT	this
picture	NN	picture
even	RB	even
if	IN	if
the	DT	the
story	NN	story
is	VBZ	be
somewhat	RB	somewhat
conventional	JJ	conventional
.	SENT	.
