steve	NP	Steve
,	,	,
but	CC	but
macdowell	NP	Macdowell
stands	VBZ	stand
out	RP	out
in	IN	in
what	WP	what
is	VBZ	be
probably	RB	probably
the	DT	the
main	JJ	main
character	NN	character
.	SENT	.
she	PP	she
is	VBZ	be
always	RB	always
a	DT	a
very	RB	very
winning	JJ	winning
actress	NN	actress
,	,	,
but	CC	but
this	DT	this
is	VBZ	be
probably	RB	probably
her	PP$	her
most	RBS	most
three-dimensional	JJ	three-dimensional
role	NN	role
that		IN	that
she	PP	she
has	VBZ	have
had	VBN	have
(	(	(
with	IN	with
a	DT	a
close	JJ	close
second	JJ	second
being	VBG	be
altman	NP	Altman
's	POS	's
1993	CD	@card@
mosaic	NN	mosaic
,	,	,
"	''	"
short	JJ	short
cuts	NNS	cut
"	''	"
)	)	)
.	SENT	.
the	DT	the
other	JJ	other
parts	NNS	part
are	VBP	be
perfectly	RB	perfectly
cast	VBN	cast
as	IN	as
well	RB	well
,	,	,
from	IN	from
spader	NN	spader
's	POS	's
ominous	JJ	ominous
graham	NN	graham
,	,	,
to	TO	to
gallagher	NP	Gallagher
's	POS	's
self-involved	JJ	self-involved
john	NN	john
,	,	,
to	TO	to
giacomo	NP	Giacomo
's	POS	's
outspoken	JJ	outspoken
cynthia	NN	<unknown>
.	SENT	.
the	DT	the
final	JJ	final
act	NN	act
of	IN	of
the	DT	the
film	NN	film
,	,	,
especially	RB	especially
,	,	,
comes	VBZ	come
right	RB	right
out	RB	out
of	IN	of
left	VBN	leave
field	NN	field
,	,	,
and	CC	and
turns	VBZ	turn
out	RP	out
to	TO	to
be	VB	be
both	DT	both
shocking	JJ	shocking
and	CC	and
oddly	RB	oddly
touching	JJ	touching
,	,	,
and	CC	and
it	PP	it
would	MD	would
be	VB	be
criminal	JJ	criminal
to	TO	to
give	VB	give
away	RP	away
the	DT	the
film	NN	film
's	POS	's
secrets	NNS	secret
.	SENT	.
suffice	VB	suffice
to	TO	to
say	VB	say
that		IN	that
,	,	,
through	IN	through
one	CD	one
powerful	JJ	powerful
sequence	NN	sequence
,	,	,
ann	NP	Ann
is	VBZ	be
able	JJ	able
to	TO	to
somewhat	RB	somewhat
come	VB	come
out	RP	out
of	IN	of
her	PP$	her
shell	NN	shell
,	,	,
and	CC	and
john	NN	john
learns	VBZ	learn
a	DT	a
valuable	JJ	valuable
lesson	NN	lesson
about	IN	about
honesty	NN	honesty
,	,	,
as	RB	as
well	RB	well
as	IN	as
deception	NN	deception
.	SENT	.
the	DT	the
film	NN	film
has	VBZ	have
one	CD	one
fault	NN	fault
,	,	,
however	RB	however
.	SENT	.
the	DT	the
characters	NNS	character
are	VBP	be
almost	RB	almost
all	DT	all
emotionally	RB	emotionally
cold	JJ	cold
and	CC	and
isolated	VBN	isolate
from	IN	from
one	CD	one
another	DT	another
,	,	,
and	CC	and
often	RB	often
unlikable	JJ	unlikable
.	SENT	.
if	IN	if
there	EX	there
had	VBD	have
been	VBN	be
a	DT	a
few	JJ	few
extra	JJ	extra
scenes	NNS	scene
with	IN	with
gallagher	NN	<unknown>
,	,	,
it	PP	it
probably	RB	probably
would	MD	would
have	VB	have
helped	VBN	help
,	,	,
since	IN	since
his	PP$	his
relationship	NN	relationship
with	IN	with
macdowell	NN	<unknown>
is	VBZ	be
n't	RB	n't
quite	RB	quite
as	RB	as
explored	VBN	explore
as	IN	as
i	NP	i
would	MD	would
have	VB	have
liked	VBN	like
.	SENT	.
"	''	"
sex	NN	sex
,	,	,
lies	VBZ	lie
,	,	,
and	CC	and
videotape	NN	videotape
,	,	,
"	''	"
although	IN	although
minorly	RB	<unknown>
flawed	VBN	flaw
,	,	,
is	VBZ	be
still	RB	still
easily	RB	easily
a	DT	a
brave	JJ	brave
and	CC	and
adult	JJ	adult
motion	NN	motion
picture	NN	picture
that	WDT	that
is	VBZ	be
far	RB	far
more	RBR	more
mature	JJ	mature
and	CC	and
honest	JJ	honest
about	IN	about
its	PP$	its
subject	JJ	subject
matter	NN	matter
than	IN	than
the	DT	the
usual	JJ	usual
film	NN	film
.	SENT	.
soderbergh	NP	Soderbergh
clearly	RB	clearly
knew	VBD	know
what	WP	what
he	PP	he
was	VBD	be
doing	VBG	do
while	IN	while
he	PP	he
was	VBD	be
making	VBG	make
it	PP	it
,	,	,
and	CC	and
the	DT	the
final	JJ	final
product	NN	product
certainly	RB	certainly
proves	VBZ	prove
this	DT	this
.	SENT	.
