for	IN	for
.	SENT	.
robbie	NP	Robbie
takes	VBZ	take
it	PP	it
hard	JJ	hard
.	SENT	.
he	PP	he
does	VBZ	do
n't	RB	n't
sleep	VB	sleep
,	,	,
he	PP	he
does	VBZ	do
n't	RB	n't
eat	VB	eat
,	,	,
and	CC	and
he	PP	he
gets	VBZ	get
punched	VBN	punch
out	RP	out
at	IN	at
work	NN	work
when	WRB	when
he	PP	he
sings	VBZ	sing
"	``	"
love	NN	love
stinks	NNS	stink
"	''	"
at	IN	at
a	DT	a
wedding	NN	wedding
.	SENT	.
julia	NP	Julia
(	(	(
drew	VBD	draw
barrymore	NP	Barrymore
)	)	)
,	,	,
who	WP	who
waitresses	NNS	waitress
all	PDT	all
the	DT	the
weddings	NNS	wedding
in	IN	in
town	NN	town
,	,	,
gives	VBZ	give
him	PP	him
a	DT	a
shoulder	NN	shoulder
to	TO	to
cry	VB	cry
on	IN	on
and	CC	and
an	DT	an
ear	NN	ear
to	TO	to
talk	VB	talk
to	TO	to
.	SENT	.
eventually	RB	eventually
,	,	,
robbie	NN	<unknown>
starts	NNS	start
rebounding	VBG	rebound
toward	IN	toward
julia	NN	<unknown>
.	SENT	.
he	PP	he
really	RB	really
likes	VBZ	like
her	PP	her
,	,	,
but	CC	but
she	PP	she
's	VBZ	be
engaged	VBN	engage
.	SENT	.
her	PP$	her
fianc	NN	<unknown>
?	SENT	?
is	VBZ	be
a	DT	a
self-confident	JJ	self-confident
jerk	NN	jerk
(	(	(
do	VB	do
i	NP	i
see	VB	see
a	DT	a
trend	NN	trend
-	:	-
nope	NN	<unknown>
,	,	,
just	RB	just
a	DT	a
formula	NN	formula
)	)	)
who	WP	who
does	VBZ	do
n't	RB	n't
deserve	VB	deserve
her	PP	her
,	,	,
but	CC	but
robbie	NN	<unknown>
is	VBZ	be
too	RB	too
depressed	VBN	depress
to	TO	to
fight	VB	fight
for	IN	for
her	PP$	her
hand	NN	hand
.	SENT	.
julia	NN	<unknown>
seems	VBZ	seem
to	TO	to
like	VB	like
robbie	NN	<unknown>
too	RB	too
,	,	,
but	CC	but
she	PP	she
ca	MD	ca
n't	RB	n't
leave	VB	leave
her	PP$	her
seemingly	RB	seemingly
safe	JJ	safe
and	CC	and
stable	JJ	stable
fianc	NN	<unknown>
?	SENT	?
for	IN	for
the	DT	the
off-chance	NN	off-chance
that		IN	that
robbie	NN	<unknown>
might	MD	might
be	VB	be
serious	JJ	serious
about	IN	about
her	PP	her
.	SENT	.
you	PP	you
know	VBP	know
the	DT	the
story	NN	story
.	SENT	.
you	PP	you
've	VBP	have
seen	VBN	see
it	PP	it
a	DT	a
million	CD	million
times	NNS	time
before	RB	before
.	SENT	.
there	EX	there
's	VBZ	be
always	RB	always
a	DT	a
new	JJ	new
way	NN	way
to	TO	to
tell	VB	tell
it	PP	it
,	,	,
with	IN	with
new	JJ	new
lovers	NNS	lover
,	,	,
new	JJ	new
chemistry	NN	chemistry
,	,	,
and	CC	and
new	JJ	new
details	NNS	detail
,	,	,
but	CC	but
it	PP	it
's	VBZ	be
the	DT	the
same	JJ	same
story	NN	story
.	SENT	.
and	CC	and
sometimes	RB	sometimes
,	,	,
it	PP	it
works	VBZ	work
.	SENT	.
the	DT	the
wedding	NN	wedding
singer	NN	singer
works	NNS	work
.	SENT	.
first	JJ	first
of	IN	of
all	DT	all
,	,	,
the	DT	the
chemistry	NN	chemistry
between	IN	between
sandler	NN	<unknown>
and	CC	and
barrymore	NN	<unknown>
is	VBZ	be
effective	JJ	effective
.	SENT	.
actually	RB	actually
,	,	,
it	PP	it
's	VBZ	be
not	RB	not
so	RB	so
much	RB	much
the	DT	the
chemistry	NN	chemistry
between	IN	between
the	DT	the
two	CD	two
as	IN	as
it	PP	it
is	VBZ	be
each	DT	each
one	CD	one
's	POS	's
own	JJ	own
romantic	JJ	romantic
tension	NN	tension
.	SENT	.
sandler	NN	<unknown>
captures	VBZ	capture
the	DT	the
forlorn	JJ	forlorn
sleepwalking	JJ	sleepwalking
look	NN	look
of	IN	of
a	DT	a
jilted	VBN	jilt
man	NN	man
,	,	,
struck	VBN	strike
with	IN	with
an	DT	an
unattainable	JJ	unattainable
love	NN	love
.	SENT	.
barrymore	NP	Barrymore
is	VBZ	be
charming	VBG	charm
as	IN	as
the	DT	the
girl	NN	girl
next	JJ	next
door	NN	door
looking	VBG	look
for	IN	for
someone	NN	someone
serious	JJ	serious
to	TO	to
settle	VB	settle
down	RP	down
with	IN	with
.	SENT	.
sparks	NNS	spark
do	VBP	do
n't	RB	n't
fly	VB	fly
when	WRB	when
they	PP	they
kiss	VBP	kiss
,	,	,
but	CC	but
they	PP	they
both	CC	both
seem	VBP	seem
right	RB	right
for	IN	for
each	DT	each
other	JJ	other
.	SENT	.
second	RB	second
,	,	,
their	PP$	their
love	NN	love
is	VBZ	be
mature	JJ	mature
.	SENT	.
they	PP	they
are	VBP	be
not	RB	not
driven	VBN	drive
by	IN	by
passionate	JJ	passionate
sexual	JJ	sexual
attraction	NN	attraction
-	:	-
they	PP	they
're	VBP	be
a	DT	a
cute	JJ	cute
couple	NN	couple
,	,	,
but	CC	but
neither	DT	neither
sandler	NN	<unknown>
nor	CC	nor
barrymore	NN	<unknown>
is	VBZ	be
centerfold	NN	centerfold
material	NN	material
.	SENT	.
instead	RB	instead
,	,	,
they	PP	they
are	VBP	be
both	DT	both
looking	VBG	look
for	IN	for
someone	NN	someone
meaningful	JJ	meaningful
,	,	,
someone	NN	someone
to	TO	to
settle	VB	settle
down	RP	down
with	IN	with
,	,	,
someone	NN	someone
to	TO	to
grow	VB	grow
old	JJ	old
with	IN	with
.	SENT	.
at	IN	at
a	DT	a
wedding	NN	wedding
,	,	,
robbie	NN	<unknown>
comforts	NNS	comfort
a	DT	a
kid	NN	kid
throwing	VBG	throw
up	RP	up
in	IN	in
a	DT	a
dumpster	NN	<unknown>
while	IN	while
julia	NN	<unknown>
sits	VBZ	sit
by	IN	by
.	SENT	.
the	DT	the
repulsing	VBG	repulse
situation	NN	situation
is	VBZ	be
taken	VBN	take
in	IN	in
stride	NN	stride
,	,	,
as	RB	as
if	IN	if
the	DT	the
two	CD	two
were	VBD	be
already	RB	already
parents	NNS	parent
,	,	,
caring	VBG	care
for	IN	for
their	PP$	their
sick	JJ	sick
child	NN	child
.	SENT	.
the	DT	the
?	SENT	?
80s	JJ	<unknown>
soundtrack	NN	soundtrack
and	CC	and
references	NNS	reference
play	VBP	play
a	DT	a
big	JJ	big
part	NN	part
in	IN	in
this	DT	this
movie	NN	movie
.	SENT	.
other	JJ	other
critics	NNS	critic
liked	VBD	like
this	DT	this
movie	NN	movie
in	IN	in
part	NN	part
because	IN	because
of	IN	of
the	DT	the
'80s	CD	'80s
soundtrack	NN	soundtrack
.	SENT	.
i	NP	i
liked	VBD	like
it	PP	it
in	IN	in
spite	NN	spite
of	IN	of
the	DT	the
soundtrack	NN	soundtrack
.	SENT	.
often	RB	often
,	,	,
the	DT	the
music	NN	music
and	CC	and
references	NNS	reference
felt	VBD	feel
forced	VBN	force
.	SENT	.
for	IN	for
example	NN	example
,	,	,
robbie	NP	Robbie
tells	VBZ	tell
his	PP$	his
ex-fianc	NN	<unknown>
?	SENT	?
to	TO	to
"	``	"
get	VB	get
out	RP	out
of	IN	of
my	PP$	my
van	NN	van
halen	NN	<unknown>
t-shirt	NNS	T-shirt
before	IN	before
you	PP	you
jinx	VBP	jinx
the	DT	the
band	NN	band
and	CC	and
they	PP	they
break	VBP	break
up	RP	up
.	SENT	.
"	''	"
(	(	(
ha	NP	ha
ha	NP	ha
ha	NP	ha
.	SENT	.
get	VB	get
it	PP	it
?	SENT	?
david	JJ	<unknown>
lee	JJ	lee
roth	NNS	<unknown>
did	VBD	do
leave	VB	leave
van	NP	van
halen	NP	Halen
!	SENT	!
)	)	)
or	CC	or
how	WRB	how
about	RB	about
when	WRB	when
sammy	NN	sammy
(	(	(
allen	RB	<unknown>
covert	JJ	covert
)	)	)
,	,	,
robbie	NP	Robbie
's	POS	's
chauffeur	NN	chauffeur
friend	NN	friend
,	,	,
shows	VBZ	show
up	RP	up
at	IN	at
a	DT	a
party	NN	party
wearing	VBG	wear
a	DT	a
michael	NP	Michael
jackson	NN	<unknown>
jacket	NN	jacket
and	CC	and
-	:	-
get	VB	get
this	DT	this
-	:	-
a	DT	a
single	JJ	single
silver	NN	silver
glove	NN	glove
.	SENT	.
(	(	(
that	WDT	that
's	VBZ	be
exactly	RB	exactly
what	WP	what
mj	NP	<unknown>
used	VBD	use
to	TO	to
wear	VB	wear
all	PDT	all
the	DT	the
time	NN	time
!	SENT	!
)	)	)
.	SENT	.
unfortunately	RB	unfortunately
,	,	,
making	VBG	make
fun	NN	fun
of	IN	of
generalizations	NNS	generalization
about	IN	about
a	DT	a
past	JJ	past
era	NN	era
is	VBZ	be
too	RB	too
easy	JJ	easy
to	TO	to
be	VB	be
rewarding	JJ	rewarding
.	SENT	.
that	DT	that
's	VBZ	be
not	RB	not
to	TO	to
say	VB	say
the	DT	the
movie	NN	movie
is	VBZ	be
n't	RB	n't
funny	JJ	funny
.	SENT	.
screenwriter	NN	screenwriter
tim	NN	<unknown>
herlihy	NN	<unknown>
has	VBZ	have
written	VBN	write
for	IN	for
sandler	NN	<unknown>
before	IN	before
(	(	(
billy	NN	billy
madison	NN	<unknown>
and	CC	and
happy	JJ	happy
gilmore	NN	<unknown>
)	)	)
,	,	,
and	CC	and
the	DT	the
two	CD	two
make	VBP	make
a	DT	a
good	JJ	good
combination	NN	combination
.	SENT	.
herlihy	NP	Herlihy
knows	VBZ	know
what	WP	what
sort	NN	sort
of	IN	of
jokes	NNS	joke
sandler	NN	<unknown>
is	VBZ	be
good	JJ	good
at	IN	at
and	CC	and
has	VBZ	have
tailored	VBN	tailor
the	DT	the
script	NN	script
to	TO	to
his	PP$	his
straight-faced	JJ	straight-faced
,	,	,
smart-aleck	JJ	smart-aleck
style	NN	style
.	SENT	.
let	NN	let
's	POS	's
hope	NN	hope
herlihy	NN	<unknown>
and	CC	and
sandler	NN	<unknown>
stick	VBP	stick
together	RB	together
for	IN	for
a	DT	a
few	JJ	few
more	JJR	more
projects	NNS	project
because	IN	because
this	DT	this
movie	NN	movie
really	RB	really
won	VBD	win
me	PP	me
over	RP	over
.	SENT	.
with	IN	with
barrymore	NP	Barrymore
's	POS	's
charm	NN	charm
and	CC	and
sandler	NN	<unknown>
's	POS	's
heart	NN	heart
,	,	,
it	PP	it
was	VBD	be
hard	JJ	hard
to	TO	to
go	VB	go
wrong	JJ	wrong
.	SENT	.
