another	DT	another
his	PP$	his
'hard	NN	<unknown>
man	NN	man
'	POS	'
nature	NN	nature
.	SENT	.
vaughns	NNS	<unknown>
character	NN	character
also	RB	also
gets	VBZ	get
the	DT	the
best	JJS	good
laugh	NN	laugh
in	IN	in
the	DT	the
film	NN	film
,	,	,
towards	IN	towards
the	DT	the
end	NN	end
in	IN	in
a	DT	a
diner	NN	diner
.	SENT	.
the	DT	the
conversations	NNS	conversation
that	WDT	that
go	VBP	go
on	IN	on
between	IN	between
mike	NN	mike
and	CC	and
trent	NN	<unknown>
are	VBP	be
great	JJ	great
,	,	,
but	CC	but
it	PP	it
never	RB	never
quite	RB	quite
reaches	VBZ	reach
tarantino	NN	<unknown>
standards	NNS	standard
(	(	(
which	WDT	which
i	NNS	i
suspect	VBP	suspect
the	DT	the
film	NN	film
was	VBD	be
trying	VBG	try
to	TO	to
reach	VB	reach
.	SENT	.
)	)	)
there	EX	there
are	VBP	be
some	DT	some
excellent	JJ	excellent
,	,	,
laugh	VB	laugh
out	RP	out
loud	JJ	loud
jokes	NNS	joke
in	IN	in
the	DT	the
film	NN	film
,	,	,
and	CC	and
some	DT	some
superbly	RB	superbly
funny	JJ	funny
set	VBN	set
pieces	NNS	piece
(	(	(
such	JJ	such
as	IN	as
favreau	NP	Favreau
cringe-worhy	JJ	<unknown>
battle	NN	battle
with	IN	with
a	DT	a
answer	NN	answer
machine	NN	machine
that	WDT	that
always	RB	always
cut	VBD	cut
him	PP	him
off	RP	off
before	IN	before
he	PP	he
finishes	VBZ	finish
his	PP$	his
sentence	NN	sentence
.	SENT	.
embarrassing	VBG	embarrass
to	TO	to
him	PP	him
,	,	,
hilarious	JJ	hilarious
to	TO	to
the	DT	the
audience	NN	audience
.	SENT	.
)	)	)
mike	NN	mike
&	CC	&
trents	NNS	<unknown>
friends	NNS	friend
are	VBP	be
also	RB	also
good	JJ	good
,	,	,
although	IN	although
there	RB	there
characters	NNS	character
seem	VBP	seem
a	DT	a
bit	NN	bit
underwritten	VBN	underwrite
,	,	,
and	CC	and
we	PP	we
never	RB	never
really	RB	really
learn	VB	learn
as	RB	as
much	RB	much
as	IN	as
we	PP	we
would	MD	would
like	VB	like
about	IN	about
them	PP	them
.	SENT	.
although	IN	although
this	DT	this
is	VBZ	be
primarily	RB	primarily
mike	NN	mike
and	CC	and
trents	NNS	<unknown>
film	NN	film
,	,	,
it	PP	it
would	MD	would
of	IN	of
been	VBN	be
nice	JJ	nice
to	TO	to
learn	VB	learn
a	DT	a
bit	NN	bit
more	RBR	more
about	IN	about
their	PP$	their
friends	NNS	friend
.	SENT	.
they	PP	they
just	RB	just
seem	VBP	seem
to	TO	to
wander	VB	wander
aimlessly	RB	aimlessly
in	IN	in
the	DT	the
background	NN	background
.	SENT	.
but	CC	but
again	RB	again
,	,	,
the	DT	the
lines	NNS	line
they	PP	they
say	VBP	say
are	VBP	be
usually	RB	usually
pretty	RB	pretty
good	JJ	good
,	,	,
and	CC	and
they	PP	they
do	VBP	do
have	VB	have
some	DT	some
funny	JJ	funny
parts	NNS	part
.	SENT	.
it	PP	it
's	VBZ	be
just	RB	just
a	DT	a
shame	NN	shame
that		IN	that
they	PP	they
did	VBD	do
n't	RB	n't
have	VB	have
more	RBR	more
meatier	JJR	meaty
roles	NNS	role
.	SENT	.
the	DT	the
acting	NN	acting
is	VBZ	be
superb	JJ	superb
.	SENT	.
as	RB	as
said	VBD	say
above	RB	above
,	,	,
vaughn	NP	Vaughn
is	VBZ	be
superb	JJ	superb
as	IN	as
trent	NN	<unknown>
,	,	,
he	PP	he
's	VBZ	be
definitely	RB	definitely
the	DT	the
best	JJS	good
thing	NN	thing
in	IN	in
the	DT	the
film	NN	film
.	SENT	.
favreau	NN	<unknown>
is	VBZ	be
also	RB	also
good	JJ	good
,	,	,
acting	VBG	act
as	IN	as
'the	JJ	<unknown>
little	JJ	little
man	NN	man
'	''	'
very	RB	very
well	RB	well
,	,	,
and	CC	and
the	DT	the
way	NN	way
he	PP	he
always	RB	always
feels	VBZ	feel
sorry	RB	sorry
for	IN	for
himself	PP	himself
is	VBZ	be
very	RB	very
funny	JJ	funny
.	SENT	.
graham	NN	graham
(	(	(
boogie	VB	boogie
nights	NNS	night
,	,	,
1997	CD	@card@
)	)	)
has	VBZ	have
a	DT	a
small	JJ	small
but	CC	but
good	JJ	good
role	NN	role
as	IN	as
lorraine	NN	<unknown>
,	,	,
a	DT	a
girl	NN	girl
mike	NN	mike
finally	RB	finally
falls	VBZ	fall
in	IN	in
love	NN	love
with	IN	with
.	SENT	.
she	PP	she
hardly	RB	hardly
features	VBZ	feature
in	IN	in
the	DT	the
film	NN	film
at	IN	at
all	DT	all
,	,	,
but	CC	but
she	PP	she
still	RB	still
manages	VBZ	manage
to	TO	to
make	VB	make
an	DT	an
impact	NN	impact
on	IN	on
the	DT	the
audience	NN	audience
.	SENT	.
swingers	NNS	swinger
,	,	,
then	RB	then
,	,	,
is	VBZ	be
funny	JJ	funny
,	,	,
but	CC	but
it	PP	it
does	VBZ	do
have	VBP	have
some	DT	some
flaws	NNS	flaw
.	SENT	.
firstly	RB	firstly
,	,	,
the	DT	the
running	VBG	run
time	NN	time
is	VBZ	be
a	DT	a
bit	NN	bit
too	RB	too
short	JJ	short
.	SENT	.
the	DT	the
film	NN	film
comes	VBZ	come
to	TO	to
an	DT	an
abrupt	JJ	abrupt
halt	NN	halt
,	,	,
and	CC	and
i	NP	i
actually	RB	actually
wanted	VBD	want
the	DT	the
film	NN	film
to	TO	to
carry	VB	carry
on	IN	on
longer	RBR	longer
.	SENT	.
it	PP	it
never	RB	never
really	RB	really
comes	VBZ	come
to	TO	to
a	DT	a
satisfying	JJ	satisfying
conclusion	NN	conclusion
,	,	,
which	WDT	which
is	VBZ	be
a	DT	a
shame	NN	shame
,	,	,
as	IN	as
most	JJS	most
films	NNS	film
are	VBP	be
too	RB	too
long	JJ	long
!	SENT	!
also	RB	also
,	,	,
this	DT	this
type	NN	type
of	IN	of
film	NN	film
has	VBZ	have
been	VBN	be
done	VBN	do
too	RB	too
many	JJ	many
times	NNS	time
,	,	,
such	JJ	such
as	IN	as
sleep	NN	sleep
with	IN	with
me	PP	me
(	(	(
1994	CD	@card@
)	)	)
.	SENT	.
but	CC	but
these	DT	these
small	JJ	small
flaws	NNS	flaw
do	VBP	do
n't	RB	n't
really	RB	really
spoil	VB	spoil
what	WP	what
is	VBZ	be
a	DT	a
funny	JJ	funny
,	,	,
entertaining	JJ	entertaining
comedy	NN	comedy
.	SENT	.
