when	WRB	when
trophy	NN	trophy
they	PP	they
win	VBP	win
.	SENT	.
the	DT	the
second	JJ	second
story	NN	story
(	(	(
the	DT	the
least	JJS	least
of	IN	of
the	DT	the
three	CD	three
but	CC	but
still	RB	still
four	CD	four
stars	NNS	star
)	)	)
stars	VBZ	star
bruce	NN	<unknown>
willis	NNS	<unknown>
(	(	(
proving	VBG	prove
he	PP	he
can	MD	can
play	VB	play
someone	NN	someone
other	JJ	other
than	IN	than
john	NN	john
mcclain	NN	<unknown>
in	IN	in
the	DT	the
"	``	"
die	VB	die
hard	RB	hard
"	''	"
flicks	NNS	flick
)	)	)
as	IN	as
boxer	NN	boxer
butch	JJ	butch
coolidge	NN	Coolidge
.	SENT	.
previously	RB	previously
in	IN	in
the	DT	the
film	NN	film
(	(	(
like	IN	like
i	NP	i
said	VBD	say
,	,	,
it	PP	it
's	VBZ	be
told	VBN	tell
in	IN	in
non-linear	JJ	non-linear
form	NN	form
)	)	)
,	,	,
he	PP	he
had	VBD	have
made	VBN	make
a	DT	a
deal	NN	deal
with	IN	with
marcellus	NN	<unknown>
wallace	NN	<unknown>
that		IN	that
he	PP	he
would	MD	would
take	VB	take
a	DT	a
fall	NN	fall
in	IN	in
a	DT	a
match	NN	match
.	SENT	.
as	IN	as
it	PP	it
turns	VBZ	turn
out	RP	out
,	,	,
he	PP	he
not	RB	not
only	RB	only
does	VBZ	do
n't	RB	n't
take	VB	take
the	DT	the
fall	NN	fall
,	,	,
but	CC	but
he	PP	he
ends	VBZ	end
up	RP	up
actually	RB	actually
killing	VBG	kill
his	PP$	his
opponent	NN	opponent
.	SENT	.
he	PP	he
takes	VBZ	take
a	DT	a
cab	NN	cab
to	TO	to
his	PP$	his
half-witted	JJ	half-witted
girlfriend	NN	girlfriend
's	POS	's
apartment	NN	apartment
,	,	,
and	CC	and
to	TO	to
make	VB	make
a	DT	a
long	JJ	long
story	NN	story
short	RB	short
,	,	,
ends	VBZ	end
up	RP	up
going	VBG	go
back	RB	back
to	TO	to
his	PP$	his
own	JJ	own
place	NN	place
to	TO	to
retrieve	VB	retrieve
a	DT	a
gold	JJ	gold
watch	NN	watch
,	,	,
sort	NN	sort
of	IN	of
a	DT	a
family	NN	family
heirloom	NN	heirloom
explained	VBD	explain
by	IN	by
christopher	NN	<unknown>
walken	NN	<unknown>
in	IN	in
a	DT	a
hilarious	JJ	hilarious
flash-back	NN	<unknown>
sequence	NN	sequence
.	SENT	.
on	IN	on
his	PP$	his
way	NN	way
home	NN	home
,	,	,
he	PP	he
bumps	VBZ	bump
into	IN	into
(	(	(
literally	RB	literally
)	)	)
marcellus	NN	<unknown>
.	SENT	.
the	DT	the
two	CD	two
winde	NN	<unknown>
up	IN	up
prisoner	NN	prisoner
to	TO	to
two	CD	two
hillbilly	NN	hillbilly
sex	NN	sex
murderers	NNS	murderer
,	,	,
which	WDT	which
results	VBZ	result
in	IN	in
the	DT	the
infamous	JJ	infamous
"	``	"
gimp	NN	gimp
"	''	"
scene	NN	scene
,	,	,
which	WDT	which
is	VBZ	be
very	RB	very
reminicent	JJ	<unknown>
of	IN	of
the	DT	the
"	``	"
squeal	NN	squeal
like	IN	like
a	DT	a
pig	NN	pig
!	SENT	!
"	''	"
scene	NN	scene
from	IN	from
"	``	"
deliverance	NN	deliverance
"	''	"
.	SENT	.
the	DT	the
last	JJ	last
(	(	(
and	CC	and
best	JJS	good
,	,	,
in	IN	in
my	PP$	my
opinion	NN	opinion
)	)	)
of	IN	of
the	DT	the
episodes	NNS	episode
features	VBZ	feature
john	NN	john
travolta	NN	<unknown>
(	(	(
again	RB	again
)	)	)
and	CC	and
samuel	NN	<unknown>
l	NN	l
.	SENT	.
jackson	NN	<unknown>
(	(	(
in	IN	in
the	DT	the
best	JJS	good
performance	NN	performance
of	IN	of
any	DT	any
supporting	VBG	support
actor	NN	actor
ever	RB	ever
)	)	)
as	IN	as
two	CD	two
slightly	RB	slightly
off-kilter	JJ	off-kilter
hitmen	NNS	hitman
trying	VBG	try
to	TO	to
rid	VB	rid
themselves	PP	themselves
of	IN	of
a	DT	a
bloody	JJ	bloody
car	NN	car
.	SENT	.
they	PP	they
seek	VBP	seek
help	VB	help
with	IN	with
a	DT	a
friend	NN	friend
of	IN	of
jackson	NN	<unknown>
's	POS	's
(	(	(
played	VBN	play
by	IN	by
the	DT	the
q-man	NN	<unknown>
himself	PP	himself
)	)	)
,	,	,
desperately	RB	desperately
in	IN	in
need	NN	need
of	IN	of
a	DT	a
stress	NN	stress
ball	NN	ball
.	SENT	.
they	PP	they
end	VBP	end
up	RP	up
calling	VBG	call
a	DT	a
"	``	"
cleaner	NN	cleaner
"	''	"
of	IN	of
sorts	NNS	sort
,	,	,
played	VBN	play
by	IN	by
the	DT	the
god	NN	god
among	IN	among
men	NNS	man
harvey	NN	<unknown>
keitel	NN	<unknown>
,	,	,
to	TO	to
help	VB	help
them	PP	them
out	RP	out
.	SENT	.
in	IN	in
the	DT	the
end	NN	end
,	,	,
the	DT	the
story	NN	story
brilliantly	RB	brilliantly
loops	VBZ	loop
around	IN	around
itself	PP	itself
,	,	,
actually	RB	actually
ending	VBG	end
where	WRB	where
it	PP	it
began	VBD	begin
.	SENT	.
if	IN	if
you	PP	you
have	VBP	have
n't	RB	n't
already	RB	already
seen	VBN	see
the	DT	the
film	NN	film
(	(	(
or	CC	or
even	RB	even
if	IN	if
you	PP	you
have	VBP	have
,	,	,
for	IN	for
that	DT	that
matter	NN	matter
)	)	)
,	,	,
i	FW	i
suggest	VBP	suggest
you	PP	you
invest	VB	invest
your	PP$	your
money	NN	money
in	IN	in
a	DT	a
copy	NN	copy
of	IN	of
the	DT	the
letterbox	NN	letterbox
collectors	NNS	collector
edition	NN	edition
.	SENT	.
it	PP	it
features	VBZ	feature
two	CD	two
previously	RB	previously
unreleased	JJ	unreleased
scenes	NNS	scene
and	CC	and
the	DT	the
original	JJ	original
film	NN	film
restored	VBN	restore
how	WRB	how
it	PP	it
was	VBD	be
originally	RB	originally
meant	VBN	mean
to	TO	to
be	VB	be
seen	VBN	see
.	SENT	.
earlier	RBR	earlier
today	NN	today
,	,	,
i	NP	i
bought	VBD	buy
this	DT	this
version	NN	version
and	CC	and
watched	VBD	watch
it	PP	it
a	DT	a
few	JJ	few
hours	NNS	hour
ago	RB	ago
.	SENT	.
what	WP	what
the	DT	the
pan-and-scan	NN	<unknown>
did	VBD	do
to	TO	to
this	DT	this
movie	NN	movie
is	VBZ	be
inexcusable	JJ	inexcusable
.	SENT	.
that	DT	that
version	NN	version
cut	VBD	cut
out	RP	out
,	,	,
like	VB	like
,	,	,
half	PDT	half
the	DT	the
movie	NN	movie
.	SENT	.
what	WP	what
i	NP	i
have	VBP	have
missed	VBN	miss
in	IN	in
the	DT	the
past	JJ	past
years	NNS	year
of	IN	of
viewing	VBG	view
this	DT	this
flick	NN	flick
is	VBZ	be
amazing	JJ	amazing
.	SENT	.
for	IN	for
instance	NN	instance
,	,	,
when	WRB	when
travolta	NN	<unknown>
and	CC	and
jackson	NN	<unknown>
are	VBP	be
in	IN	in
the	DT	the
apartment	NN	apartment
near	IN	near
the	DT	the
end	NN	end
,	,	,
the	DT	the
widescreen	NN	<unknown>
version	NN	version
allows	VBZ	allow
you	PP	you
to	TO	to
see	VB	see
that		IN	that
several	JJ	several
things	NNS	thing
on	IN	on
the	DT	the
walls	NNS	wall
make	VBP	make
crosses	NNS	crosse
.	SENT	.
this	DT	this
might	MD	might
help	VB	help
explain	VB	explain
the	DT	the
divine	JJ	divine
intervention	NN	intervention
that	WDT	that
takes	VBZ	take
place	NN	place
.	SENT	.
just	RB	just
a	DT	a
theory	NN	theory
.	SENT	.
.	SENT	.
.	SENT	.
one	CD	one
of	IN	of
the	DT	the
things	NNS	thing
that	WDT	that
pisses	VBZ	piss
people	NNS	people
off	IN	off
so	RB	so
much	JJ	much
about	IN	about
this	DT	this
movie	NN	movie
is	VBZ	be
that		IN	that
tarantino	NN	<unknown>
borrowed	VBD	borrow
alot	NN	<unknown>
of	IN	of
scenes	NNS	scene
from	IN	from
other	JJ	other
movies	NNS	movie
(	(	(
i	NP	i
.	SENT	.
e	LS	e
.	SENT	.
"	``	"
psycho	JJ	psycho
"	''	"
"	``	"
kiss	VB	kiss
me	PP	me
deadly	JJ	deadly
"	''	"
,	,	,
"	``	"
deliverance	NN	deliverance
"	''	"
,	,	,
etc	FW	etc
.	SENT	.
)	)	)
.	SENT	.
but	CC	but
why	WRB	why
should	MD	should
n't	RB	n't
he	PP	he
?	SENT	?
it	PP	it
's	VBZ	be
not	RB	not
like	IN	like
he	PP	he
out-right	NN	<unknown>
and	CC	and
blatantly	RB	blatantly
stole	VBD	steal
.	SENT	.
give	VB	give
the	DT	the
guy	NN	guy
a	DT	a
break	NN	break
.	SENT	.
in	IN	in
case	NN	case
you	PP	you
have	VBP	have
n't	RB	n't
already	RB	already
noticed	VBN	notice
,	,	,
i	NNS	i
believe	VBP	believe
"	``	"
pulp	NN	pulp
fiction	NN	fiction
"	``	"
is	VBZ	be
a	DT	a
supremely	RB	supremely
excellent	JJ	excellent
film	NN	film
and	CC	and
one	CD	one
of	IN	of
the	DT	the
best	JJS	good
of	IN	of
all	DT	all
time	NN	time
(	(	(
up	RB	up
there	RB	there
with	IN	with
such	JJ	such
greats	NNS	great
as	IN	as
"	``	"
casablanca	NN	<unknown>
"	''	"
and	CC	and
"	``	"
the	DT	the
godfather	NN	godfather
"	''	"
)	)	)
.	SENT	.
trust	VB	trust
me	PP	me
,	,	,
you	PP	you
will	MD	will
not	RB	not
see	VB	see
a	DT	a
better	JJR	good
film	NN	film
come	VBN	come
out	RP	out
of	IN	of
the	DT	the
90s	NNS	<unknown>
.	SENT	.
and	CC	and
besides	IN	besides
,	,	,
it	PP	it
's	VBZ	be
one	CD	one
hell	NN	hell
of	IN	of
a	DT	a
ride	NN	ride
.	SENT	.
note	NN	note
:	:	:
if	IN	if
anyone	NN	anyone
knows	VBZ	know
how	WRB	how
i	NP	i
could	MD	could
get	VB	get
a	DT	a
"	``	"
bad	JJ	bad
motherfucker	NN	motherfucker
"	''	"
wallet	NN	wallet
,	,	,
please	VB	please
e-mail	NP	<unknown>
me	PP	me
.	SENT	.
any	DT	any
help	NN	help
would	MD	would
be	VB	be
greatly	RB	greatly
appreciated	VBN	appreciate
.	SENT	.
