why	WRB	why
wants	VBZ	want
to	TO	to
sabotage	VB	sabotage
the	DT	the
girls	NNS	girl
'	POS	'
concert	NN	concert
so	IN	so
he	PP	he
can	MD	can
sell	VB	sell
papers	NNS	paper
.	SENT	.
of	IN	of
course	NN	course
,	,	,
the	DT	the
point	NN	point
in	IN	in
a	DT	a
movie	NN	movie
like	IN	like
"	``	"
spice	NN	spice
world	NN	world
"	``	"
is	VBZ	be
n't	RB	n't
plot	NN	plot
.	SENT	.
?	SENT	?
the	DT	the
center	NN	center
of	IN	of
the	DT	the
film	NN	film
is	VBZ	be
the	DT	the
spice	NN	spice
girls	NNS	girl
themselves	PP	themselves
:	:	:
ginger	VB	ginger
(	(	(
the	DT	the
recently	RB	recently
departed	JJ	departed
geri	NN	<unknown>
haliwell	NN	<unknown>
)	)	)
,	,	,
posh	RB	posh
(	(	(
victoria	NN	victoria
adams	NNS	<unknown>
)	)	)
,	,	,
sporty	JJ	sporty
(	(	(
melanie	NP	Melanie
chisolm	NP	Chisolm
)	)	)
,	,	,
scary	JJ	scary
(	(	(
melanie	NN	<unknown>
brown	NN	brown
)	)	)
,	,	,
and	CC	and
baby	NN	baby
(	(	(
emma	NN	<unknown>
bunton	NN	<unknown>
)	)	)
.	SENT	.
?	SENT	?
each	DT	each
one	CD	one
has	VBZ	have
their	PP$	their
own	JJ	own
personality	NN	personality
and	CC	and
,	,	,
perhaps	RB	perhaps
the	DT	the
best	JJS	good
part	NN	part
of	IN	of
the	DT	the
film	NN	film
,	,	,
look	VBP	look
like	IN	like
they	PP	they
are	VBP	be
having	VBG	have
some	DT	some
honest-to-goodness	NN	honest-to-goodness
fun	NN	fun
,	,	,
something	NN	something
that	WDT	that
ca	MD	ca
n't	RB	n't
be	VB	be
said	VBN	say
for	IN	for
a	DT	a
lot	NN	lot
of	IN	of
people	NNS	people
in	IN	in
films	NNS	film
today	NN	today
.	SENT	.
along	IN	along
for	IN	for
the	DT	the
ride	NN	ride
are	VBP	be
richard	JJ	<unknown>
e	NN	e
.	SENT	.
grant	NN	grant
as	IN	as
their	PP$	their
manager	NN	manager
,	,	,
clifford	NP	Clifford
,	,	,
and	CC	and
various	JJ	various
other	JJ	other
characters	NNS	character
making	VBG	make
quick	JJ	quick
cameo	NN	cameo
appearances	NNS	appearance
(	(	(
including	VBG	include
teriffic	JJ	<unknown>
british	JJ	British
actors	NNS	actor
like	IN	like
richard	NN	<unknown>
briers	NNS	brier
and	CC	and
stephen	NN	<unknown>
fry	NN	fry
)	)	)
.	SENT	.
?	SENT	?
and	CC	and
,	,	,
every	DT	every
once	RB	once
and	CC	and
a	DT	a
while	NN	while
,	,	,
roger	NP	Roger
moore	NP	Moore
pops	VBZ	pop
up	RP	up
as	IN	as
the	DT	the
chief	NN	chief
to	TO	to
spout	VB	spout
odd	JJ	odd
koans	NNS	koan
(	(	(
added	VBN	add
bonus	NN	bonus
:	:	:
he	PP	he
gets	VBZ	get
to	TO	to
,	,	,
in	IN	in
the	DT	the
words	NNS	word
of	IN	of
craig	NP	Craig
kilborn	NP	Kilborn
,	,	,
dance	NN	dance
,	,	,
dance	NN	dance
,	,	,
dance	NN	dance
.	SENT	.
)	)	)
watching	VBG	watch
this	DT	this
film	NN	film
was	VBD	be
fun	NN	fun
,	,	,
for	IN	for
the	DT	the
most	JJS	most
part	NN	part
.	SENT	.
?	SENT	?
there	EX	there
are	VBP	be
a	DT	a
few	JJ	few
slow	JJ	slow
segments	NNS	segment
,	,	,
but	CC	but
overly	RB	overly
,	,	,
director	NN	director
bob	NN	bob
spiers	NNS	spier
keeps	VBZ	keep
things	NNS	thing
moving	VBG	move
at	IN	at
a	DT	a
quick	JJ	quick
pace	NN	pace
,	,	,
with	IN	with
plenty	NN	plenty
of	IN	of
hummable	JJ	hummable
spice	NN	spice
girls	NNS	girl
songs	NNS	song
in	IN	in
the	DT	the
background	NN	background
.	SENT	.
?	SENT	?
his	PP$	his
camerawork	NN	<unknown>
is	VBZ	be
fairly	RB	fairly
pedestrian	JJ	pedestrian
,	,	,
though	IN	though
the	DT	the
final	JJ	final
concert	NN	concert
number	NN	number
is	VBZ	be
done	VBN	do
quite	RB	quite
well	RB	well
with	IN	with
effective	JJ	effective
use	NN	use
of	IN	of
editing	VBG	edit
.	SENT	.
?	SENT	?
the	DT	the
look	NN	look
of	IN	of
the	DT	the
film	NN	film
promotes	VBZ	promote
the	DT	the
high	JJ	high
fun	NN	fun
,	,	,
with	IN	with
the	DT	the
design	NN	design
of	IN	of
the	DT	the
spicebus	NN	<unknown>
being	VBG	be
quite	RB	quite
original	JJ	original
and	CC	and
eye-catching	JJ	eye-catching
.	SENT	.
?	SENT	?
add	VB	add
in	IN	in
wall-to-wall	JJ	wall-to-wall
spice	NN	spice
girls	NNS	girl
music	NN	music
and	CC	and
this	DT	this
film	NN	film
is	VBZ	be
lovable	JJ	lovable
romp	NN	romp
.	SENT	.
?	SENT	?
if	IN	if
you	PP	you
do	VBP	do
n't	RB	n't
like	VB	like
the	DT	the
spice	NN	spice
girls	NNS	girl
,	,	,
you	PP	you
wo	MD	wo
n't	RB	n't
change	VB	change
your	PP$	your
mind	NN	mind
with	IN	with
this	DT	this
film	NN	film
.	SENT	.
?	SENT	?
but	CC	but
,	,	,
if	IN	if
you	PP	you
find	VBP	find
them	PP	them
at	IN	at
least	JJS	least
tolerable	JJ	tolerable
,	,	,
get	VB	get
ready	JJ	ready
to	TO	to
sit	VB	sit
back	RB	back
and	CC	and
chill	VB	chill
because	IN	because
the	DT	the
spice	NN	spice
girls	NNS	girl
are	VBP	be
here	RB	here
to	TO	to
entertain	VB	entertain
you	PP	you
.	SENT	.
.	SENT	.
.	SENT	.
and	CC	and
do	VB	do
it	PP	it
quite	RB	quite
well	RB	well
.	SENT	.
?	SENT	?
"	``	"
spice	NN	spice
world	NN	world
"	''	"
(	(	(
1998	CD	@card@
)	)	)
.	SENT	.
?	SENT	?
directed	VBN	direct
by	IN	by
bob	NN	bob
spiers	NNS	spier
.	SENT	.
?	SENT	?
written	VBN	write
by	IN	by
kim	NN	<unknown>
fuller	NN	fuller
.	SENT	.
?	SENT	?
music	NN	music
by	IN	by
the	DT	the
spice	NN	spice
girls	NNS	girl
.	SENT	.
?	SENT	?
with	IN	with
geri	NP	Geri
halliwell	NP	Halliwell
,	,	,
victoria	NN	victoria
adams	NNS	<unknown>
,	,	,
melanie	NP	Melanie
chisolm	NP	Chisolm
,	,	,
melanie	NN	<unknown>
brown	NN	brown
,	,	,
emma	NN	<unknown>
bunton	NN	<unknown>
,	,	,
richard	NN	<unknown>
e	NN	e
.	SENT	.
grant	NN	grant
,	,	,
claire	NP	Claire
rushbrook	NP	<unknown>
,	,	,
roger	NP	Roger
moore	NP	Moore
.	SENT	.
?	SENT	?
distributed	VBN	distribute
by	IN	by
columbia	NN	<unknown>
pictures	NNS	picture
.	SENT	.
?	SENT	?
running	VBG	run
time	NN	time
:	:	:
92	CD	@card@
minutes	NNS	minute
.	SENT	.
?	SENT	?
rated	VBN	rate
:	:	:
pg	NN	<unknown>
.	SENT	.
?	SENT	?
available	JJ	available
on	IN	on
home	NN	home
video	NN	video
.	SENT	.
----	NN	<unknown>
29	CD	@card@
june	NN	June
1998	CD	@card@
