when	WRB	when
rebecca	NN	<unknown>
demornay-like	JJ	<unknown>
kira	NN	<unknown>
,	,	,
an	DT	an
ogre-witch	NN	<unknown>
named	VBN	name
aughra	NP	<unknown>
,	,	,
who	WP	who
removes	VBZ	remove
her	PP$	her
eyes	NNS	eye
to	TO	to
look	VB	look
at	IN	at
things	NNS	thing
,	,	,
and	CC	and
a	DT	a
spastic-but-friendly	JJ	<unknown>
,	,	,
tumbleweed-like	JJ	<unknown>
animal	NN	animal
named	VBN	name
fizzgig	NN	<unknown>
.	SENT	.
much	RB	much
of	IN	of
the	DT	the
beauty	NN	beauty
in	IN	in
the	DT	the
dark	JJ	dark
crystal	NN	crystal
,	,	,
which	WDT	which
is	VBZ	be
a	DT	a
simple	JJ	simple
tale	NN	tale
(	(	(
though	IN	though
it	PP	it
does	VBZ	do
not	RB	not
condescend	VB	condescend
to	TO	to
any	DT	any
viewer	NN	viewer
)	)	)
,	,	,
lies	VBZ	lie
in	IN	in
its	PP$	its
art	NN	art
direction	NN	direction
and	CC	and
creature	NN	creature
design	NN	design
.	SENT	.
the	DT	the
puppeteering	NN	<unknown>
is	VBZ	be
phenomenal--observe	NN	<unknown>
the	DT	the
scenes	NNS	scene
in	IN	in
which	WDT	which
jen	NP	Jen
plays	VBZ	play
his	PP$	his
flute	NN	flute
,	,	,
or	CC	or
the	DT	the
landwalker	NN	<unknown>
chase--but	NN	<unknown>
i	NP	i
must	MD	must
stress	VB	stress
that		IN	that
any	DT	any
thoughts	NNS	thought
of	IN	of
strings	NNS	string
and	CC	and
hands	NNS	hand
and	CC	and
remote	JJ	remote
controls	NNS	control
all	RB	all
but	CC	but
vanish	VB	vanish
in	IN	in
the	DT	the
opening	VBG	open
moments	NNS	moment
of	IN	of
the	DT	the
picture	NN	picture
,	,	,
a	DT	a
delicately-narrated	JJ	<unknown>
(	(	(
by	IN	by
john	NN	john
baddeley	NN	<unknown>
)	)	)
,	,	,
absorbing	VBG	absorb
prologue	NN	prologue
.	SENT	.
the	DT	the
voice	NN	voice
work	NN	work
in	IN	in
the	DT	the
film	NN	film
,	,	,
by	IN	by
muppet	NN	<unknown>
regulars	NNS	regular
and	CC	and
irregulars	NNS	irregular
,	,	,
is	VBZ	be
tone-perfect	JJ	<unknown>
.	SENT	.
as	RB	as
well	RB	well
,	,	,
trevor	NN	<unknown>
jones	NNS	<unknown>
'	POS	'
score	NN	score
should	MD	should
not	RB	not
be	VB	be
discounted	VBN	discount
:	:	:
it	PP	it
contributes	VBZ	contribute
to	TO	to
the	DT	the
film	NN	film
almost	RB	almost
as	IN	as
an	DT	an
unseen	JJ	unseen
character	NN	character
.	SENT	.
i	NNS	i
suppose	VBP	suppose
,	,	,
due	JJ	due
to	TO	to
the	DT	the
complexity	NN	complexity
involved	VBN	involve
in	IN	in
executing	VBG	execute
a	DT	a
movie	NN	movie
of	IN	of
this	DT	this
nature	NN	nature
,	,	,
that	WDT	that
it	PP	it
could	MD	could
n't	RB	n't
be	VB	be
helped	VBN	help
,	,	,
but	CC	but
i	NP	i
wish	VBP	wish
the	DT	the
film	NN	film
was	VBD	be
longer	JJR	long
.	SENT	.
jen	NP	Jen
and	CC	and
kira	NP	Kira
have	VBP	have
wonderful	JJ	wonderful
.	SENT	.
.	SENT	.
.	SENT	.
well	RB	well
,	,	,
chemistry	NN	chemistry
,	,	,
and	CC	and
more	JJR	more
scenes	NNS	scene
of	IN	of
them	PP	them
quietly	RB	quietly
conversing	VBG	converse
would	MD	would
have	VB	have
been	VBN	be
appreciated	VBN	appreciate
.	SENT	.
the	DT	the
dark	JJ	dark
crystal	NN	crystal
has	VBZ	have
a	DT	a
very	RB	very
small	JJ	small
cult	NN	cult
following	NN	following
.	SENT	.
the	DT	the
weaker	JJR	weak
labyrinth	NN	labyrinth
is	VBZ	be
probably	RB	probably
better-known	JJ	better-known
,	,	,
which	WDT	which
is	VBZ	be
upsetting	VBG	upset
.	SENT	.
a	DT	a
friend	NN	friend
of	IN	of
mine	NN	mine
related	VBN	relate
a	DT	a
story	NN	story
to	TO	to
me	PP	me
that		IN	that
henson	NN	<unknown>
was	VBD	be
pressured	VBN	pressure
into	IN	into
planting	VBG	plant
humans	NNS	human
among	IN	among
labyrinth	NN	labyrinth
's	POS	's
creatures	NNS	creature
due	JJ	due
to	TO	to
the	DT	the
financial	JJ	financial
failure	NN	failure
of	IN	of
people-less	JJ	<unknown>
the	DT	the
dark	JJ	dark
crystal	NN	crystal
.	SENT	.
that	DT	that
film	NN	film
never	RB	never
quite	RB	quite
found	VBD	find
its	PP$	its
footing	NN	footing
;	:	;
it	PP	it
played	VBD	play
like	IN	like
an	DT	an
acid-trip	NN	<unknown>
episode	NN	episode
of	IN	of
"	``	"
the	DT	the
muppet	NN	<unknown>
show	NN	show
"	''	"
with	IN	with
david	JJ	<unknown>
bowie	NN	Bowie
as	IN	as
guest-host	NN	<unknown>
,	,	,
borrowing	VBG	borrow
from	IN	from
tolkien	NN	<unknown>
and	CC	and
pandering	VBG	pander
to	TO	to
tolkien	NP	<unknown>
's	POS	's
fan-base	NN	<unknown>
.	SENT	.
(	(	(
i	NNS	i
suppose	VBP	suppose
i	NP	i
just	RB	just
made	VBD	make
labyrinth	NN	labyrinth
sound	NN	sound
appetizing	JJ	appetizing
to	TO	to
a	DT	a
certain	JJ	certain
sector	NN	sector
of	IN	of
the	DT	the
public	NN	public
.	SENT	.
)	)	)
the	DT	the
dark	JJ	dark
crystal	NN	crystal
deserved	VBN	deserve
(	(	(
and	CC	and
still	RB	still
deserves	VBZ	deserve
)	)	)
a	DT	a
bigger	JJR	big
audience	NN	audience
.	SENT	.
it	PP	it
's	VBZ	be
the	DT	the
best	JJS	good
kind	NN	kind
of	IN	of
children	NNS	child
's	POS	's
entertainment	NN	entertainment
:	:	:
elegant	JJ	elegant
,	,	,
fantastical	JJ	fantastical
,	,	,
and	CC	and
courageously	RB	courageously
un-hip	JJ	<unknown>
.	SENT	.
brian	JJ	<unknown>
henson	NN	<unknown>
,	,	,
fortunate	JJ	fortunate
son	NN	son
,	,	,
keep	VB	keep
looking	VBG	look
back	RB	back
at	IN	at
this	DT	this
,	,	,
your	PP$	your
father	NN	father
's	POS	's
masterpiece	NN	masterpiece
.	SENT	.
