no	UH	no
built	VBN	build
for	IN	for
a	DT	a
=	SYM	=
secret	JJ	secret
experimental	JJ	experimental
purpose	NN	purpose
;	:	;
it	PP	it
has	VBZ	have
the	DT	the
ability	NN	ability
to	TO	to
fold	VB	fold
time	NN	time
and	CC	and
space	NN	space
=	SYM	=
thus	RB	thus
making	VBG	make
it	PP	it
possible	JJ	possible
for	IN	for
travelling	VBG	travel
distances	NNS	distance
not	RB	not
reachable	JJ	reachable
in	IN	in
a	DT	a
=	SYM	=
man	NN	man
's	POS	's
lifetime	NN	lifetime
.	SENT	.
the	DT	the
ship	NN	ship
disappeared	VBD	disappear
as	RB	as
soon	RB	soon
as	IN	as
it	PP	it
went	VBD	go
into	IN	into
operation	NN	operation
=	SYM	=
but	CC	but
after	IN	after
7	CD	7
years	NNS	year
,	,	,
it	PP	it
reappeared	VBD	reappear
again	RB	again
within	IN	within
the	DT	the
orbit	NN	orbit
of	IN	of
neptune	NN	<unknown>
.	SENT	.
a	DT	a
=	SYM	=
search	NN	search
and	CC	and
rescue	NN	rescue
team	NN	team
led	VBN	lead
by	IN	by
miller	NN	miller
(	(	(
fishburne	NN	<unknown>
)	)	)
is	VBZ	be
given	VBN	give
the	DT	the
task	NN	task
to	TO	to
=	SYM	=
check	NN	check
for	IN	for
survivors	NNS	survivor
of	IN	of
the	DT	the
event	NN	event
horizon	NN	horizon
.	SENT	.
the	DT	the
designer	NN	designer
of	IN	of
the	DT	the
ship	NN	ship
,	,	,
dr	NP	Dr
.	SENT	.
=	SYM	=
weir	NN	weir
(	(	(
neill	NN	<unknown>
)	)	)
follows	VBZ	follow
along	RP	along
to	TO	to
satisfy	VB	satisfy
his	PP$	his
curiosity	NN	curiosity
on	IN	on
what	WP	what
actually	RB	actually
=	SYM	=
happened	VBN	happen
to	TO	to
his	PP$	his
otherwise	RB	otherwise
technologically	RB	technologically
impressive	JJ	impressive
ship	NN	ship
.	SENT	.
event	NN	event
horizon	NN	horizon
is	VBZ	be
a	DT	a
sci-fi	NN	sci-fi
horror	NN	horror
film	NN	film
,	,	,
much	RB	much
truer	JJR	true
to	TO	to
the	DT	the
word	NN	word
than	IN	than
say	NN	say
,	,	,
=	SYM	=
alien	NN	alien
would	MD	would
ever	RB	ever
be	VB	be
.	SENT	.
while	IN	while
in	IN	in
alien	NN	alien
,	,	,
the	DT	the
crew	NN	crew
has	VBZ	have
to	TO	to
cope	VB	cope
with	IN	with
a	DT	a
=	SYM	=
ferocious	JJ	ferocious
creature	NN	creature
while	IN	while
encased	VBN	encase
within	IN	within
tight	JJ	tight
spaces	NNS	space
,	,	,
in	IN	in
event	NN	event
horizon	NN	horizon
,	,	,
=	SYM	=
the	DT	the
forces	NNS	force
which	WDT	which
goes	VBZ	go
against	IN	against
the	DT	the
crew	NN	crew
is	VBZ	be
undefined	JJ	undefined
but	CC	but
yet	RB	yet
so	RB	so
powerful	RB	powerful
=	SYM	=
and	CC	and
horrifying	VBG	horrify
.	SENT	.
the	DT	the
story	NN	story
unfolds	VBZ	unfold
itself	PP	itself
slowly	RB	slowly
and	CC	and
the	DT	the
suspense	NN	suspense
buildup	NN	buildup
=	SYM	=
is	VBZ	be
superb	JJ	superb
,	,	,
up	RB	up
till	IN	till
the	DT	the
point	NN	point
where	WRB	where
i	NP	i
really	RB	really
felt	VBD	feel
like	IN	like
saying	VBG	say
out	RP	out
loud	RB	loud
=	SYM	=
`	``	`
enough	JJ	enough
!	SENT	!
i	NP	i
ca	MD	ca
n't	RB	n't
stand	VB	stand
this	DT	this
anymore	RB	anymore
!	SENT	!
'	''	'
.	SENT	.
there	EX	there
are	VBP	be
more	JJR	more
than	IN	than
enough	JJ	enough
jolts	NNS	jolt
=	SYM	=
to	TO	to
send	VB	send
your	PP$	your
adrenalin	NN	adrenalin
pumping	VBG	pump
overtime	NN	overtime
.	SENT	.
the	DT	the
story	NN	story
in	IN	in
itself	PP	itself
is	VBZ	be
not	RB	not
=	SYM	=
exactly	RB	exactly
something	NN	something
very	RB	very
exciting	JJ	exciting
and	CC	and
also	RB	also
,	,	,
the	DT	the
acting	NN	acting
is	VBZ	be
only	RB	only
at	IN	at
most	JJS	most
,	,	,
=	SYM	=
average	JJ	average
by	IN	by
most	RBS	most
commercial	JJ	commercial
standards	NNS	standard
.	SENT	.
even	RB	even
so	RB	so
,	,	,
the	DT	the
essence	NN	essence
of	IN	of
horror	NN	horror
is	VBZ	be
=	SYM	=
carried	VBN	carry
out	RP	out
very	RB	very
well	RB	well
in	IN	in
this	DT	this
film	NN	film
,	,	,
thanks	NNS	thank
to	TO	to
its	PP$	its
well-paced	JJ	well-paced
=	SYM	=
storytelling	NN	storytelling
,	,	,
disturbing	VBG	disturb
set	VBN	set
designs	NNS	design
and	CC	and
some	DT	some
really	RB	really
gory	JJ	gory
sequences	NNS	sequence
=	SYM	=
(	(	(
which	WDT	which
incidentally	RB	incidentally
,	,	,
has	VBZ	have
been	VBN	be
quite	RB	quite
generously	RB	generously
removed	VBN	remove
by	IN	by
our	PP$	our
censorship	NN	censorship
=	SYM	=
board	NN	board
)	)	)
.	SENT	.
=20	JJ	<unknown>
director	NN	director
paul	NN	<unknown>
anderson	NN	<unknown>
(	(	(
who	WP	who
did	VBD	do
mortal	JJ	mortal
kombat	NN	<unknown>
)	)	)
and	CC	and
his	PP$	his
team	NN	team
of	IN	of
=	SYM	=
`	``	`
atmosphere	NN	atmosphere
'	''	'
creators	NNS	creator
have	VBP	have
done	VBN	do
well	RB	well
in	IN	in
keeping	VBG	keep
event	NN	event
horizon	NN	horizon
within	IN	within
the	NP	the
=	SYM	=
bounds	VBZ	bound
of	IN	of
the	DT	the
term	NN	term
`	``	`
horror	NN	horror
'	''	'
.	SENT	.
this	DT	this
picture	NN	picture
did	VBD	do
not	RB	not
do	VB	do
very	RB	very
well	RB	well
in	IN	in
the	DT	the
us	PP	us
=	SYM	=
box-office	NN	box-office
most	RBS	most
probably	RB	probably
for	IN	for
the	DT	the
dread-factor	NN	<unknown>
impact	NN	impact
it	PP	it
has	VBZ	have
on	IN	on
most	JJS	most
=	SYM	=
audiences	NNS	audience
;	:	;
people	NNS	people
will	MD	will
not	RB	not
see	VB	see
it	PP	it
again	RB	again
and	CC	and
not	RB	not
many	JJ	many
would	MD	would
recommend	VB	recommend
=	SYM	=
their	PP$	their
friend	NN	friend
to	TO	to
watch	VB	watch
this	DT	this
.	SENT	.
although	IN	although
on	IN	on
the	DT	the
face	NN	face
of	IN	of
it	PP	it
,	,	,
event	NN	event
horizon	NN	horizon
is	VBZ	be
=	SYM	=
mostly	RB	mostly
molded	VBN	mold
for	IN	for
mass-entertainment	NN	<unknown>
;	:	;
many	JJ	many
thrills	NNS	thrill
,	,	,
spills	NNS	spill
and	CC	and
suspense	NN	suspense
=	SYM	=
to	TO	to
keep	VB	keep
audiences	NNS	audience
in	IN	in
focus	NN	focus
.	SENT	.
however	RB	however
,	,	,
the	DT	the
offbeat	JJ	offbeat
horror	NN	horror
element	NN	element
which	WDT	which
it	PP	it
=	SYM	=
ultimately	RB	ultimately
convey	VB	convey
audiences	NNS	audience
is	VBZ	be
very	RB	very
disturbing	JJ	disturbing
.	SENT	.
my	PP$	my
friend	NN	friend
and	CC	and
i	NP	i
could	MD	could
=	SYM	=
not	RB	not
say	VBP	say
a	DT	a
word	NN	word
to	TO	to
each	DT	each
other	JJ	other
for	IN	for
quite	PDT	quite
a	DT	a
while	NN	while
after	IN	after
going	VBG	go
through	IN	through
the	NP	the
=	SYM	=
`	``	`
experience	NN	experience
'	''	'
of	IN	of
event	NN	event
horizon	NN	horizon
.	SENT	.
i	NNS	i
guess	VBP	guess
it	PP	it
was	VBD	be
just	RB	just
the	DT	the
immense	JJ	immense
feeling	NN	feeling
=	SYM	=
of	IN	of
dread	NN	dread
which	WDT	which
the	DT	the
film	NN	film
had	VBD	have
cast	VBN	cast
upon	IN	upon
us	PP	us
.	SENT	.
be	VB	be
forewarned	VBN	forewarn
,	,	,
this	DT	this
film	NN	film
is	VBZ	be
not	RB	not
for	IN	for
the	DT	the
faint-hearted	JJ	faint-hearted
nor	CC	nor
for	IN	for
pure	JJ	pure
=	SYM	=
entertainment	NN	entertainment
.	SENT	.
be	VB	be
prepared	VBN	prepare
to	TO	to
be	VB	be
disturbed	VBN	disturb
if	IN	if
you	PP	you
should	MD	should
decide	VB	decide
to	TO	to
watch	NN	watch
=	SYM	=
this	DT	this
film	NN	film
!	SENT	!
event	NN	event
horizon	NN	horizon
is	VBZ	be
highly	RB	highly
recommended=85=85but	JJ	<unknown>
at	IN	at
your	PP$	your
own	JJ	own
=	SYM	=
risk	NN	risk
!	SENT	!
it	PP	it
has	VBZ	have
been	VBN	be
a	DT	a
long	JJ	long
time	NN	time
since	IN	since
good-horror	NN	<unknown>
embraced	VBD	embrace
the	DT	the
big	JJ	big
screen	NN	screen
,	,	,
=	SYM	=
and	CC	and
event	NN	event
horizon	NN	horizon
is	VBZ	be
one	CD	one
.	SENT	.
