there	EX	there
confrontations	NNS	confrontation
that	WDT	that
seem	VBP	seem
so	RB	so
genuine	JJ	genuine
we	PP	we
cannot	MD	can
help	VB	help
but	CC	but
laugh	VB	laugh
,	,	,
but	CC	but
the	DT	the
way	NN	way
primary	JJ	primary
colors	NNS	color
chooses	VBZ	choose
to	TO	to
finish	VB	finish
tackles	NNS	tackle
aspects	NNS	aspect
that	WDT	that
are	VBP	be
very	RB	very
contrary	JJ	contrary
,	,	,
and	CC	and
almost	RB	almost
unsuitable	JJ	unsuitable
,	,	,
to	TO	to
the	DT	the
rest	NN	rest
of	IN	of
the	DT	the
film	NN	film
.	SENT	.
but	CC	but
as	IN	as
i	NP	i
mentioned	VBD	mention
before	RB	before
,	,	,
there	EX	there
is	VBZ	be
a	DT	a
thin	JJ	thin
line	NN	line
between	IN	between
satire	NN	satire
and	CC	and
controversy	NN	controversy
-	:	-
and	CC	and
for	IN	for
the	DT	the
most	JJS	most
part	NN	part
,	,	,
primary	JJ	primary
colors	NNS	color
delivers	VBZ	deliver
an	DT	an
entertaining	JJ	entertaining
indulgence	NN	indulgence
of	IN	of
political	JJ	political
matters	NNS	matter
combined	VBN	combine
with	IN	with
a	DT	a
far-from-overpowering	JJ	<unknown>
look	NN	look
at	IN	at
winning	VBG	win
the	DT	the
public	NN	public
's	POS	's
opinion	NN	opinion
.	SENT	.
although	IN	although
at	IN	at
occasions	NNS	occasion
the	DT	the
film	NN	film
may	MD	may
jump	VB	jump
around	RP	around
a	DT	a
little	JJ	little
too	RB	too
freely	RB	freely
,	,	,
focus	NN	focus
is	VBZ	be
never	RB	never
lost	VBN	lose
on	IN	on
how	WRB	how
important	JJ	important
and	CC	and
vulnerable	JJ	vulnerable
the	DT	the
subject	JJ	subject
matter	NN	matter
really	RB	really
is	VBZ	be
.	SENT	.
thankfully	RB	thankfully
,	,	,
it	PP	it
is	VBZ	be
clear	JJ	clear
to	TO	to
make	VB	make
the	DT	the
distinction	NN	distinction
on	IN	on
what	WP	what
is	VBZ	be
entertaining	VBG	entertain
movie	NN	movie
cosmetics	NNS	cosmetic
and	CC	and
what	WP	what
is	VBZ	be
a	DT	a
provocative	JJ	provocative
documentation	NN	documentation
of	IN	of
something	NN	something
so	RB	so
really	RB	really
it	PP	it
's	VBZ	be
scary	JJ	scary
.	SENT	.
