there	EX	there
woodsboro	NN	<unknown>
;	:	;
whereas	IN	whereas
the	DT	the
account	NN	account
of	IN	of
the	DT	the
first	JJ	first
two	CD	two
films	NNS	film
was	VBD	be
true	JJ	true
,	,	,
the	DT	the
franchise	NN	franchise
within	IN	within
"	``	"
scream	NN	scream
"	''	"
has	VBZ	have
now	RB	now
become	VBN	become
totally	RB	totally
fictional	JJ	fictional
.	SENT	.
nevertheless	RB	nevertheless
,	,	,
we	PP	we
learn	VBP	learn
,	,	,
cotton	NN	cotton
made	VBD	make
an	DT	an
appearance	NN	appearance
in	IN	in
the	DT	the
movie	NN	movie
which	WDT	which
is	VBZ	be
now	RB	now
in	IN	in
production	NN	production
,	,	,
as	IN	as
himself	PP	himself
to	TO	to
be	VB	be
killed	VBN	kill
off	RP	off
in	IN	in
the	DT	the
first	JJ	first
scene	NN	scene
.	SENT	.
so	RB	so
,	,	,
it	PP	it
seems	VBZ	seem
that		IN	that
the	DT	the
real	JJ	real
killer	NN	killer
is	VBZ	be
offing	NN	offing
our	PP$	our
heroes	NNS	hero
in	IN	in
the	DT	the
order	NN	order
in	IN	in
which	WDT	which
they	PP	they
bite	VBP	bite
it	PP	it
in	IN	in
the	DT	the
movie	NN	movie
?	SENT	?
?	SENT	?
'either	RB	<unknown>
the	DT	the
actor	NN	actor
portraying	VBG	portray
them	PP	them
,	,	,
or	CC	or
the	DT	the
real	JJ	real
thing	NN	thing
.	SENT	.
sometimes	RB	sometimes
both	DT	both
.	SENT	.
clever	JJ	clever
,	,	,
indeed	RB	indeed
.	SENT	.
but	CC	but
,	,	,
who	WP	who
goes	VBZ	go
next	JJ	next
?	SENT	?
no	DT	no
one	CD	one
knows	VBZ	know
.	SENT	.
three	CD	three
different	JJ	different
scripts	NNS	script
were	VBD	be
penned	VBN	pen
,	,	,
we	PP	we
?	SENT	?
?	SENT	?
?	SENT	?
re	NN	re
told	VBD	tell
,	,	,
to	TO	to
keep	VB	keep
the	DT	the
true	JJ	true
finale	NN	finale
off	IN	off
the	DT	the
internet	NN	Internet
(	(	(
a	DT	a
nod	NN	nod
to	TO	to
the	DT	the
"	``	"
scream	NN	scream
"	''	"
2	CD	2
fiasco	NN	fiasco
a	DT	a
few	JJ	few
years	NNS	year
back	RB	back
)	)	)
and	CC	and
no	DT	no
one	CD	one
knows	VBZ	know
for	IN	for
sure	RB	sure
which	WDT	which
one	CD	one
the	DT	the
killer	NN	killer
read	VBD	read
.	SENT	.
still	RB	still
,	,	,
all	PDT	all
the	DT	the
while	NN	while
sidney	NN	<unknown>
stays	NNS	stays
concealed	VBN	conceal
in	IN	in
her	PP$	her
home	NN	home
,	,	,
only	RB	only
visiting	VBG	visit
dad	NN	dad
for	IN	for
the	DT	the
first	JJ	first
half-hour	NN	half-hour
of	IN	of
the	DT	the
film	NN	film
,	,	,
while	IN	while
also	RB	also
having	VBG	have
horrifying	VBG	horrify
visions	NNS	vision
of	IN	of
her	PP$	her
mother	NN	mother
,	,	,
which	WDT	which
takes	VBZ	take
us	PP	us
back	VB	back
a	DT	a
bit	NN	bit
to	TO	to
sidney	NN	<unknown>
?	SENT	?
?	SENT	?
?	SENT	?
s	NNS	<unknown>
fear	VBP	fear
of	IN	of
becoming	VBG	become
what	WP	what
her	PP$	her
mother	NN	mother
was	VBD	be
?	SENT	?
?	SENT	?
'or	NN	<unknown>
,	,	,
at	IN	at
least	JJS	least
,	,	,
what	WP	what
her	PP$	her
mother	NN	mother
was	VBD	be
secretly	RB	secretly
.	SENT	.
when	WRB	when
sidney	NP	Sidney
finally	RB	finally
ventures	VBZ	venture
out	RP	out
to	TO	to
hollywood	NN	<unknown>
as	IN	as
the	DT	the
murders	NNS	murder
become	VBP	become
more	RBR	more
prevalent	JJ	prevalent
,	,	,
she	PP	she
?	SENT	?
?	SENT	?
?	SENT	?
s	NNS	<unknown>
chased	VBD	chase
onto	IN	onto
the	DT	the
set	NN	set
of	IN	of
stab	NN	stab
3	CD	3
,	,	,
wandering	VBG	wander
through	IN	through
"	``	"
woodsboro	NN	<unknown>
,	,	,
"	''	"
written	VBN	write
and	CC	and
directed	VBN	direct
as	IN	as
an	DT	an
odd	JJ	odd
,	,	,
surreal	JJ	surreal
,	,	,
nightmare	NN	nightmare
indeed	RB	indeed
,	,	,
this	DT	this
is	VBZ	be
one	CD	one
of	IN	of
"	``	"
scream	NN	scream
3	CD	3
"	''	"
?	SENT	?
?	SENT	?
?	SENT	?
s	RB	<unknown>
finest	JJS	fine
moments	NNS	moment
.	SENT	.
okay	RB	okay
,	,	,
over	IN	over
the	DT	the
years	NNS	year
,	,	,
i	NP	i
?	SENT	?
?	SENT	?
?	SENT	?
ll	NNS	<unknown>
admit	VBP	admit
that		IN	that
i	NP	i
?	SENT	?
?	SENT	?
?	SENT	?
ve	NNS	<unknown>
become	VBP	become
quite	PDT	quite
the	DT	the
"	``	"
scream	NN	scream
"	''	"
fan	NN	fan
.	SENT	.
no	RB	no
,	,	,
i	NP	i
don	NN	don
?	SENT	?
?	SENT	?
?	SENT	?
t	NN	t
have	VBP	have
the	DT	the
ghostface	JJ	<unknown>
costume	NN	costume
or	CC	or
the	DT	the
director	NN	director
?	SENT	?
?	SENT	?
?	SENT	?
s	JJ	<unknown>
cut	NN	cut
laserdisc	NN	<unknown>
,	,	,
but	CC	but
i	NP	i
often	RB	often
find	VB	find
myself	PP	myself
compelled	VBN	compel
to	TO	to
pop	VB	pop
in	IN	in
the	DT	the
dvd	NN	<unknown>
of	IN	of
either	DT	either
member	NN	member
of	IN	of
the	DT	the
preceding	JJ	preceding
duo	NN	duo
,	,	,
and	CC	and
can	MD	can
get	VB	get
quite	RB	quite
caught	VBN	catch
up	RP	up
in	IN	in
the	DT	the
dramatic	JJ	dramatic
element	NN	element
of	IN	of
these	DT	these
films	NNS	film
(	(	(
yes	UH	yes
,	,	,
i	NP	i
said	VBD	say
"	``	"
dramatic	JJ	dramatic
element	NN	element
"	''	"
)	)	)
,	,	,
sometimes	RB	sometimes
debating	VBG	debate
with	IN	with
family	NN	family
and	CC	and
friends	VBZ	friend
the	DT	the
possibilities	NNS	possibility
and	CC	and
endless	JJ	endless
theories	NNS	theory
that	WDT	that
have	VBP	have
become	VBN	become
quintessentially	RB	quintessentially
affiliated	JJ	affiliated
with	IN	with
"	``	"
scream	NN	scream
"	''	"
.	SENT	.
throughout	IN	throughout
the	DT	the
film	NN	film
,	,	,
though	RB	though
,	,	,
i	NP	i
noticed	VBD	notice
a	DT	a
much	RB	much
more	RBR	more
subtle	JJ	subtle
approach	NN	approach
than	IN	than
the	DT	the
other	JJ	other
two	CD	two
films	NNS	film
.	SENT	.
granted	VBD	grant
that		IN	that
there	RB	there
?	SENT	?
?	SENT	?
?	SENT	?
s	JJ	<unknown>
stabbin-a-plenty	NN	<unknown>
going	VBG	go
on	IN	on
throughout	IN	throughout
,	,	,
but	CC	but
there	RB	there
?	SENT	?
?	SENT	?
?	SENT	?
s	NNS	<unknown>
considerably	RB	considerably
less	JJR	less
blood	NN	blood
,	,	,
less	JJR	less
gore	NN	gore
.	SENT	.
honestly	RB	honestly
,	,	,
i	NP	i
like	IN	like
this	DT	this
approach	NN	approach
.	SENT	.
it	PP	it
?	SENT	?
?	SENT	?
?	SENT	?
s	NNS	<unknown>
more	RBR	more
classical	JJ	classical
,	,	,
more	RBR	more
rebellious	JJ	rebellious
,	,	,
constantly	RB	constantly
demonstrating	VBG	demonstrate
the	DT	the
capable	JJ	capable
direction	NN	direction
of	IN	of
wes	NNS	<unknown>
craven	JJ	craven
.	SENT	.
he	PP	he
knows	VBZ	know
when	WRB	when
to	TO	to
hold	VB	hold
back	RB	back
and	CC	and
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
makes	VBZ	make
the	DT	the
movie	NN	movie
ooze	NN	ooze
with	IN	with
energy	NN	energy
,	,	,
illustrating	VBG	illustrate
the	DT	the
delicate	JJ	delicate
poise	NN	poise
flowing	VBG	flow
from	IN	from
his	PP$	his
years	NNS	year
of	IN	of
experience	NN	experience
.	SENT	.
some	DT	some
critics	NNS	critic
have	VBP	have
noted	VBN	note
that		IN	that
"	``	"
scream	VB	scream
3	CD	3
"	``	"
seems	VBZ	seem
to	TO	to
take	VB	take
itself	PP	itself
more	RBR	more
seriously	RB	seriously
this	DT	this
time	NN	time
;	:	;
maybe	RB	maybe
so	RB	so
,	,	,
or	CC	or
maybe	RB	maybe
screenwriter	NN	screenwriter
ehren	NNS	<unknown>
kruger	NN	<unknown>
(	(	(
arlington	NN	<unknown>
road	NN	road
)	)	)
,	,	,
who	WP	who
took	VBD	take
over	RP	over
after	IN	after
williamson	NN	<unknown>
had	VBD	have
scheduling	NN	scheduling
conflicts	NNS	conflict
,	,	,
saw	VBD	see
an	DT	an
opportunity	NN	opportunity
for	IN	for
true	JJ	true
irony	NN	irony
?	SENT	?
?	SENT	?
'maybe	NN	<unknown>
even	RB	even
a	DT	a
little	JJ	little
bit	NN	bit
of	IN	of
satire	NN	satire
?	SENT	?
?	SENT	?
'if	NN	<unknown>
the	DT	the
film	NN	film
worked	VBN	work
in	IN	in
a	DT	a
few	JJ	few
more	JJR	more
clich	NN	<unknown>
?	SENT	?
?	SENT	?
s	NNS	<unknown>
.	SENT	.
what	WP	what
puts	VBZ	put
a	DT	a
damper	NN	damper
on	IN	on
this	DT	this
otherwise	RB	otherwise
exceptional	JJ	exceptional
and	CC	and
creative	JJ	creative
film	NN	film
,	,	,
i	NP	i
?	SENT	?
?	SENT	?
?	SENT	?
m	NN	m
afraid	JJ	afraid
,	,	,
is	VBZ	be
the	DT	the
ending	NN	ending
,	,	,
or	CC	or
,	,	,
rather	RB	rather
,	,	,
the	DT	the
identity	NN	identity
of	IN	of
the	DT	the
killer	NN	killer
.	SENT	.
it	PP	it
does	VBZ	do
the	DT	the
job	NN	job
,	,	,
i	NP	i
guess	NN	guess
,	,	,
accomplishes	VBZ	accomplish
what	WP	what
it	PP	it
should	MD	should
,	,	,
bringing	VBG	bring
the	DT	the
three	CD	three
films	NNS	film
full	JJ	full
circle	NN	circle
,	,	,
but	CC	but
upon	IN	upon
my	PP$	my
first	JJ	first
viewing	NN	viewing
it	PP	it
seemed	VBD	seem
rather	RB	rather
dissatisfying	VBG	dissatisfy
because	IN	because
it	PP	it
appears	VBZ	appear
a	DT	a
little	JJ	little
too	RB	too
contrived	JJ	contrived
,	,	,
too	RB	too
arbitrary	JJ	arbitrary
;	:	;
after	IN	after
a	DT	a
second	JJ	second
viewing	NN	viewing
,	,	,
which	WDT	which
i	NP	i
endeavored	VBD	endeavor
upon	RB	upon
due	JJ	due
to	TO	to
this	DT	this
recurring	VBG	recur
disapprobation	NN	disapprobation
,	,	,
the	DT	the
killer	NN	killer
?	SENT	?
?	SENT	?
?	SENT	?
s	JJ	<unknown>
identity	NN	identity
still	RB	still
seems	VBZ	seem
a	DT	a
little	JJ	little
too	RB	too
random	JJ	random
,	,	,
but	CC	but
his	PP$	his
motivation	NN	motivation
came	VBD	come
across	IN	across
more	JJR	more
sound	NN	sound
this	DT	this
time	NN	time
around	RB	around
,	,	,
and	CC	and
the	DT	the
eventual	JJ	eventual
conclusion	NN	conclusion
was	VBD	be
ultimately	RB	ultimately
more	RBR	more
satisfying	JJ	satisfying
.	SENT	.
all	DT	all
in	IN	in
all	DT	all
,	,	,
"	''	"
scream	VBP	scream
3	CD	3
"	``	"
does	VBZ	do
not	RB	not
fall	VB	fall
victim	NN	victim
to	TO	to
the	DT	the
most	RBS	most
lamented	JJ	lamented
principle	NN	principle
of	IN	of
a	DT	a
trilogy	NN	trilogy
:	:	:
it	PP	it
is	VBZ	be
not	RB	not
the	DT	the
worst	JJS	bad
of	IN	of
the	DT	the
films	NNS	film
.	SENT	.
as	IN	as
a	DT	a
trilogy	NN	trilogy
,	,	,
"	``	"
scream	NN	scream
"	''	"
was	VBD	be
a	DT	a
lot	NN	lot
of	IN	of
fun	NN	fun
;	:	;
refreshing	VBG	refresh
,	,	,
humorous	JJ	humorous
,	,	,
offbeat	JJ	offbeat
.	SENT	.
almost	RB	almost
sad	JJ	sad
to	TO	to
see	VB	see
it	PP	it
go	VB	go
.	SENT	.
but	CC	but
then	RB	then
,	,	,
it	PP	it
does	VBZ	do
seem	VB	seem
best	RBS	well
to	TO	to
quit	VB	quit
while	IN	while
you	PP	you
?	SENT	?
?	SENT	?
?	SENT	?
re	IN	re
ahead	RB	ahead
,	,	,
and	CC	and
"	``	"
scream	NN	scream
3	CD	3
"	''	"
does	VBZ	do
a	DT	a
fine	JJ	fine
job	NN	job
of	IN	of
providing	VBG	provide
closure	NN	closure
to	TO	to
its	PP$	its
characters	NNS	character
.	SENT	.
for	IN	for
now	RB	now
,	,	,
"	``	"
scream	NN	scream
"	''	"
holds	VBZ	hold
the	DT	the
title	NN	title
as	IN	as
the	DT	the
finest	JJS	fine
series	NN	series
of	IN	of
horror	NN	horror
films	NNS	film
to	TO	to
be	VB	be
committed	VBN	commit
to	TO	to
celluloid	NN	celluloid
.	SENT	.
not	RB	not
too	RB	too
shabby	JJ	shabby
.	SENT	.
