there	EX	there
williams	NP	Williams
,	,	,
who	WP	who
have	VBP	have
amazing	JJ	amazing
chemistry	NN	chemistry
together	RB	together
.	SENT	.
we	PP	we
also	RB	also
get	VBP	get
some	DT	some
great	JJ	great
support	NN	support
from	IN	from
stellan	JJ	<unknown>
skarsg	NN	<unknown>
?	SENT	?
rd	RB	<unknown>
(	(	(
great	JJ	great
name	NN	name
)	)	)
,	,	,
ben	NP	ben
affleck	NP	Affleck
,	,	,
and	CC	and
from	IN	from
minnie	NN	<unknown>
driver	NN	driver
,	,	,
who	WP	who
plays	VBZ	play
will	NN	will
's	POS	's
love	NN	love
interest	NN	interest
,	,	,
skylar	NN	<unknown>
.	SENT	.
there	EX	there
are	VBP	be
tons	NNS	ton
of	IN	of
individual	JJ	individual
moments	NNS	moment
that	WDT	that
i	NP	i
adored	VBD	adore
.	SENT	.
i	NP	i
loved	VBD	love
all	PDT	all
the	DT	the
comedy	NN	comedy
in	IN	in
the	DT	the
film	NN	film
,	,	,
especially	RB	especially
a	DT	a
scene	NN	scene
where	WRB	where
damon	NN	<unknown>
proves	VBZ	prove
a	DT	a
schmuck	NN	schmuck
out	RP	out
of	IN	of
a	DT	a
college	NN	college
student	NN	student
who	WP	who
is	VBZ	be
quoting	VBG	quote
a	DT	a
historian	NN	historian
to	TO	to
impress	VB	impress
some	DT	some
chicks	NNS	chick
,	,	,
his	PP$	his
various	JJ	various
attempts	NNS	attempt
at	IN	at
therapy	NN	therapy
,	,	,
and	CC	and
of	IN	of
course	NN	course
,	,	,
my	PP$	my
favorite	JJ	favorite
scene	NN	scene
in	IN	in
the	DT	the
entire	JJ	entire
film	NN	film
,	,	,
the	DT	the
one	CD	one
where	WRB	where
he	PP	he
delivers	VBZ	deliver
a	DT	a
long	JJ	long
,	,	,
exstensive	JJ	<unknown>
rant	NN	rant
to	TO	to
some	DT	some
nsa	NN	<unknown>
agents	NNS	agent
about	IN	about
the	DT	the
downside	NN	downside
of	IN	of
working	VBG	work
for	IN	for
them	PP	them
.	SENT	.
i	NP	i
liked	VBD	like
the	DT	the
relationship	NN	relationship
between	IN	between
some	DT	some
of	IN	of
the	DT	the
people	NNS	people
,	,	,
like	IN	like
will	NN	will
and	CC	and
skylar	NN	<unknown>
,	,	,
will	NN	will
and	CC	and
sean	JJ	<unknown>
,	,	,
sean	JJ	<unknown>
and	CC	and
lambeau	NN	<unknown>
,	,	,
and	CC	and
will	MD	will
and	CC	and
his	PP$	his
friends	NNS	friend
.	SENT	.
there	EX	there
are	VBP	be
scenes	NNS	scene
between	IN	between
them	PP	them
which	WDT	which
are	VBP	be
just	RB	just
amazing	JJ	amazing
to	TO	to
watch	VB	watch
.	SENT	.
and	CC	and
there	EX	there
are	VBP	be
even	RB	even
moments	NNS	moment
in	IN	in
the	DT	the
film	NN	film
which	WDT	which
are	VBP	be
so	RB	so
honest	JJ	honest
in	IN	in
their	PP$	their
portrayal	NN	portrayal
,	,	,
that	WDT	that
i	NP	i
felt	VBD	feel
rightfully	RB	rightfully
uncomfortable	JJ	uncomfortable
.	SENT	.
like	IN	like
the	DT	the
break-up	NN	break-up
scene	NN	scene
between	IN	between
will	NN	will
and	CC	and
skylar	NN	<unknown>
,	,	,
will	NN	will
and	CC	and
sean	NN	<unknown>
's	POS	's
first	JJ	first
meeting	NN	meeting
,	,	,
a	DT	a
bar	NN	bar
scene	NN	scene
between	IN	between
sean	NN	<unknown>
and	CC	and
lambeau	NN	<unknown>
,	,	,
and	CC	and
a	DT	a
scene	NN	scene
where	WRB	where
sean	NN	<unknown>
tells	VBZ	tell
in	IN	in
detail	NN	detail
how	WRB	how
he	PP	he
does	VBZ	do
n't	RB	n't
regret	VB	regret
meeting	VBG	meet
his	PP$	his
first	JJ	first
wife	NN	wife
,	,	,
who	WP	who
would	MD	would
later	RBR	later
suffer	VB	suffer
a	DT	a
slow	JJ	slow
,	,	,
painful	JJ	painful
death	NN	death
,	,	,
and	CC	and
leave	VB	leave
him	PP	him
lonely	JJ	lonely
and	CC	and
slightly	RB	slightly
bitter	JJ	bitter
.	SENT	.
however	RB	however
,	,	,
the	DT	the
main	JJ	main
flaw	NN	flaw
of	IN	of
the	DT	the
film	NN	film
is	VBZ	be
there	EX	there
's	VBZ	be
too	RB	too
much	JJ	much
of	IN	of
everything	NN	everything
,	,	,
and	CC	and
not	RB	not
enough	RB	enough
of	IN	of
it	PP	it
either	RB	either
.	SENT	.
the	DT	the
film	NN	film
tries	VBZ	try
for	IN	for
deeper	JJR	deep
relations	NNS	relation
between	IN	between
the	DT	the
characters	NNS	character
,	,	,
but	CC	but
they	PP	they
're	VBP	be
sometimes	RB	sometimes
either	RB	either
overwritten	VBN	overwrite
or	CC	or
underwritten	VBN	underwrite
.	SENT	.
take	VB	take
for	IN	for
example	NN	example
the	DT	the
relationship	NN	relationship
between	IN	between
sean	JJ	<unknown>
and	CC	and
will	MD	will
:	:	:
the	DT	the
film	NN	film
gets	VBZ	get
an	DT	an
interesting	JJ	interesting
father/	NN	<unknown>
son	NN	son
as	RB	as
well	RB	well
as	IN	as
doctor/	JJ	<unknown>
patient	JJ	patient
relationship	NN	relationship
going	VBG	go
with	IN	with
out	IN	out
any	DT	any
problems	NNS	problem
,	,	,
but	CC	but
when	WRB	when
it	PP	it
tries	VBZ	try
to	TO	to
show	VB	show
them	PP	them
as	RB	as
equals	VBZ	equal
,	,	,
it	PP	it
falls	VBZ	fall
on	IN	on
its	PP$	its
face	NN	face
.	SENT	.
we	PP	we
hear	VBP	hear
how	WRB	how
they	PP	they
went	VBD	go
to	TO	to
the	DT	the
same	JJ	same
town	NN	town
,	,	,
and	CC	and
there	EX	there
are	VBP	be
even	RB	even
scenes	NNS	scene
where	WRB	where
the	DT	the
film	NN	film
shows	VBZ	show
how	WRB	how
hypocritical	JJ	hypocritical
both	DT	both
of	IN	of
them	PP	them
are	VBP	be
at	IN	at
times	NNS	time
.	SENT	.
but	CC	but
this	DT	this
never	RB	never
takes	VBZ	take
off	RP	off
like	IN	like
the	DT	the
other	JJ	other
parts	NNS	part
of	IN	of
their	PP$	their
relationship	NN	relationship
do	VB	do
.	SENT	.
also	RB	also
,	,	,
will	NN	will
's	POS	's
relationship	NN	relationship
with	IN	with
his	PP$	his
best	JJS	good
friend	NN	friend
,	,	,
chuckie	NP	Chuckie
(	(	(
affleck	NP	Affleck
)	)	)
,	,	,
has	VBZ	have
a	DT	a
nice	JJ	nice
climax	NN	climax
,	,	,
but	CC	but
not	RB	not
enough	RB	enough
rising	VBG	rise
action	NN	action
.	SENT	.
we	PP	we
see	VBP	see
them	PP	them
joking	VBG	joke
around	RP	around
,	,	,
but	CC	but
when	WRB	when
chuckie	NN	Chuckie
arrives	VBZ	arrive
at	IN	at
a	DT	a
decision	NN	decision
between	IN	between
the	DT	the
two	CD	two
of	IN	of
them	PP	them
,	,	,
it	PP	it
seems	VBZ	seem
more	JJR	more
like	IN	like
a	DT	a
superficial	JJ	superficial
reasoning	NN	reasoning
than	IN	than
a	DT	a
more	RBR	more
selected	JJ	selected
one	CD	one
.	SENT	.
their	PP$	their
relationship	NN	relationship
never	RB	never
goes	VBZ	go
beyond	IN	beyond
"	''	"
just	RB	just
best	RBS	well
friends	NNS	friend
,	,	,
"	''	"
and	CC	and
his	PP$	his
decision	NN	decision
just	RB	just
seems	VBZ	seem
to	TO	to
be	VB	be
a	DT	a
generalization	NN	generalization
of	IN	of
any	DT	any
two	CD	two
best	JJS	good
friends	NNS	friend
instead	RB	instead
of	IN	of
something	NN	something
more	RBR	more
.	SENT	.
.	SENT	.
.	SENT	.
human	JJ	human
.	SENT	.
maybe	RB	maybe
it	PP	it
was	VBD	be
just	RB	just
me	PP	me
.	SENT	.
and	CC	and
it	PP	it
also	RB	also
goes	VBZ	go
for	IN	for
a	DT	a
parallelism	NN	parallelism
with	IN	with
the	DT	the
relationship	NN	relationship
between	IN	between
sean	NN	<unknown>
and	CC	and
lambeau	NN	<unknown>
,	,	,
but	CC	but
that		IN	that
,	,	,
again	RB	again
,	,	,
is	VBZ	be
underwritten	VBN	underwrite
.	SENT	.
and	CC	and
,	,	,
of	IN	of
course	NN	course
,	,	,
as	IN	as
in	IN	in
most	JJS	most
films	NNS	film
like	IN	like
this	DT	this
,	,	,
the	DT	the
girl/	JJ	<unknown>
boy	NN	boy
relationship	NN	relationship
is	VBZ	be
pretty	RB	pretty
underwritten	VBN	underwrite
.	SENT	.
we	PP	we
never	RB	never
understand	VBP	understand
what	WP	what
they	PP	they
see	VBP	see
in	IN	in
each	DT	each
other	JJ	other
,	,	,
so	RB	so
when	WRB	when
skylar	NN	<unknown>
confesses	VBZ	confess
that		IN	that
she	PP	she
loves	VBZ	love
him	PP	him
,	,	,
it	PP	it
seems	VBZ	seem
more	JJR	more
like	IN	like
it	PP	it
's	VBZ	be
there	RB	there
for	IN	for
plot	NN	plot
details	NNS	detail
that	DT	that
anything	NN	anything
else	RB	else
.	SENT	.
minnie	NN	<unknown>
driver	NN	driver
is	VBZ	be
interesting	JJ	interesting
,	,	,
though	RB	though
,	,	,
and	CC	and
breathes	VBZ	breathe
life	NN	life
into	IN	into
her	PP$	her
character	NN	character
.	SENT	.
the	DT	the
writing	NN	writing
is	VBZ	be
a	DT	a
bit	NN	bit
at	IN	at
fault	NN	fault
here	RB	here
,	,	,
but	CC	but
what	WP	what
makes	VBZ	make
all	PDT	all
this	DT	this
worthwhile	JJ	worthwhile
is	VBZ	be
the	DT	the
little	JJ	little
moments	NNS	moment
in	IN	in
the	DT	the
film	NN	film
where	WRB	where
it	PP	it
acheives	VBZ	<unknown>
true	JJ	true
awesomeness	NN	awesomeness
.	SENT	.
sure	RB	sure
,	,	,
it	PP	it
feels	VBZ	feel
overstuffed	VBN	overstuff
,	,	,
but	CC	but
it	PP	it
's	VBZ	be
extremely	RB	extremely
enjoyable	JJ	enjoyable
.	SENT	.
the	DT	the
dialogue	NN	dialogue
that		IN	that
affleck	NN	<unknown>
and	CC	and
damon	NN	<unknown>
have	VBP	have
written	VBN	write
is	VBZ	be
amazingly	RB	amazingly
fresh	JJ	fresh
,	,	,
and	CC	and
seems	VBZ	seem
extremely	RB	extremely
human	JJ	human
.	SENT	.
i	NNS	i
think	VBP	think
that		IN	that
they	PP	they
should	MD	should
get	VB	get
a	DT	a
nomination	NN	nomination
for	IN	for
their	PP$	their
script	NN	script
chiefly	RB	chiefly
because	IN	because
of	IN	of
the	DT	the
dialogue	NN	dialogue
,	,	,
which	WDT	which
is	VBZ	be
amazing	JJ	amazing
.	SENT	.
while	IN	while
this	DT	this
is	VBZ	be
probably	RB	probably
director	NN	director
gus	NN	<unknown>
van	NN	van
sant	NN	<unknown>
's	POS	's
most	RBS	most
conservative	JJ	conservative
film	NN	film
(	(	(
you	PP	you
'd	MD	will
hardly	RB	hardly
know	VB	know
it	PP	it
's	VBZ	be
the	DT	the
same	JJ	same
director	NN	director
of	IN	of
"	''	"
to	TO	to
die	VB	die
for	IN	for
,	,	,
"	''	"
the	DT	the
only	JJ	only
van	NN	van
sant	NN	<unknown>
film	NN	film
i	NNS	i
've	VBP	have
seen	VBN	see
,	,	,
really	RB	really
)	)	)
,	,	,
it	PP	it
's	VBZ	be
still	RB	still
a	DT	a
pretty	RB	pretty
remarkable	JJ	remarkable
film	NN	film
,	,	,
albeit	IN	albeit
a	DT	a
tad	NN	tad
overrated	VBD	overrate
(	(	(
what	WP	what
's	VBZ	be
this	DT	this
"	``	"
best	JJS	good
picture	NN	picture
"	''	"
deal	NN	deal
?	SENT	?
)	)	)
.	SENT	.
and	CC	and
if	IN	if
a	DT	a
film	NN	film
puts	VBZ	put
a	DT	a
smile	NN	smile
on	IN	on
my	PP$	my
face	NN	face
despite	IN	despite
posessing	VBG	<unknown>
a	DT	a
lot	NN	lot
of	IN	of
flaws	NNS	flaw
,	,	,
i	NNS	i
have	VBP	have
no	DT	no
problem	NN	problem
with	IN	with
reccomending	VBG	<unknown>
it	PP	it
to	TO	to
anyone	NN	anyone
.	SENT	.
