sometimes	RB	sometimes
she	PP	she
sees	VBZ	see
.	SENT	.
kate	NN	<unknown>
realizes	VBZ	realize
that		IN	that
if	IN	if
merton	NN	<unknown>
were	VBD	be
introduced	VBN	introduce
to	TO	to
millie	NN	<unknown>
,	,	,
he	PP	he
might	MD	might
forget	VB	forget
about	IN	about
her	PP	her
.	SENT	.
it	PP	it
appears	VBZ	appear
that		IN	that
she	PP	she
is	VBZ	be
trying	VBG	try
to	TO	to
spare	VB	spare
him	PP	him
from	IN	from
the	DT	the
heartbreak	NN	heartbreak
of	IN	of
their	PP$	their
inevitable	JJ	inevitable
breakup	NN	breakup
.	SENT	.
merton	NP	Merton
sees	VBZ	see
what	WP	what
kate	NN	<unknown>
is	VBZ	be
doing	VBG	do
and	CC	and
resents	VBZ	resent
her	PP	her
for	IN	for
it	PP	it
.	SENT	.
he	PP	he
is	VBZ	be
still	RB	still
in	IN	in
love	NN	love
with	IN	with
kate	NNS	<unknown>
,	,	,
and	CC	and
will	MD	will
accept	VB	accept
no	DT	no
substitute	NN	substitute
.	SENT	.
the	DT	the
three	CD	three
of	IN	of
them	PP	them
,	,	,
along	RB	along
with	IN	with
a	DT	a
fourth	JJ	fourth
friend	NN	friend
(	(	(
elizabeth	NP	Elizabeth
mcgovern	NP	Mcgovern
)	)	)
end	NN	end
up	RP	up
on	IN	on
holiday	NN	holiday
in	IN	in
venice	NN	<unknown>
together	RB	together
,	,	,
where	WRB	where
their	PP$	their
interactions	NNS	interaction
are	VBP	be
quite	RB	quite
complicated	VBN	complicate
.	SENT	.
let	NN	let
's	POS	's
sum	NN	sum
up	RB	up
:	:	:
millie	NN	<unknown>
has	VBZ	have
fallen	VBN	fall
for	IN	for
merton	NN	<unknown>
.	SENT	.
merton	NP	Merton
has	VBZ	have
no	DT	no
feelings	NNS	feeling
for	IN	for
millie	NN	<unknown>
because	IN	because
he	PP	he
is	VBZ	be
still	RB	still
in	IN	in
love	NN	love
with	IN	with
kate	NNS	<unknown>
.	SENT	.
kate	NN	<unknown>
loves	VBZ	love
him	PP	him
but	CC	but
ca	MD	ca
n't	RB	n't
marry	VB	marry
him	PP	him
,	,	,
so	RB	so
on	IN	on
the	DT	the
one	CD	one
hand	NN	hand
she	PP	she
's	VBZ	be
trying	VBG	try
to	TO	to
match	VB	match
him	PP	him
up	RP	up
with	IN	with
someone	NN	someone
who	WP	who
will	MD	will
make	VB	make
him	PP	him
happy	JJ	happy
,	,	,
but	CC	but
on	IN	on
the	DT	the
other	JJ	other
hand	NN	hand
she	PP	she
's	VBZ	be
jealous	JJ	jealous
of	IN	of
them	PP	them
as	IN	as
a	DT	a
couple	NN	couple
.	SENT	.
a	DT	a
clear	JJ	clear
solution	NN	solution
presents	VBZ	present
itself	PP	itself
to	TO	to
kate	NNS	<unknown>
when	WRB	when
she	PP	she
realizes	VBZ	realize
that		IN	that
millie	NN	<unknown>
is	VBZ	be
very	RB	very
sick	JJ	sick
-	:	-
dying	VBG	die
,	,	,
in	IN	in
fact	NN	fact
.	SENT	.
at	IN	at
this	DT	this
point	NN	point
she	PP	she
decides	VBZ	decide
that		IN	that
merton	NP	Merton
should	MD	should
marry	VB	marry
millie	NN	<unknown>
until	IN	until
she	PP	she
dies	VBZ	die
.	SENT	.
millie	NN	<unknown>
will	MD	will
leave	VB	leave
her	PP$	her
money	NN	money
to	TO	to
merton	NP	Merton
,	,	,
who	WP	who
will	MD	will
then	RB	then
be	VB	be
rich	JJ	rich
enough	RB	enough
to	TO	to
marry	VB	marry
kate	NNS	<unknown>
.	SENT	.
she	PP	she
lets	VBZ	let
merton	RB	<unknown>
know	VB	know
of	IN	of
her	PP$	her
schemes	NNS	scheme
and	CC	and
,	,	,
since	IN	since
it	PP	it
will	MD	will
help	VB	help
him	PP	him
win	VB	win
kate	NNS	<unknown>
,	,	,
he	PP	he
reluctantly	RB	reluctantly
agrees	VBZ	agree
.	SENT	.
kate	NN	<unknown>
leaves	VBZ	leave
venice	JJ	<unknown>
so	RB	so
that		IN	that
the	DT	the
two	CD	two
m	NN	m
's	POS	's
can	MD	can
be	VB	be
alone	RB	alone
together	RB	together
.	SENT	.
merton	NP	Merton
finds	VBZ	find
that		IN	that
pretending	VBG	pretend
to	TO	to
love	VB	love
millie	NN	<unknown>
is	VBZ	be
a	DT	a
lot	NN	lot
like	IN	like
actually	RB	actually
loving	VBG	love
her	PP	her
.	SENT	.
he	PP	he
's	VBZ	be
not	RB	not
sure	JJ	sure
he	PP	he
can	MD	can
separate	VB	separate
the	DT	the
two	CD	two
.	SENT	.
kate	NN	<unknown>
finds	VBZ	find
that		IN	that
she	PP	she
's	VBZ	be
not	RB	not
so	RB	so
sure	JJ	sure
she	PP	she
really	RB	really
wants	VBZ	want
her	PP$	her
merton	NN	<unknown>
falling	VBG	fall
in	IN	in
love	NN	love
with	IN	with
and	CC	and
marrying	VBG	marry
anyone	NN	anyone
else	RB	else
.	SENT	.
the	DT	the
brilliant	JJ	brilliant
scheme	NN	scheme
proves	VBZ	prove
to	TO	to
be	VB	be
painful	JJ	painful
to	TO	to
all	DT	all
involved	VBN	involve
.	SENT	.
without	IN	without
revealing	VBG	reveal
the	DT	the
details	NNS	detail
,	,	,
suffice	VB	suffice
it	PP	it
to	TO	to
say	VB	say
that		IN	that
the	DT	the
situation	NN	situation
ends	VBZ	end
badly	RB	badly
.	SENT	.
the	DT	the
title	NN	title
refers	VBZ	refer
to	TO	to
the	DT	the
object	NN	object
of	IN	of
merton	NP	Merton
's	POS	's
vain	JJ	vain
hope	NN	hope
that		IN	that
something	NN	something
might	MD	might
lift	VB	lift
him	PP	him
from	IN	from
his	PP$	his
predicament	NN	predicament
.	SENT	.
one	PP	one
is	VBZ	be
left	VBN	leave
with	IN	with
feelings	NNS	feeling
of	IN	of
regret	NN	regret
and	CC	and
despair	NN	despair
.	SENT	.
what	WP	what
started	VBD	start
as	IN	as
such	PDT	such
a	DT	a
promising	JJ	promising
relationship	NN	relationship
was	VBD	be
damaged	VBN	damage
by	IN	by
greed	NN	greed
,	,	,
anger	NN	anger
,	,	,
and	CC	and
jealousy	NN	jealousy
.	SENT	.
an	DT	an
interesting	JJ	interesting
thought	NN	thought
struck	VBD	strike
me	PP	me
after	IN	after
the	DT	the
movie	NN	movie
was	VBD	be
over	RP	over
,	,	,
and	CC	and
that	WDT	that
is	VBZ	be
that		IN	that
the	DT	the
wings	NNS	wing
of	IN	of
the	DT	the
dove	NN	dove
almost	RB	almost
fits	VBZ	fit
the	DT	the
story	NN	story
line	NN	line
of	IN	of
a	DT	a
film	NN	film
noir	NN	noir
.	SENT	.
a	DT	a
couple	NN	couple
conspires	VBZ	conspire
to	TO	to
cheat	VB	cheat
someone	NN	someone
out	RP	out
of	IN	of
their	PP$	their
money	NN	money
so	IN	so
they	PP	they
can	MD	can
live	VB	live
happily	RB	happily
ever	RB	ever
after	IN	after
.	SENT	.
their	PP$	their
involvement	NN	involvement
in	IN	in
the	DT	the
deception	NN	deception
makes	VBZ	make
each	DT	each
less	RBR	less
attractive	JJ	attractive
to	TO	to
the	DT	the
other	JJ	other
,	,	,
and	CC	and
after	IN	after
a	DT	a
few	JJ	few
things	NNS	thing
go	VBP	go
wrong	JJ	wrong
,	,	,
the	DT	the
whole	JJ	whole
idea	NN	idea
seems	VBZ	seem
like	IN	like
an	DT	an
awful	JJ	awful
life-ruining	NN	<unknown>
mistake	NN	mistake
.	SENT	.
i	NP	i
would	MD	would
n't	RB	n't
call	VB	call
the	DT	the
wings	NNS	wing
of	IN	of
the	DT	the
dove	VBD	dive
a	DT	a
film	NN	film
noir	NN	noir
,	,	,
but	CC	but
the	DT	the
comparison	NN	comparison
is	VBZ	be
interesting	JJ	interesting
.	SENT	.
as	IN	as
i	NP	i
have	VBP	have
acknowledged	VBN	acknowledge
before	RB	before
,	,	,
i	NNS	i
am	VBP	be
not	RB	not
a	DT	a
wonderful	JJ	wonderful
judge	NN	judge
of	IN	of
acting	VBG	act
,	,	,
but	CC	but
i	NP	i
liked	VBD	like
the	DT	the
performances	NNS	performance
from	IN	from
roache	NN	<unknown>
and	CC	and
elliot	NN	<unknown>
.	SENT	.
roache	NP	Roache
successfully	RB	successfully
conveyed	VBD	convey
his	PP$	his
character	NN	character
's	POS	's
ambivalence	NN	ambivalence
toward	IN	toward
millie	NN	<unknown>
:	:	:
near	IN	near
the	DT	the
end	NN	end
,	,	,
he	PP	he
hugs	VBZ	hug
her	PP	her
,	,	,
at	IN	at
first	RB	first
staring	VBG	stare
into	IN	into
space	NN	space
,	,	,
as	RB	as
if	IN	if
he	PP	he
's	VBZ	be
thinking	VBG	think
about	IN	about
his	PP$	his
plan	NN	plan
with	IN	with
kate	NNS	<unknown>
,	,	,
then	RB	then
giving	VBG	give
that		IN	that
up	RB	up
to	TO	to
fully	RB	fully
embrace	VB	embrace
millie	NN	<unknown>
.	SENT	.
millie	NN	<unknown>
's	POS	's
part	NN	part
did	VBD	do
n't	RB	n't
require	VB	require
as	IN	as
much	JJ	much
range	NN	range
,	,	,
but	CC	but
elliot	NP	Elliot
gave	VBD	give
her	PP	her
the	DT	the
necessary	JJ	necessary
bubbly	JJ	bubbly
personality	NN	personality
that	WDT	that
made	VBD	make
her	PP$	her
irresistible	JJ	irresistible
.	SENT	.
i	NP	i
will	MD	will
probably	RB	probably
file	VB	file
away	RP	away
the	DT	the
wings	NNS	wing
of	IN	of
the	DT	the
dove	NN	dove
in	IN	in
the	DT	the
same	JJ	same
low-traffic	NN	low-traffic
corner	NN	corner
of	IN	of
my	PP$	my
mind	NN	mind
as	IN	as
sense	NN	sense
and	CC	and
sensibility	NN	sensibility
and	CC	and
persuasion	NN	persuasion
.	SENT	.
their	PP$	their
settings	NNS	setting
are	VBP	be
far	RB	far
removed	VBN	remove
from	IN	from
my	PP$	my
personal	JJ	personal
experience	NN	experience
-	:	-
geographically	RB	geographically
,	,	,
historically	RB	historically
,	,	,
and	CC	and
socially	RB	socially
.	SENT	.
still	RB	still
,	,	,
the	DT	the
movies	NNS	movie
are	VBP	be
well	RB	well
made	VBN	make
and	CC	and
the	DT	the
stories	NNS	storey
inevitably	RB	inevitably
win	VBP	win
me	PP	me
over	RP	over
.	SENT	.
