oh	UH	oh
civil	JJ	civil
action	NN	action
"	''	"
is	VBZ	be
the	DT	the
same	JJ	same
way	NN	way
:	:	:
it	PP	it
's	POS	's
narrative	NN	narrative
is	VBZ	be
split	VBN	split
between	IN	between
being	VBG	be
a	DT	a
lawyer	NN	lawyer
film	NN	film
and	CC	and
being	VBG	be
a	DT	a
character	NN	character
study	NN	study
.	SENT	.
and	CC	and
it	PP	it
's	VBZ	be
here	RB	here
that		IN	that
the	DT	the
film	NN	film
seems	VBZ	seem
to	TO	to
go	VB	go
a	DT	a
bit	NN	bit
wrong	JJ	wrong
.	SENT	.
the	DT	the
main	JJ	main
complaint	NN	complaint
of	IN	of
this	DT	this
film	NN	film
is	VBZ	be
that		IN	that
while	IN	while
,	,	,
yes	UH	yes
,	,	,
it	PP	it
's	VBZ	be
an	DT	an
engrossing	VBG	engross
lawyerly	RB	lawyerly
tale	NN	tale
,	,	,
it	PP	it
has	VBZ	have
no	DT	no
real	JJ	real
ending	NN	ending
,	,	,
and	CC	and
that	DT	that
's	VBZ	be
not	RB	not
necessarily	RB	necessarily
the	DT	the
problem	NN	problem
with	IN	with
the	DT	the
film	NN	film
.	SENT	.
it	PP	it
's	VBZ	be
that		IN	that
it	PP	it
's	VBZ	be
just	RB	just
kind	JJ	kind
of	IN	of
unsatisfying	VBG	unsatisfy
.	SENT	.
if	IN	if
this	DT	this
were	VBD	be
a	DT	a
great	JJ	great
film	NN	film
,	,	,
it	PP	it
would	MD	would
feel	VB	feel
complete	JJ	complete
,	,	,
and	CC	and
still	RB	still
end	VB	end
basically	RB	basically
the	DT	the
same	JJ	same
way	NN	way
.	SENT	.
but	CC	but
this	DT	this
film	NN	film
just	RB	just
seems	VBZ	seem
to	TO	to
end	VB	end
,	,	,
and	CC	and
i	NP	i
do	VBP	do
n't	RB	n't
want	VB	want
to	TO	to
be	VB	be
stupid	JJ	stupid
and	CC	and
suggest	VBP	suggest
an	DT	an
alternate	JJ	alternate
ending	NN	ending
should	MD	should
be	VB	be
tacked	VBN	tack
on	IN	on
:	:	:
imagine	VB	imagine
,	,	,
if	IN	if
you	PP	you
will	MD	will
,	,	,
being	VBG	be
one	CD	one
of	IN	of
those	DT	those
the	DT	the
film	NN	film
is	VBZ	be
about	RB	about
,	,	,
looking	VBG	look
forward	RB	forward
to	TO	to
this	DT	this
film	NN	film
,	,	,
and	CC	and
then	RB	then
discovered	VBD	discover
the	DT	the
truth	NN	truth
has	VBZ	have
been	VBN	be
through	IN	through
a	DT	a
surrealistic	JJ	surrealistic
and	CC	and
unpleasant	JJ	unpleasant
hollywood	NN	<unknown>
filter	NN	filter
,	,	,
just	RB	just
so	IN	so
the	DT	the
many	JJ	many
wo	MD	wo
n't	RB	n't
bitch	VB	bitch
about	RB	about
what	WP	what
is	VBZ	be
,	,	,
essentially	RB	essentially
,	,	,
genuine	JJ	genuine
.	SENT	.
but	CC	but
the	DT	the
fact	NN	fact
that		IN	that
it	PP	it
just	RB	just
ends	VBZ	end
is	VBZ	be
not	RB	not
,	,	,
in	IN	in
all	DT	all
actuality	NN	actuality
,	,	,
what	WP	what
is	VBZ	be
wrong	JJ	wrong
with	IN	with
it	PP	it
.	SENT	.
it	PP	it
's	VBZ	be
rather	RB	rather
that	DT	that
zallian	NN	<unknown>
has	VBZ	have
chosen	VBN	choose
,	,	,
in	IN	in
the	DT	the
last	JJ	last
half	NN	half
hour	NN	hour
,	,	,
to	TO	to
adandon	NP	<unknown>
the	DT	the
traditional	JJ	traditional
lawyer	NN	lawyer
story	NN	story
,	,	,
and	CC	and
chose	VBD	choose
the	DT	the
other	JJ	other
part	NN	part
of	IN	of
his	PP$	his
story	NN	story
,	,	,
the	DT	the
one	CD	one
about	IN	about
the	DT	the
lawyer	NN	lawyer
,	,	,
one	CD	one
jan	NP	Jan
schlictman	NP	<unknown>
(	(	(
john	NN	john
travolta	NN	<unknown>
)	)	)
,	,	,
who	WP	who
's	VBZ	be
shown	VBN	show
in	IN	in
the	DT	the
opening	NN	opening
and	CC	and
throughout	IN	throughout
most	JJS	most
of	IN	of
the	DT	the
movie	NN	movie
as	IN	as
a	DT	a
heartless	JJ	heartless
but	CC	but
brilliant	JJ	brilliant
lawyer	NN	lawyer
,	,	,
brilliant	JJ	brilliant
because	IN	because
he	PP	he
's	VBZ	be
manipulative	JJ	manipulative
and	CC	and
he	PP	he
always	RB	always
wins	VBZ	win
.	SENT	.
it	PP	it
wishes	VBZ	wish
to	TO	to
make	VB	make
it	PP	it
all	DT	all
about	RB	about
jan	JJ	<unknown>
in	IN	in
the	DT	the
end	NN	end
,	,	,
but	CC	but
the	DT	the
truth	NN	truth
is	VBZ	be
,	,	,
his	PP$	his
change	NN	change
,	,	,
although	IN	although
nicely	RB	nicely
done	VBN	do
,	,	,
is	VBZ	be
not	RB	not
full	JJ	full
.	SENT	.
we	PP	we
see	VBP	see
him	PP	him
suffering	VBG	suffer
from	IN	from
a	DT	a
personal	JJ	personal
crisis	NN	crisis
,	,	,
and	CC	and
travolta	NN	<unknown>
does	VBZ	do
do	VB	do
a	DT	a
pretty	RB	pretty
good	JJ	good
job	NN	job
in	IN	in
depicting	VBG	depict
his	PP$	his
change	NN	change
of	IN	of
heart	NN	heart
,	,	,
but	CC	but
in	IN	in
the	DT	the
end	NN	end
,	,	,
we	PP	we
do	VBP	do
n't	RB	n't
fully	RB	fully
believe	VB	believe
it	PP	it
.	SENT	.
and	CC	and
i	NP	i
think	VBP	think
that		IN	that
the	DT	the
problem	NN	problem
is	VBZ	be
when	WRB	when
he	PP	he
has	VBZ	have
made	VBN	make
his	PP$	his
decision	NN	decision
,	,	,
the	DT	the
film	NN	film
choses	NNS	chose
an	DT	an
odd	JJ	odd
angle	NN	angle
to	TO	to
go	VB	go
at	IN	at
,	,	,
a	DT	a
noble	JJ	noble
one	CD	one
,	,	,
but	CC	but
one	CD	one
that	WDT	that
gives	VBZ	give
the	DT	the
film	NN	film
's	POS	's
conclusion	NN	conclusion
that		IN	that
of	IN	of
incompleteness	NN	incompleteness
.	SENT	.
in	IN	in
the	DT	the
opening	NN	opening
of	IN	of
the	DT	the
film	NN	film
,	,	,
we	PP	we
see	VBP	see
him	PP	him
doing	VBG	do
his	PP$	his
old	JJ	old
schtick	NN	schtick
,	,	,
manipulating	VBG	manipulate
courts	NNS	court
,	,	,
winning	VBG	win
cases	NNS	case
effortlessly	RB	effortlessly
,	,	,
and	CC	and
then	RB	then
discussing	VBG	discuss
on	IN	on
a	DT	a
heard	VBN	hear
radio	NN	radio
interview	NN	interview
how	WRB	how
great	JJ	great
he	PP	he
is	VBZ	be
at	IN	at
his	PP$	his
job	NN	job
and	CC	and
how	WRB	how
much	JJ	much
he	PP	he
cares	VBZ	care
for	IN	for
his	PP$	his
cases	NNS	case
.	SENT	.
in	IN	in
short	JJ	short
,	,	,
he	PP	he
's	VBZ	be
full	JJ	full
of	IN	of
bullshit	NN	bullshit
and	CC	and
we	PP	we
know	VBP	know
it	PP	it
.	SENT	.
in	IN	in
the	DT	the
film	NN	film
,	,	,
he	PP	he
takes	VBZ	take
a	DT	a
case	NN	case
that	WDT	that
is	VBZ	be
hardly	RB	hardly
desired	VBN	desire
:	:	:
a	DT	a
town	NN	town
where	WRB	where
several	JJ	several
of	IN	of
the	DT	the
children	NNS	child
have	VBP	have
died	VBN	die
mysteriously	RB	mysteriously
of	IN	of
lukemia	NN	<unknown>
and	CC	and
the	DT	the
source	NN	source
of	IN	of
the	DT	the
illness	NN	illness
seems	VBZ	seem
to	TO	to
be	VB	be
from	IN	from
a	DT	a
local	JJ	local
factory	NN	factory
that	WDT	that
may	MD	may
or	CC	or
may	MD	may
not	RB	not
have	VB	have
been	VBN	be
dumping	VBG	dump
waste	NN	waste
into	IN	into
the	DT	the
river	NN	river
.	SENT	.
point	NN	point
one	CD	one
,	,	,
it	PP	it
's	VBZ	be
not	RB	not
of	IN	of
the	DT	the
usual	JJ	usual
criteria	NNS	criterion
(	(	(
jan	NP	Jan
points	VBZ	point
out	RP	out
,	,	,
wickedly	RB	wickedly
,	,	,
that		IN	that
dead	JJ	dead
or	CC	or
wounded	JJ	wounded
children	NNS	child
are	VBP	be
n't	RB	n't
nearly	RB	nearly
as	RB	as
sympathetic	JJ	sympathetic
as	IN	as
those	DT	those
struck	VBN	strike
down	RP	down
in	IN	in
the	DT	the
midst	NN	midst
of	IN	of
their	PP$	their
success	NN	success
)	)	)
.	SENT	.
point	NN	point
two	CD	two
,	,	,
it	PP	it
has	VBZ	have
been	VBN	be
through	IN	through
several	JJ	several
lawyers	NNS	lawyer
.	SENT	.
after	IN	after
turning	VBG	turn
them	PP	them
down	RP	down
,	,	,
jan	NP	Jan
changes	VBZ	change
his	PP$	his
mind	NN	mind
(	(	(
a	DT	a
muddled	VBN	muddle
scene	NN	scene
-	:	-
he	PP	he
stops	VBZ	stop
his	PP$	his
car	NN	car
on	IN	on
a	DT	a
bridge	NN	bridge
,	,	,
looks	VBZ	look
out	RP	out
.	SENT	.
.	SENT	.
.	SENT	.
is	VBZ	be
he	PP	he
feeling	VBG	feel
a	DT	a
sense	NN	sense
of	IN	of
overachievement	NN	<unknown>
?	SENT	?
)	)	)
,	,	,
and	CC	and
he	PP	he
and	CC	and
his	PP$	his
team	NN	team
of	IN	of
lawyers	NNS	lawyer
(	(	(
tony	JJ	tony
shalhoub	NN	<unknown>
,	,	,
zeljko	NP	Zeljko
ivanek	NP	Ivanek
,	,	,
and	CC	and
accountant	NN	accountant
william	NN	<unknown>
h	NN	h
.	SENT	.
macy	NN	<unknown>
)	)	)
head	VBP	head
out	RP	out
to	TO	to
the	DT	the
town	NN	town
to	TO	to
do	VB	do
battle	NN	battle
with	IN	with
the	DT	the
town	NN	town
's	POS	's
company	NN	company
.	SENT	.
they	PP	they
spend	VBP	spend
millions	NNS	million
of	IN	of
dollars	NNS	dollar
examining	VBG	examine
the	DT	the
land	NN	land
,	,	,
test	VB	test
the	DT	the
water	NN	water
,	,	,
what	WP	what
have	VBP	have
you	PP	you
(	(	(
this	DT	this
is	VBZ	be
where	WRB	where
stephen	NN	<unknown>
fry	NN	fry
,	,	,
a	DT	a
possible	JJ	possible
oscar	NN	oscar
nominee	NN	nominee
for	IN	for
his	PP$	his
brilliant	JJ	brilliant
performance	NN	performance
in	IN	in
"	``	"
wilde	NP	wilde
,	,	,
"	''	"
pops	VBZ	pop
up	RB	up
thanklessly	RB	thanklessly
)	)	)
,	,	,
and	CC	and
in	IN	in
the	DT	the
meantime	NN	meantime
question	NN	question
the	DT	the
parents	NNS	parent
of	IN	of
the	DT	the
dead	JJ	dead
children	NNS	child
,	,	,
and	CC	and
then	RB	then
,	,	,
unsuccessfully	RB	unsuccessfully
,	,	,
the	DT	the
workers	NNS	worker
at	IN	at
the	DT	the
plant	NN	plant
.	SENT	.
they	PP	they
also	RB	also
find	VBP	find
themselves	PP	themselves
clashing	VBG	clash
with	IN	with
a	DT	a
brilliant	JJ	brilliant
lawyer	NN	lawyer
for	IN	for
the	DT	the
company	NN	company
,	,	,
the	DT	the
eccentric	JJ	eccentric
jerome	NN	<unknown>
facher	NN	<unknown>
,	,	,
played	VBN	play
by	IN	by
robert	NN	<unknown>
duvall	NN	<unknown>
(	(	(
more	JJR	more
on	IN	on
him	PP	him
later	RBR	later
on	IN	on
)	)	)
.	SENT	.
as	IN	as
we	PP	we
progress	VBP	progress
,	,	,
we	PP	we
get	VBP	get
so	RB	so
involved	VBN	involve
in	IN	in
the	DT	the
way	NN	way
the	DT	the
story	NN	story
is	VBZ	be
being	VBG	be
told	VBN	tell
,	,	,
which	WDT	which
is	VBZ	be
engulfing	VBG	engulf
everything	NN	everything
around	IN	around
it	PP	it
,	,	,
including	VBG	include
the	DT	the
individual	JJ	individual
and	CC	and
brief	JJ	brief
stories	NNS	storey
of	IN	of
some	DT	some
of	IN	of
the	DT	the
townspeople	NN	townspeople
(	(	(
one	CD	one
of	IN	of
the	DT	the
best	JJS	good
is	VBZ	be
a	DT	a
bit	NN	bit
with	IN	with
james	NNS	<unknown>
gandolfini	NNS	<unknown>
as	IN	as
an	DT	an
employee	NN	employee
of	IN	of
the	DT	the
plant	NN	plant
living	VBG	live
across	IN	across
the	DT	the
street	NN	street
from	IN	from
kathleen	NP	Kathleen
quinland	NP	<unknown>
,	,	,
who	WP	who
lost	VBD	lose
her	PP$	her
child	NN	child
,	,	,
who	WP	who
begins	VBZ	begin
to	TO	to
have	VB	have
a	DT	a
personal	JJ	personal
crisis	NN	crisis
)	)	)
.	SENT	.
things	NNS	thing
begin	VBP	begin
to	TO	to
go	VB	go
downhill	RB	downhill
for	IN	for
the	DT	the
lawyers	NNS	lawyer
in	IN	in
the	DT	the
second	JJ	second
half	NN	half
,	,	,
as	IN	as
they	PP	they
are	VBP	be
up	RB	up
against	IN	against
impossible	JJ	impossible
odds	NNS	odd
:	:	:
the	DT	the
judge	NN	judge
(	(	(
john	NN	john
lithgow	NN	<unknown>
)	)	)
is	VBZ	be
not	RB	not
only	RB	only
a	DT	a
strickler	NN	<unknown>
,	,	,
but	CC	but
a	DT	a
pal	NN	pal
of	IN	of
facher	NN	<unknown>
;	:	;
the	DT	the
employees	NNS	employee
of	IN	of
the	DT	the
plant	NN	plant
are	VBP	be
either	RB	either
afraid	JJ	afraid
or	CC	or
to	TO	to
loyal	JJ	loyal
to	TO	to
testify	VB	testify
;	:	;
no	DT	no
concrete	JJ	concrete
evidence	NN	evidence
is	VBZ	be
being	VBG	be
found	VBN	find
,	,	,
depsite	NN	<unknown>
the	DT	the
money	NN	money
spent	VBD	spend
to	TO	to
find	VB	find
it	PP	it
;	:	;
and	CC	and
they	PP	they
are	VBP	be
quickly	RB	quickly
running	VBG	run
out	RP	out
of	IN	of
money	NN	money
.	SENT	.
as	IN	as
macy	NN	<unknown>
mortgages	NNS	mortgage
everything	NN	everything
he	PP	he
can	MD	can
,	,	,
including	VBG	include
their	PP$	their
homes	NNS	home
and	CC	and
their	PP$	their
office	NN	office
,	,	,
he	PP	he
slowly	RB	slowly
loses	VBZ	lose
his	PP$	his
sanity	NN	sanity
(	(	(
his	PP$	his
meatiest	JJS	meaty
role	NN	role
since	IN	since
,	,	,
oh	UH	oh
,	,	,
"	``	"
fargo	NN	<unknown>
"	''	"
)	)	)
,	,	,
and	CC	and
we	PP	we
the	DT	the
audience	NN	audience
begin	VB	begin
to	TO	to
feel	VB	feel
a	DT	a
real	JJ	real
loss	NN	loss
of	IN	of
hope	NN	hope
for	IN	for
our	PP$	our
protagonist	NN	protagonist
.	SENT	.
in	IN	in
fact	NN	fact
,	,	,
the	DT	the
last	JJ	last
half	NN	half
hour	NN	hour
is	VBZ	be
such	PDT	such
a	DT	a
change	NN	change
from	IN	from
the	DT	the
rest	NN	rest
of	IN	of
the	DT	the
film	NN	film
and	CC	and
so	RB	so
unresolved	JJ	unresolved
that		IN	that
it	PP	it
has	VBZ	have
been	VBN	be
widely	RB	widely
panned	VBN	pan
as	IN	as
not	RB	not
being	VBG	be
up	RB	up
to	TO	to
par	NN	par
(	(	(
owen	NN	<unknown>
gleiberman	NN	<unknown>
,	,	,
especially	RB	especially
,	,	,
criticized	VBD	criticize
the	DT	the
film	NN	film
for	IN	for
not	RB	not
being	VBG	be
overly-dramatic	JJ	<unknown>
.	SENT	.
.	SENT	.
.	SENT	.
i	NNS	i
suppose	VBP	suppose
like	IN	like
a	DT	a
grisham	NN	<unknown>
novel	NN	novel
)	)	)
.	SENT	.
this	DT	this
would	MD	would
n't	RB	n't
be	VB	be
so	RB	so
if	IN	if
the	DT	the
change	NN	change
in	IN	in
jan	NP	Jan
had	VBD	have
not	RB	not
been	VBN	be
handled	VBN	handle
the	DT	the
way	NN	way
it	PP	it
is	VBZ	be
:	:	:
instead	RB	instead
of	IN	of
having	VBG	have
a	DT	a
change	NN	change
of	IN	of
heart	NN	heart
and	CC	and
automatically	RB	automatically
being	VBG	be
perceived	VBN	perceive
as	IN	as
good	JJ	good
,	,	,
he	PP	he
's	VBZ	be
seen	VBN	see
as	IN	as
being	VBG	be
still	RB	still
full	JJ	full
of	IN	of
bullshit	NN	bullshit
.	SENT	.
because	IN	because
he	PP	he
does	VBZ	do
n't	RB	n't
take	VB	take
stock	NN	stock
in	IN	in
the	DT	the
cares	VBZ	care
of	IN	of
his	PP$	his
partners	NNS	partner
,	,	,
and	CC	and
causes	VBZ	cause
them	PP	them
all	DT	all
to	TO	to
lose	VB	lose
their	PP$	their
money	NN	money
and	CC	and
noteriaty	NN	<unknown>
in	IN	in
the	DT	the
lawyer	NN	lawyer
field	NN	field
because	IN	because
he	PP	he
wants	VBZ	want
to	TO	to
help	VB	help
the	DT	the
people	NNS	people
of	IN	of
the	DT	the
town	NN	town
,	,	,
he	PP	he
is	VBZ	be
instead	RB	instead
seen	VBN	see
as	IN	as
being	VBG	be
of	IN	of
good	JJ	good
nature	NN	nature
but	CC	but
not	RB	not
sure	JJ	sure
how	WRB	how
to	TO	to
bring	VB	bring
that		IN	that
out	RB	out
.	SENT	.
the	DT	the
final	JJ	final
half	NN	half
tries	VBZ	try
to	TO	to
redeem	VB	redeem
this	DT	this
,	,	,
as	RB	as
must	MD	must
have	VB	have
been	VBN	be
the	DT	the
point	NN	point
of	IN	of
making	VBG	make
this	DT	this
in	IN	in
zallian	NP	<unknown>
's	POS	's
mind	NN	mind
,	,	,
but	CC	but
what	WP	what
follows	VBZ	follow
is	VBZ	be
a	DT	a
series	NN	series
of	IN	of
scenes	NNS	scene
where	WRB	where
we	PP	we
merely	RB	merely
see	VBP	see
him	PP	him
making	VBG	make
personal	JJ	personal
stands	NNS	stand
for	IN	for
his	PP$	his
beliefs	NNS	belief
,	,	,
and	CC	and
though	RB	though
he	PP	he
has	VBZ	have
changed	VBN	change
considerably	RB	considerably
from	IN	from
the	DT	the
opening	VBG	open
moments	NNS	moment
when	WRB	when
he	PP	he
's	VBZ	be
seen	VBN	see
speeding	VBG	speed
back	RB	back
and	CC	and
forth	RB	forth
from	IN	from
the	DT	the
town	NN	town
that	WDT	that
wishes	VBZ	wish
to	TO	to
employ	VB	employ
him	PP	him
(	(	(
and	CC	and
thusly	RB	thusly
receiving	VBG	receive
two	CD	two
speeding	JJ	speeding
tickets	NNS	ticket
)	)	)
,	,	,
we	PP	we
still	RB	still
feel	VBP	feel
that		IN	that
the	DT	the
big	JJ	big
change	NN	change
in	IN	in
his	PP$	his
life	NN	life
is	VBZ	be
that		IN	that
he	PP	he
's	VBZ	be
not	RB	not
rich	JJ	rich
and	CC	and
esteemed	VBN	esteem
anymore	RB	anymore
(	(	(
the	DT	the
film	NN	film
's	POS	's
final	JJ	final
title	NN	title
card	NN	card
is	VBZ	be
witty	JJ	witty
but	CC	but
in	IN	in
all	DT	all
actuality	NN	actuality
shallow	NN	shallow
)	)	)
.	SENT	.
the	DT	the
fault	NN	fault
is	VBZ	be
not	RB	not
that		IN	that
there	EX	there
is	VBZ	be
no	DT	no
closure	NN	closure
to	TO	to
the	DT	the
court	NN	court
case	NN	case
(	(	(
it	PP	it
's	VBZ	be
still	RB	still
going	VBG	go
on	IN	on
,	,	,
you	PP	you
know	VBP	know
)	)	)
,	,	,
but	CC	but
that		IN	that
its	PP$	its
personal	JJ	personal
story	NN	story
feels	VBZ	feel
like	IN	like
it	PP	it
needs	VBZ	need
either	RB	either
another	DT	another
chapter	NN	chapter
or	CC	or
another	DT	another
angle	NN	angle
in	IN	in
the	DT	the
final	JJ	final
one	CD	one
it	PP	it
has	VBZ	have
.	SENT	.
we	PP	we
need	VBP	need
to	TO	to
feel	VB	feel
like	IN	like
the	DT	the
character	NN	character
has	VBZ	have
really	RB	really
made	VBN	make
a	DT	a
big	JJ	big
change	NN	change
in	IN	in
his	PP$	his
life	NN	life
,	,	,
and	CC	and
that		IN	that
the	DT	the
story	NN	story
is	VBZ	be
how	WRB	how
a	DT	a
story	NN	story
of	IN	of
strife	NN	strife
like	IN	like
the	DT	the
one	CD	one
of	IN	of
the	DT	the
town	NN	town
could	MD	could
inspire	VB	inspire
such	PDT	such
a	DT	a
whopping	JJ	whopping
change	NN	change
in	IN	in
his	PP$	his
personal	JJ	personal
life	NN	life
.	SENT	.
it	PP	it
only	RB	only
feels	VBZ	feel
like	IN	like
half	NN	half
of	IN	of
that	DT	that
.	SENT	.
maybe	RB	maybe
even	RB	even
less	JJR	less
.	SENT	.
and	CC	and
it	PP	it
's	VBZ	be
not	RB	not
travolta	NN	<unknown>
,	,	,
who	WP	who
does	VBZ	do
a	DT	a
great	JJ	great
job	NN	job
here	RB	here
(	(	(
though	RB	though
never	RB	never
to	TO	to
be	VB	be
a	DT	a
truly	RB	truly
memorable	JJ	memorable
performance	NN	performance
of	IN	of
his	PP$	his
)	)	)
,	,	,
but	CC	but
rather	RB	rather
zallian	NN	<unknown>
,	,	,
whose	WP$	whose
final	JJ	final
chapter	NN	chapter
needs	VBZ	need
a	DT	a
rewrite	NN	rewrite
.	SENT	.
up	RB	up
to	TO	to
then	RB	then
,	,	,
though	RB	though
,	,	,
it	PP	it
's	VBZ	be
an	DT	an
engrossing	VBG	engross
drama	NN	drama
,	,	,
one	CD	one
of	IN	of
the	DT	the
best	JJS	good
of	IN	of
the	DT	the
year	NN	year
in	IN	in
fact	NN	fact
,	,	,
and	CC	and
one	CD	one
of	IN	of
the	DT	the
best	JJS	good
lawyer	NN	lawyer
films	NNS	film
,	,	,
period	NN	period
.	SENT	.
the	DT	the
reason	NN	reason
is	VBZ	be
because	IN	because
it	PP	it
recognizes	VBZ	recognize
that		IN	that
a	DT	a
court	NN	court
trial	NN	trial
is	VBZ	be
not	RB	not
about	IN	about
those	DT	those
being	NN	being
defended	VBD	defend
or	CC	or
prosecuted	VBD	prosecute
,	,	,
but	CC	but
rather	RB	rather
it	PP	it
's	VBZ	be
about	RB	about
the	DT	the
lawyers	NNS	lawyer
,	,	,
the	DT	the
knights	NNS	knight
who	WP	who
battle	VBP	battle
eachother	NN	<unknown>
.	SENT	.
we	PP	we
learn	VBP	learn
that		IN	that
the	DT	the
company	NN	company
is	VBZ	be
almost	RB	almost
positively	RB	positively
to	TO	to
blame	VB	blame
for	IN	for
the	DT	the
deaths	NNS	death
in	IN	in
the	DT	the
town	NN	town
,	,	,
but	CC	but
the	DT	the
reason	NN	reason
it	PP	it
ca	MD	ca
n't	RB	n't
be	VB	be
blamed	VBN	blame
is	VBZ	be
because	IN	because
it	PP	it
has	VBZ	have
the	DT	the
best	JJS	good
prosecution	NN	prosecution
you	PP	you
can	MD	can
find	VB	find
.	SENT	.
and	CC	and
duvall	NN	<unknown>
's	POS	's
facher	NN	<unknown>
is	VBZ	be
such	PDT	such
a	DT	a
brilliant	JJ	brilliant
character	NN	character
and	CC	and
he	PP	he
does	VBZ	do
such	PDT	such
a	DT	a
magnificent	JJ	magnificent
job	NN	job
at	IN	at
portraying	VBG	portray
that	DT	that
man	NN	man
that		IN	that
it	PP	it
's	VBZ	be
almost	RB	almost
easy	JJ	easy
to	TO	to
overlook	VB	overlook
