many	JJ	many
just	RB	just
as	RB	as
fluid	JJ	fluid
as	IN	as
the	DT	the
heaven	NN	heaven
that		IN	that
ward	NN	ward
presents	VBZ	present
to	TO	to
us	PP	us
.	SENT	.
it	PP	it
goes	VBZ	go
back	RB	back
and	CC	and
forth	RB	forth
in	IN	in
time	NN	time
,	,	,
as	RB	as
if	IN	if
it	PP	it
has	VBZ	have
no	DT	no
boundaries	NNS	boundary
.	SENT	.
think	VB	think
of	IN	of
the	DT	the
film	NN	film
city	NN	city
of	IN	of
angels	NNS	angel
.	SENT	.
now	RB	now
add	VB	add
a	DT	a
more	RBR	more
complex	JJ	complex
screenplay	NN	screenplay
and	CC	and
a	DT	a
more	RBR	more
unique	JJ	unique
vision	NN	vision
.	SENT	.
both	DT	both
films	NNS	film
deal	NN	deal
with	IN	with
the	DT	the
afterlife	NN	afterlife
,	,	,
but	CC	but
i	NP	i
doubt	VBP	doubt
what	WP	what
dreams	NNS	dream
may	MD	may
come	VB	come
will	MD	will
do	VB	do
well	RB	well
at	IN	at
the	DT	the
box	NN	box
office	NN	office
.	SENT	.
costing	VBG	cost
around	IN	around
$85	NN	<unknown>
million	CD	million
to	TO	to
make	VB	make
,	,	,
the	DT	the
film	NN	film
would	MD	would
have	VB	have
to	TO	to
do	VB	do
extremely	RB	extremely
well	RB	well
in	IN	in
order	NN	order
to	TO	to
make	VB	make
it	PP	it
's	POS	's
money	NN	money
back	RB	back
.	SENT	.
but	CC	but
due	JJ	due
to	TO	to
it	PP	it
's	POS	's
story	NN	story
,	,	,
i	NNS	i
doubt	VBP	doubt
it	PP	it
will	MD	will
.	SENT	.
for	IN	for
everyone	NN	everyone
who	WP	who
thought	VBD	think
titanic	JJ	titanic
's	POS	's
story	NN	story
was	VBD	be
too	RB	too
simple	JJ	simple
and	CC	and
cliche	NN	cliche
,	,	,
here	RB	here
is	VBZ	be
proof	JJ	proof
that		IN	that
if	IN	if
james	NNS	<unknown>
cameron	NN	<unknown>
had	VBD	have
written	VBN	write
a	DT	a
more	RBR	more
complex	JJ	complex
screenplay	NN	screenplay
,	,	,
it	PP	it
may	MD	may
not	RB	not
have	VB	have
done	VBN	do
nearly	RB	nearly
as	RB	as
well	RB	well
.	SENT	.
but	CC	but
do	VBP	do
n't	RB	n't
get	VB	get
me	PP	me
wrong	JJ	wrong
.	SENT	.
.	SENT	.
.	SENT	.
i	NNS	i
hope	VBP	hope
the	DT	the
film	NN	film
does	VBZ	do
do	VB	do
well	RB	well
.	SENT	.
it	PP	it
's	VBZ	be
a	DT	a
vision	NN	vision
of	IN	of
pure	JJ	pure
visceral	JJ	visceral
enjoyment	NN	enjoyment
that		IN	that
hardly	RB	hardly
ever	RB	ever
gets	VBZ	get
put	VB	put
to	TO	to
the	DT	the
screen	NN	screen
.	SENT	.
i	NNS	i
doubt	VBP	doubt
most	JJS	most
of	IN	of
us	PP	us
could	MD	could
have	VB	have
thought	VBN	think
of	IN	of
this	DT	this
place	NN	place
,	,	,
even	RB	even
in	IN	in
our	PP$	our
own	JJ	own
mind	NN	mind
.	SENT	.
what	WP	what
dreams	NNS	dream
may	MD	may
come	VB	come
is	VBZ	be
the	DT	the
second	JJ	second
best	JJS	good
film	NN	film
of	IN	of
the	DT	the
year	NN	year
when	WRB	when
it	PP	it
comes	VBZ	come
to	TO	to
visuals	NNS	visual
.	SENT	.
the	DT	the
only	JJ	only
film	NN	film
that	WDT	that
surpasses	VBZ	surpass
it	PP	it
is	VBZ	be
dark	JJ	dark
city	NN	city
.	SENT	.
full	JJ	full
of	IN	of
rich	JJ	rich
,	,	,
shocking	JJ	shocking
colors	NNS	color
,	,	,
we	PP	we
get	VBP	get
to	TO	to
see	VB	see
a	DT	a
heaven	NN	heaven
that		IN	that
most	JJS	most
of	IN	of
us	PP	us
would	MD	would
probably	RB	probably
die	VB	die
to	TO	to
get	VB	get
to	TO	to
.	SENT	.
but	CC	but
do	VBP	do
n't	RB	n't
do	VB	do
that		IN	that
,	,	,
because	IN	because
you	PP	you
'll	MD	will
end	VB	end
up	RP	up
going	VBG	go
to	TO	to
hell	NN	hell
.	SENT	.
what	WP	what
dreams	NNS	dream
may	MD	may
come	VB	come
begins	VBZ	begin
with	IN	with
two	CD	two
boats	NNS	boat
colliding	VBG	collide
on	IN	on
a	DT	a
lake	NN	lake
.	SENT	.
chris	NNS	<unknown>
"	``	"
christy	JJ	<unknown>
"	''	"
nielsen	NN	<unknown>
(	(	(
robin	NN	robin
williams	NN	<unknown>
)	)	)
is	VBZ	be
startled	VBN	startle
by	IN	by
the	DT	the
sudden	JJ	sudden
jolt	NN	jolt
,	,	,
but	CC	but
is	VBZ	be
even	RB	even
more	RBR	more
startled	VBN	startle
by	IN	by
the	DT	the
beauty	NN	beauty
of	IN	of
the	DT	the
woman	NN	woman
in	IN	in
the	DT	the
other	JJ	other
boat	NN	boat
.	SENT	.
annie	NP	Annie
(	(	(
annabella	NN	<unknown>
sciorra	NN	<unknown>
)	)	)
spies	VBZ	spy
chris	NNS	<unknown>
,	,	,
as	RB	as
well	RB	well
,	,	,
and	CC	and
both	DT	both
eventually	RB	eventually
bond	NN	bond
and	CC	and
get	VB	get
married	VBN	marry
.	SENT	.
annie	NN	<unknown>
is	VBZ	be
an	DT	an
artist	NN	artist
,	,	,
whose	WP$	whose
paintings	NNS	painting
are	VBP	be
colorful	JJ	colorful
,	,	,
lush	JJ	lush
,	,	,
and	CC	and
surrealistic	JJ	surrealistic
.	SENT	.
chris	NP	Chris
is	VBZ	be
a	DT	a
doctor	NN	doctor
and	CC	and
loves	VBZ	love
annie	NN	<unknown>
more	RBR	more
than	IN	than
life	NN	life
itself	PP	itself
.	SENT	.
they	PP	they
also	RB	also
have	VBP	have
two	CD	two
children	NNS	child
,	,	,
marie	NN	<unknown>
(	(	(
jessica	NN	<unknown>
brooks	NNS	brook
)	)	)
and	CC	and
ian	JJ	<unknown>
(	(	(
josh	NN	josh
paddock	NN	paddock
)	)	)
.	SENT	.
but	CC	but
one	CD	one
day	NN	day
,	,	,
the	DT	the
two	CD	two
children	NNS	child
are	VBP	be
killed	VBN	kill
in	IN	in
a	DT	a
car	NN	car
crash	NN	crash
,	,	,
and	CC	and
it	PP	it
almost	RB	almost
destroys	VBZ	destroy
annie	NN	<unknown>
.	SENT	.
she	PP	she
tries	VBZ	try
to	TO	to
commit	VB	commit
suicide	NN	suicide
,	,	,
but	CC	but
fails	VBZ	fail
,	,	,
and	CC	and
is	VBZ	be
then	RB	then
put	VBN	put
in	IN	in
an	DT	an
institution	NN	institution
.	SENT	.
chris	NN	<unknown>
copes	NNS	cope
with	IN	with
the	DT	the
problem	NN	problem
by	IN	by
realizing	VBG	realize
they	PP	they
are	VBP	be
n't	RB	n't
around	RB	around
anymore	RB	anymore
,	,	,
and	CC	and
nothing	NN	nothing
will	MD	will
change	VB	change
that	DT	that
.	SENT	.
just	RB	just
as	IN	as
annie	NN	<unknown>
gets	VBZ	get
her	PP$	her
life	NN	life
back	RB	back
in	IN	in
order	NN	order
,	,	,
chris	NN	<unknown>
is	VBZ	be
killed	VBN	kill
while	IN	while
trying	VBG	try
to	TO	to
save	VB	save
the	DT	the
life	NN	life
of	IN	of
a	DT	a
car	NN	car
crash	NN	crash
victim	NN	victim
.	SENT	.
chris	NP	Chris
goes	VBZ	go
to	TO	to
heaven	NN	heaven
,	,	,
or	CC	or
his	PP$	his
version	NN	version
of	IN	of
heaven	NN	heaven
,	,	,
rather	RB	rather
.	SENT	.
guided	VBN	guide
by	IN	by
albert	NN	albert
(	(	(
cuba	NN	<unknown>
gooding	NN	<unknown>
,	,	,
jr	NP	Jr
.	SENT	.
)	)	)
,	,	,
chris	NP	Chris
explores	VBZ	explore
his	PP$	his
new	JJ	new
surroundings	NN	surroundings
with	IN	with
pure	JJ	pure
delight	NN	delight
and	CC	and
joy	NN	joy
.	SENT	.
that	DT	that
is	VBZ	be
,	,	,
until	IN	until
he	PP	he
realizes	VBZ	realize
how	WRB	how
miserable	JJ	miserable
he	PP	he
is	VBZ	be
without	IN	without
annie	NN	<unknown>
.	SENT	.
prior	RB	prior
to	TO	to
heaven	NN	heaven
,	,	,
he	PP	he
would	MD	would
try	VB	try
to	TO	to
comfort	NN	comfort
annie	NN	<unknown>
,	,	,
but	CC	but
the	DT	the
more	JJR	more
he	PP	he
was	VBD	be
around	RP	around
,	,	,
the	DT	the
more	JJR	more
pain	NN	pain
she	PP	she
felt	VBD	feel
.	SENT	.
chris	NP	Chris
decides	VBZ	decide
to	TO	to
leave	VB	leave
her	PP	her
alone	RB	alone
.	SENT	.
little	RB	little
does	VBZ	do
he	PP	he
realize	VBP	realize
what	WP	what
will	MD	will
happen	VB	happen
next	JJ	next
.	SENT	.
i	NNS	i
'm	VBP	be
not	RB	not
about	RB	about
to	TO	to
say	VB	say
,	,	,
because	IN	because
the	DT	the
plot	NN	plot
point	NN	point
is	VBZ	be
crucial	JJ	crucial
to	TO	to
the	DT	the
rest	NN	rest
of	IN	of
the	DT	the
story	NN	story
(	(	(
many	JJ	many
critics	NNS	critic
,	,	,
however	RB	however
,	,	,
give	VB	give
it	PP	it
away	RP	away
)	)	)
.	SENT	.
certainly	RB	certainly
,	,	,
chris	NN	<unknown>
dying	VBG	die
is	VBZ	be
crucial	JJ	crucial
to	TO	to
the	DT	the
plot	NN	plot
,	,	,
but	CC	but
they	PP	they
tell	VBP	tell
you	PP	you
that		IN	that
he	PP	he
dies	VBZ	die
in	IN	in
the	DT	the
previews	NNS	preview
.	SENT	.
story	NN	story
is	VBZ	be
not	RB	not
necessarily	RB	necessarily
important	JJ	important
for	IN	for
this	DT	this
movie	NN	movie
to	TO	to
work	VB	work
,	,	,
because	IN	because
it	PP	it
deals	VBZ	deal
with	IN	with
the	DT	the
afterlife	NN	afterlife
.	SENT	.
however	RB	however
,	,	,
strangely	RB	strangely
,	,	,
virtually	RB	virtually
nothing	NN	nothing
is	VBZ	be
heard	VBN	hear
of	IN	of
god	NN	god
or	CC	or
the	DT	the
devil	NN	devil
.	SENT	.
a	DT	a
couple	NN	couple
of	IN	of
comments	NNS	comment
here	RB	here
and	CC	and
there	RB	there
,	,	,
but	CC	but
the	DT	the
story	NN	story
maintains	VBZ	maintain
its	PP$	its
focus	NN	focus
on	IN	on
chris	NNS	<unknown>
and	CC	and
his	PP$	his
search	NN	search
for	IN	for
the	DT	the
love	NN	love
of	IN	of
his	PP$	his
life	NN	life
.	SENT	.
"	``	"
we	PP	we
're	VBP	be
soul	NN	soul
mates	NNS	mate
!	SENT	!
"	''	"
chris	NP	Chris
exclaims	VBZ	exclaim
.	SENT	.
heaven	NN	heaven
,	,	,
in	IN	in
movies	NNS	movie
,	,	,
is	VBZ	be
almost	RB	almost
always	RB	always
depicted	VBN	depict
as	IN	as
a	DT	a
glowing	JJ	glowing
city	NN	city
of	IN	of
white	JJ	white
,	,	,
purity	NN	purity
,	,	,
and	CC	and
love	NN	love
.	SENT	.
usually	RB	usually
,	,	,
it	PP	it
also	RB	also
looks	VBZ	look
like	IN	like
it	PP	it
rests	VBZ	rest
among	IN	among
the	DT	the
clouds	NNS	cloud
.	SENT	.
but	CC	but
what	WP	what
dreams	NNS	dream
may	MD	may
come	VB	come
goes	VBZ	go
a	DT	a
different	JJ	different
route	NN	route
.	SENT	.
it	PP	it
shows	VBZ	show
us	PP	us
a	DT	a
heaven	NN	heaven
that		IN	that
most	JJS	most
of	IN	of
us	PP	us
have	VBP	have
never	RB	never
seen	VBN	see
before	RB	before
.	SENT	.
chris	NP	Chris
'	POS	'
heaven	NN	heaven
is	VBZ	be
his	PP$	his
memories	NNS	memory
brought	VBN	bring
to	TO	to
life	NN	life
.	SENT	.
his	PP$	his
thoughts	NNS	thought
can	MD	can
make	VB	make
anything	NN	anything
real	JJ	real
,	,	,
and	CC	and
he	PP	he
makes	VBZ	make
the	DT	the
paintings	NNS	painting
annie	NN	<unknown>
drew	VBD	draw
become	VB	become
his	PP$	his
heaven	NN	heaven
.	SENT	.
"	``	"
i	NNS	i
've	VBP	have
never	RB	never
seen	VBN	see
anyone	NN	anyone
use	NN	use
real	JJ	real
paint	NN	paint
before	IN	before
,	,	,
"	``	"
albert	NN	albert
says	VBZ	say
.	SENT	.
equally	RB	equally
good	JJ	good
as	IN	as
the	DT	the
depictions	NNS	depiction
of	IN	of
hell	NN	hell
which	WDT	which
cast	VBD	cast
away	RP	away
the	DT	the
normal	JJ	normal
stereotypes	NNS	stereotype
of	IN	of
fire	NN	fire
and	CC	and
brimstone	NN	brimstone
.	SENT	.
instead	RB	instead
,	,	,
it	PP	it
's	VBZ	be
a	DT	a
state	NN	state
of	IN	of
being	VBG	be
.	SENT	.
in	IN	in
one	CD	one
gloriously	RB	gloriously
horrific	JJ	horrific
scene	NN	scene
,	,	,
chris	NNS	<unknown>
and	CC	and
his	PP$	his
"	``	"
tracker	NN	tracker
"	''	"
(	(	(
max	NP	Max
von	NP	von
sydow	NN	<unknown>
)	)	)
arrive	VBP	arrive
at	IN	at
a	DT	a
sea	NN	sea
of	IN	of
faces	NNS	face
.	SENT	.
thousands	NNS	thousand
of	IN	of
heads	NNS	head
are	VBP	be
stuck	VBN	stick
above	IN	above
ground	NN	ground
,	,	,
their	PP$	their
bodies	NNS	body
somewhere	RB	somewhere
else	RB	else
.	SENT	.
mostly	RB	mostly
dead	RB	dead
silent	JJ	silent
,	,	,
some	DT	some
quips	NNS	quip
are	VBP	be
made	VBN	make
,	,	,
almost	RB	almost
as	IN	as
if	IN	if
to	TO	to
lighten	VB	lighten
the	DT	the
mood	NN	mood
.	SENT	.
it	PP	it
's	VBZ	be
truly	RB	truly
a	DT	a
frightening	JJ	frightening
sequence	NN	sequence
.	SENT	.
production	NN	production
designer	NN	designer
eugenio	NN	<unknown>
zanetti	NN	<unknown>
is	VBZ	be
definitely	RB	definitely
going	VBG	go
to	TO	to
be	VB	be
up	RB	up
for	IN	for
an	DT	an
oscar	NN	oscar
nomination	NN	nomination
.	SENT	.
using	VBG	use
state	NN	state
of	IN	of
the	DT	the
art	NN	art
computer	NN	computer
technology	NN	technology
,	,	,
worlds	NNS	world
are	VBP	be
created	VBN	create
for	IN	for
exploration	NN	exploration
.	SENT	.
sometimes	RB	sometimes
,	,	,
some	DT	some
scenes	NNS	scene
play	VBP	play
out	RP	out
as	RB	as
if	IN	if
they	PP	they
are	VBP	be
only	RB	only
there	RB	there
for	IN	for
the	DT	the
visual	JJ	visual
impact	NN	impact
.	SENT	.
it	PP	it
's	VBZ	be
not	RB	not
necessary	JJ	necessary
to	TO	to
be	VB	be
there	RB	there
,	,	,
but	CC	but
we	PP	we
appreciate	VBP	appreciate
seeing	VBG	see
it	PP	it
.	SENT	.
costume	JJ	costume
designer	NN	designer
yvonne	NN	<unknown>
blake	NN	<unknown>
(	(	(
who	WP	who
also	RB	also
appears	VBZ	appear
in	IN	in
the	DT	the
film	NN	film
)	)	)
has	VBZ	have
done	VBN	do
an	DT	an
incredible	JJ	incredible
job	NN	job
providing	VBG	provide
some	DT	some
interesting	JJ	interesting
and	CC	and
colorful	JJ	colorful
costumes	NNS	costume
.	SENT	.
cinematographer	NN	cinematographer
eduardo	NN	<unknown>
serra	NN	<unknown>
,	,	,
whose	WP$	whose
work	NN	work
was	VBD	be
last	RB	last
seen	VBN	see
in	IN	in
the	DT	the
luscious	JJ	luscious
wings	NNS	wing
of	IN	of
the	DT	the
dove	NN	dove
,	,	,
has	VBZ	have
a	DT	a
difficult	JJ	difficult
job	NN	job
,	,	,
as	IN	as
most	JJS	most
cinematographers	NNS	cinematographer
do	VBP	do
working	VBG	work
with	IN	with
special	JJ	special
effects	NNS	effect
.	SENT	.
but	CC	but
serra	NP	Serra
's	POS	's
entire	JJ	entire
universe	NN	universe
is	VBZ	be
a	DT	a
computer	NN	computer
generated	VBD	generate
image	NN	image
,	,	,
and	CC	and
he	PP	he
does	VBZ	do
a	DT	a
masterful	JJ	masterful
job	NN	job
.	SENT	.
writer	NN	writer
ron	NNS	<unknown>
bass	NN	bass
,	,	,
adapting	VBG	adapt
from	IN	from
the	DT	the
novel	NN	novel
by	IN	by
richard	NP	Richard
matheson	NP	Matheson
,	,	,
provides	VBZ	provide
a	DT	a
very	RB	very
fluid	JJ	fluid
screenplay	NN	screenplay
with	IN	with
no	DT	no
real	JJ	real
set	NN	set
plot	NN	plot
.	SENT	.
the	DT	the
story	NN	story
is	VBZ	be
extremely	RB	extremely
vague	JJ	vague
in	IN	in
its	PP$	its
details	NNS	detail
,	,	,
allowing	VBG	allow
viewers	NNS	viewer
to	TO	to
think	VB	think
for	IN	for
themselves	PP	themselves
about	IN	about
the	DT	the
meaning	NN	meaning
.	SENT	.
and	CC	and
director	NN	director
vincent	NN	<unknown>
ward	NN	ward
puts	VBZ	put
it	PP	it
all	RB	all
together	RB	together
into	IN	into
his	PP$	his
final	JJ	final
vision	NN	vision
.	SENT	.
what	WP	what
dreams	NNS	dream
may	MD	may
come	VB	come
is	VBZ	be
a	DT	a
good	JJ	good
example	NN	example
of	IN	of
german	JJ	german
expressionism	NN	expressionism
which	WDT	which
may	MD	may
just	RB	just
turn	VB	turn
off	RP	off
a	DT	a
good	JJ	good
portion	NN	portion
of	IN	of
the	DT	the
audience	NN	audience
.	SENT	.
your	PP$	your
average	JJ	average
movie	NN	movie
goer	NN	goer
more	JJR	more
than	IN	than
likely	JJ	likely
is	VBZ	be
n't	RB	n't
used	VBN	use
to	TO	to
expressionistic	JJ	expressionistic
techniques	NNS	technique
.	SENT	.
the	DT	the
film	NN	film
will	MD	will
also	RB	also
definitely	RB	definitely
draw	VB	draw
attention	NN	attention
from	IN	from
religious	JJ	religious
people	NNS	people
,	,	,
but	CC	but
they	PP	they
should	MD	should
n't	RB	n't
take	VB	take
it	PP	it
too	RB	too
far	RB	far
.	SENT	.
it	PP	it
is	VBZ	be
,	,	,
after	IN	after
all	DT	all
,	,	,
just	RB	just
a	DT	a
movie	NN	movie
.	SENT	.
robin	NN	robin
williams	NP	Williams
has	VBZ	have
continuously	RB	continuously
impressed	VBN	impress
with	IN	with
his	PP$	his
dramatic	JJ	dramatic
performances	NNS	performance
,	,	,
while	IN	while
his	PP$	his
comedic	JJ	comedic
roles	NNS	role
have	VBP	have
been	VBN	be
suffering	VBG	suffer
.	SENT	.
his	PP$	his
comedy	NN	comedy
is	VBZ	be
perfection	NN	perfection
when	WRB	when
he	PP	he
makes	VBZ	make
up	RP	up
his	PP$	his
own	JJ	own
stuff	NN	stuff
,	,	,
but	CC	but
when	WRB	when
is	VBZ	be
confined	VBN	confine
by	IN	by
a	DT	a
screenplay	NN	screenplay
,	,	,
he	PP	he
is	VBZ	be
n't	RB	n't
quite	RB	quite
as	RB	as
effective	JJ	effective
.	SENT	.
but	CC	but
drama	NN	drama
is	VBZ	be
really	RB	really
his	PP$	his
strong	JJ	strong
point	NN	point
,	,	,
and	CC	and
you	PP	you
can	MD	can
see	VB	see
that		IN	that
here	RB	here
.	SENT	.
it	PP	it
's	VBZ	be
doubtful	JJ	doubtful
he	PP	he
'll	MD	will
get	VB	get
another	DT	another
oscar	NN	oscar
nomination	NN	nomination
,	,	,
but	CC	but
i	NP	i
would	MD	would
n't	RB	n't
really	RB	really
mind	VB	mind
if	IN	if
he	PP	he
did	VBD	do
.	SENT	.
the	DT	the
real	JJ	real
surprise	NN	surprise
here	RB	here
is	VBZ	be
annabella	NN	<unknown>
sciorra	NN	<unknown>
who	WP	who
impressed	VBD	impress
last	JJ	last
year	NN	year
with	IN	with
cop	NN	cop
land	NN	land
.	SENT	.
this	DT	this
may	MD	may
be	VB	be
her	PP$	her
breakout	NN	breakout
role	NN	role
and	CC	and
may	MD	may
garner	VB	garner
her	PP	her
some	DT	some
much	RB	much
needed	VBN	need
attention	NN	attention
.	SENT	.
it	PP	it
's	VBZ	be
also	RB	also
quite	RB	quite
possible	JJ	possible
that		IN	that
she	PP	she
could	MD	could
get	VB	get
an	DT	an
oscar	NN	oscar
nomination	NN	nomination
.	SENT	.
however	RB	however
,	,	,
the	DT	the
academy	NN	academy
does	VBZ	do
n't	RB	n't
like	VB	like
to	TO	to
award	VB	award
performances	NNS	performance
for	IN	for
these	DT	these
types	NNS	type
of	IN	of
films	NNS	film
.	SENT	.
cuba	NN	<unknown>
gooding	NN	<unknown>
,	,	,
jr	NP	Jr
.	SENT	.
has	VBZ	have
been	VBN	be
better	JJR	good
,	,	,
but	CC	but
he	PP	he
's	VBZ	be
certainly	RB	certainly
not	RB	not
distracting	JJ	distracting
.	SENT	.
max	NP	Max
von	NP	von
sydow	NN	<unknown>
is	VBZ	be
underused	VBN	underuse
,	,	,
as	RB	as
are	VBP	be
jessica	NN	<unknown>
brooks	NNS	brook
and	CC	and
josh	NN	josh
paddock	NN	paddock
.	SENT	.
a	DT	a
treat	NN	treat
for	IN	for
some	DT	some
movie	NN	movie
goers	NNS	goer
is	VBZ	be
to	TO	to
see	VB	see
werner	NN	<unknown>
herzog	NN	<unknown>
appear	VBP	appear
(	(	(
if	IN	if
they	PP	they
even	RB	even
recognize	VBP	recognize
him	PP	him
)	)	)
as	IN	as
chris	NNS	<unknown>
'	POS	'
father	NN	father
lost	VBD	lose
in	IN	in
the	DT	the
sea	NN	sea
of	IN	of
faces	NNS	face
.	SENT	.
it	PP	it
's	VBZ	be
not	RB	not
hard	JJ	hard
to	TO	to
see	VB	see
why	WRB	why
herzog	NN	<unknown>
would	MD	would
be	VB	be
attracted	VBN	attract
to	TO	to
this	DT	this
film	NN	film
,	,	,
considering	VBG	consider
he	PP	he
thinks	VBZ	think
that		IN	that
audiences	NNS	audience
are	VBP	be
starving	VBG	starve
for	IN	for
great	JJ	great
images	NNS	image
.	SENT	.
overall	RB	overall
,	,	,
it	PP	it
's	POS	's
williams	NP	Williams
and	CC	and
sciorra	NP	<unknown>
's	POS	's
film	NN	film
.	SENT	.
what	WP	what
dreams	NNS	dream
may	MD	may
come	VB	come
is	VBZ	be
rated	VBN	rate
pg-13	NN	<unknown>
for	IN	for
thematic	JJ	thematic
elements	NNS	element
involving	VBG	involve
death	NN	death
,	,	,
some	DT	some
disturbing	JJ	disturbing
images	NNS	image
,	,	,
language	NN	language
,	,	,
and	CC	and
some	DT	some
partial	JJ	partial
nudity	NN	nudity
.	SENT	.
the	DT	the
film	NN	film
is	VBZ	be
definitely	RB	definitely
aimed	VBN	aim
at	IN	at
a	DT	a
more	JJR	more
adult	NN	adult
audience	NN	audience
.	SENT	.
some	DT	some
will	MD	will
find	VB	find
the	DT	the
plot	NN	plot
distracting	VBG	distract
.	SENT	.
some	DT	some
will	MD	will
find	VB	find
the	DT	the
visuals	NNS	visual
absolutely	RB	absolutely
glorious	JJ	glorious
.	SENT	.
and	CC	and
some	DT	some
will	MD	will
find	VB	find
both	DT	both
.	SENT	.
the	DT	the
only	JJ	only
real	JJ	real
problem	NN	problem
with	IN	with
the	DT	the
film	NN	film
,	,	,
that	WDT	that
i	NP	i
could	MD	could
see	VB	see
,	,	,
was	VBD	be
that		IN	that
it	PP	it
slows	VBZ	slow
down	RB	down
considerably	RB	considerably
during	IN	during
the	DT	the
midsection	NN	midsection
,	,	,
just	RB	just
after	IN	after
we	PP	we
have	VBP	have
been	VBN	be
immersed	VBN	immerse
in	IN	in
the	DT	the
visuals	NNS	visual
and	CC	and
before	IN	before
the	DT	the
search	NN	search
for	IN	for
annie	NP	Annie
begins	VBZ	begin
.	SENT	.
by	IN	by
the	DT	the
way	NN	way
,	,	,
some	DT	some
controversy	NN	controversy
even	RB	even
surrounded	VBN	surround
the	DT	the
title	NN	title
,	,	,
which	WDT	which
was	VBD	be
mistaken	VBN	mistake
for	IN	for
a	DT	a
sexual	JJ	sexual
term	NN	term
(	(	(
"	``	"
what	WP	what
"	``	"
becomes	VBZ	become
"	``	"
wet	JJ	wet
"	''	"
and	CC	and
you	PP	you
should	MD	should
understand	VB	understand
)	)	)
.	SENT	.
in	IN	in
actuality	NN	actuality
,	,	,
the	DT	the
title	NN	title
is	VBZ	be
from	IN	from
a	DT	a
soliloquy	NN	soliloquy
in	IN	in
hamlet	NN	hamlet
.	SENT	.
just	RB	just
thought	VBD	think
i	NP	i
should	MD	should
let	VB	let
you	PP	you
know	VB	know
.	SENT	.
