when	WRB	when
shih	NP	Shih
kien	NP	Kien
who	WP	who
turns	VBZ	turn
han	NP	han
into	IN	into
typical	JJ	typical
,	,	,
although	IN	although
not	RB	not
very	RB	very
convincing	JJ	convincing
bondian	JJ	<unknown>
villain	NN	villain
,	,	,
are	VBP	be
nothing	RB	nothing
more	RBR	more
than	IN	than
fist	NN	fist
fodder	NN	fodder
for	IN	for
bruce	NN	<unknown>
lee	NN	lee
(	(	(
among	IN	among
them	PP	them
is	VBZ	be
young	JJ	young
jackie	NN	<unknown>
chan	NN	<unknown>
)	)	)
.	SENT	.
fighting	VBG	fight
scenes	NNS	scene
are	VBP	be
still	RB	still
impressive	JJ	impressive
today	NN	today
as	IN	as
they	PP	they
were	VBD	be
25	CD	@card@
years	NNS	year
ago	RB	ago
,	,	,
although	IN	although
they	PP	they
mostly	RB	mostly
lack	VBP	lack
gore	NN	gore
associated	VBN	associate
with	IN	with
that	DT	that
genre	NN	genre
.	SENT	.
in	IN	in
many	JJ	many
way	NN	way
they	PP	they
are	VBP	be
also	RB	also
more	RBR	more
realistic	JJ	realistic
(	(	(
they	PP	they
were	VBD	be
personally	RB	personally
staged	VBN	stage
by	IN	by
lee	NN	lee
himself	PP	himself
)	)	)
,	,	,
demanding	VBG	demand
only	RB	only
a	DT	a
blow	NN	blow
or	CC	or
two	CD	two
to	TO	to
incapacitate	VB	incapacitate
or	CC	or
kill	VB	kill
the	DT	the
opponent	NN	opponent
.	SENT	.
i	NNS	i
'm	VBP	be
not	RB	not
a	DT	a
martial	JJ	martial
arts	NNS	art
expert	NN	expert
nor	CC	nor
the	DT	the
martial	JJ	martial
arts	NNS	art
fan	NN	fan
,	,	,
but	CC	but
comparing	VBG	compare
those	DT	those
scenes	NNS	scene
with	IN	with
typical	JJ	typical
scenes	NNS	scene
today	NN	today
i	NP	i
simply	RB	simply
ca	MD	ca
n't	RB	n't
avoid	VB	avoid
to	TO	to
appreciate	VB	appreciate
the	DT	the
difference	NN	difference
from	IN	from
today	NN	today
's	POS	's
movie	NN	movie
fights	VBZ	fight
when	WRB	when
masses	NNS	mass
of	IN	of
bloody	JJ	bloody
pulp	NN	pulp
manage	VBP	manage
to	TO	to
get	VB	get
up	RP	up
from	IN	from
the	DT	the
floor	NN	floor
and	CC	and
win	VB	win
in	IN	in
the	DT	the
end	NN	end
.	SENT	.
so	RB	so
,	,	,
despite	IN	despite
all	PDT	all
the	DT	the
obvious	JJ	obvious
flaws	NNS	flaw
that	WDT	that
preclude	VBP	preclude
this	DT	this
movie	NN	movie
of	IN	of
being	VBG	be
top	JJ	top
100	CD	@card@
of	IN	of
all	DT	all
times	NNS	time
,	,	,
enter	VBP	enter
the	DT	the
dragon	NN	dragon
is	VBZ	be
a	DT	a
incredibly	RB	incredibly
entertaining	JJ	entertaining
piece	NN	piece
of	IN	of
cinema	NN	cinema
and	CC	and
the	DT	the
martial	JJ	martial
arts	NNS	art
flick	NN	flick
that	WDT	that
can	MD	can
be	VB	be
enjoyed	VBN	enjoy
even	RB	even
by	IN	by
those	DT	those
who	WP	who
do	VBP	do
n't	RB	n't
like	VB	like
that	DT	that
particular	JJ	particular
genre	NN	genre
.	SENT	.
