there	EX	there
shady	JJ	shady
operations	NNS	operation
controller	NN	controller
named	VBN	name
dierdre	NN	<unknown>
(	(	(
natascha	NN	<unknown>
mcelhone	NN	<unknown>
)	)	)
recover	VB	recover
a	DT	a
package	NN	package
.	SENT	.
the	DT	the
package	NN	package
becomes	VBZ	become
the	DT	the
central	JJ	central
motivator	NN	motivator
for	IN	for
the	DT	the
entire	JJ	entire
cast	NN	cast
,	,	,
especially	RB	especially
once	IN	once
the	DT	the
requisite	JJ	requisite
double-crossing	VBG	double-cross
begins	VBZ	begin
,	,	,
and	CC	and
its	PP$	its
role	NN	role
is	VBZ	be
skillfully	RB	skillfully
penned	VBN	pen
by	IN	by
zeik	NN	<unknown>
.	SENT	.
at	IN	at
times	NNS	time
,	,	,
however	RB	however
,	,	,
zeik	NP	<unknown>
's	POS	's
tale	NN	tale
becomes	VBZ	become
almost	RB	almost
too	RB	too
reminiscent	JJ	reminiscent
of	IN	of
mission	NN	mission
:	:	:
impossible	JJ	impossible
-	:	-
de	NP	de
niro	NP	Niro
might	MD	might
easily	RB	easily
become	VB	become
tom	NN	tom
cruise	NN	cruise
,	,	,
the	DT	the
package	NN	package
might	MD	might
become	VB	become
cruise	NN	cruise
's	POS	's
computer	NN	computer
disk	NN	disk
.	SENT	.
fortunately	RB	fortunately
,	,	,
the	DT	the
focus	NN	focus
here	RB	here
is	VBZ	be
almost	RB	almost
entirely	RB	entirely
on	IN	on
the	DT	the
package	NN	package
,	,	,
whereas	IN	whereas
in	IN	in
mission	NN	mission
the	DT	the
script	NN	script
was	VBD	be
more	RBR	more
concerned	VBN	concern
with	IN	with
the	DT	the
double-cross	NN	double-cross
and	CC	and
why	WRB	why
it	PP	it
happened	VBD	happen
.	SENT	.
the	DT	the
action	NN	action
content	NN	content
is	VBZ	be
impressive	JJ	impressive
,	,	,
and	CC	and
it	PP	it
lives	VBZ	live
up	RP	up
to	TO	to
the	DT	the
hints	NNS	hint
given	VBN	give
in	IN	in
previews	NNS	preview
.	SENT	.
the	DT	the
only	JJ	only
fans	NNS	fan
who	WP	who
will	MD	will
be	VB	be
disappointed	VBN	disappoint
are	VBP	be
those	DT	those
who	WP	who
expect	VBP	expect
full-blown	JJ	full-blown
combat	NN	combat
scenes	NNS	scene
and	CC	and
instead	RB	instead
are	VBP	be
forced	VBN	force
to	TO	to
suffer	VB	suffer
through	IN	through
moments	NNS	moment
of	IN	of
slowness	NN	slowness
.	SENT	.
ronin	NN	ronin
does	VBZ	do
take	VB	take
a	DT	a
degree	NN	degree
of	IN	of
intelligence	NN	intelligence
to	TO	to
follow	VB	follow
all	DT	all
of	IN	of
the	DT	the
nuance	NN	nuance
from	IN	from
start	NN	start
to	TO	to
finish	VB	finish
,	,	,
but	CC	but
even	RB	even
the	DT	the
uninitiated	JJ	uninitiated
will	MD	will
be	VB	be
able	JJ	able
to	TO	to
keep	VB	keep
a	DT	a
grasp	NN	grasp
on	IN	on
most	JJS	most
characters	NNS	character
mand	NN	<unknown>
subplots	NNS	subplot
.	SENT	.
the	DT	the
suspense	NN	suspense
tapers	VBZ	taper
off	RP	off
considerably	RB	considerably
by	IN	by
the	DT	the
end	NN	end
,	,	,
a	DT	a
bit	NN	bit
of	IN	of
a	DT	a
drawback	NN	drawback
because	IN	because
of	IN	of
its	PP$	its
height	NN	height
at	IN	at
the	DT	the
movie	NN	movie
's	VBZ	be
open	JJ	open
.	SENT	.
considering	VBG	consider
these	DT	these
factors	NNS	factor
it	PP	it
's	VBZ	be
good	JJ	good
to	TO	to
see	VB	see
that	DT	that
ronin	NN	ronin
was	VBD	be
a	DT	a
project	NN	project
that	WDT	that
turned	VBD	turn
out	RP	out
well	RB	well
,	,	,
and	CC	and
it	PP	it
's	VBZ	be
another	DT	another
good	JJ	good
bet	NN	bet
this	DT	this
month	NN	month
.	SENT	.
since	IN	since
quality	NN	quality
is	VBZ	be
usually	RB	usually
sparse	JJ	sparse
during	IN	during
the	DT	the
early	JJ	early
fall	NN	fall
months	NNS	month
,	,	,
it	PP	it
's	VBZ	be
definitely	RB	definitely
worth	JJ	worth
the	DT	the
visit	NN	visit
.	SENT	.
