an	DT	an
his	PP$	his
master	NN	master
for	IN	for
"	``	"
not	RB	not
keeping	VBG	keep
=	SYM	=
his	PP$	his
end	NN	end
of	IN	of
the	DT	the
bargain	NN	bargain
.	SENT	.
"	``	"
judas	NN	judas
reveals	VBZ	reveal
the	DT	the
angel	NN	angel
to	TO	to
truly	RB	truly
be	VB	be
the	DT	the
devil	NN	devil
,	,	,
=	SYM	=
and	CC	and
the	DT	the
life	NN	life
jesus	NN	<unknown>
had	VBD	have
lived	VBN	live
to	TO	to
be	VB	be
the	DT	the
ultimate	JJ	ultimate
selfish	JJ	selfish
act	NN	act
.	SENT	.
jesus	NN	<unknown>
=	SYM	=
escapes	VBZ	escape
from	IN	from
his	PP$	his
deathbed	NN	deathbed
,	,	,
and	CC	and
asks	VBZ	ask
his	PP$	his
father	NN	father
for	IN	for
forgiveness	NN	forgiveness
,	,	,
for	IN	for
=	SYM	=
succumbing	VBG	succumb
to	TO	to
his	PP$	his
last	JJ	last
temptation	NN	temptation
.	SENT	.
visually	RB	visually
and	CC	and
aurally	RB	aurally
,	,	,
the	DT	the
film	NN	film
is	VBZ	be
absolutely	RB	absolutely
breathtaking	JJ	breathtaking
.	SENT	.
no	DT	no
other	NN	other
=	SYM	=
director	NN	director
has	VBZ	have
even	RB	even
come	VBN	come
close	NN	close
to	TO	to
realizing	VBG	realize
jerusalem	NN	<unknown>
during	IN	during
the	DT	the
time	NN	time
of	IN	of
=	SYM	=
christ	NN	<unknown>
's	POS	's
life	NN	life
to	TO	to
the	DT	the
screen	NN	screen
.	SENT	.
peter	NN	peter
gabriel	NN	<unknown>
contributes	VBZ	contribute
a	DT	a
score	NN	score
than	IN	than
is	VBZ	be
=	SYM	=
simply	RB	simply
astonishing	JJ	astonishing
,	,	,
with	IN	with
pulsing	VBG	pulse
rhythms	NNS	rhythm
that	WDT	that
capture	VBP	capture
the	DT	the
viewer	NN	viewer
.	SENT	.
the	DT	the
=	SYM	=
performances	NNS	performance
are	VBP	be
simply	RB	simply
exquisite	JJ	exquisite
,	,	,
with	IN	with
dafoe	NN	<unknown>
leading	VBG	lead
the	DT	the
way	NN	way
with	IN	with
a	DT	a
=	SYM	=
mesmerizing	VBG	mesmerize
turn	NN	turn
as	IN	as
jesus	NN	<unknown>
.	SENT	.
keitel	NN	<unknown>
,	,	,
although	IN	although
his	PP$	his
accent	NN	accent
is	VBZ	be
a	DT	a
problem	NN	problem
,	,	,
is	VBZ	be
=	SYM	=
passionately	RB	passionately
brilliant	JJ	brilliant
,	,	,
fighting	VBG	fight
through	IN	through
language	NN	language
to	TO	to
bring	VB	bring
the	DT	the
character	NN	character
=	SYM	=
to	TO	to
life	NN	life
.	SENT	.
the	DT	the
visuals	NNS	visual
are	VBP	be
also	RB	also
amazing	JJ	amazing
.	SENT	.
scorsese	NP	Scorsese
frames	VBZ	frame
his	PP$	his
movie	NN	movie
in	IN	in
a	DT	a
=	SYM	=
harsh	JJ	harsh
tone	NN	tone
,	,	,
leaving	VBG	leave
the	DT	the
impression	NN	impression
that		IN	that
jesus	NN	<unknown>
truly	RB	truly
is	VBZ	be
a	DT	a
man	NN	man
who	WP	who
is	VBZ	be
=	SYM	=
having	VBG	have
human	JJ	human
frailties	NNS	frailty
.	SENT	.
the	DT	the
film	NN	film
,	,	,
though	RB	though
,	,	,
has	VBZ	have
many	JJ	many
trouble	NN	trouble
spots	NNS	spot
.	SENT	.
paul	NP	Paul
schrader	NP	Schrader
's	POS	's
script	NN	script
is	VBZ	be
=	SYM	=
one	CD	one
.	SENT	.
schrader	NN	Schrader
uses	VBZ	use
modern-day	JJ	modern-day
new	JJ	new
york	VBP	york
english	JJ	English
to	TO	to
tell	VB	tell
the	DT	the
story	NN	story
,	,	,
along	RB	along
=	SYM	=
with	IN	with
new	JJ	new
york	VBP	york
words	NNS	word
,	,	,
new	JJ	new
york	VBP	york
mannerisms	NNS	mannerism
,	,	,
and	CC	and
new	JJ	new
york	VBP	york
slang	NN	slang
speech	NN	speech
.	SENT	.
=	SYM	=
the	DT	the
film	NN	film
also	RB	also
does	VBZ	do
not	RB	not
focus	VB	focus
on	IN	on
the	DT	the
godly	JJ	godly
aspects	NNS	aspect
of	IN	of
christ	NN	<unknown>
.	SENT	.
there	EX	there
is	VBZ	be
=	SYM	=
no	DT	no
underlying	VBG	underlie
message	NN	message
behind	IN	behind
the	DT	the
man	NN	man
's	POS	's
words	NNS	word
.	SENT	.
the	DT	the
film	NN	film
fails	VBZ	fail
to	TO	to
capture	NN	capture
=	SYM	=
the	DT	the
glory	NN	glory
and	CC	and
splendor	NN	splendor
of	IN	of
christ	NN	<unknown>
.	SENT	.
had	VBD	have
it	PP	it
faithfully	RB	faithfully
explored	VBD	explore
that		IN	that
=	SYM	=
aspect	NN	aspect
,	,	,
than	IN	than
the	DT	the
dichotomy	NN	dichotomy
of	IN	of
jesus	NN	<unknown>
'	POS	'
soul	NN	soul
,	,	,
his	PP$	his
frailties	NNS	frailty
and	CC	and
doubt	NN	doubt
mixed	VBN	mix
=	SYM	=
with	IN	with
his	PP$	his
unmistakable	JJ	unmistakable
glory	NN	glory
,	,	,
would	MD	would
have	VB	have
been	VBN	be
simply	RB	simply
spectacular	JJ	spectacular
.	SENT	.
the	DT	the
=	SYM	=
message	NN	message
of	IN	of
christ	NN	<unknown>
is	VBZ	be
confused	VBN	confuse
between	IN	between
love	NN	love
and	CC	and
violence	NN	violence
,	,	,
and	CC	and
the	DT	the
film	NN	film
=	SYM	=
merely	RB	merely
tells	VBZ	tell
us	PP	us
jesus	NN	<unknown>
is	VBZ	be
great	JJ	great
,	,	,
instead	RB	instead
of	IN	of
showing	VBG	show
us	PP	us
his	PP$	his
greatness	NN	greatness
.	SENT	.
the	DT	the
film	NN	film
is	VBZ	be
also	RB	also
overlong	JJ	overlong
.	SENT	.
it	PP	it
just	RB	just
drags	VBZ	drag
in	IN	in
the	DT	the
middle	NN	middle
,	,	,
with	IN	with
=	SYM	=
nothing	NN	nothing
truly	RB	truly
happening	VBG	happen
.	SENT	.
christ	NN	<unknown>
is	VBZ	be
a	DT	a
confused	JJ	confused
figure	NN	figure
,	,	,
in	IN	in
the	DT	the
sense	NN	sense
that	WDT	that
=	SYM	=
the	DT	the
audience	NN	audience
does	VBZ	do
n't	RB	n't
know	VB	know
who	WP	who
he	PP	he
really	RB	really
is	VBZ	be
.	SENT	.
schrader	NN	Schrader
forgets	VBZ	forget
to	TO	to
give	VB	give
=	SYM	=
jesus	NN	<unknown>
a	DT	a
message	NN	message
,	,	,
to	TO	to
show	VB	show
that		IN	that
he	PP	he
truly	RB	truly
is	VBZ	be
the	DT	the
messiah	NN	Messiah
,	,	,
to	TO	to
give	VB	give
him	PP	him
the	DT	the
=	SYM	=
divinity	NN	divinity
.	SENT	.
without	IN	without
that	DT	that
,	,	,
he	PP	he
is	VBZ	be
a	DT	a
rambling	VBG	ramble
prophet	NN	prophet
,	,	,
who	WP	who
the	DT	the
audience	NN	audience
=	SYM	=
themselves	PP	themselves
do	VBP	do
not	RB	not
believe	VB	believe
.	SENT	.
there	EX	there
are	VBP	be
several	JJ	several
moments	NNS	moment
of	IN	of
accidental	NN	accidental
=	SYM	=
hilarity	NN	hilarity
,	,	,
and	CC	and
most	JJS	most
of	IN	of
them	PP	them
occur	VBP	occur
when	WRB	when
jesus	NN	<unknown>
is	VBZ	be
attempting	VBG	attempt
to	TO	to
preach	VB	preach
.	SENT	.
=	SYM	=
there	EX	there
are	VBP	be
moments	NNS	moment
of	IN	of
brief	JJ	brief
awe	NN	awe
and	CC	and
power	NN	power
,	,	,
followed	VBN	follow
by	IN	by
moments	NNS	moment
of	IN	of
=	SYM	=
confused	JJ	confused
hilarity	NN	hilarity
.	SENT	.
that		IN	that
said	VBD	say
,	,	,
the	DT	the
controversial	JJ	controversial
temptation	NN	temptation
sequence	NN	sequence
is	VBZ	be
something	NN	something
to	TO	to
=	SYM	=
behold	VB	behold
.	SENT	.
it	PP	it
is	VBZ	be
a	DT	a
step	NN	step
in	IN	in
an	DT	an
unexpected	JJ	unexpected
direction	NN	direction
,	,	,
one	CD	one
that	WDT	that
leaves	VBZ	leave
the	DT	the
=	SYM	=
audience	NN	audience
puzzled	VBD	puzzle
,	,	,
until	IN	until
the	DT	the
arrival	NN	arrival
of	IN	of
the	DT	the
disciples	NNS	disciple
.	SENT	.
it	PP	it
is	VBZ	be
a	DT	a
simply	RB	simply
=	SYM	=
breathtaking	JJ	breathtaking
scene	NN	scene
,	,	,
with	IN	with
jesus	NN	<unknown>
about	RB	about
to	TO	to
die	VB	die
as	IN	as
a	DT	a
mortal	NN	mortal
.	SENT	.
it	PP	it
is	VBZ	be
truly	RB	truly
=	SYM	=
one	CD	one
of	IN	of
scorsese	NN	<unknown>
's	POS	's
finest	JJS	fine
moments	NNS	moment
.	SENT	.
it	PP	it
is	VBZ	be
unfortunate	JJ	unfortunate
that		IN	that
scorsese	NN	<unknown>
=	SYM	=
could	MD	could
n't	RB	n't
make	VB	make
a	DT	a
film	NN	film
about	IN	about
christ	NN	<unknown>
as	IN	as
powerful	JJ	powerful
as	IN	as
that	DT	that
one	CD	one
scene	NN	scene
.	SENT	.
=20	JJ	<unknown>
