set	VBN	set
,	,	,
and	CC	and
pertwee	NP	<unknown>
's	POS	's
performance	NN	performance
is	VBZ	be
rather	RB	rather
poor	JJ	poor
.	SENT	.
kenneth	NP	Kenneth
williams	NP	Williams
uses	VBZ	use
a	DT	a
new	JJ	new
voice	NN	voice
but	CC	but
struggles	VBZ	struggle
with	IN	with
the	DT	the
weak	JJ	weak
part	NN	part
of	IN	of
the	DT	the
'judge	NN	<unknown>
'	POS	'
.	SENT	.
even	RB	even
so	RB	so
,	,	,
this	DT	this
carry	NN	carry
on	IN	on
was	VBD	be
sid	JJ	<unknown>
james	NNS	<unknown>
and	CC	and
kenneth	NP	Kenneth
williams	NP	Williams
'	POS	'
favourite	NN	favourite
.	SENT	.
a	DT	a
very	RB	very
different	JJ	different
carry	NN	carry
on	IN	on
film	NN	film
,	,	,
in	IN	in
that	WDT	that
it	PP	it
is	VBZ	be
played	VBN	play
more	RBR	more
seriously	RB	seriously
by	IN	by
the	DT	the
actors	NNS	actor
and	CC	and
possesses	VBZ	possess
more	JJR	more
realism	NN	realism
than	IN	than
any	DT	any
other	JJ	other
carry	NN	carry
on	IN	on
.	SENT	.
the	DT	the
death	NN	death
count	NN	count
is	VBZ	be
the	DT	the
highest	JJS	high
of	IN	of
any	DT	any
carry	NN	carry
on	IN	on
film	NN	film
.	SENT	.
sets	NNS	set
,	,	,
costumes	NNS	costume
and	CC	and
action	NN	action
sequences	NNS	sequence
are	VBP	be
all	RB	all
very	RB	very
commendable	JJ	commendable
.	SENT	.
the	DT	the
songs	NNS	song
that	WDT	that
are	VBP	be
included	VBN	include
in	IN	in
the	DT	the
movie	NN	movie
(	(	(
the	DT	the
title	NN	title
song	NN	song
and	CC	and
annie	NN	<unknown>
's	POS	's
song	NN	song
)	)	)
are	VBP	be
very	RB	very
impressive	JJ	impressive
.	SENT	.
a	DT	a
strange	JJ	strange
but	CC	but
therefore	RB	therefore
very	RB	very
interesting	JJ	interesting
carry	NN	carry
on	IN	on
film	NN	film
.	SENT	.
not	RB	not
the	DT	the
best	JJS	good
of	IN	of
its	PP$	its
kind	NN	kind
but	CC	but
it	PP	it
is	VBZ	be
certainly	RB	certainly
the	DT	the
most	RBS	most
distinctive	JJ	distinctive
film	NN	film
of	IN	of
the	DT	the
series	NN	series
.	SENT	.
