there	EX	there
friend	NN	friend
like	IN	like
mushu	NN	<unknown>
.	SENT	.
speaking	VBG	speak
of	IN	of
songs	NNS	song
,	,	,
mulan	NN	<unknown>
does	VBZ	do
n't	RB	n't
have	VB	have
too	RB	too
many	JJ	many
of	IN	of
them	PP	them
,	,	,
which	WDT	which
is	VBZ	be
a	DT	a
plus	NN	plus
with	IN	with
a	DT	a
story	NN	story
like	IN	like
this	DT	this
.	SENT	.
disney	NN	<unknown>
songs	NNS	song
about	IN	about
war	NN	war
probably	RB	probably
would	MD	would
n't	RB	n't
go	VB	go
over	RP	over
too	RB	too
well	RB	well
(	(	(
"	``	"
heigh	JJ	<unknown>
ho	NN	<unknown>
,	,	,
heigh	JJ	<unknown>
ho	NN	<unknown>
,	,	,
it	PP	it
's	VBZ	be
off	JJ	off
to	TO	to
war	VB	war
i	NP	i
go	VB	go
.	SENT	.
.	SENT	.
.	SENT	.
"	''	"
)	)	)
,	,	,
and	CC	and
the	DT	the
ones	NNS	one
they	PP	they
do	VBP	do
have	VB	have
are	VBP	be
n't	RB	n't
memorable	JJ	memorable
.	SENT	.
the	DT	the
best	JJS	good
of	IN	of
the	DT	the
bunch	NN	bunch
,	,	,
sad	JJ	sad
to	TO	to
say	VB	say
,	,	,
is	VBZ	be
"	``	"
be	VB	be
a	DT	a
man	NN	man
,	,	,
"	''	"
the	DT	the
requisite	JJ	requisite
basic	JJ	basic
training	NN	training
montage	NN	montage
song	NN	song
.	SENT	.
yes	UH	yes
,	,	,
even	RB	even
in	IN	in
medieval	JJ	medieval
china	NN	china
,	,	,
they	PP	they
had	VBD	have
to	TO	to
run	VB	run
through	IN	through
that	DT	that
web	NN	web
of	IN	of
car	NN	car
tires	NNS	tire
before	IN	before
they	PP	they
were	VBD	be
ready	JJ	ready
for	IN	for
battle	NN	battle
.	SENT	.
sung	VBN	sing
by	IN	by
donnie	NN	<unknown>
osmond	NN	<unknown>
(	(	(
a	DT	a
bad	JJ	bad
sign	NN	sign
if	IN	if
ever	RB	ever
there	EX	there
was	VBD	be
one	CD	one
)	)	)
,	,	,
"	``	"
be	VB	be
a	DT	a
man	NN	man
"	``	"
accompanies	VBZ	accompany
footage	NN	footage
of	IN	of
mulan	NP	<unknown>
's	POS	's
platoon	NN	platoon
going	VBG	go
from	IN	from
screw-ups	NNS	<unknown>
to	TO	to
heroes	NNS	hero
.	SENT	.
it	PP	it
makes	VBZ	make
me	PP	me
wonder	VBP	wonder
,	,	,
has	VBZ	have
there	RB	there
ever	RB	ever
been	VBN	be
a	DT	a
musical	JJ	musical
montage	NN	montage
in	IN	in
a	DT	a
movie	NN	movie
that	WDT	that
's	VBZ	be
ended	VBN	end
badly	RB	badly
?	SENT	?
i	NP	i
only	RB	only
wish	VBP	wish
real-life	JJ	real-life
problems	NNS	problem
could	MD	could
be	VB	be
solved	VBN	solve
in	IN	in
two	CD	two
minutes	NNS	minute
with	IN	with
a	DT	a
peppy	JJ	peppy
montage	NN	montage
.	SENT	.
for	IN	for
the	DT	the
curious	JJ	curious
,	,	,
mulan	NN	<unknown>
does	VBZ	do
pass	VB	pass
for	IN	for
a	DT	a
man	NN	man
in	IN	in
the	DT	the
army	NN	army
despite	IN	despite
looking	VBG	look
like	IN	like
a	DT	a
girl	NN	girl
.	SENT	.
all	RB	all
she	PP	she
does	VBZ	do
to	TO	to
transform	VB	transform
herself	PP	herself
is	VBZ	be
cut	VB	cut
her	PP$	her
hair	NN	hair
to	TO	to
a	DT	a
sexy	JJ	sexy
shoulder-length	NN	shoulder-length
,	,	,
talk	NN	talk
macho	NN	macho
and	CC	and
slap	NN	slap
guys	NNS	guy
on	IN	on
the	DT	the
butt	NN	butt
,	,	,
as	RB	as
was	VBD	be
male	JJ	male
custom	NN	custom
a	DT	a
thousand	CD	thousand
years	NNS	year
ago	RB	ago
in	IN	in
china	NN	china
.	SENT	.
the	DT	the
deception	NN	deception
fools	VBZ	fool
everyone	NN	everyone
but	CC	but
the	DT	the
audience	NN	audience
,	,	,
who	WP	who
thinks	VBZ	think
she	PP	she
might	MD	might
be	VB	be
able	JJ	able
to	TO	to
pass	VB	pass
for	IN	for
a	DT	a
12-year-old	JJ	12-year-old
boy	NN	boy
,	,	,
at	IN	at
best	JJS	good
.	SENT	.
but	CC	but
she	PP	she
does	VBZ	do
manage	VB	manage
to	TO	to
strike	VB	strike
the	DT	the
biggest	JJS	big
blows	NNS	blow
to	TO	to
the	DT	the
hun	NN	Hun
army	NN	army
,	,	,
led	VBN	lead
by	IN	by
a	DT	a
big	JJ	big
,	,	,
evil-eyed	JJ	evil-eyed
attilla-looking	NN	<unknown>
monster	NN	monster
.	SENT	.
as	IN	as
a	DT	a
villain	NN	villain
,	,	,
the	DT	the
head	NN	head
of	IN	of
the	DT	the
huns	NNS	Hun
is	VBZ	be
menacing	VBG	menace
,	,	,
evil	JJ	evil
and	CC	and
entirely	RB	entirely
forgettable	JJ	forgettable
.	SENT	.
i	NP	i
saw	VBD	see
the	DT	the
movie	NN	movie
yesterday	NN	yesterday
and	CC	and
i	NP	i
do	VBP	do
n't	RB	n't
remember	VB	remember
the	DT	the
man	NN	man
's	POS	's
name	NN	name
.	SENT	.
otherwise	RB	otherwise
,	,	,
mulan	NN	<unknown>
is	VBZ	be
a	DT	a
good	JJ	good
movie	NN	movie
.	SENT	.
the	DT	the
animation	NN	animation
of	IN	of
the	DT	the
characters	NNS	character
themselves	PP	themselves
is	VBZ	be
n't	RB	n't
as	RB	as
rich	JJ	rich
as	IN	as
it	PP	it
could	MD	could
and	CC	and
should	MD	should
be	VB	be
,	,	,
but	CC	but
there	EX	there
are	VBP	be
some	DT	some
amazing	JJ	amazing
battlefield	NN	battlefield
shots	NNS	shot
.	SENT	.
eddie	NN	<unknown>
murphy	NN	murphy
pulls	VBZ	pull
off	RP	off
some	DT	some
good	JJ	good
one-liners	NNS	one-liner
,	,	,
as	RB	as
do	VBP	do
other	JJ	other
star	NN	star
voices	NNS	voice
like	IN	like
harvey	NN	<unknown>
fierstein	NN	<unknown>
and	CC	and
pat	NN	pat
morita	NN	<unknown>
,	,	,
the	DT	the
quintessential	JJ	quintessential
asian	JJ	Asian
movie	NN	movie
star	NN	star
.	SENT	.
hell	UH	hell
,	,	,
george	VB	<unknown>
"	``	"
mr	NN	Mr
.	SENT	.
sulu	NN	<unknown>
"	``	"
takei	NN	<unknown>
does	VBZ	do
a	DT	a
voice	NN	voice
in	IN	in
mulan	NN	<unknown>
.	SENT	.
you	PP	you
get	VBP	get
the	DT	the
sense	NN	sense
disney	NN	<unknown>
said	VBD	say
to	TO	to
themselves	PP	themselves
,	,	,
"	''	"
alright	RB	alright
,	,	,
let	VB	let
's	VBZ	be
get	VB	get
out	RP	out
there	RB	there
and	CC	and
find	VB	find
us	PP	us
some	DT	some
chinese	JJ	Chinese
americans	NNS	American
in	IN	in
hollywood	NN	<unknown>
.	SENT	.
who	WP	who
can	MD	can
you	PP	you
think	VB	think
of	IN	of
?	SENT	?
"	''	"
"	''	"
well	RB	well
,	,	,
there	EX	there
's	VBZ	be
mr	NN	Mr
.	SENT	.
myagi	NNS	<unknown>
.	SENT	.
.	SENT	.
.	SENT	.
"	''	"
"	``	"
good	JJ	good
.	SENT	.
"	''	"
"	''	"
and	CC	and
mr	NN	Mr
.	SENT	.
sulu	NN	<unknown>
.	SENT	.
"	''	"
"	``	"
perfect	JJ	perfect
.	SENT	.
we	PP	we
've	VBP	have
got	VBN	get
ourselves	PP	ourselves
a	DT	a
movie	NN	movie
now	RB	now
.	SENT	.
"	''	"
soon	RB	soon
disney	NN	<unknown>
really	RB	really
_will_	NN	<unknown>
be	VB	be
able	JJ	able
to	TO	to
paint	VB	paint
with	IN	with
all	PDT	all
the	DT	the
colors	NNS	color
of	IN	of
the	DT	the
wind	NN	wind
.	SENT	.
