synopsis	NN	synopsis
.	SENT	.
star	NN	star
trek	NN	trek
:	:	:
insurrection	NN	insurrection
is	VBZ	be
the	DT	the
ninth	JJ	ninth
"	``	"
star	NN	star
trek	NN	trek
"	''	"
movie	NN	movie
and	CC	and
the	DT	the
third	JJ	third
to	TO	to
focus	VB	focus
on	IN	on
the	DT	the
"	``	"
star	NN	star
trek	NN	trek
:	:	:
the	DT	the
next	JJ	next
generation	NN	generation
"	''	"
crew	NN	crew
.	SENT	.
star	NN	star
trek	NN	trek
:	:	:
insurrection	NN	insurrection
qualifies	VBZ	qualify
as	IN	as
one	CD	one
of	IN	of
those	DT	those
movies	NNS	movie
star	NN	star
trek	NN	trek
fans	NNS	fan
,	,	,
such	JJ	such
as	IN	as
myself	PP	myself
,	,	,
would	MD	would
rate	VB	rate
somewhere	RB	somewhere
between	IN	between
"	``	"
okay	JJ	okay
"	''	"
and	CC	and
"	``	"
good	JJ	good
.	SENT	.
"	''	"
after	IN	after
star	NN	star
trek	NN	trek
v	NN	v
:	:	:
the	DT	the
final	JJ	final
frontier	NN	frontier
,	,	,
a	DT	a
nearly	RB	nearly
awful	JJ	awful
movie	NN	movie
almost	RB	almost
as	RB	as
bad	JJ	bad
as	IN	as
the	DT	the
repugnant	JJ	repugnant
"	``	"
star	NN	star
trek	NN	trek
:	:	:
voyager	NN	voyager
"	``	"
tv	NN	tv
series	NN	series
,	,	,
"	``	"
star	NN	star
trek	NN	trek
"	''	"
fans	NNS	fan
could	MD	could
probably	RB	probably
swallow	VB	swallow
anything	NN	anything
paramount	NN	paramount
throws	VBZ	throw
out	RP	out
in	IN	in
the	DT	the
trek	NN	trek
film	NN	film
franchise	NN	franchise
.	SENT	.
i	NNS	i
do	VBP	do
n't	RB	n't
wish	VB	wish
to	TO	to
spend	VB	spend
this	DT	this
review	NN	review
comparing	VBG	compare
insurrection	NN	insurrection
to	TO	to
the	DT	the
eight	CD	eight
other	JJ	other
trek	NN	trek
movies	NNS	movie
.	SENT	.
most	JJS	most
people	NNS	people
reading	VBG	read
this	DT	this
probably	RB	probably
have	VBP	have
n't	RB	n't
followed	VBN	follow
"	``	"
star	JJ	star
trek	NN	trek
"	''	"
anyway	RB	anyway
,	,	,
so	RB	so
a	DT	a
comparison	NN	comparison
would	MD	would
seem	VB	seem
tedious	JJ	tedious
at	IN	at
best	JJS	good
.	SENT	.
let	VB	let
me	PP	me
,	,	,
thus	RB	thus
,	,	,
make	VB	make
my	PP$	my
comparisons	NNS	comparison
briefly	RB	briefly
so	RB	so
that		IN	that
it	PP	it
's	VBZ	be
out	RB	out
of	IN	of
my	PP$	my
system	NN	system
:	:	:
star	NN	star
trek	NN	trek
:	:	:
insurrection	NN	insurrection
is	VBZ	be
not	RB	not
as	RB	as
good	JJ	good
as	IN	as
the	DT	the
previous	JJ	previous
installment	NN	installment
,	,	,
star	NN	star
trek	NN	trek
:	:	:
first	JJ	first
contact	NN	contact
;	:	;
star	NN	star
trek	NN	trek
:	:	:
insurrection	NN	insurrection
's	POS	's
comic	JJ	comic
tone	NN	tone
may	MD	may
be	VB	be
best	RBS	well
compared	VBN	compare
to	TO	to
star	VB	star
trek	NN	trek
iv	NN	<unknown>
:	:	:
the	DT	the
voyage	NN	voyage
home	NN	home
;	:	;
star	JJ	star
trek	NN	trek
ii	NNS	<unknown>
:	:	:
the	DT	the
wrath	NN	wrath
of	IN	of
khan	NN	khan
is	VBZ	be
still	RB	still
the	DT	the
best	JJS	good
trek	NN	trek
movie	NN	movie
.	SENT	.
okay	JJ	okay
.	SENT	.
let	NN	let
's	POS	's
move	NN	move
to	TO	to
the	DT	the
movie	NN	movie
itself	PP	itself
.	SENT	.
star	NN	star
trek	NN	trek
:	:	:
insurrection	NN	insurrection
infuses	VBZ	infuse
a	DT	a
basic	JJ	basic
science	NN	science
fiction	NN	fiction
premise	NN	premise
,	,	,
humanity	NN	humanity
's	POS	's
exploration	NN	exploration
and	CC	and
colonization	NN	colonization
of	IN	of
space	NN	space
,	,	,
with	IN	with
a	DT	a
lot	NN	lot
of	IN	of
lowbrow	JJ	lowbrow
humor	NN	humor
and	CC	and
witty	JJ	witty
oneliners	NNS	<unknown>
.	SENT	.
this	DT	this
combination	NN	combination
works	VBZ	work
well	RB	well
more	RBR	more
often	RB	often
than	IN	than
it	PP	it
fails	VBZ	fail
,	,	,
but	CC	but
when	WRB	when
it	PP	it
does	VBZ	do
fail	VB	fail
,	,	,
the	DT	the
humor	NN	humor
really	RB	really
seems	VBZ	seem
cheesy	JJ	cheesy
.	SENT	.
much	RB	much
of	IN	of
this	DT	this
film	NN	film
appeals	NNS	appeal
to	TO	to
trek	VB	trek
fans	NNS	fan
'	POS	'
nostalgic	JJ	nostalgic
fondness	NN	fondness
for	IN	for
the	DT	the
starship	NN	Starship
enterprise	NN	enterprise
's	POS	's
crew	NN	crew
.	SENT	.
audiences	NNS	audience
unfamiliar	JJ	unfamiliar
with	IN	with
trek	NN	trek
lore	NN	lore
may	MD	may
miss	VB	miss
the	DT	the
significance	NN	significance
of	IN	of
some	DT	some
plot	NN	plot
points	NNS	point
and	CC	and
may	MD	may
even	RB	even
become	VB	become
confused	VBN	confuse
at	IN	at
times	NNS	time
.	SENT	.
star	NN	star
trek	NN	trek
:	:	:
insurrection	NN	insurrection
begins	VBZ	begin
with	IN	with
scenes	NNS	scene
of	IN	of
the	DT	the
tranquil	JJ	tranquil
life	NN	life
on	IN	on
the	DT	the
ba'ku	NN	<unknown>
homeworld	NN	<unknown>
.	SENT	.
forget	VB	forget
the	DT	the
actors	NNS	actor
and	CC	and
special	JJ	special
effects	NNS	effect
,	,	,
the	DT	the
beautiful	JJ	beautiful
setting	NN	setting
of	IN	of
this	DT	this
movie	NN	movie
,	,	,
with	IN	with
its	PP$	its
snowy	JJ	snowy
mountaintops	NNS	mountaintop
and	CC	and
verdant	JJ	verdant
valleys	NNS	valley
,	,	,
steals	VBZ	steal
the	DT	the
show	NN	show
.	SENT	.
this	DT	this
tranquility	NN	tranquility
,	,	,
however	RB	however
,	,	,
is	VBZ	be
broken	VBN	break
by	IN	by
data	NNS	datum
,	,	,
an	DT	an
android	NN	android
,	,	,
who	WP	who
reveals	VBZ	reveal
to	TO	to
the	DT	the
ba'ku	NN	<unknown>
that		IN	that
they	PP	they
are	VBP	be
being	VBG	be
secretly	RB	secretly
monitored	VBN	monitor
by	IN	by
the	DT	the
federation	NN	federation
and	CC	and
their	PP$	their
alien	JJ	alien
allies	NNS	ally
,	,	,
the	DT	the
son'a	NN	<unknown>
.	SENT	.
it	PP	it
seems	VBZ	seem
that		IN	that
this	DT	this
world	NN	world
is	VBZ	be
a	DT	a
veritable	JJ	veritable
fountain	NN	fountain
of	IN	of
youth	NN	youth
,	,	,
sustaining	VBG	sustain
its	PP$	its
inhabitants	NNS	inhabitant
indefinantly	RB	<unknown>
in	IN	in
a	DT	a
young	JJ	young
,	,	,
healthy	JJ	healthy
state	NN	state
.	SENT	.
the	DT	the
enterprise	NN	enterprise
crew	NN	crew
,	,	,
led	VBN	lead
by	IN	by
captain	NN	captain
picard	NN	<unknown>
,	,	,
investigates	VBZ	investigate
data	NNS	datum
's	POS	's
actions	NNS	action
and	CC	and
uncovers	VBZ	uncover
a	DT	a
conspiracy	NN	conspiracy
between	IN	between
the	DT	the
son'a	NN	<unknown>
and	CC	and
an	DT	an
enterprise	NN	enterprise
admiral	NN	admiral
to	TO	to
relocate	VB	relocate
the	DT	the
ba'ku	NN	<unknown>
and	CC	and
plunder	VB	plunder
the	DT	the
planet	NN	planet
's	POS	's
youth-restoring	NN	<unknown>
properties	NNS	property
.	SENT	.
sound	VB	sound
pretty	RB	pretty
heavy	JJ	heavy
?	SENT	?
it	PP	it
is	VBZ	be
,	,	,
though	IN	though
this	DT	this
plot	NN	plot
,	,	,
anything	NN	anything
but	CC	but
unique	JJ	unique
and	CC	and
groundbreaking	JJ	groundbreaking
,	,	,
is	VBZ	be
undermined	VBN	undermine
by	IN	by
the	DT	the
film	NN	film
's	POS	's
constant	JJ	constant
barrage	NN	barrage
of	IN	of
humor	NN	humor
.	SENT	.
when	WRB	when
going	VBG	go
after	IN	after
data	NNS	datum
,	,	,
for	IN	for
instance	NN	instance
,	,	,
picard	NN	<unknown>
sings	VBZ	sing
an	DT	an
opera	NN	opera
piece	NN	piece
with	IN	with
him	PP	him
(	(	(
this	DT	this
is	VBZ	be
supposed	VBN	suppose
to	TO	to
be	VB	be
cute	JJ	cute
and	CC	and
humorous	JJ	humorous
)	)	)
.	SENT	.
in	IN	in
a	DT	a
much	RB	much
more	RBR	more
funny	JJ	funny
sequence	NN	sequence
,	,	,
work	NN	work
grows	VBZ	grow
a	DT	a
large	JJ	large
pimple	NN	pimple
on	IN	on
the	DT	the
side	NN	side
of	IN	of
his	PP$	his
nose	NN	nose
as	IN	as
a	DT	a
result	NN	result
of	IN	of
his	PP$	his
exposure	NN	exposure
to	TO	to
the	DT	the
ba'ku	NN	<unknown>
homeworld	NN	<unknown>
,	,	,
a	DT	a
pimple	NN	pimple
which	WDT	which
his	PP$	his
crewmates	NNS	<unknown>
,	,	,
try	VBP	try
as	IN	as
they	PP	they
might	MD	might
,	,	,
cannot	MD	can
avoid	VB	avoid
looking	VBG	look
at	IN	at
.	SENT	.
the	DT	the
acting	NN	acting
in	IN	in
star	NN	star
trek	NN	trek
:	:	:
insurrection	NN	insurrection
is	VBZ	be
,	,	,
for	IN	for
the	DT	the
most	JJS	most
part	NN	part
,	,	,
pretty	RB	pretty
good	JJ	good
.	SENT	.
since	IN	since
they	PP	they
've	VBP	have
been	VBN	be
playing	VBG	play
these	DT	these
characters	NNS	character
for	IN	for
years	NNS	year
,	,	,
those	DT	those
portraying	VBG	portray
the	DT	the
enterprise	NN	enterprise
crew	NN	crew
reassume	VB	reassume
their	PP$	their
roles	NNS	role
effortlessly	RB	effortlessly
enough	RB	enough
.	SENT	.
the	DT	the
terrific	JJ	terrific
actor	NN	actor
patrick	NN	<unknown>
stewart	NN	<unknown>
plays	VBZ	play
captain	NN	captain
jean-luc	NN	<unknown>
picard	NN	<unknown>
and	CC	and
delivers	VBZ	deliver
a	DT	a
moral	JJ	moral
speech	NN	speech
,	,	,
picard	NP	Picard
's	POS	's
trademark	NN	trademark
,	,	,
with	IN	with
his	PP$	his
usual	JJ	usual
aplomb	NN	aplomb
.	SENT	.
brent	JJ	<unknown>
spiner	NN	<unknown>
,	,	,
another	DT	another
fine	JJ	fine
actor	NN	actor
,	,	,
plays	VBZ	play
the	DT	the
android	JJ	android
data	NNS	datum
well	RB	well
enough	RB	enough
again	RB	again
and	CC	and
provides	VBZ	provide
the	DT	the
best	JJS	good
moments	NNS	moment
of	IN	of
comic	JJ	comic
relief	NN	relief
in	IN	in
the	DT	the
film	NN	film
(	(	(
though	IN	though
the	DT	the
old	JJ	old
android-wishing-to-be-human	NN	<unknown>
motif	NN	motif
will	MD	will
tire	VB	tire
some	DT	some
trek	NN	trek
fans	NNS	fan
familiar	JJ	familiar
with	IN	with
the	DT	the
routine	NN	routine
from	IN	from
the	DT	the
tv	NN	tv
series	NN	series
)	)	)
.	SENT	.
the	DT	the
supporting	JJ	supporting
cast	NN	cast
who	WP	who
appear	VBP	appear
in	IN	in
this	DT	this
movie	NN	movie
alone	RB	alone
are	VBP	be
also	RB	also
pretty	RB	pretty
good	JJ	good
.	SENT	.
despite	IN	despite
many	JJ	many
other	JJ	other
critics	NNS	critic
'	POS	'
negative	JJ	negative
opinions	NNS	opinion
,	,	,
f	LS	f
.	SENT	.
murray	NN	<unknown>
abraham	NN	<unknown>
(	(	(
the	DT	the
winner	NN	winner
of	IN	of
an	DT	an
academy	NN	academy
award	NN	award
for	IN	for
his	PP$	his
performance	NN	performance
in	IN	in
amadeus	NN	<unknown>
)	)	)
plays	VBZ	play
the	DT	the
major	JJ	major
villain	NN	villain
ru'afro	NN	<unknown>
well	RB	well
enough	RB	enough
.	SENT	.
ru'afro	NP	<unknown>
reminds	VBZ	remind
me	PP	me
,	,	,
somewhat	RB	somewhat
,	,	,
of	IN	of
the	DT	the
baron	NN	baron
harkonnen	NN	<unknown>
in	IN	in
the	DT	the
1984	CD	@card@
film	NN	film
version	NN	version
of	IN	of
dune	NN	dune
.	SENT	.
like	IN	like
the	DT	the
baron	NN	baron
,	,	,
ru'afro	NP	<unknown>
continuously	RB	continuously
has	VBZ	have
his	PP$	his
skin	NN	skin
looked	VBD	look
after	IN	after
:	:	:
it	PP	it
is	VBZ	be
stretched	VBN	stretch
and	CC	and
stapled	VBN	staple
by	IN	by
servants	NNS	servant
.	SENT	.
in	IN	in
one	CD	one
particularly	RB	particularly
memorable	JJ	memorable
scene	NN	scene
,	,	,
ru'afro	NP	<unknown>
becomes	VBZ	become
very	RB	very
agitated	VBN	agitate
,	,	,
and	CC	and
his	PP$	his
facial	JJ	facial
skin	NN	skin
splits	VBZ	split
open	JJ	open
and	CC	and
bleeds	VBZ	bleed
.	SENT	.
ru'afro	NP	<unknown>
is	VBZ	be
no	DT	no
khan	NN	khan
from	IN	from
star	NN	star
trek	VBP	trek
ii--the	NNS	<unknown>
best	JJS	good
trek	NN	trek
villain	NN	villain
ever--but	NN	<unknown>
he	PP	he
is	VBZ	be
much	RB	much
better	JJR	good
than	IN	than
the	DT	the
forgettable	JJ	forgettable
dr	NN	Dr
.	SENT	.
soran	NN	<unknown>
from	IN	from
star	NN	star
trek	NN	trek
:	:	:
generations	NNS	generation
.	SENT	.
(	(	(
okay	JJ	okay
,	,	,
i	NP	i
promise	NN	promise
,	,	,
no	DT	no
more	JJR	more
comparisons	NNS	comparison
.	SENT	.
)	)	)
donna	NN	<unknown>
murphy	NN	murphy
must	MD	must
also	RB	also
be	VB	be
noted	VBN	note
as	IN	as
a	DT	a
ba'ku	NN	<unknown>
woman	NN	woman
,	,	,
anij	NP	<unknown>
,	,	,
who	WP	who
picard	NN	<unknown>
falls	VBZ	fall
in	IN	in
love	NN	love
with	IN	with
.	SENT	.
murphy	NN	murphy
is	VBZ	be
not	RB	not
a	DT	a
young	JJ	young
woman	NN	woman
with	IN	with
a	DT	a
supermodel	JJ	<unknown>
body	NN	body
;	:	;
she	PP	she
is	VBZ	be
a	DT	a
mature	JJ	mature
woman	NN	woman
with	IN	with
an	DT	an
attractive	JJ	attractive
countenance	NN	countenance
.	SENT	.
this	DT	this
is	VBZ	be
the	DT	the
type	NN	type
of	IN	of
woman	NN	woman
whom	WP	whom
picard	NN	<unknown>
,	,	,
for	IN	for
those	DT	those
who	WP	who
know	VBP	know
the	DT	the
character	NN	character
well	RB	well
,	,	,
would	MD	would
be	VB	be
enchanted	VBN	enchant
with	IN	with
.	SENT	.
in	IN	in
fact	NN	fact
,	,	,
the	DT	the
chemistry	NN	chemistry
between	IN	between
murphy	NN	murphy
and	CC	and
stewart	NN	<unknown>
works	NNS	work
very	RB	very
well	RB	well
here	RB	here
.	SENT	.
a	DT	a
particular	JJ	particular
plot	NN	plot
point	NN	point
involving	VBG	involve
anij	NP	<unknown>
's	POS	's
ability	NN	ability
to	TO	to
slow	VB	slow
time	NN	time
down	RB	down
,	,	,
an	DT	an
ability	NN	ability
which	WDT	which
she	PP	she
shares	NNS	share
with	IN	with
picard	NN	<unknown>
,	,	,
becomes	VBZ	become
one	CD	one
of	IN	of
the	DT	the
most	RBS	most
intriguing	JJ	intriguing
parts	NNS	part
of	IN	of
the	DT	the
movie	NN	movie
.	SENT	.
for	IN	for
as	RB	as
good	JJ	good
as	IN	as
the	DT	the
actors	NNS	actor
and	CC	and
setting	NN	setting
were	VBD	be
,	,	,
star	JJ	star
trek	NN	trek
:	:	:
insurrection	NN	insurrection
's	POS	's
special	JJ	special
effects	NNS	effect
were	VBD	be
surprisingly	RB	surprisingly
disappointing	JJ	disappointing
.	SENT	.
they	PP	they
proved	VBD	prove
adequate	JJ	adequate
,	,	,
sometimes	RB	sometimes
barely	RB	barely
,	,	,
for	IN	for
a	DT	a
1990s	NNS	1990s
mainstream	NN	mainstream
science	NN	science
fiction	NN	fiction
film	NN	film
,	,	,
but	CC	but
they	PP	they
fell	VBD	fall
way	RB	way
short	JJ	short
of	IN	of
the	DT	the
standard	JJ	standard
trek	NN	trek
movie	NN	movie
and	CC	and
paled	VBD	pale
in	IN	in
comparison	NN	comparison
to	TO	to
those	DT	those
seen	VBN	see
in	IN	in
the	DT	the
trailer	NN	trailer
for	IN	for
star	NN	star
wars	NNS	war
:	:	:
the	DT	the
phantom	JJ	phantom
menace	NN	menace
(	(	(
a	DT	a
trailer	NN	trailer
which	WDT	which
reportedly	RB	reportedly
preceded	VBD	precede
many	JJ	many
showings	NNS	showing
of	IN	of
insurrection	NN	insurrection
)	)	)
.	SENT	.
the	DT	the
space	NN	space
battles	VBZ	battle
involving	VBG	involve
the	DT	the
enterprise	NN	enterprise
and	CC	and
sona	NN	<unknown>
ships	NNS	ship
,	,	,
in	IN	in
particular	JJ	particular
,	,	,
seemed	VBD	seem
trite	JJ	trite
and	CC	and
unsuspenseful	JJ	<unknown>
,	,	,
and	CC	and
the	DT	the
final	JJ	final
confrontation	NN	confrontation
between	IN	between
picard	NN	<unknown>
and	CC	and
ru'afro	NN	<unknown>
took	VBD	take
place	NN	place
on	IN	on
a	DT	a
completely	RB	completely
unconvincing	JJ	unconvincing
interior	NN	interior
of	IN	of
a	DT	a
satellite	NN	satellite
.	SENT	.
the	DT	the
new	JJ	new
enterprise	NN	enterprise
itself	PP	itself
,	,	,
only	RB	only
seen	VBN	see
in	IN	in
this	DT	this
film	NN	film
and	CC	and
its	PP$	its
predecessor	NN	predecessor
,	,	,
remains	VBZ	remain
largely	RB	largely
unexplored	JJ	unexplored
,	,	,
though	IN	though
its	PP$	its
exterior	NN	exterior
does	VBZ	do
n't	RB	n't
look	VB	look
quite	RB	quite
right	RB	right
for	IN	for
a	DT	a
reason	NN	reason
i	NP	i
cannot	MD	can
explain	VB	explain
.	SENT	.
despite	IN	despite
star	NN	star
trek	NN	trek
:	:	:
insurrection	NN	insurrection
's	POS	's
frequent	JJ	frequent
comic	JJ	comic
goofiness	NN	goofiness
and	CC	and
occasional	JJ	occasional
substandard	JJ	substandard
special	JJ	special
effects	NNS	effect
,	,	,
i	NP	i
enjoyed	VBD	enjoy
the	DT	the
film	NN	film
.	SENT	.
it	PP	it
maintains	VBZ	maintain
roddenberry	NN	<unknown>
's	VBZ	be
largely	RB	largely
optimistic	JJ	optimistic
view	NN	view
of	IN	of
the	DT	the
future	NN	future
and	CC	and
rejects	VBZ	reject
the	DT	the
gritty	JJ	gritty
violence	NN	violence
of	IN	of
its	PP$	its
predecessors	NNS	predecessor
,	,	,
particularly	RB	particularly
star	JJ	star
trek	NN	trek
:	:	:
first	JJ	first
contact	NN	contact
(	(	(
though	RB	though
,	,	,
do	VBP	do
n't	RB	n't
get	VB	get
me	PP	me
wrong	JJ	wrong
,	,	,
the	DT	the
dark	JJ	dark
tones	NNS	tone
of	IN	of
trek	NN	trek
films	NNS	film
like	IN	like
first	JJ	first
contact	NN	contact
can	MD	can
work	VB	work
very	RB	very
successfully	RB	successfully
)	)	)
.	SENT	.
i	NP	i
'd	MD	will
recommend	VB	recommend
insurrection	NN	insurrection
as	IN	as
a	DT	a
matinee	NP	matinee
film	NN	film
for	IN	for
a	DT	a
saturday	NN	Saturday
afternoon	NN	afternoon
,	,	,
especially	RB	especially
for	IN	for
fans	NNS	fan
of	IN	of
trek	NN	trek
or	CC	or
science	NN	science
fiction	NN	fiction
in	IN	in
general	NN	general
.	SENT	.
rated	VBN	rate
pg	NN	<unknown>
,	,	,
i	NP	i
ca	MD	ca
n't	RB	n't
see	VB	see
this	DT	this
film	NN	film
being	VBG	be
objectionable	JJ	objectionable
to	TO	to
the	DT	the
viewing	NN	viewing
audience	NN	audience
,	,	,
young	JJ	young
or	CC	or
old	JJ	old
.	SENT	.
