most	JJS	most
.	SENT	.
a	DT	a
mysterious	JJ	mysterious
bad-ass	NN	<unknown>
known	VBN	know
as	IN	as
clubber	NN	clubber
lang	JJ	lang
(	(	(
mr	NN	Mr
.	SENT	.
t	NN	t
)	)	)
trash-talks	NNS	<unknown>
to	TO	to
rocky	JJ	rocky
about	IN	about
his	PP$	his
stupid	JJ	stupid
decision	NN	decision
to	TO	to
retire	VB	retire
from	IN	from
boxing	NN	boxing
and	CC	and
that		IN	that
he	PP	he
"	``	"
pities	VBZ	pity
the	DT	the
fool	NN	fool
"	''	"
for	IN	for
not	RB	not
coming	VBG	come
out	RP	out
and	CC	and
fighting	VBG	fight
him	PP	him
outright	RB	outright
.	SENT	.
rocky	JJ	rocky
's	VBZ	be
trainer	NN	trainer
(	(	(
burgess	NN	burgess
meredith	NN	Meredith
)	)	)
tells	VBZ	tell
rocky	JJ	rocky
not	RB	not
to	TO	to
fight	VB	fight
,	,	,
but	CC	but
the	DT	the
italian	JJ	Italian
stallion	NN	stallion
does	VBZ	do
n't	RB	n't
listen	VB	listen
.	SENT	.
naturally	RB	naturally
,	,	,
he	PP	he
gets	VBZ	get
his	PP$	his
ass	NN	ass
kicked	VBD	kick
.	SENT	.
somewhere	RB	somewhere
along	IN	along
the	DT	the
line	NN	line
after	IN	after
this	DT	this
several	JJ	several
things	NNS	thing
happen	VBP	happen
.	SENT	.
rocky	JJ	rocky
's	VBZ	be
longtime	JJ	longtime
trainer	NN	trainer
dies	NNS	die
,	,	,
causing	VBG	cause
rocky	JJ	rocky
to	TO	to
train	VB	train
with	IN	with
his	PP$	his
former	JJ	former
opponent	NN	opponent
apollo	NN	apollo
creed	NN	creed
.	SENT	.
rocky	JJ	rocky
's	POS	's
wife	NN	wife
complains	VBZ	complain
to	TO	to
her	PP$	her
husband	NN	husband
that		IN	that
he	PP	he
should	MD	should
fight	VB	fight
.	SENT	.
the	DT	the
final	JJ	final
fight	NN	fight
ensues	VBZ	ensue
between	IN	between
clubber	NN	clubber
and	CC	and
rocky	JJ	rocky
.	SENT	.
guess	NN	guess
who	WP	who
wins	VBZ	win
?	SENT	?
the	DT	the
winner	NN	winner
's	POS	's
name	NN	name
rhymes	VBZ	rhyme
with	IN	with
'smocky	NP	<unknown>
'	POS	'
.	SENT	.
the	DT	the
movie	NN	movie
is	VBZ	be
entertaning	VBG	<unknown>
mainly	RB	mainly
because	IN	because
of	IN	of
clubber	NN	clubber
lang	JJ	lang
's	VBZ	be
over	IN	over
the	DT	the
top	JJ	top
performance	NN	performance
.	SENT	.
the	DT	the
dramatic	JJ	dramatic
aspect	NN	aspect
has	VBZ	have
been	VBN	be
toned	VBN	tone
down	RB	down
considerably	RB	considerably
since	IN	since
rocky	JJ	rocky
ii	NNS	<unknown>
and	CC	and
now	RB	now
action	NN	action
seems	VBZ	seem
to	TO	to
be	VB	be
the	DT	the
strong	JJ	strong
point	NN	point
of	IN	of
the	DT	the
film	NN	film
.	SENT	.
which	WDT	which
is	VBZ	be
good	JJ	good
if	IN	if
you	PP	you
like	IN	like
fighting	VBG	fight
scenes	NNS	scene
.	SENT	.
the	DT	the
last	JJ	last
match	NN	match
is	VBZ	be
quite	RB	quite
decent	JJ	decent
actually	RB	actually
.	SENT	.
if	IN	if
you	PP	you
liked	VBD	like
the	DT	the
previous	JJ	previous
films	NNS	film
,	,	,
rent	VBD	rend
this	DT	this
one	CD	one
.	SENT	.
it	PP	it
's	VBZ	be
well	RB	well
worth	JJ	worth
seeing	VBG	see
if	IN	if
you	PP	you
are	VBP	be
a	DT	a
fan	NN	fan
of	IN	of
the	DT	the
series	NN	series
.	SENT	.
but	CC	but
if	IN	if
you	PP	you
ca	MD	ca
n't	RB	n't
stand	VB	stand
rocky	JJ	rocky
shouting	NN	shouting
"	''	"
adrianne	NN	<unknown>
!	SENT	!
!	SENT	!
!	SENT	!
"	''	"
one	CD	one
more	JJR	more
time	NN	time
,	,	,
see	VB	see
something	NN	something
else	RB	else
.	SENT	.
